Date,Open,High,Low,Close,Adjusted_close,Volume
1993-01-19,4.5000,5.0000,4.5000,4.5000,0.8037,1023600.00
1993-01-20,5.0000,5.0000,4.5000,4.5000,0.8037,82400.00
1993-01-21,5.0000,5.0000,4.5000,4.5000,0.8037,34400.00
1993-01-22,5.0000,5.0000,4.5000,5.0000,0.8930,23200.00
1993-01-25,4.5000,5.2500,4.5000,4.7500,0.8483,265600.00
1993-01-26,4.7500,5.5000,4.7500,5.0000,0.8930,32800.00
1993-01-27,5.0000,6.5000,5.0000,5.7500,1.0269,272400.00
1993-01-28,5.7500,6.5000,5.0000,5.5000,0.9823,152800.00
1993-01-29,5.7500,5.7500,5.0000,5.2500,0.9376,39200.00
1993-02-01,5.0000,5.5000,5.0000,5.1200,0.9144,364800.00
1993-02-02,5.1200,5.5000,5.1200,5.3800,0.9609,435600.00
1993-02-03,5.1200,5.5000,5.1200,5.1200,0.9144,49200.00
1993-02-04,5.1200,5.5000,5.1200,5.3800,0.9609,210400.00
1993-02-05,5.1200,6.0000,5.1200,5.5000,0.9823,270400.00
1993-02-08,5.5000,6.1200,5.5000,6.1200,1.0930,809200.00
1993-02-09,6.1200,6.2500,5.3800,5.3800,0.9609,488800.00
1993-02-10,5.7500,5.7500,5.3800,5.5000,0.9823,71600.00
1993-02-11,5.3800,5.8800,5.3800,5.3800,0.9609,53200.00
1993-02-12,5.3800,6.7500,5.3800,6.0000,1.0716,815600.00
1993-02-16,6.5000,6.5000,6.0000,6.0000,1.0716,366400.00
1993-02-17,6.0000,6.7500,6.0000,6.5000,1.1609,516000.00
1993-02-18,6.0000,6.5000,6.0000,6.5000,1.1609,199600.00
1993-02-19,6.0000,6.5000,6.0000,6.5000,1.1609,583600.00
1993-02-22,6.5000,6.5000,6.0000,6.1200,1.0930,256800.00
1993-02-23,6.1200,6.5000,6.1200,6.5000,1.1609,119200.00
1993-02-24,6.5000,7.0000,6.1200,6.5000,1.1609,623600.00
1993-02-25,6.5000,7.0000,6.5000,7.0000,1.2502,97200.00
1993-02-26,7.0000,7.0000,6.5000,6.6900,1.1948,802000.00
1993-03-01,6.5000,6.7500,6.2500,6.7500,1.2055,134000.00
1993-03-02,6.2500,6.7500,6.1200,6.7500,1.2055,462800.00
1993-03-03,6.1200,6.7500,6.1200,6.1200,1.0930,45200.00
1993-03-04,6.7500,6.7500,5.7500,6.1200,1.0930,420000.00
1993-03-05,5.7500,6.3800,5.7500,6.0000,1.0716,41600.00
1993-03-08,5.7500,6.3800,5.7500,5.7500,1.0269,36000.00
1993-03-09,5.7500,6.0000,5.6200,5.8800,1.0502,245600.00
1993-03-10,5.8800,5.8800,5.2500,5.2500,0.9376,36000.00
1993-03-11,5.2500,5.7500,5.0000,5.2500,0.9376,228000.00
1993-03-12,5.2500,5.5000,5.0000,5.2500,0.9376,122000.00
1993-03-15,5.5000,5.5000,5.1200,5.3800,0.9609,44400.00
1993-03-16,5.0000,5.5000,5.0000,5.3800,0.9609,106800.00
1993-03-17,5.1200,5.3800,5.0000,5.0000,0.8930,22000.00
1993-03-18,5.3800,5.3800,4.8800,5.0000,0.8930,122400.00
1993-03-19,4.7500,5.1200,4.7500,4.7500,0.8483,385600.00
1993-03-22,4.7500,5.1200,4.7500,4.7500,0.8483,30400.00
1993-03-23,5.0000,5.0000,4.7500,4.7500,0.8483,109200.00
1993-03-24,4.7500,5.0000,4.2500,4.5000,0.8037,315200.00
1993-03-25,4.7500,4.7500,4.5000,4.7500,0.8483,143600.00
1993-03-26,4.5000,4.7500,4.2500,4.2500,0.7590,62000.00
1993-03-29,4.2500,4.6200,4.1200,4.3800,0.7823,444400.00
1993-03-30,4.3800,4.5000,4.0000,4.0000,0.7144,110000.00
1993-03-31,4.3800,4.3800,4.0000,4.0000,0.7144,18000.00
1993-04-01,4.3800,4.3800,4.0000,4.2500,0.7590,41200.00
1993-04-02,4.2500,4.3800,4.1200,4.2500,0.7590,439200.00
1993-04-05,4.1200,4.5000,4.1200,4.2500,0.7590,61600.00
