Date,Open,High,Low,Close,Adjusted_close,Volume
1992-03-31,12.0000,12.0000,10.0000,10.3700,4.6089,1482299.00
1992-04-01,10.0000,10.5000,8.5000,9.7500,4.3333,789299.00
1992-04-02,9.7500,9.7500,8.7500,8.7500,3.8889,361799.00
1992-04-03,9.2500,10.7500,9.0000,10.7500,4.7778,317798.00
1992-04-06,11.0000,11.0000,10.0000,10.5000,4.6667,268800.00
1992-04-07,10.5000,10.5000,9.5000,9.5000,4.2222,87000.00
1992-04-08,9.7500,10.0000,9.0000,10.0000,4.4444,108600.00
1992-04-09,9.5000,10.0000,9.5000,9.5000,4.2222,72600.00
1992-04-10,9.7500,10.2500,9.2500,9.7500,4.3333,193499.00
1992-04-13,9.7500,9.8800,9.2500,9.5000,4.2222,39100.00
1992-04-14,9.5000,10.0000,9.5000,9.7500,4.3333,121900.00
1992-04-15,9.5000,10.0000,9.2500,9.2500,4.1111,234899.00
1992-04-16,9.2500,9.5000,8.7500,8.7500,3.8889,85499.00
1992-04-20,8.7500,8.8700,8.7500,8.7500,3.8889,147300.00
1992-04-21,9.0000,9.0000,7.7500,8.5000,3.7778,154799.00
1992-04-22,8.7500,8.7500,8.0000,8.1200,3.6089,31499.00
1992-04-23,8.5000,8.5000,7.7500,8.2500,3.6667,99899.00
1992-04-24,7.7500,7.8800,7.2500,7.2500,3.2222,79298.00
1992-04-27,7.7500,7.7500,6.7500,7.0000,3.1111,35700.00
1992-04-28,7.0000,7.5000,7.0000,7.0000,3.1111,126899.00
1992-04-29,7.0000,7.7500,7.0000,7.5000,3.3333,34298.00
1992-04-30,7.7500,8.2500,7.7500,7.7500,3.4444,35099.00
1992-05-01,8.2500,8.2500,7.7500,7.7500,3.4444,2699.00
1992-05-04,8.1200,8.2500,7.7500,7.7500,3.4444,10300.00
1992-05-05,8.2500,8.2500,8.0000,8.0000,3.5556,14498.00
1992-05-06,8.0000,8.2500,7.7500,8.0000,3.5556,33000.00
1992-05-07,8.2500,8.5000,8.0000,8.0000,3.5556,18998.00
1992-05-08,8.5000,8.5000,8.5000,8.5000,3.7778,2798.00
1992-05-11,8.0000,8.5000,8.0000,8.0000,3.5556,20400.00
1992-05-12,8.2500,8.2500,8.0000,8.0000,3.5556,30599.00
1992-05-13,8.2500,8.2500,7.7500,8.0000,3.5556,13598.00
1992-05-14,7.5000,7.7500,7.5000,7.7500,3.4444,7298.00
1992-05-15,8.0000,9.5000,8.0000,8.7500,3.8889,140498.00
1992-05-18,9.2500,9.2500,8.7500,9.0000,4.0000,95498.00
