Date,Open,High,Low,Close,Adjusted_close,Volume
2000-07-28,29.8800,42.2500,29.5000,39.1700,19.5850,18615200.00
2000-07-31,38.2500,38.6900,31.5000,35.0000,17.5000,2481800.00
2000-08-01,34.8100,40.1300,33.0000,35.5000,17.7500,1216200.00
2000-08-02,33.6300,39.0000,33.5600,38.1300,19.0650,856400.00
2000-08-03,38.1300,47.7500,37.0000,44.2500,22.1250,1368000.00
2000-08-04,45.4800,45.5000,39.7500,40.9400,20.4700,1284200.00
2000-08-07,42.9400,48.2500,39.0000,42.2500,21.1250,565600.00
2000-08-08,42.1900,44.5000,40.5600,40.9800,20.4900,329600.00
2000-08-09,41.6900,42.8100,40.0000,42.8100,21.4050,326800.00
2000-08-10,42.6300,47.2500,41.5000,45.0000,22.5000,657800.00
2000-08-11,44.9400,45.0000,41.8800,41.8800,20.9400,394800.00
2000-08-14,42.6300,42.7500,39.6300,40.0000,20.0000,473400.00
2000-08-15,40.4400,41.0000,39.0000,40.0000,20.0000,307000.00
2000-08-16,42.0600,43.7500,41.7500,42.7500,21.3750,554200.00
2000-08-17,42.3800,43.8800,41.8800,41.8800,20.9400,487200.00
2000-08-18,41.8800,47.0000,41.8800,44.0000,22.0000,164800.00
2000-08-21,44.0000,47.7500,44.0000,45.1900,22.5950,314400.00
2000-08-22,45.2500,45.2500,42.1300,42.1300,21.0650,362600.00
2000-08-23,42.5000,44.0000,40.7500,41.1300,20.5650,332400.00
2000-08-24,41.2500,41.8800,39.8800,40.0200,20.0100,214000.00
2000-08-25,40.0600,42.3800,40.0600,41.7500,20.8750,558400.00
2000-08-28,43.6300,43.7500,40.7500,41.6300,20.8150,319200.00
2000-08-29,41.6300,42.5000,41.3800,42.5000,21.2500,172400.00
2000-08-30,41.7500,42.0000,39.4400,40.0000,20.0000,842800.00
2000-08-31,39.8800,47.2500,39.8800,44.7500,22.3750,890600.00
2000-09-01,46.0000,47.0000,43.5000,46.6300,23.3150,376200.00
2000-09-05,47.1300,47.4400,43.0000,45.7500,22.8750,192000.00
2000-09-06,46.8100,46.8100,41.7500,42.0000,21.0000,443000.00
2000-09-07,43.7500,45.0000,41.1300,45.0000,22.5000,324800.00
2000-09-08,45.0000,45.0000,42.3800,42.9400,21.4700,353000.00
2000-09-11,43.0000,44.0000,40.3800,41.1300,20.5650,601600.00
2000-09-12,41.2500,41.6300,39.0000,40.7500,20.3750,247800.00
2000-09-13,39.9100,41.0000,35.1300,36.5000,18.2500,617400.00
2000-09-14,36.9100,37.6300,35.8800,37.0000,18.5000,275800.00
2000-09-15,37.0000,38.0000,36.5000,37.7500,18.8750,232200.00
2000-09-18,35.5000,37.0000,32.1900,34.0000,17.0000,342000.00
2000-09-19,34.0000,35.1900,33.0000,33.3100,16.6550,567200.00
2000-09-20,33.8800,35.1900,32.6300,34.0000,17.0000,483200.00
2000-09-21,35.4400,35.6300,34.8800,35.3800,17.6900,72400.00
2000-09-22,34.0600,39.8800,34.0600,39.2500,19.6250,174400.00
2000-09-25,40.5300,40.8800,39.5000,39.8800,19.9400,534800.00
2000-09-26,40.0000,40.0000,39.0000,39.8100,19.9050,599200.00
2000-09-27,39.3800,42.7500,39.3800,41.6300,20.8150,148200.00
2000-09-28,40.7500,43.8800,40.7500,43.7500,21.8750,109800.00
2000-09-29,43.7500,51.6300,43.0000,45.3800,22.6900,470000.00
2000-10-02,47.2500,48.7500,44.0000,45.7500,22.8750,91600.00
2000-10-03,45.5600,46.3100,37.3800,40.0000,20.0000,161800.00
2000-10-04,39.6300,39.6300,35.2500,36.1300,18.0650,388000.00
2000-10-05,36.5000,37.3800,35.5000,35.6300,17.8150,286200.00
2000-10-06,36.0000,36.0000,30.0000,30.0600,15.0300,543200.00
2000-10-09,32.0000,32.9400,29.2500,30.7500,15.3750,1147400.00
2000-10-10,30.8900,32.7500,30.2500,32.5000,16.2500,689000.00
2000-10-11,32.0800,33.5000,31.5000,32.0000,16.0000,149000.00
2000-10-12,32.5000,32.7500,31.0000,32.2500,16.1250,310600.00
2000-10-13,32.0000,35.1300,31.7500,35.1300,17.5650,56600.00
2000-10-16,36.0000,40.0000,35.3100,35.5000,17.7500,255600.00
2000-10-17,35.2500,37.1300,35.1300,36.1900,18.0950,228400.00
2000-10-18,34.5000,35.5000,33.0000,34.7500,17.3750,92200.00
2000-10-19,35.6900,36.8800,32.5000,34.6300,17.3150,64400.00
2000-10-20,33.5000,34.5000,33.0000,33.0000,16.5000,108000.00
2000-10-23,34.2500,34.3800,32.1300,34.0000,17.0000,132200.00
2000-10-24,34.5000,34.6300,33.2500,34.1300,17.0650,415200.00
2000-10-25,34.1300,38.0000,32.8100,36.0000,18.0000,124200.00
2000-10-26,35.1300,38.8800,35.1300,38.7500,19.3750,502400.00
2000-10-27,40.0000,40.2300,36.5000,36.5000,18.2500,463600.00
2000-10-30,36.5000,36.5000,31.0000,32.5000,16.2500,160200.00
2000-10-31,32.5000,33.0000,31.8800,32.5000,16.2500,117000.00
2000-11-01,32.7500,33.8800,32.0000,33.5600,16.7800,512400.00
2000-11-02,34.0000,36.3800,33.3800,35.6300,17.8150,337000.00
2000-11-03,34.2500,37.2500,34.2500,36.5000,18.2500,119600.00
2000-11-06,38.1300,42.0000,37.8800,40.6300,20.3150,512200.00
2000-11-07,40.7300,41.0000,40.0000,41.0000,20.5000,181200.00
2000-11-08,41.1300,41.1300,40.5000,40.6300,20.3150,46000.00
2000-11-09,40.6300,41.0000,38.4400,38.8800,19.4400,347000.00
2000-11-10,38.2500,39.1900,38.0000,38.0000,19.0000,159200.00
2000-11-13,38.0200,38.0200,32.2500,37.0000,18.5000,170800.00
2000-11-14,37.2700,37.8800,32.7500,33.9400,16.9700,81800.00
2000-11-15,33.5000,34.0000,31.5000,31.7500,15.8750,226800.00
2000-11-16,32.5000,32.5000,25.3800,25.3800,12.6900,524200.00
2000-11-17,25.5200,26.8800,21.6300,22.8800,11.4400,397400.00
2000-11-20,23.0000,23.6300,21.3800,21.3800,10.6900,415400.00
2000-11-21,21.3800,22.1300,21.3100,21.3100,10.6550,2234000.00
2000-11-22,20.7800,21.6300,14.3800,16.0000,8.0000,474600.00
2000-11-24,16.0000,20.6300,16.0000,19.5000,9.7500,561400.00
2000-11-27,20.3800,20.3800,17.5000,19.1900,9.5950,646200.00
2000-11-28,19.0000,19.3800,16.3100,17.7500,8.8750,408400.00
2000-11-29,17.7500,18.6300,17.6300,18.0600,9.0300,384000.00
2000-11-30,16.7500,18.3100,15.0600,18.3100,9.1550,208800.00
2000-12-01,19.0000,20.0000,18.6300,19.2500,9.6250,883000.00
2000-12-04,19.9400,20.1900,19.2500,19.6300,9.8150,146200.00
2000-12-05,21.0000,25.0000,20.3800,24.1300,12.0650,412800.00
2000-12-06,24.1300,24.3800,22.8800,23.3800,11.6900,199600.00
2000-12-07,22.7500,24.2500,22.2500,23.2500,11.6250,463000.00
2000-12-08,23.5000,23.7500,20.6900,22.7500,11.3750,153400.00
