Date,Open,High,Low,Close,Adjusted_close,Volume
1990-03-26,3.7500,3.8750,3.7500,3.8750,3.8750,14300.00
1990-03-27,3.8750,4.0000,3.8750,4.0000,4.0000,60800.00
1990-03-28,4.0000,4.1250,3.8750,4.1250,4.1250,20000.00
1990-03-29,4.1250,4.1250,3.8750,3.8750,3.8750,21500.00
1990-03-30,4.1250,4.1250,3.8750,3.8750,3.8750,17100.00
1990-04-02,4.0000,4.0000,3.6250,3.8750,3.8750,19200.00
1990-04-03,3.8750,3.8750,3.7500,3.7500,3.7500,7700.00
1990-04-04,3.8750,3.8750,3.6250,3.6250,3.6250,13100.00
1990-04-05,3.8750,3.8750,3.6250,3.8750,3.8750,7500.00
1990-04-06,3.7500,4.1250,3.6880,4.1250,4.1250,57000.00
1990-04-09,3.8750,4.1250,3.8750,4.1250,4.1250,5700.00
1990-04-10,3.8750,4.1250,3.8750,4.0630,4.0630,44600.00
1990-04-11,4.1250,4.1250,4.0000,4.1250,4.1250,76900.00
1990-04-12,4.1250,4.1250,4.0000,4.1250,4.1250,143600.00
1990-04-16,4.1250,4.3750,4.0000,4.3750,4.3750,82300.00
1990-04-17,4.3750,4.3750,3.8750,3.9380,3.9380,64500.00
1990-04-18,3.8750,3.8750,3.6250,3.7500,3.7500,14600.00
1990-04-19,3.7500,3.7500,3.6250,3.6250,3.6250,11400.00
1990-04-20,3.7500,3.7500,3.3750,3.5000,3.5000,16800.00
1990-04-23,3.5000,3.5000,3.3750,3.3750,3.3750,800.00
1990-04-24,3.5000,3.5000,3.3750,3.5000,3.5000,6500.00
1990-04-25,3.3750,3.6250,3.2500,3.6250,3.6250,52800.00
1990-04-26,3.6250,3.6250,3.3750,3.3750,3.3750,37900.00
1990-04-27,3.6250,3.6250,3.3750,3.6250,3.6250,9300.00
1990-04-30,3.6250,3.6250,3.5000,3.5000,3.5000,6300.00
1990-05-01,3.5000,3.6250,3.4380,3.5000,3.5000,15400.00
1990-05-02,3.3750,3.6250,3.2500,3.2500,3.2500,21700.00
1990-05-03,3.2500,3.5000,3.2500,3.2500,3.2500,14500.00
1990-05-04,3.5000,3.5000,3.2500,3.3750,3.3750,12700.00
1990-05-07,3.5000,3.5000,3.5000,3.5000,3.5000,1200.00
1990-05-08,3.2500,3.5000,3.2500,3.2500,3.2500,4200.00
1990-05-09,3.2500,3.5000,3.2500,3.2500,3.2500,4200.00
1990-05-10,3.3750,3.3750,3.1250,3.2500,3.2500,3200.00
1990-05-11,3.3750,3.3750,3.2500,3.3750,3.3750,3500.00
1990-05-14,3.2500,3.3750,3.2500,3.2500,3.2500,10900.00
1990-05-15,3.3750,3.3750,3.2500,3.3750,3.3750,8700.00
1990-05-16,3.5000,3.6250,3.2500,3.3750,3.3750,29400.00
1990-05-17,3.5000,3.5000,3.2500,3.2500,3.2500,6300.00
1990-05-18,3.2500,3.5000,3.2500,3.2500,3.2500,1400.00
1990-05-21,3.3750,3.3750,3.2500,3.3750,3.3750,8500.00
1990-05-22,3.2500,3.3750,3.2500,3.2500,3.2500,12300.00
1990-05-23,3.2500,3.3750,3.2500,3.2500,3.2500,6700.00
1990-05-24,3.2500,3.3750,2.7500,2.7500,2.7500,66200.00
1990-05-25,2.8750,2.8750,2.5000,2.5000,2.5000,66200.00
1990-05-29,2.6250,3.0000,2.6250,3.0000,3.0000,62900.00
1990-05-30,3.0000,3.1250,2.8750,3.0000,3.0000,69200.00
