Date,Open,High,Low,Close,Adjusted_close,Volume
1993-03-22,30.0000,30.5000,28.5000,28.5000,2.2060,1749600.00
1993-03-23,29.0000,30.5000,28.0000,30.5000,2.3608,2000400.00
1993-03-24,30.0000,30.5000,29.0000,29.7500,2.3027,1009200.00
1993-03-25,29.7500,29.7500,28.5000,28.5000,2.2060,1035600.00
1993-03-26,29.0000,29.0000,28.5000,28.5000,2.2060,1326000.00
1993-03-29,29.0000,29.5000,28.0000,28.3800,2.1967,518400.00
1993-03-30,29.0000,29.0000,28.0000,28.5000,2.2060,649200.00
1993-03-31,28.5000,28.5000,27.7500,27.7500,2.1479,1665600.00
1993-04-01,27.7500,28.5000,27.5000,27.7500,2.1479,316800.00
1993-04-02,27.7500,27.7500,25.7500,26.5000,2.0512,1820400.00
1993-04-05,26.7500,27.5000,25.7500,27.0000,2.0899,1450800.00
1993-04-06,28.0000,28.0000,27.0000,27.0000,2.0899,1084800.00
1993-04-07,26.5000,27.2500,26.0000,26.0000,2.0125,1216800.00
1993-04-08,25.7500,26.7500,25.2500,25.5000,1.9738,990000.00
1993-04-12,25.0000,25.5000,24.7500,25.2500,1.9544,1232400.00
1993-04-13,25.0000,25.5000,24.2500,24.5000,1.8964,2005200.00
1993-04-14,25.0000,25.5000,24.5000,25.5000,1.9738,3022800.00
1993-04-15,25.5000,25.5000,24.7500,24.7500,1.9157,412800.00
1993-04-16,24.7500,25.5000,24.7500,24.7500,1.9157,188400.00
1993-04-19,25.2500,25.2500,24.5000,24.5000,1.8964,628800.00
1993-04-20,24.5000,25.0000,24.5000,24.5000,1.8964,214800.00
1993-04-21,25.0000,25.0000,24.0000,24.2500,1.8770,588000.00
1993-04-22,24.7500,25.5000,24.2500,25.5000,1.9738,382800.00
1993-04-23,25.7500,25.7500,24.7500,25.7500,1.9931,118800.00
1993-04-26,25.7500,25.7500,24.7500,24.7500,1.9157,187200.00
1993-04-27,25.2500,27.5000,24.5000,27.5000,2.1286,1040400.00
1993-04-28,27.5000,27.5000,26.7500,27.2500,2.1092,348000.00
1993-04-29,26.7500,26.7500,26.2500,26.7500,2.0705,319200.00
1993-04-30,26.5000,28.2500,26.5000,27.5000,2.1286,1194000.00
1993-05-03,27.5000,29.0000,27.5000,29.0000,2.2447,499200.00
1993-05-04,29.0000,29.0000,28.2500,29.0000,2.2447,242400.00
1993-05-05,28.2500,31.5000,28.2500,30.5000,2.3608,1215600.00
1993-05-06,30.5000,31.0000,29.2500,29.7500,2.3027,598800.00
1993-05-07,29.7500,31.0000,29.7500,30.2500,2.3414,472800.00
1993-05-10,30.2500,31.7500,30.2500,31.0000,2.3995,349200.00
1993-05-11,31.5000,31.5000,30.7500,30.7500,2.3801,391200.00
1993-05-12,30.7500,31.2500,30.7500,30.7500,2.3801,145200.00
1993-05-13,31.2500,31.2500,30.5000,31.0000,2.3995,303600.00
1993-05-14,31.0000,31.2500,30.5000,30.7500,2.3801,204000.00
1993-05-17,31.2500,31.5000,30.7500,31.0000,2.3995,142800.00
1993-05-18,31.5000,31.5000,31.0000,31.0000,2.3995,802800.00
1993-05-19,31.5000,32.2500,31.5000,32.0000,2.4769,1312800.00
1993-05-20,31.7500,32.5000,31.7500,32.5000,2.5156,265200.00
1993-05-21,31.7500,32.2500,31.7500,31.7500,2.4575,223200.00
1993-05-24,32.0000,32.0000,31.7500,31.7500,2.4575,222000.00
1993-05-25,32.0000,32.0000,31.0000,31.5000,2.4382,372000.00
1993-05-26,30.7500,31.0000,30.0000,30.3800,2.3515,844800.00
1993-05-27,30.7500,30.7500,29.7500,29.7500,2.3027,200400.00
1993-05-28,29.7500,30.0000,28.5000,29.0000,2.2447,676800.00
1993-06-01,29.0000,29.0000,28.5000,28.5000,2.2060,94800.00
1993-06-02,28.7500,29.0000,28.5000,29.0000,2.2447,452400.00
1993-06-03,28.7500,29.0000,28.5000,29.0000,2.2447,670800.00
1993-06-04,28.5000,29.2500,28.5000,28.5000,2.2060,874800.00
1993-06-07,28.2500,29.0000,27.0000,28.1300,2.1773,1143600.00
1993-06-08,27.5000,27.8800,26.2500,27.0000,2.0899,1207200.00
1993-06-09,26.2500,27.0000,25.7500,26.2500,2.0318,490800.00
1993-06-10,26.2500,27.5000,26.2500,26.7500,2.0705,586800.00
1993-06-11,27.5000,31.0000,27.3800,30.5000,2.3608,2109600.00
1993-06-14,30.7500,31.5000,30.2500,30.7500,2.3801,949200.00
1993-06-15,31.2500,31.2500,30.2500,30.5000,2.3608,740400.00
1993-06-16,30.2500,30.7500,30.2500,30.7500,2.3801,301200.00
1993-06-17,30.5000,30.7500,30.2500,30.2500,2.3414,73200.00
1993-06-18,30.7500,30.7500,30.2500,30.2500,2.3414,67200.00
1993-06-21,30.7500,32.2500,30.2500,32.2500,2.4962,663600.00
1993-06-22,32.2500,32.2500,31.5000,31.5000,2.4382,64800.00
1993-06-23,31.2500,31.7500,31.2500,31.7500,2.4575,108000.00
1993-06-24,32.0000,33.7500,31.2500,33.5000,2.5930,1266000.00
1993-06-25,33.2500,34.2500,32.7500,32.7500,2.5349,997200.00
1993-06-28,32.7500,33.2500,32.7500,33.0000,2.5543,308400.00
1993-06-29,32.7500,33.0000,31.5000,32.0000,2.4769,265200.00
1993-06-30,31.5000,32.5000,31.5000,32.5000,2.5156,99600.00
1993-07-01,31.7500,32.5000,31.2500,31.2500,2.4188,388800.00
1993-07-02,31.7500,32.0000,31.2500,32.0000,2.4769,289200.00
1993-07-06,31.5000,32.0000,31.5000,31.5000,2.4382,147600.00
1993-07-07,32.0000,32.0000,31.5000,31.5000,2.4382,360000.00
1993-07-08,31.5000,32.2500,31.0000,32.1300,2.4869,915600.00
1993-07-09,32.5000,32.5000,32.0000,32.0000,2.4769,50400.00
1993-07-12,32.5000,32.5000,32.0000,32.0000,2.4769,1050000.00
1993-07-13,32.0000,32.5000,32.0000,32.5000,2.5156,78000.00
1993-07-14,32.5000,32.5000,31.7500,31.8800,2.4676,759600.00
1993-07-15,31.7500,32.5000,31.7500,32.5000,2.5156,990000.00
1993-07-16,31.7500,32.2500,31.5000,32.2500,2.4962,408000.00
1993-07-19,31.5000,32.5000,31.5000,31.7500,2.4575,693600.00
1993-07-20,31.5000,32.0000,31.5000,31.5000,2.4382,162000.00
1993-07-21,31.5000,31.7500,30.0000,30.2500,2.3414,510000.00
1993-07-22,30.5000,30.5000,28.2500,29.1300,2.2547,741600.00
1993-07-23,29.0000,29.7500,29.0000,29.0000,2.2447,322800.00
1993-07-26,29.5000,29.7500,28.7500,29.2500,2.2640,421200.00
1993-07-27,29.7500,29.7500,28.7500,29.2500,2.2640,547200.00
1993-07-28,28.2500,29.2500,28.2500,28.2500,2.1866,274800.00
1993-07-29,28.2500,29.2500,28.2500,28.7500,2.2253,553200.00
1993-07-30,29.2500,29.5000,28.7500,28.7500,2.2253,1676400.00
1993-08-02,29.2500,29.2500,28.7500,29.2500,2.2640,91200.00
1993-08-03,28.7500,29.2500,28.7500,28.7500,2.2253,336000.00
1993-08-04,28.7500,29.2500,28.7500,29.0000,2.2447,37200.00
1993-08-05,29.2500,30.2500,28.7500,30.2500,2.3414,952800.00
1993-08-06,30.2500,30.5000,29.7500,30.2500,2.3414,252000.00
1993-08-09,31.0000,31.2500,30.5000,31.2500,2.4188,330000.00
1993-08-10,31.2500,32.0000,30.5000,32.0000,2.4769,344400.00
1993-08-11,32.0000,32.2500,31.7500,32.2500,2.4962,388800.00
1993-08-12,31.7500,32.2500,31.7500,32.0000,2.4769,162000.00
1993-08-13,32.2500,32.3800,31.7500,32.3800,2.5063,715200.00
1993-08-16,32.5000,32.5000,32.0000,32.0000,2.4769,549600.00
1993-08-17,32.5000,32.5000,32.0000,32.0000,2.4769,625200.00
1993-08-18,32.2500,32.5000,32.0000,32.5000,2.5156,464400.00
1993-08-19,32.3800,32.5000,32.0000,32.0000,2.4769,558000.00
1993-08-20,32.5000,32.5000,32.0000,32.2500,2.4962,320400.00
1993-08-23,32.0000,32.5000,32.0000,32.5000,2.5156,896400.00
1993-08-24,32.0000,32.5000,31.0000,31.1300,2.4095,303600.00
1993-08-25,31.0000,32.0000,31.0000,32.0000,2.4769,268800.00
1993-08-26,32.0000,32.0000,31.2500,31.2500,2.4188,104400.00
1993-08-27,32.0000,32.0000,31.2500,31.5000,2.4382,160800.00
1993-08-30,31.2500,32.0000,31.2500,31.5000,2.4382,37200.00
1993-08-31,31.2500,32.0000,31.2500,31.2500,2.4188,94800.00
1993-09-01,31.2500,32.2500,31.2500,32.2500,2.4962,820800.00
1993-09-02,32.7500,33.5000,31.8800,32.1300,2.4869,3060000.00
1993-09-03,32.2500,32.2500,31.7500,32.0000,2.4769,789600.00
1993-09-07,32.2500,33.0000,31.7500,33.0000,2.5543,1561200.00
1993-09-08,33.0000,33.5000,32.7500,33.5000,2.5930,806400.00
1993-09-09,33.5000,35.2500,33.2500,35.0000,2.7091,1016400.00
1993-09-10,35.5000,36.7500,35.5000,36.5000,2.8252,734400.00
1993-09-13,36.0000,38.0000,36.0000,37.5000,2.9026,2059200.00
1993-09-14,37.7500,37.7500,36.7500,37.7500,2.9220,870000.00
1993-09-15,37.2500,37.7500,37.2500,37.7500,2.9220,996000.00
1993-09-16,37.7500,37.7500,37.2500,37.7500,2.9220,135600.00
1993-09-17,37.2500,38.0000,37.2500,37.6300,2.9127,373200.00
1993-09-20,37.2500,37.7500,35.2500,35.5000,2.7478,988800.00
1993-09-21,36.0000,36.0000,34.0000,34.5000,2.6704,483600.00
1993-09-22,34.5000,34.5000,33.7500,33.7500,2.6123,363600.00
1993-09-23,33.2500,34.0000,32.7500,33.2500,2.5736,554400.00
1993-09-24,33.0000,33.2500,31.2500,31.7500,2.4575,976800.00
1993-09-27,32.0000,32.7500,31.7500,32.3800,2.5063,831600.00
1993-09-28,33.0000,35.0000,32.5000,34.7500,2.6897,1756800.00
1993-09-29,34.7500,36.0000,34.5000,35.5000,2.7478,1201200.00
1993-09-30,35.7500,35.7500,35.0000,35.2500,2.7284,877200.00
1993-10-01,35.7500,35.7500,34.2500,34.5000,2.6704,310800.00
1993-10-04,35.0000,35.0000,34.2500,34.2500,2.6510,225600.00
