Date,Open,High,Low,Close,Adjusted_close,Volume
1991-08-20,5.5000,5.6200,5.5000,5.6200,0.5820,329401.00
1991-08-21,5.5000,5.5000,5.5000,5.5000,0.5695,14997.00
1991-08-22,5.5000,5.6200,5.5000,5.6200,0.5820,71700.00
1991-08-23,5.3800,5.5000,5.2500,5.2500,0.5437,117452.00
1991-08-26,5.2500,5.2500,5.0000,5.1300,0.5312,136497.00
1991-08-27,5.2500,5.2500,5.1300,5.1300,0.5312,38401.00
1991-08-28,5.2500,5.2500,5.1300,5.1300,0.5312,45448.00
1991-08-29,5.3800,5.3800,5.2500,5.2500,0.5437,52799.00
1991-08-30,5.3800,5.3800,5.2500,5.2500,0.5437,7350.00
1991-09-03,5.3800,5.3800,5.3800,5.3800,0.5571,2847.00
1991-09-04,5.2500,5.5000,5.2500,5.5000,0.5695,441598.00
1991-09-05,5.5000,5.6200,5.3800,5.6200,0.5820,18452.00
1991-09-06,5.3800,5.7500,5.3800,5.5000,0.5695,67052.00
1991-09-09,5.6200,5.6200,5.5000,5.6200,0.5820,58950.00
1991-09-10,5.6200,5.7500,5.5000,5.6200,0.5820,91048.00
1991-09-11,5.5000,5.7500,5.5000,5.7500,0.5954,1951.00
1991-09-12,5.5000,5.7500,5.5000,5.7500,0.5954,35250.00
1991-09-13,5.5000,5.6200,5.5000,5.5000,0.5695,39753.00
1991-09-16,5.6200,5.7500,5.5000,5.5000,0.5695,57598.00
1991-09-17,5.5000,5.5000,5.5000,5.5000,0.5695,0.00
1991-09-18,5.5000,5.5000,5.5000,5.5000,0.5695,0.00
1991-09-19,5.5000,5.5000,5.5000,5.5000,0.5695,4951.00
1991-09-20,5.6200,5.6200,5.5000,5.5000,0.5695,138600.00
1991-09-23,5.5000,5.6200,5.5000,5.6200,0.5820,25651.00
1991-09-24,5.6200,5.6200,5.5000,5.5000,0.5695,3303.00
1991-09-25,5.5000,5.6200,5.5000,5.5000,0.5695,566250.00
1991-09-26,5.5000,5.7500,5.5000,5.5000,0.5695,226802.00
1991-09-27,5.7500,5.7500,5.6200,5.7500,0.5954,48599.00
1991-09-30,5.8700,6.0000,5.8700,6.0000,0.6213,124347.00
1991-10-01,6.1300,6.3800,6.0000,6.0000,0.6213,300598.00
1991-10-02,6.2500,6.3800,6.1300,6.3800,0.6607,181050.00
1991-10-03,6.1300,6.3800,6.1300,6.1300,0.6348,10350.00
1991-10-04,6.1300,6.1300,6.1300,6.1300,0.6348,3303.00
1991-10-07,6.3800,6.3800,6.3800,6.3800,0.6607,8102.00
1991-10-08,6.3800,6.3800,6.1300,6.1300,0.6348,607499.00
1991-10-09,6.1300,6.3800,6.1300,6.1300,0.6348,20252.00
1991-10-10,6.3800,6.3800,6.3800,6.3800,0.6607,3303.00
1991-10-11,6.1300,6.1300,6.1300,6.1300,0.6348,10950.00
1991-10-14,6.0000,6.0000,5.8700,5.8700,0.6079,21148.00
1991-10-15,6.1300,6.1300,6.1300,6.1300,0.6348,14101.00
1991-10-16,6.1300,6.1300,6.1300,6.1300,0.6348,10950.00
1991-10-17,6.0000,6.1300,5.8700,6.1300,0.6348,172051.00
1991-10-18,6.0000,6.0000,5.8700,5.8700,0.6079,106198.00
1991-10-21,6.2500,6.3800,6.1300,6.2500,0.6472,127498.00
1991-10-22,6.2500,6.5000,6.2500,6.5000,0.6731,89249.00
1991-10-23,6.5000,6.5000,6.2500,6.2500,0.6472,5999.00
1991-10-24,6.2500,6.5000,6.2500,6.3800,0.6607,166052.00
1991-10-25,6.5000,6.5000,6.3800,6.5000,0.6731,92400.00
1991-10-28,6.2500,6.3800,6.2500,6.3800,0.6607,37801.00
1991-10-29,6.3800,6.5000,6.2500,6.2500,0.6472,60749.00
1991-10-30,6.2500,6.2500,6.2500,6.2500,0.6472,14997.00
1991-10-31,6.3800,6.3800,6.3800,6.3800,0.6607,151.00
1991-11-01,6.3800,6.3800,6.3800,6.3800,0.6607,12301.00
1991-11-04,6.3800,6.3800,6.2500,6.3800,0.6607,8998.00
1991-11-05,6.3800,6.3800,6.1300,6.1300,0.6348,4199.00
1991-11-06,6.3800,6.3800,6.1300,6.1300,0.6348,1951.00
1991-11-07,6.2500,6.2500,6.1300,6.2500,0.6472,21596.00
1991-11-08,6.1300,6.1300,6.0000,6.0000,0.6213,40649.00
1991-11-11,6.2500,6.2500,6.0000,6.0000,0.6213,54599.00
1991-11-12,6.0000,6.2500,6.0000,6.0000,0.6213,30602.00
1991-11-13,6.2500,6.2500,6.0000,6.1300,0.6348,18149.00
1991-11-14,6.0000,6.0000,5.5000,5.8700,0.6079,294447.00
1991-11-15,5.8700,5.8700,5.8700,5.8700,0.6079,69748.00
1991-11-18,5.7500,5.7500,5.5000,5.7500,0.5954,56702.00
1991-11-19,5.5000,6.2500,5.5000,5.7500,0.5954,1043699.00
1991-11-20,5.6200,5.6200,5.6200,5.6200,0.5820,151.00
1991-11-21,5.6200,6.3800,5.6200,6.3800,0.6607,118796.00
1991-11-22,6.0000,6.3800,6.0000,6.2500,0.6472,944547.00
1991-11-25,6.0000,6.2500,6.0000,6.2500,0.6472,826351.00
1991-11-26,6.3800,6.5000,6.0000,6.5000,0.6731,143096.00
1991-11-27,6.0000,6.3800,6.0000,6.3800,0.6607,24299.00
