Date,Open,High,Low,Close,Adjusted_close,Volume
2016-10-20,26.7500,28.0000,24.7400,26.0500,26.0500,6006352.00
2016-10-21,26.0700,26.2490,25.0674,25.7900,25.7900,473623.00
2016-10-24,25.7900,26.9100,25.4800,26.7000,26.7000,244829.00
2016-10-25,26.6100,27.1000,26.4206,26.6800,26.6800,292900.00
2016-10-26,26.4000,26.6000,25.7290,25.7400,25.7400,134759.00
2016-10-27,26.0800,26.0800,23.4600,25.0200,25.0200,316208.00
2016-10-28,25.1800,25.1800,23.4800,24.2500,24.2500,256229.00
2016-10-31,24.4100,25.1000,24.1600,24.9500,24.9500,161742.00
2016-11-01,25.1100,26.5000,24.1900,25.7400,25.7400,127463.00
2016-11-02,25.7400,25.9750,24.7500,24.9000,24.9000,137568.00
2016-11-03,24.8400,25.5400,22.1600,23.3600,23.3600,249929.00
2016-11-04,23.4700,24.5000,22.3300,23.0800,23.0800,187995.00
2016-11-07,23.5900,23.7500,22.8100,23.5200,23.5200,185879.00
2016-11-08,23.5400,23.5550,22.7700,23.3100,23.3100,80389.00
2016-11-09,22.9500,24.2400,22.9500,23.7500,23.7500,159595.00
2016-11-10,24.0000,24.4500,23.6205,23.7000,23.7000,103040.00
2016-11-11,23.4900,24.3000,23.0300,24.2300,24.2300,291420.00
2016-11-14,24.5000,25.4200,23.7600,24.8200,24.8200,178612.00
2016-11-15,25.1900,26.0000,25.0000,25.6800,25.6800,107746.00
2016-11-16,25.8800,26.5000,25.6300,25.9000,25.9000,61489.00
2016-11-17,26.0100,27.4700,25.6500,27.4500,27.4500,85088.00
2016-11-18,27.5100,31.0000,26.9500,30.4900,30.4900,225560.00
2016-11-21,30.8000,31.3000,28.5000,29.9700,29.9700,116244.00
2016-11-22,30.1200,30.4600,29.0100,29.1600,29.1600,135790.00
2016-11-23,29.1000,29.4000,28.7250,29.2100,29.2100,84443.00
2016-11-25,29.3100,29.5000,28.7200,29.3300,29.3300,21427.00
2016-11-28,29.2900,29.8900,28.3000,29.7700,29.7700,82901.00
2016-11-29,29.8400,31.2783,29.2400,30.9400,30.9400,157293.00
2016-11-30,31.1800,31.4500,30.0700,30.5000,30.5000,79589.00
2016-12-01,30.7600,31.6900,29.2150,29.8000,29.8000,75005.00
2016-12-02,29.8500,29.8500,28.7600,28.9800,28.9800,198368.00
2016-12-05,29.2700,29.5000,28.5100,29.1500,29.1500,126855.00
2016-12-06,28.2500,28.5500,27.0000,27.5000,27.5000,411373.00
2016-12-07,27.5300,28.3500,27.4700,27.5600,27.5600,89059.00
2016-12-08,27.4000,27.9100,24.9705,27.0000,27.0000,131895.00
2016-12-09,27.0000,29.4490,26.5500,26.7400,26.7400,128012.00
2016-12-12,26.6300,26.9990,25.5000,26.0000,26.0000,158067.00
2016-12-13,26.0800,26.4979,25.0100,25.7600,25.7600,186814.00
2016-12-14,25.6400,25.9000,24.2500,25.1200,25.1200,263085.00
2016-12-15,25.1300,26.7200,24.3400,26.6300,26.6300,261707.00
2016-12-16,27.0100,28.0700,26.1700,27.6000,27.6000,968325.00
2016-12-19,27.7200,27.9000,26.9900,27.8800,27.8800,75183.00
2016-12-20,27.9650,28.3500,27.5300,27.8500,27.8500,99624.00
2016-12-21,27.3900,27.8850,27.2608,27.5300,27.5300,32587.00
2016-12-22,27.4600,27.8600,26.9500,27.5000,27.5000,68173.00
2016-12-23,27.4300,28.4100,27.1500,28.3200,28.3200,70765.00
2016-12-27,28.9800,29.5500,28.0200,28.4300,28.4300,99466.00
2016-12-28,28.5700,28.8700,27.8800,28.7500,28.7500,173681.00
2016-12-29,28.7100,29.1300,28.5200,28.9600,28.9600,117597.00
2016-12-30,29.2800,30.4000,28.8500,30.0000,30.0000,158615.00
