Date,Open,High,Low,Close,Adjusted_close,Volume
2000-06-16,9.0600,9.2500,9.0000,9.1200,6.0800,173700.00
2000-06-19,9.1200,9.2500,9.0000,9.0000,6.0000,454200.00
2000-06-20,9.0300,9.8100,7.8800,9.3800,6.2533,392400.00
2000-06-21,10.0000,11.1200,9.6200,11.0000,7.3333,780600.00
2000-06-22,11.0600,11.1200,9.5300,9.8800,6.5867,285900.00
2000-06-23,10.1900,10.6200,10.0000,10.3800,6.9200,204900.00
2000-06-26,10.5000,10.6200,9.7500,10.0000,6.6667,152700.00
2000-06-27,10.0000,10.4400,9.0000,9.5000,6.3333,205200.00
2000-06-28,9.6200,9.8800,9.1200,9.6200,6.4133,276000.00
2000-06-29,9.8800,9.8800,9.0000,9.0000,6.0000,278100.00
2000-06-30,9.3100,9.6200,9.1200,9.4400,6.2933,286500.00
2000-07-03,9.7500,9.7500,9.5000,9.6200,6.4133,48000.00
2000-07-05,9.7500,10.0000,9.5000,10.0000,6.6667,207300.00
2000-07-06,10.0000,10.0600,9.4400,9.7500,6.5000,194700.00
2000-07-07,10.0300,11.6200,9.5600,10.2500,6.8333,1190401.00
2000-07-10,11.0600,13.2500,10.4400,12.5600,8.3733,943500.00
2000-07-11,13.5600,14.2500,11.8800,12.7500,8.5000,2005502.00
2000-07-12,13.9700,15.4400,12.6900,15.0000,10.0000,1641901.00
2000-07-13,18.0000,18.1200,16.1200,16.7500,11.1667,1830301.00
2000-07-14,17.6200,17.7500,14.8800,15.5000,10.3333,845700.00
2000-07-17,16.0000,16.1200,15.2500,15.6200,10.4133,276600.00
2000-07-18,15.6900,15.9400,14.3800,14.5000,9.6667,201300.00
2000-07-19,14.3800,14.5000,13.1200,14.0000,9.3333,264300.00
2000-07-20,13.8100,16.6200,13.6200,15.8800,10.5867,394800.00
2000-07-21,15.8800,17.1200,15.6200,17.1200,11.4133,285900.00
2000-07-24,17.0000,17.7500,16.0600,16.7500,11.1667,279300.00
2000-07-25,16.8800,17.2500,15.5000,16.1200,10.7467,144900.00
