Date,Open,High,Low,Close,Adjusted_close,Volume
1990-03-26,2.0000,2.0000,2.0000,2.0000,0.0666,4805.00
1990-03-27,2.0000,2.0000,2.0000,2.0000,0.0666,0.00
1990-03-28,2.0000,2.0000,2.0000,2.0000,0.0666,0.00
1990-03-29,2.0000,2.0000,2.0000,2.0000,0.0666,7595.00
1990-03-30,2.0000,2.1300,2.0000,2.0000,0.0666,108395.00
1990-04-02,2.0000,2.0000,2.0000,2.0000,0.0666,0.00
1990-04-03,2.0000,2.0000,2.0000,2.0000,0.0666,0.00
1990-04-04,2.0000,2.0000,2.0000,2.0000,0.0666,40805.00
1990-04-05,2.0000,2.0000,2.0000,2.0000,0.0666,17207.00
1990-04-06,2.0000,2.0000,2.0000,2.0000,0.0666,0.00
1990-04-09,2.0000,2.0000,2.0000,2.0000,0.0666,2807.00
1990-04-10,2.0000,2.0000,2.0000,2.0000,0.0666,0.00
1990-04-11,2.0000,2.0000,2.0000,2.0000,0.0666,0.00
1990-04-12,2.0000,2.0000,2.0000,2.0000,0.0666,0.00
1990-04-16,2.0000,2.0000,2.0000,2.0000,0.0666,7199.00
1990-04-17,2.0000,2.0000,2.0000,2.0000,0.0666,10007.00
1990-04-18,2.0000,2.1300,2.0000,2.1300,0.0709,170405.00
1990-04-19,2.0000,2.1300,2.0000,2.1300,0.0709,2807.00
1990-04-20,2.1300,2.1300,2.0000,2.0000,0.0666,26405.00
1990-04-23,2.0000,2.0000,2.0000,2.0000,0.0666,0.00
1990-04-24,2.0000,2.1300,2.0000,2.1300,0.0709,29195.00
1990-04-25,2.1300,2.1300,2.1300,2.1300,0.0709,0.00
1990-04-26,2.1300,2.1300,2.1300,2.1300,0.0709,7595.00
1990-04-27,2.1300,2.2500,2.1300,2.2500,0.0749,451205.00
1990-04-30,2.2500,2.2500,2.2500,2.2500,0.0749,98405.00
1990-05-01,2.1300,2.1300,2.1300,2.1300,0.0709,17207.00
1990-05-02,2.1300,2.1300,2.1300,2.1300,0.0709,132407.00
1990-05-03,2.1300,2.1300,2.1300,2.1300,0.0709,43595.00
1990-05-04,2.3700,2.5000,2.3700,2.3700,0.0789,175607.00
1990-05-07,2.3100,2.3100,2.2500,2.2500,0.0749,269207.00
1990-05-08,2.2500,2.2500,2.2500,2.2500,0.0749,0.00
1990-05-09,2.6200,2.6200,2.6200,2.6200,0.0872,17207.00
1990-05-10,2.6200,2.8700,2.5000,2.8700,0.0955,360395.00
1990-05-11,2.7500,2.8700,2.7500,2.8700,0.0955,84005.00
1990-05-14,2.8700,2.8700,2.8700,2.8700,0.0955,0.00
1990-05-15,2.7500,2.7500,2.6200,2.7500,0.0915,223595.00
1990-05-16,2.7500,2.7500,2.7500,2.7500,0.0915,98405.00
1990-05-17,2.7500,3.0000,2.7500,2.7500,0.0915,43595.00
1990-05-18,3.0000,3.0000,2.7500,2.7500,0.0915,38807.00
1990-05-21,2.7500,2.7500,2.7500,2.7500,0.0915,31607.00
1990-05-22,2.7500,3.0000,2.7500,3.0000,0.0998,76805.00
1990-05-23,2.7500,2.7500,2.7500,2.7500,0.0915,7199.00
1990-05-24,2.7500,2.7500,2.7500,2.7500,0.0915,0.00
1990-05-25,2.7500,2.7500,2.7500,2.7500,0.0915,144395.00
1990-05-29,2.7500,2.7500,2.7500,2.7500,0.0915,0.00
1990-05-30,2.6200,2.6200,2.6200,2.6200,0.0872,7199.00
1990-05-31,2.6200,2.6200,2.6200,2.6200,0.0872,0.00
1990-06-01,2.6200,2.7500,2.6200,2.6900,0.0895,348407.00
1990-06-04,2.5000,2.5000,2.3700,2.3700,0.0789,132407.00
1990-06-05,2.3700,2.3700,2.3700,2.3700,0.0789,0.00
1990-06-06,2.7500,3.2500,2.7500,3.0000,0.0998,74807.00
1990-06-07,3.2500,3.5000,3.2500,3.3800,0.1125,660005.00
1990-06-08,3.3800,3.5000,3.3800,3.5000,0.1165,151595.00
1990-06-11,3.5000,3.5000,3.5000,3.5000,0.1165,26405.00
1990-06-12,3.3800,3.3800,3.3800,3.3800,0.1125,57599.00
1990-06-13,3.3800,3.3800,3.3800,3.3800,0.1125,7595.00
1990-06-14,3.5000,3.5000,3.3800,3.3800,0.1125,12005.00
1990-06-15,3.3800,3.3800,3.3800,3.3800,0.1125,173195.00
1990-06-18,3.3800,3.3800,3.3800,3.3800,0.1125,17207.00
1990-06-19,3.3800,3.3800,3.3800,3.3800,0.1125,125207.00
1990-06-20,3.3800,3.3800,3.3800,3.3800,0.1125,17207.00
1990-06-21,3.3800,3.5000,3.3800,3.3800,0.1125,561995.00
1990-06-22,3.3800,3.3800,3.3800,3.3800,0.1125,237995.00
1990-06-25,3.3800,3.5000,3.3800,3.3800,0.1125,528407.00
1990-06-26,3.3800,3.3800,3.3800,3.3800,0.1125,0.00
1990-06-27,3.2500,3.3800,3.2500,3.2500,0.1082,427607.00
1990-06-28,3.1200,3.2500,3.1200,3.2500,0.1082,492407.00
1990-06-29,3.0000,3.0000,2.6200,2.8700,0.0955,215999.00
1990-07-02,2.6200,2.7500,2.5000,2.7500,0.0915,256805.00
1990-07-03,2.7500,2.7500,2.7500,2.7500,0.0915,0.00
1990-07-05,2.1300,2.1300,2.1300,2.1300,0.0709,26405.00
1990-07-06,2.1300,2.1300,2.1300,2.1300,0.0709,0.00
1990-07-09,2.3700,2.3700,2.3700,2.3700,0.0789,35999.00
1990-07-10,2.3700,2.3700,2.3700,2.3700,0.0789,0.00
1990-07-11,2.3700,2.3700,2.3700,2.3700,0.0789,0.00
1990-07-12,2.3700,2.3700,2.3700,2.3700,0.0789,0.00
1990-07-13,2.2500,2.2500,2.2500,2.2500,0.0749,2807.00
1990-07-16,2.2500,2.2500,2.2500,2.2500,0.0749,0.00
1990-07-17,2.2500,2.2500,2.2500,2.2500,0.0749,69605.00
1990-07-18,2.2500,2.2500,2.2500,2.2500,0.0749,57599.00
1990-07-19,2.5000,2.5000,2.5000,2.5000,0.0832,4805.00
1990-07-20,2.5000,2.5000,2.5000,2.5000,0.0832,21995.00
1990-07-23,2.5000,2.5000,2.5000,2.5000,0.0832,0.00
1990-07-24,2.1300,2.2500,2.1300,2.2500,0.0749,57599.00
1990-07-25,2.2500,2.2500,2.2500,2.2500,0.0815,0.00
1990-07-26,2.0000,2.0000,1.8800,1.8800,0.0681,48005.00
1990-07-27,1.8800,2.0000,1.7500,1.7500,0.0634,100799.00
1990-07-30,2.0000,2.0000,1.8800,1.9400,0.0703,197207.00
1990-07-31,2.0000,2.0000,2.0000,2.0000,0.0725,28799.00
1990-08-01,2.0000,2.0000,2.0000,2.0000,0.0725,0.00
1990-08-02,2.0000,2.0000,2.0000,2.0000,0.0725,0.00
1990-08-03,1.7500,1.7500,1.7500,1.7500,0.0634,79199.00
1990-08-06,1.6300,1.6300,1.6300,1.6300,0.0591,43595.00
1990-08-07,1.6300,1.6300,1.6300,1.6300,0.0591,17207.00
1990-08-08,1.6300,1.6300,1.6300,1.6300,0.0591,0.00
1990-08-09,1.6300,1.6300,1.6300,1.6300,0.0591,0.00
1990-08-10,1.6300,1.6300,1.6300,1.6300,0.0591,0.00
1990-08-13,1.6300,1.6300,1.6300,1.6300,0.0591,0.00
1990-08-14,1.6300,1.6300,1.6300,1.6300,0.0591,4805.00
1990-08-15,1.8800,1.8800,1.8800,1.8800,0.0681,24407.00
1990-08-16,1.6300,1.6300,1.6300,1.6300,0.0591,17207.00
1990-08-17,1.6300,1.6300,1.6300,1.6300,0.0591,0.00
1990-08-20,1.6300,1.6300,1.6300,1.6300,0.0591,7595.00
1990-08-21,1.6300,1.6300,1.6300,1.6300,0.0591,0.00
1990-08-22,1.6300,1.6300,1.6300,1.6300,0.0591,0.00
1990-08-23,1.6300,1.6300,1.6300,1.6300,0.0591,0.00
1990-08-24,1.8800,1.8800,1.8800,1.8800,0.0681,395.00
1990-08-27,1.8800,1.8800,1.8800,1.8800,0.0681,0.00
1990-08-28,1.6300,1.6300,1.6300,1.6300,0.0591,10007.00
