Date,Open,High,Low,Close,Adjusted_close,Volume
2004-09-29,22.0500,22.9000,18.6100,21.1500,10.5750,12136600.00
2004-09-30,21.0800,21.2900,20.3400,20.7500,10.3750,2241200.00
2004-10-01,20.6500,27.1000,20.3500,26.3000,13.1500,1518400.00
2004-10-04,26.7100,29.8600,24.3700,26.7000,13.3500,1791400.00
2004-10-05,26.5000,27.0000,25.8100,26.4300,13.2150,473400.00
2004-10-06,26.1500,27.8800,24.6000,27.4200,13.7100,1305200.00
2004-10-07,27.9300,28.0000,25.8500,26.6000,13.3000,476000.00
2004-10-08,26.1800,26.8900,24.4100,24.7710,12.3855,686200.00
2004-10-11,24.4000,25.0500,23.5000,24.9800,12.4900,582800.00
2004-10-12,24.3300,25.9000,23.7900,25.2500,12.6250,473200.00
2004-10-13,25.3000,25.7500,24.0000,24.5000,12.2500,410000.00
2004-10-14,24.5010,24.9700,24.0000,24.0000,12.0000,286600.00
2004-10-15,24.0000,24.9600,24.0000,24.5000,12.2500,210000.00
2004-10-18,24.8700,25.4900,24.0510,25.0500,12.5250,418400.00
2004-10-19,25.3400,29.2800,25.1600,28.7500,14.3750,1715800.00
2004-10-20,29.4000,30.6200,27.3400,28.7700,14.3850,1403800.00
2004-10-21,29.2000,30.3000,27.7000,28.1300,14.0650,491400.00
2004-10-22,28.3500,29.2200,27.6000,28.6400,14.3200,352200.00
2004-10-25,28.7500,32.8890,27.5900,32.2900,16.1450,1136800.00
2004-10-26,32.7900,34.0500,30.7800,32.1500,16.0750,472400.00
2004-10-27,32.9900,33.9000,30.8100,30.9900,15.4950,914400.00
2004-10-28,31.9500,31.9500,26.6500,27.7300,13.8650,1161400.00
2004-10-29,27.9390,28.1400,25.9000,26.9000,13.4500,591400.00
2004-11-01,26.5000,27.9900,26.3000,27.4100,13.7050,404400.00
2004-11-02,27.9900,29.6900,27.4000,28.5110,14.2555,653400.00
2004-11-03,29.6000,29.9700,27.7600,28.2600,14.1300,473800.00
2004-11-04,28.2900,31.5000,28.2600,30.6700,15.3350,429800.00
2004-11-05,33.0900,33.0900,31.2600,32.1100,16.0550,822400.00
2004-11-08,33.3600,35.4000,32.2500,35.4000,17.7000,711400.00
2004-11-09,35.3900,35.4000,33.4300,34.1100,17.0550,421400.00
2004-11-10,33.8100,36.4390,33.8100,35.1000,17.5500,553000.00
2004-11-11,34.5100,35.4800,34.4200,35.2100,17.6050,426200.00
2004-11-12,35.5700,35.5700,34.0000,34.1100,17.0550,101800.00
