Date,Open,High,Low,Close,Adjusted_close,Volume
2016-02-25,25.4500,25.4500,25.0700,25.2400,24.9069,11671.00
2016-02-26,26.6300,26.6300,25.4172,25.4172,25.0818,3511.00
2016-02-29,25.5389,25.6000,25.3500,25.3500,25.0155,2483.00
2016-03-01,25.4200,25.6200,25.4200,25.6155,25.2775,505.00
2016-03-02,25.6500,25.7241,25.6500,25.7241,25.3847,600.00
2016-03-03,25.9799,26.0900,25.8900,26.0900,25.7457,5535.00
2016-03-04,26.2900,26.2900,26.1900,26.2000,25.8543,7188.00
2016-03-07,26.2200,26.2200,26.2200,26.2200,25.8740,283.00
2016-03-08,26.3600,26.3600,25.7500,25.7500,25.4102,4354.00
2016-03-09,25.7380,25.8000,25.6900,25.8000,25.4595,5437.00
2016-03-10,25.5000,25.5000,25.5000,25.5000,25.1635,702.00
2016-03-11,25.8000,26.0400,25.7999,26.0400,25.6964,1188.00
2016-03-14,26.0200,26.0230,26.0099,26.0230,25.6796,500.00
2016-03-15,25.8000,25.8000,25.8000,25.8000,25.4595,2053.00
2016-03-16,25.8000,25.8000,25.8000,25.8000,25.4595,0.00
2016-03-17,25.5299,25.5299,25.5299,25.5299,25.1930,100.00
2016-03-18,26.1499,26.1900,26.1300,26.1900,25.8444,4395.00
2016-03-21,26.1500,26.2102,26.1500,26.2000,25.8543,2072.00
2016-03-22,26.1500,26.2200,26.1201,26.1201,25.7754,2129.00
2016-03-23,25.7800,25.7800,25.7800,25.7800,25.4398,215.00
2016-03-24,25.4299,25.4299,25.4060,25.4060,25.0707,592.00
2016-03-28,25.5600,25.5600,25.5600,25.5600,25.2227,180.00
2016-03-29,26.0199,26.3300,26.0199,26.3300,25.9826,353.00
2016-03-30,26.3300,26.3300,26.3300,26.3300,25.9826,38.00
2016-03-31,26.5099,26.5100,26.4929,26.5000,26.1564,827.00
2016-04-01,26.3600,26.4100,26.3600,26.4100,26.0676,1250.00
2016-04-04,26.4100,26.4100,26.4100,26.4100,26.0676,50.00
2016-04-05,26.4100,26.4100,26.4100,26.4100,26.0676,1.00
2016-04-06,26.3799,26.3799,26.3799,26.3799,26.0379,500.00
2016-04-07,26.1278,26.1662,26.1278,26.1662,25.8269,202.00
2016-04-08,26.4600,26.4600,26.3100,26.3100,25.9689,553.00
2016-04-11,26.0300,26.0300,26.0300,26.0300,25.6925,442.00
2016-04-12,26.0599,26.1399,26.0599,26.1399,25.8010,1692.00
2016-04-13,26.3900,26.8520,26.3900,26.8520,26.5039,1500.00
2016-04-14,26.8405,26.8405,26.8405,26.8405,26.4925,393.00
2016-04-15,26.6885,26.6885,26.6885,26.6885,26.3425,264.00
2016-04-18,26.9000,26.9360,26.9000,26.9360,26.5868,489.00
2016-04-19,26.9360,26.9360,26.9360,26.9360,26.5868,153.00
2016-04-20,27.0499,27.0660,26.9400,27.0660,26.7151,925.00
2016-04-21,27.0100,27.0100,26.9100,26.9420,26.5927,1875.00
2016-04-22,27.1658,27.2400,27.0000,27.1830,26.8306,1557.00
2016-04-25,26.9960,26.9960,26.9910,26.9910,26.6410,488.00
2016-04-26,27.1300,27.2100,27.0090,27.1900,26.8375,5757.00
2016-04-27,27.2000,27.3200,27.1700,27.3200,26.9658,4181.00
2016-04-28,27.3900,27.3900,27.1000,27.1000,26.7486,1739.00
2016-04-29,26.8000,26.8000,26.5000,26.5830,26.2383,2801.00
2016-05-02,26.5800,26.7030,26.5800,26.7030,26.3568,543.00
2016-05-03,26.6300,26.6300,26.3599,26.3901,26.0479,956.00
2016-05-04,26.2500,26.3036,26.0600,26.0600,25.7221,3828.00
2016-05-05,25.9099,25.9106,25.8801,25.8801,25.5446,1338.00
2016-05-06,26.0899,26.0899,25.9483,25.9700,25.6333,805.00
2016-05-09,26.2600,26.2600,26.2600,26.2600,25.9195,205.00
2016-05-10,26.3200,26.4000,26.3200,26.4000,26.0577,634.00
2016-05-11,26.1800,26.1900,26.1600,26.1600,25.8208,4915.00
2016-05-12,26.6700,26.6700,25.8483,25.9081,25.5722,7816.00
2016-05-13,25.9484,25.9900,25.9484,25.9899,25.6529,656.00
2016-05-16,26.0590,26.0590,26.0590,26.0590,25.7211,313.00
2016-05-17,25.9622,26.0200,25.9622,26.0199,25.6825,458.00
2016-05-18,26.0100,26.0100,25.8499,25.8700,25.5346,1154.00
2016-05-19,25.6800,25.6800,25.6299,25.6299,25.2976,596.00
2016-05-20,25.6299,25.6299,25.6299,25.6299,25.2976,183.00
2016-05-23,26.2500,26.2700,26.2199,26.2199,25.8799,3530.00
2016-05-24,26.8500,26.8500,26.7500,26.8499,26.5018,656.00
2016-05-25,27.0978,27.0978,27.0978,27.0978,26.7465,370.00
2016-05-26,26.9300,27.0200,26.8950,26.9390,26.5897,5290.00
2016-05-27,26.9390,26.9390,26.9390,26.9390,26.5897,111.00
2016-05-31,27.2499,27.3400,27.2499,27.3400,26.9855,1249.00
2016-06-01,27.3400,27.3400,27.3400,27.3400,26.9855,75.00
2016-06-02,27.6700,27.8200,27.6358,27.8000,27.4396,4654.00
2016-06-03,27.7500,27.7500,27.7500,27.7500,27.3902,500.00
2016-06-06,28.0500,28.0500,28.0130,28.0250,27.6616,1097.00
2016-06-07,28.0250,28.0250,28.0250,28.0250,27.6616,0.00
2016-06-08,28.2900,28.5000,28.2520,28.3775,28.0096,2841.00
2016-06-09,28.3500,28.3500,28.1160,28.2100,27.8442,4553.00
2016-06-10,28.2100,28.2100,28.2100,28.2100,27.8442,126.00
2016-06-13,28.2100,28.2100,28.2100,28.2100,27.8442,0.00
2016-06-14,27.3700,27.4900,27.3500,27.4900,27.1336,1251.00
2016-06-15,27.7500,27.7500,27.5835,27.6625,27.3038,3400.00
2016-06-16,27.3300,27.3300,27.3300,27.3300,26.9757,1047.00
2016-06-17,27.4600,27.4600,27.3425,27.3425,26.9880,898.00
2016-06-20,27.9399,28.0000,27.9310,27.9310,27.5689,1241.00
2016-06-21,27.5499,27.6700,27.4594,27.6699,27.3111,3996.00
2016-06-22,27.6699,27.6699,27.6699,27.6699,27.3111,36.00
2016-06-23,27.9600,27.9600,27.9600,27.9600,27.5975,283.00
2016-06-24,27.3200,27.3200,27.0415,27.0800,26.7289,2673.00
2016-06-27,26.0880,26.1799,26.0600,26.0600,25.7221,611.00
2016-06-28,26.5399,26.6400,26.4300,26.6400,26.2946,1112.00
2016-06-29,28.2900,28.2900,26.9500,26.9500,26.6006,834.00
2016-06-30,27.5000,27.5000,27.5000,27.5000,27.1585,238.00
2016-07-01,27.7600,27.8300,27.5580,27.6489,27.3055,3699.00
2016-07-05,27.3945,27.3945,27.3945,27.3945,27.0543,133.00
2016-07-06,27.3800,27.5700,27.3800,27.5700,27.2276,457.00
2016-07-07,27.5700,27.5700,27.5700,27.5700,27.2276,0.00
2016-07-08,27.5700,27.5700,27.5700,27.5700,27.2276,90.00
2016-07-11,27.5700,27.5700,27.5700,27.5700,27.2276,54.00
2016-07-12,28.8166,28.8166,28.8166,28.8166,28.4587,254.00
2016-07-13,28.7959,28.7959,28.6001,28.6001,28.2449,820.00
2016-07-14,28.7500,28.7500,28.7500,28.7500,28.3930,525.00
2016-07-15,28.8999,28.8999,28.6914,28.6914,28.3351,1821.00
2016-07-18,28.8100,28.9100,28.8100,28.9100,28.5510,716.00
2016-07-19,29.0900,29.0900,28.4800,28.4800,28.1263,1609.00
2016-07-20,28.6000,28.6000,28.6000,28.6000,28.2448,571.00
2016-07-21,28.9600,28.9700,28.6900,28.7200,28.3633,1431.00
2016-07-22,28.9299,28.9300,28.9299,28.9300,28.5707,334.00
2016-07-25,28.9300,28.9300,28.9300,28.9300,28.5707,138.00
2016-07-26,28.9800,28.9900,28.8200,28.8243,28.4663,2674.00
2016-07-27,28.8240,28.9600,28.8240,28.9599,28.6003,2003.00
2016-07-28,29.0400,29.0400,29.0400,29.0400,28.6794,768.00
2016-07-29,29.0499,29.0499,28.9750,29.0300,28.6695,484.00
2016-08-01,29.1400,29.2600,29.1400,29.2600,28.8966,2318.00
2016-08-02,29.2800,29.2800,28.8500,28.8500,28.4917,1063.00
2016-08-03,28.5720,28.5720,28.5720,28.5720,28.2172,152.00
2016-08-04,29.0500,29.0500,29.0100,29.0100,28.6497,835.00
2016-08-05,29.2800,29.3700,29.2800,29.3700,29.0053,2081.00
2016-08-08,29.3275,29.3275,29.3275,29.3275,28.9633,220.00
2016-08-09,29.3860,29.3860,29.3860,29.3860,29.0211,468.00
2016-08-10,29.3999,29.3999,29.2799,29.2799,28.9163,940.00
2016-08-11,29.4090,29.4090,29.3899,29.3899,29.0249,14746.00
2016-08-12,29.3900,29.3900,29.2700,29.2700,28.9065,755.00
2016-08-15,29.2700,29.2700,29.2700,29.2700,28.9065,34.00
2016-08-16,29.2940,29.3800,29.2940,29.3800,29.0151,964.00
2016-08-17,29.1500,29.1500,29.1500,29.1500,28.7880,922.00
2016-08-18,29.2100,29.3200,29.2100,29.2900,28.9263,2271.00
2016-08-19,29.3200,29.3300,29.3200,29.3300,28.9658,390.00
2016-08-22,29.3200,29.3200,29.3200,29.3200,28.9559,209.00
2016-08-23,29.3200,29.3200,29.3200,29.3200,28.9559,20.00
2016-08-24,29.7200,29.7200,29.5350,29.5399,29.1731,2724.00
2016-08-25,29.5200,29.5200,29.3900,29.3900,29.0250,1577.00
2016-08-26,29.3900,29.3900,29.3900,29.3900,29.0250,0.00
2016-08-29,29.5431,29.5530,29.5350,29.5350,29.1682,500.00
2016-08-30,29.5670,29.5670,29.4247,29.5141,29.1476,1158.00
2016-08-31,29.2971,29.2971,29.2840,29.2840,28.9203,388.00
2016-09-01,29.2840,29.2840,29.2840,29.2840,28.9203,122.00
2016-09-02,29.8100,29.8100,29.5929,29.7200,29.3509,2219.00
2016-09-06,29.6790,29.6800,29.6240,29.6240,29.2561,421.00
2016-09-07,29.7500,29.8500,29.7000,29.8499,29.4792,2182.00
2016-09-08,29.7700,29.7700,29.7400,29.7400,29.3707,709.00
2016-09-09,29.3600,29.3600,29.2800,29.2800,28.9164,467.00
2016-09-12,28.8700,29.2659,28.8700,29.2659,28.9025,655.00
2016-09-13,28.8770,28.9000,28.8770,28.9000,28.5411,373.00
2016-09-14,28.9440,29.0100,28.9440,28.9999,28.6398,1870.00
2016-09-15,29.3100,29.3100,29.3100,29.3100,28.9460,922.00
2016-09-16,28.9200,29.2000,28.9200,29.1999,28.8373,2777.00
2016-09-19,29.3500,29.3500,29.2220,29.2220,28.8591,1094.00
2016-09-20,29.2500,29.2500,29.2150,29.2150,28.8522,1088.00
2016-09-21,29.4800,29.5090,29.1600,29.4850,29.1188,2957.00
2016-09-22,29.7700,29.9300,29.7700,29.9300,29.5583,389.00
2016-09-23,29.9475,29.9475,29.8300,29.8300,29.4596,1055.00
2016-09-26,29.7700,29.7700,29.4900,29.4900,29.1238,316.00
2016-09-27,29.5500,29.5500,29.5070,29.5500,29.1830,1540.00
2016-09-28,29.7700,29.7700,29.4380,29.5800,29.2127,1284.00
2016-09-29,29.5800,29.5800,29.5800,29.5800,29.2127,10.00
2016-09-30,29.5800,29.7020,29.5470,29.6211,29.2533,1367.00
2016-10-03,29.6200,29.6200,29.4605,29.5600,29.1929,4784.00
2016-10-04,29.6200,29.6200,29.4890,29.4900,29.1238,1138.00
2016-10-05,29.8500,29.9899,29.5327,29.5400,29.1732,3197.00
2016-10-06,29.3700,29.5400,29.3700,29.5100,29.1435,1029.00
2016-10-07,29.8100,29.8100,29.8100,29.8100,29.4398,1021.00
2016-10-10,29.8000,29.8000,29.8000,29.8000,29.4299,315.00
2016-10-11,29.4000,29.4000,28.9980,28.9980,28.6379,3032.00
2016-10-12,29.1120,29.1120,29.1120,29.1120,28.7505,334.00
2016-10-13,28.9866,28.9866,28.9866,28.9866,28.6266,229.00
2016-10-14,28.9866,28.9866,28.9866,28.9866,28.6266,49.00
2016-10-17,28.8986,28.8986,28.8986,28.8986,28.5397,103.00
2016-10-18,28.9520,29.0210,28.9520,29.0210,28.6606,774.00
2016-10-19,29.0709,29.0816,29.0709,29.0816,28.7205,549.00
2016-10-20,28.9200,28.9200,28.9200,28.9200,28.5609,165.00
2016-10-21,29.0200,29.0200,28.7490,28.7490,28.3920,725.00
2016-10-24,28.7490,28.7490,28.7490,28.7490,28.3920,36.00
2016-10-25,28.6500,28.6930,28.6500,28.6900,28.3337,595.00
2016-10-26,28.8500,28.8500,28.4400,28.4400,28.0868,2255.00
2016-10-27,28.3000,28.3000,28.1110,28.1700,27.8202,815.00
2016-10-28,28.0880,28.1500,28.0819,28.0819,27.7332,1393.00
2016-10-31,28.0800,28.1420,28.0800,28.1420,27.7925,1100.00
2016-11-01,28.0499,28.0500,28.0000,28.0000,27.6523,713.00
2016-11-02,28.0000,28.0000,28.0000,28.0000,27.6523,35.00
2016-11-03,27.3799,27.3799,27.3799,27.3799,27.0399,226.00
2016-11-04,26.9160,27.4656,26.9160,27.2300,26.8918,3999.00
2016-11-07,27.7340,27.7340,27.7340,27.7340,27.3896,294.00
2016-11-08,27.7200,27.7358,27.7200,27.7358,27.3914,650.00
2016-11-09,28.4599,28.4600,28.4595,28.4595,28.1061,498.00
2016-11-10,28.7910,28.8490,28.7690,28.8490,28.4907,892.00
2016-11-11,28.8132,29.1600,28.8132,29.1164,28.7548,875.00
2016-11-14,29.6200,29.6700,29.4556,29.4907,29.1245,4575.00
2016-11-15,29.4907,29.4907,29.4907,29.4907,29.1245,42.00
2016-11-16,29.5400,29.5600,29.4910,29.5500,29.1830,7528.00
2016-11-17,29.7400,29.7400,29.6660,29.6798,29.3112,3143.00
2016-11-18,29.6900,29.7500,29.6100,29.7500,29.3806,2424.00
2016-11-21,29.9700,29.9700,29.9299,29.9300,29.5583,858.00
2016-11-22,30.0499,30.0900,29.8841,30.0900,29.7163,1387.00
2016-11-23,30.3297,30.3297,30.3297,30.3297,29.9531,250.00
2016-11-25,30.3297,30.3297,30.3297,30.3297,29.9531,0.00
2016-11-28,30.3465,30.3465,30.2177,30.2177,29.8424,1958.00
2016-11-29,30.6100,30.6100,30.2676,30.2900,29.9138,2005.00
2016-11-30,30.0800,30.0800,30.0100,30.0100,29.6373,19356.00
2016-12-01,30.2900,30.2900,30.0000,30.0000,29.6274,4605.00
2016-12-02,29.7899,29.7899,29.7899,29.7899,29.4200,300.00
2016-12-05,30.0800,30.1500,30.0700,30.1500,29.7756,1359.00
2016-12-06,30.2500,30.2500,30.2500,30.2500,29.8743,118.00
2016-12-07,30.8125,30.9200,30.7700,30.8891,30.5055,11070.00
2016-12-08,31.4000,31.4000,30.9100,31.1900,30.8027,3699.00
2016-12-09,31.8500,31.8500,31.1400,31.1400,30.7533,1014.00
2016-12-12,31.1100,31.1100,30.9000,30.9000,30.5163,244.00
2016-12-13,31.6200,31.6200,30.8938,30.9600,30.5755,6032.00
2016-12-14,31.0000,31.0000,30.7200,30.8000,30.4175,1326.00
2016-12-15,31.4400,31.4400,30.8500,30.8500,30.4669,636.00
2016-12-16,31.5000,31.5000,30.8000,30.8000,30.4175,2925.00
2016-12-19,31.1620,31.3400,31.1620,31.3400,30.9508,1000.00
2016-12-20,31.0399,31.0590,31.0300,31.0300,30.6447,1410.00
2016-12-21,31.0400,31.0400,30.9764,30.9764,30.5917,1243.00
2016-12-22,30.7500,30.7500,30.5000,30.7290,30.3474,663.00
2016-12-23,30.7900,30.7900,30.6180,30.6180,30.3747,510.00
2016-12-27,30.6180,30.6180,30.6180,30.6180,30.3747,32.00
2016-12-28,30.6000,30.6000,30.5190,30.5190,30.2765,409.00
2016-12-29,30.6860,30.6860,30.6860,30.6860,30.4422,432.00
2016-12-30,30.5600,30.5700,30.5100,30.5100,30.2676,465.00
2017-01-03,30.6900,30.7500,30.4995,30.5300,30.2874,2667.00
2017-01-04,30.8600,31.1100,30.8600,31.1100,30.8628,624.00
2017-01-05,31.2100,31.2100,30.7871,30.8600,30.6148,911.00
2017-01-06,31.0100,31.0100,30.7700,30.7700,30.5255,3020.00
2017-01-09,31.0000,31.0000,30.7000,30.7000,30.4561,1062.00
2017-01-10,30.8000,30.8400,30.7540,30.8400,30.5950,905.00
2017-01-11,30.8400,30.8400,30.8400,30.8400,30.5950,32.00
2017-01-12,30.8400,30.8900,30.6900,30.7393,30.4951,3608.00
2017-01-13,30.7300,31.0700,30.7300,31.0700,30.8232,698.00
2017-01-17,30.9600,30.9600,30.6100,30.6100,30.3668,705.00
2017-01-18,30.8100,30.8100,30.5000,30.7200,30.4759,6047.00
2017-01-19,30.5000,30.5300,30.4000,30.4000,30.1585,1243.00
2017-01-20,30.6441,30.7320,30.5600,30.7320,30.4878,2759.00
2017-01-23,30.0001,30.4899,30.0001,30.4575,30.2155,1131.00
2017-01-24,30.7950,30.8397,30.7950,30.8397,30.5947,605.00
2017-01-25,31.1600,31.1600,31.1000,31.1000,30.8529,4888.00
2017-01-26,31.0100,31.0100,30.9250,30.9500,30.7041,4115.00
2017-01-27,30.7800,30.8600,30.7800,30.8304,30.5855,1212.00
2017-01-30,30.3185,30.5100,30.2300,30.5000,30.2577,2666.00
2017-01-31,30.4500,30.5488,30.4500,30.5377,30.2951,1989.00
2017-02-01,30.5604,30.5604,30.3867,30.3867,30.1453,319.00
2017-02-02,30.4307,30.4307,30.2604,30.2604,30.0200,1028.00
2017-02-03,30.5100,30.6200,30.5100,30.6200,30.3767,1735.00
2017-02-06,30.6200,30.6200,30.4683,30.4700,30.2279,5186.00
2017-02-07,30.4646,30.4646,30.3500,30.3600,30.1188,1448.00
2017-02-08,30.4900,30.4900,30.4900,30.4900,30.2478,229.00
2017-02-09,30.4900,30.4900,30.4900,30.4900,30.2478,11.00
2017-02-10,31.1800,31.1800,30.8100,30.9200,30.6743,1461.00
2017-02-13,30.9899,30.9899,30.9250,30.9700,30.7239,1932.00
2017-02-14,30.9700,30.9700,30.9700,30.9700,30.7239,67.00
2017-02-15,30.9500,31.2600,30.9500,31.2600,31.0116,246.00
2017-02-16,31.1980,31.1980,30.9400,31.0352,30.7886,963.00
2017-02-17,31.0352,31.0352,31.0352,31.0352,30.7886,24.00
2017-02-21,31.2718,31.3100,31.2718,31.2900,31.0414,1390.00
2017-02-22,31.2499,31.2499,31.1367,31.1367,30.8893,1537.00
2017-02-23,31.1289,31.1400,31.1276,31.1276,30.8803,1284.00
2017-02-24,31.0450,31.0450,31.0450,31.0450,30.7984,1100.00
2017-02-27,31.0450,31.0450,31.0450,31.0450,30.7984,104.00
2017-02-28,31.0300,31.0425,31.0200,31.0425,30.7959,1274.00
2017-03-01,31.2300,31.3426,31.1950,31.3426,31.0936,922.00
2017-03-02,31.2396,31.2396,31.2396,31.2396,30.9914,352.00
2017-03-03,31.4100,31.4100,31.0450,31.2200,30.9720,5686.00
2017-03-06,31.2300,31.2300,30.9226,30.9226,30.6769,912.00
2017-03-07,30.9300,30.9300,30.8085,30.8085,30.5637,1329.00
2017-03-08,30.7600,30.7600,30.7600,30.7600,30.5156,670.00
2017-03-09,30.7636,30.7636,30.5800,30.5800,30.3370,1075.00
2017-03-10,30.7800,30.7800,30.7799,30.7799,30.5354,569.00
2017-03-13,30.8399,30.8399,30.8300,30.8300,30.5851,757.00
2017-03-14,30.5900,30.5940,30.5900,30.5940,30.3509,821.00
2017-03-15,30.9700,31.0900,30.7600,31.0475,30.8008,1107.00
2017-03-16,31.0475,31.0475,31.0475,31.0475,30.8008,4.00
2017-03-17,30.9501,31.0850,30.9501,31.0850,30.8380,1029.00
2017-03-20,31.2900,31.2900,30.9376,31.0000,30.7537,2075.00
2017-03-21,30.7820,30.8180,30.3900,30.4620,30.2200,1591.00
2017-03-22,30.4600,30.4600,30.1600,30.3400,30.0990,1877.00
2017-03-23,30.4700,30.4720,30.4487,30.4487,30.2068,882.00
2017-03-24,30.4487,30.4487,30.4487,30.4487,30.2068,164.00
2017-03-27,30.4487,30.4487,30.4487,30.4487,30.2068,111.00
2017-03-28,30.6500,30.7550,30.6500,30.7550,30.5107,435.00
2017-03-29,30.8090,30.9300,30.8090,30.9300,30.6843,460.00
2017-03-30,31.0420,31.1300,31.0420,31.1300,30.8827,1967.00
2017-03-31,31.2500,31.2500,31.2000,31.2400,31.0183,1253.00
2017-04-03,31.2750,31.2750,30.8400,30.8400,30.6212,392.00
2017-04-04,30.6700,30.6700,30.6475,30.6475,30.4300,396.00
2017-04-05,31.0100,31.0100,30.5100,30.5100,30.2935,931.00
2017-04-06,30.5900,30.6600,30.5900,30.6094,30.3922,1815.00
2017-04-07,30.8041,30.8041,30.6906,30.6906,30.4728,360.00
2017-04-10,30.9844,30.9844,30.9844,30.9844,30.7646,101.00
2017-04-11,30.9844,30.9844,30.9844,30.9844,30.7646,4.00
2017-04-12,30.7500,30.7500,30.7500,30.7500,30.5318,386.00
2017-04-13,30.7500,30.7500,30.7500,30.7500,30.5318,75.00
2017-04-17,30.6200,30.6200,30.6200,30.6200,30.4027,173.00
2017-04-18,30.7099,30.7099,30.6475,30.6475,30.4300,499.00
2017-04-19,31.1600,31.1900,31.1600,31.1900,30.9687,837.00
2017-04-20,31.3500,31.5500,31.3200,31.5500,31.3261,956.00
2017-04-21,31.5500,31.5500,31.5500,31.5500,31.3261,77.00
2017-04-24,31.7600,31.7600,31.7600,31.7600,31.5347,136.00
