Date,Open,High,Low,Close,Adjusted_close,Volume
2016-07-28,18.0000,18.7900,18.0000,18.3500,18.1018,4916459.00
2016-07-29,18.4600,19.0000,18.2500,18.2700,18.0229,531007.00
2016-08-01,18.2600,18.4700,18.0001,18.4100,18.1610,333583.00
2016-08-02,18.2300,18.7200,18.2300,18.6000,18.3485,87868.00
2016-08-03,18.3600,18.7000,18.2300,18.2500,18.0032,125811.00
2016-08-04,18.2500,18.3800,18.1700,18.3400,18.0920,81366.00
2016-08-05,18.3000,18.8300,18.2802,18.8100,18.5556,50967.00
2016-08-08,18.9600,19.4500,18.4258,19.3900,19.1278,101021.00
2016-08-09,19.3500,19.7000,19.2800,19.6100,19.3448,169553.00
2016-08-10,19.7000,20.0000,19.3701,19.5900,19.3251,246642.00
2016-08-11,19.5850,19.7300,19.2600,19.6500,19.3843,131111.00
2016-08-12,19.5100,19.9299,19.2850,19.4100,19.1475,33764.00
2016-08-15,19.8700,20.8928,19.6380,19.8200,19.5520,116254.00
2016-08-16,19.9900,19.9900,19.0200,19.4500,19.1870,41708.00
2016-08-17,19.5600,19.9700,19.2600,19.6100,19.3448,36235.00
2016-08-18,19.8100,19.8639,19.6000,19.7200,19.4533,23054.00
2016-08-19,19.6100,19.9500,19.3400,19.9400,19.6703,26641.00
2016-08-22,20.0000,21.3000,19.3000,20.7100,20.4299,166791.00
2016-08-23,20.8400,20.8584,20.2000,20.4400,20.1636,30409.00
2016-08-24,20.7000,20.7000,19.6000,20.0000,19.7295,78167.00
2016-08-25,20.0900,20.6400,19.7500,20.0000,19.7295,41768.00
2016-08-26,20.0000,20.5500,19.9204,20.4600,20.1833,72196.00
2016-08-29,20.1110,20.6699,19.0200,20.4300,20.1537,53587.00
2016-08-30,20.4500,20.8200,20.3500,20.5200,20.2425,85537.00
2016-08-31,20.4800,21.0000,20.0100,20.8000,20.5187,50612.00
2016-09-01,20.4500,20.7400,20.4500,20.5300,20.2524,10814.00
2016-09-02,20.7200,20.7200,20.2900,20.3908,20.1150,51655.00
2016-09-06,20.6500,20.9000,19.7000,20.8100,20.5286,71692.00
2016-09-07,20.6500,21.1700,20.4800,21.1500,20.8640,68506.00
2016-09-08,21.2000,21.7900,21.2000,21.3200,21.0317,91012.00
2016-09-09,21.1600,21.4999,20.2700,21.0000,20.7160,72705.00
