Date,Open,High,Low,Close,Adjusted_close,Volume
2016-07-12,15.2800,15.2800,15.2800,15.2800,14.9553,1000.00
2016-07-13,15.2900,15.2900,15.2768,15.2768,14.9521,1421.00
2016-07-14,15.3700,15.3700,15.3698,15.3698,15.0432,2015.00
2016-07-15,15.3400,15.3400,15.2500,15.2501,14.9260,1986785.00
2016-07-18,15.3054,15.3054,15.3054,15.3054,14.9801,311.00
2016-07-19,15.2720,15.2720,15.2720,15.2720,14.9474,959.00
2016-07-20,15.3280,15.3783,15.3280,15.3500,15.0238,1982.00
2016-07-21,15.4100,15.4100,15.3006,15.3006,14.9754,1507.00
2016-07-22,15.2996,15.3800,15.2996,15.3800,15.0531,2881.00
2016-07-25,15.3499,15.3499,15.3472,15.3472,15.0210,529.00
2016-07-26,15.4095,15.4300,15.4095,15.4108,15.0833,3246.00
2016-07-27,15.4400,15.4500,15.3480,15.4300,15.1021,2091.00
2016-07-28,15.3800,15.3800,15.3543,15.3543,15.0280,1303.00
2016-07-29,15.4140,15.4499,15.4140,15.4446,15.1164,3983.00
2016-08-01,15.4000,15.4600,15.3100,15.4000,15.0727,7575.00
2016-08-02,15.3201,15.3201,15.2135,15.2135,14.8902,7020.00
2016-08-03,15.2210,15.2945,15.2210,15.2945,14.9695,739.00
2016-08-04,15.3425,15.3425,15.3425,15.3425,15.0164,2835.00
2016-08-05,15.4699,15.4699,15.4699,15.4699,15.1411,280.00
2016-08-08,15.4938,15.5000,15.4938,15.5000,15.1706,566.00
2016-08-09,15.5399,15.5399,15.4999,15.4999,15.1705,698.00
2016-08-10,15.4700,15.4700,15.4264,15.4264,15.0986,1170.00
2016-08-11,15.5699,15.6000,15.5190,15.5846,15.2534,9277.00
2016-08-12,15.5270,15.5787,15.5270,15.5787,15.2476,6539.00
2016-08-15,15.6800,15.6900,15.6354,15.6700,15.3370,3151.00
2016-08-16,15.6000,15.6099,15.5800,15.5800,15.2489,898.00
2016-08-17,15.5300,15.5600,15.5000,15.5600,15.2293,8606.00
2016-08-18,15.5900,15.6200,15.5836,15.6200,15.2880,4189.00
2016-08-19,15.6341,15.6500,15.6341,15.6500,15.3174,1925.00
2016-08-22,15.6500,15.6500,15.6500,15.6500,15.3174,60.00
2016-08-23,15.6870,15.6870,15.6870,15.6870,15.3536,701.00
2016-08-24,15.7600,15.7600,15.5854,15.5854,15.2542,3269.00
2016-08-25,15.5970,15.5970,15.5970,15.5970,15.2655,199.00
2016-08-26,15.6636,15.7093,15.5736,15.5736,15.2426,537.00
2016-08-29,15.7117,15.7117,15.6842,15.6870,15.3536,857.00
2016-08-30,15.6599,15.6599,15.6599,15.6599,15.3271,377.00
2016-08-31,15.6000,15.6000,15.5462,15.5940,15.2626,3651.00
2016-09-01,15.5432,15.5432,15.5432,15.5432,15.2129,428.00
2016-09-02,15.6800,15.6800,15.6196,15.6196,15.2877,1871.00
2016-09-06,15.6500,15.6500,15.6499,15.6499,15.3173,737.00
2016-09-07,15.6500,15.6500,15.6500,15.6500,15.3174,408.00
2016-09-08,15.6136,15.6400,15.6001,15.6400,15.3076,1504.00
2016-09-09,15.5000,15.5000,15.2795,15.2795,14.9548,1770.00
2016-09-12,15.2699,15.4600,15.2699,15.4462,15.1179,2285.00
2016-09-13,15.3600,15.3600,15.1800,15.1900,14.8672,2162.00
2016-09-14,15.2400,15.2400,15.1606,15.1700,14.8476,5073.00
2016-09-15,15.2400,15.3300,15.2400,15.3236,14.9979,1022.00
2016-09-16,15.2300,15.2600,15.2227,15.2599,14.9356,1751.00
2016-09-19,15.3199,15.3200,15.3199,15.3200,14.9944,1941.00
2016-09-20,15.3300,15.3300,15.3000,15.3100,14.9846,948.00
2016-09-21,15.3626,15.3964,15.3099,15.3964,15.0692,1501.00
2016-09-22,15.5264,15.5402,15.5264,15.5402,15.2099,1114.00
2016-09-23,15.5299,15.5299,15.5299,15.5299,15.1999,489.00
2016-09-26,15.4000,15.4300,15.3518,15.3900,15.0629,1833.00
2016-09-27,15.4599,15.4599,15.4599,15.4599,15.1313,482.00
2016-09-28,15.4887,15.4900,15.4887,15.4900,15.1608,1337.00
2016-09-29,15.5500,15.5500,15.4800,15.4800,15.1510,656.00
2016-09-30,15.4899,15.5800,15.4852,15.5800,15.2489,742.00
2016-10-03,15.5800,15.5800,15.5099,15.5099,15.1803,867.00
2016-10-04,15.5200,15.5200,15.4600,15.4600,15.1314,531.00
2016-10-05,15.5000,15.5700,15.5000,15.5700,15.2391,613.00
2016-10-06,15.4452,15.4452,15.4452,15.4452,15.1170,296.00
2016-10-07,15.4899,15.4899,15.4565,15.4565,15.1280,334.00
2016-10-10,15.5270,15.5270,15.5270,15.5270,15.1970,460.00
2016-10-11,15.5000,15.5000,15.2133,15.2133,14.8900,3779.00
2016-10-12,15.2499,15.3200,15.2499,15.3200,14.9944,2174.00
2016-10-13,15.1036,15.2796,15.1036,15.2796,14.9549,2410.00
2016-10-14,15.3200,15.3200,15.2500,15.2600,14.9357,1471.00
2016-10-17,15.1800,15.1800,15.1800,15.1800,14.8574,621.00
2016-10-18,15.2400,15.2700,15.2400,15.2500,14.9259,2223.00
2016-10-19,15.3200,15.3300,15.2990,15.3300,15.0042,5227.00
2016-10-20,15.3000,15.3000,15.2200,15.2700,14.9455,1850.00
2016-10-21,15.2000,15.3100,15.1900,15.2800,14.9553,1814.00
2016-10-24,16.0400,16.0400,15.2800,15.3100,14.9846,10663.00
2016-10-25,15.3100,15.3100,15.3100,15.3100,14.9846,1.00
2016-10-26,15.1699,15.2400,15.1523,15.1523,14.8303,2483.00
2016-10-27,15.1399,15.1600,15.1200,15.1200,14.7987,3380.00
2016-10-28,15.1906,15.2500,15.1900,15.2400,14.9161,889.00
2016-10-31,15.2100,15.2100,15.2099,15.2099,14.8867,380.00
2016-11-01,15.0500,15.0500,15.0419,15.0419,14.7222,3473.00
2016-11-02,15.0300,15.0300,14.9898,14.9898,14.6712,1215.00
2016-11-03,14.9002,14.9200,14.8800,14.8800,14.5638,1525.00
2016-11-04,14.9500,14.9501,14.9500,14.9501,14.6324,409.00
2016-11-07,15.1448,15.1758,15.1401,15.1401,14.8183,2129.00
2016-11-08,15.1664,15.2672,15.1664,15.2672,14.9427,1111.00
2016-11-09,15.2499,15.4700,15.1501,15.4400,15.1119,4506.00
2016-11-10,15.4900,15.4900,15.4500,15.4500,15.1217,2006.00
2016-11-11,15.4220,15.5200,15.4220,15.5200,15.1902,831.00
2016-11-14,15.5899,15.5900,15.5557,15.5900,15.2587,1337.00
2016-11-15,15.5398,15.6258,15.5398,15.6258,15.2937,3917.00
2016-11-16,15.6258,15.6258,15.6258,15.6258,15.2937,245.00
2016-11-17,15.6700,15.7000,15.6601,15.7000,15.3663,5878.00
2016-11-18,15.6500,15.6900,15.6500,15.6900,15.3566,1595.00
2016-11-21,15.7649,15.7900,15.7602,15.7900,15.4544,2219.00
2016-11-22,15.7763,15.8221,15.7763,15.8221,15.4859,1202.00
2016-11-23,15.8569,15.8569,15.8331,15.8362,15.4997,523.00
2016-11-25,15.9300,15.9300,15.9300,15.9300,15.5915,744.00
2016-11-28,15.8800,15.8900,15.8636,15.8700,15.5327,2761.00
2016-11-29,15.8700,15.8900,15.8700,15.8800,15.5425,1161.00
2016-11-30,15.8400,15.8826,15.8356,15.8356,15.4991,735.00
2016-12-01,15.7800,15.7800,15.7464,15.7464,15.4118,681.00
2016-12-02,15.8499,15.8499,15.7610,15.8200,15.4838,5486.00
2016-12-05,15.9257,15.9257,15.8801,15.8801,15.5426,1815.00
2016-12-06,15.8841,15.9400,15.8841,15.9201,15.5818,2727.00
2016-12-07,16.0099,16.2100,16.0099,16.1601,15.8167,7100.00
2016-12-08,16.1400,16.1400,16.1400,16.1400,15.7970,631.00
2016-12-09,16.3500,16.3500,16.3030,16.3500,16.0025,5856.00
2016-12-12,16.3600,16.3600,16.3000,16.3100,15.9634,20508.00
2016-12-13,16.4100,16.4402,16.3600,16.3898,16.0415,14249.00
2016-12-14,16.3551,16.3600,16.2100,16.2300,15.8851,1430.00
2016-12-15,16.3500,16.3500,16.2717,16.2858,15.9397,3463.00
2016-12-16,16.2616,16.2700,16.2200,16.2200,15.8753,3816.00
2016-12-19,16.2699,16.2800,16.2300,16.2680,15.9223,4583.00
2016-12-20,16.3300,16.3500,16.2900,16.2900,15.9438,1702.00
2016-12-21,16.3160,16.3160,16.3097,16.3097,15.9631,272.00
