Date,Open,High,Low,Close,Adjusted_close,Volume
2008-11-20,10.0000,12.3900,9.4900,11.8500,11.8500,4610300.00
2008-11-21,12.0000,13.0000,11.7500,12.3500,12.3500,880500.00
2008-11-24,12.6200,14.2200,12.1500,13.1500,13.1500,416300.00
2008-11-25,12.9300,14.0000,12.7600,13.9500,13.9500,489400.00
2008-11-26,14.0000,16.0600,13.4400,16.0000,16.0000,438900.00
2008-11-28,16.0700,16.0700,14.2500,14.8400,14.8400,98300.00
2008-12-01,14.3600,15.2900,14.2410,14.6900,14.6900,231700.00
2008-12-02,15.2400,16.7800,14.7500,15.6100,15.6100,248100.00
2008-12-03,15.5300,17.2600,15.5000,15.8000,15.8000,349400.00
2008-12-04,15.5000,16.3600,15.5000,15.9900,15.9900,65200.00
2008-12-05,15.9900,16.2400,14.7500,15.9500,15.9500,134100.00
2008-12-08,16.4100,16.6600,15.5000,15.6800,15.6800,156200.00
2008-12-09,15.5000,15.8306,15.0000,15.0600,15.0600,88500.00
2008-12-10,15.0800,16.0700,15.0800,15.7100,15.7100,103900.00
2008-12-11,15.6500,15.9200,14.5700,14.6700,14.6700,97800.00
2008-12-12,14.3500,14.7400,13.5200,14.5800,14.5800,191800.00
2008-12-15,14.6300,15.1700,13.5250,13.9000,13.9000,250700.00
2008-12-16,13.9300,14.8000,13.8000,14.7600,14.7600,109800.00
2008-12-17,14.4600,16.5000,14.4600,16.2500,16.2500,164500.00
2008-12-18,16.4300,17.4900,16.2900,17.3500,17.3500,227000.00
2008-12-19,16.9900,17.7200,16.4100,16.7400,16.7400,1108400.00
2008-12-22,16.7900,17.6800,16.1500,17.5500,17.5500,229000.00
2008-12-23,17.6400,17.7300,17.2400,17.3600,17.3600,270500.00
2008-12-24,17.4000,17.4000,17.0000,17.2900,17.2900,84100.00
2008-12-26,17.4000,17.4499,17.0100,17.1700,17.1700,60600.00
2008-12-29,17.1000,18.0000,17.1000,18.0000,18.0000,81400.00
2008-12-30,18.2700,19.1200,17.7600,18.3700,18.3700,176000.00
2008-12-31,18.5900,19.0600,18.4000,18.7800,18.7800,131900.00
2009-01-02,18.9000,19.2400,18.5500,18.9800,18.9800,134800.00
2009-01-05,18.9800,19.5000,18.5300,18.6100,18.6100,157300.00
2009-01-06,18.6700,18.9300,17.7600,18.0100,18.0100,120300.00
2009-01-07,17.8100,17.8100,16.8400,17.0000,17.0000,254100.00
2009-01-08,17.0000,17.6050,16.5900,17.0000,17.0000,104300.00
2009-01-09,18.0000,18.8900,17.3400,17.9200,17.9200,538300.00
2009-01-12,18.0000,18.8000,17.4400,18.7800,18.7800,167100.00
2009-01-13,18.8300,19.3900,18.2100,18.5000,18.5000,123100.00
2009-01-14,18.3300,18.8800,18.2100,18.5500,18.5500,104900.00
2009-01-15,18.5400,20.0900,18.3300,20.0300,20.0300,401900.00
2009-01-16,20.3900,20.8000,19.1000,20.1900,20.1900,227400.00
2009-01-20,20.5900,20.5900,18.8100,18.9300,18.9300,130100.00
