Date,Open,High,Low,Close,Adjusted_close,Volume
2010-11-18,33.0500,33.8400,32.0300,32.1500,26.2754,10095400.00
2010-11-19,31.8000,32.8400,31.7500,32.6000,26.6432,753400.00
2010-11-22,32.4400,32.4900,32.0400,32.2000,26.3163,379400.00
2010-11-23,32.0100,33.0000,31.5000,32.7600,26.7739,288400.00
2010-11-24,32.9000,33.0100,32.2650,32.9400,26.9210,66300.00
2010-11-26,32.1300,32.9400,32.1200,32.9000,26.8884,123600.00
2010-11-29,33.1300,33.6200,32.8600,33.5600,27.4278,336200.00
2010-11-30,33.3750,34.2800,33.1800,33.9000,27.7056,662900.00
2010-12-01,33.5400,35.4450,33.3500,35.0100,28.6128,359800.00
2010-12-02,34.7200,35.1200,34.2200,34.7000,28.3595,241900.00
2010-12-03,34.3800,35.0300,34.3740,34.7100,28.3676,140600.00
2010-12-06,34.5000,35.7400,34.5000,35.3800,28.9152,556300.00
2010-12-07,35.0400,36.8200,35.0300,35.7400,29.2094,324900.00
2010-12-08,35.9500,36.0000,35.5839,35.7300,29.2012,151400.00
2010-12-09,36.1500,36.1500,35.0700,35.7900,29.2503,150400.00
2010-12-10,34.8900,35.7900,34.6000,34.8500,28.4820,290200.00
2010-12-13,35.5000,35.5000,33.5600,33.7700,27.5994,407800.00
2010-12-14,33.7000,34.4800,32.4400,33.6500,27.5013,334000.00
2010-12-15,33.7400,33.8000,32.7900,33.3100,27.2234,229000.00
2010-12-16,33.8200,34.0000,33.0300,33.3700,27.2725,183900.00
2010-12-17,33.6900,34.6100,33.2682,33.2700,27.1908,1422700.00
2010-12-20,33.2200,33.7800,32.7000,33.7100,27.5504,201100.00
2010-12-21,33.7100,34.3100,33.4100,34.0800,27.8527,164300.00
2010-12-22,34.1900,34.6600,33.8800,34.6100,28.2859,178200.00
2010-12-23,34.5800,35.3400,33.8700,34.8500,28.4820,50100.00
2010-12-27,34.7700,35.0700,34.1000,35.0000,28.6046,56800.00
2010-12-28,35.4700,35.8800,35.4700,35.6800,29.1604,213800.00
2010-12-29,35.7500,36.3500,35.3700,36.2000,29.5854,119200.00
2010-12-30,36.4100,36.6700,36.1600,36.3000,29.6671,102500.00
2010-12-31,36.3000,37.2200,35.1900,36.3700,29.7243,81000.00
2011-01-03,36.2500,36.2500,34.4200,34.9650,28.5760,266500.00
2011-01-04,34.9900,34.9900,33.5000,33.6700,27.5177,146200.00
2011-01-05,33.6800,34.3800,33.0000,34.1200,27.8854,437300.00
2011-01-06,33.9500,34.3700,33.1700,34.1900,27.9426,388100.00
2011-01-07,34.1900,34.2400,33.7900,33.9600,27.7547,210900.00
2011-01-10,33.8800,34.0399,33.1300,33.7500,27.5830,103200.00
2011-01-11,34.0040,34.5100,33.7300,34.2400,27.9835,117000.00
2011-01-12,34.5300,34.5300,33.5000,34.1800,27.9345,355200.00
2011-01-13,34.0800,34.1500,33.5800,33.6500,27.5013,268600.00
2011-01-14,33.5300,34.0100,33.0000,33.3600,27.2643,503100.00
2011-01-18,33.2400,33.7100,33.2400,33.5700,27.4359,219800.00
2011-01-19,33.4400,34.1700,33.4400,34.0100,27.7955,184600.00
2011-01-20,34.0300,34.3000,33.6800,34.0100,27.7955,113400.00
2011-01-21,34.3100,34.4000,33.6600,34.2000,27.9508,161400.00
2011-01-24,34.2600,35.0350,33.7600,34.0000,27.7874,236900.00
2011-01-25,33.9400,33.9400,32.1400,32.6600,26.6922,627100.00
2011-01-26,32.7600,33.4000,32.4900,32.6900,26.7167,109400.00
2011-01-27,32.7300,33.5100,32.3300,33.0500,27.0109,76600.00
2011-01-28,33.1100,33.4400,32.6900,33.0800,27.0355,181500.00
2011-01-31,33.1900,34.4500,33.1900,34.2600,27.9999,135900.00
2011-02-01,34.4800,34.7500,34.0100,34.5200,28.2123,220900.00
2011-02-02,34.4000,34.6100,34.0600,34.1600,27.9181,203000.00
2011-02-03,34.2000,34.3000,33.3710,34.0200,27.8037,141700.00
2011-02-04,34.0000,34.2400,33.6200,33.9000,27.7056,162500.00
2011-02-07,34.0500,34.0500,33.6022,33.7500,27.5830,132300.00
2011-02-08,34.4300,34.4900,33.5700,33.8400,27.6566,221100.00
2011-02-09,33.8400,33.9300,32.9500,33.0000,26.9701,218900.00
2011-02-10,32.9900,33.3900,32.2100,33.0600,27.0191,269800.00
2011-02-11,33.1700,33.4900,32.3100,32.9500,26.9292,221600.00
2011-02-14,33.0100,33.2200,32.4300,33.0500,27.0109,180600.00
2011-02-15,33.0000,33.3500,32.7600,32.9800,26.9537,90500.00
2011-02-16,33.0800,33.9800,32.7100,33.0500,27.0109,588200.00
2011-02-17,33.0800,33.1492,32.7500,32.8400,26.8393,73600.00
2011-02-18,32.8600,33.2200,32.5500,32.9100,26.8965,151200.00
2011-02-22,32.6900,32.9800,32.0600,32.2900,26.3898,209500.00
2011-02-23,32.9100,32.9100,31.7100,32.1500,26.2754,93200.00
2011-02-24,32.1800,32.7000,32.1100,32.4700,26.5369,242700.00
2011-02-25,32.6600,32.8800,32.3502,32.7800,26.7903,159100.00
2011-02-28,32.8900,33.7050,32.6700,33.6100,27.4686,146500.00
2011-03-01,33.7100,33.9800,33.1000,33.7400,27.5749,129800.00
2011-03-02,33.7800,33.8900,32.2400,32.5900,26.6350,186300.00
2011-03-03,32.8600,32.8600,32.1400,32.3300,26.4225,115500.00
2011-03-04,32.2400,32.3700,32.0450,32.3300,26.4225,145700.00
2011-03-07,32.4900,32.4900,32.2300,32.3500,26.4389,95100.00
2011-03-08,32.5100,32.8900,32.2900,32.7700,26.7821,272600.00
2011-03-09,32.6845,33.4000,32.6800,33.3300,27.2398,206400.00
2011-03-10,33.0800,33.1800,32.7400,33.0400,27.0028,181600.00
2011-03-11,33.2500,33.3600,32.8600,33.3000,27.2153,108400.00
2011-03-14,33.1800,33.5700,32.8700,33.4600,27.3460,95800.00
2011-03-15,33.0400,33.4500,32.8400,33.3500,27.2561,143600.00
2011-03-16,33.1900,33.5900,32.9940,33.0700,27.0273,405100.00
2011-03-17,33.3600,33.8300,33.2500,33.7500,27.5830,60900.00
2011-03-18,33.9400,35.8100,32.8201,35.8000,29.2585,503800.00
2011-03-21,35.8300,35.8300,34.5000,35.4100,28.9397,166000.00
2011-03-22,35.5100,35.8000,35.2000,35.4300,28.9561,97300.00
2011-03-23,35.3300,35.3800,34.9600,35.1700,28.7436,111800.00
2011-03-24,35.2300,35.5500,34.6400,35.5100,29.0214,84700.00
2011-03-25,35.6100,36.0000,35.0700,35.9600,29.3892,79600.00
2011-03-28,35.8800,36.2400,35.4200,35.8400,29.2911,61200.00
2011-03-29,35.4900,35.9150,35.3700,35.7500,29.2176,68100.00
2011-03-30,35.9000,36.1000,35.6200,35.9900,29.4137,113000.00
2011-03-31,36.0000,36.0400,35.5300,35.8100,29.2666,108300.00
2011-04-01,35.8000,36.0800,35.3200,35.9100,29.3484,153100.00
2011-04-04,35.8700,35.8700,34.9700,35.1800,28.7517,216100.00
2011-04-05,35.1000,35.2000,34.6000,34.7500,28.4003,108900.00
2011-04-06,34.7600,35.1600,34.3200,34.4900,28.1878,124900.00
2011-04-07,34.5500,34.9800,34.0300,34.5300,28.2205,126600.00
2011-04-08,34.7900,34.7900,34.2000,34.6500,28.3186,259800.00
2011-04-11,34.6000,34.9200,34.3400,34.7000,28.3595,145600.00
2011-04-12,34.6700,34.7500,34.2100,34.3500,28.0734,108000.00
2011-04-13,34.5000,34.5150,34.2400,34.3200,28.0489,230100.00
2011-04-14,34.2000,34.3700,33.8600,34.2800,28.0162,93600.00
2011-04-15,34.2500,34.3500,34.0600,34.1300,27.8936,43900.00
2011-04-18,33.8800,34.5900,33.7500,34.0700,27.8446,65300.00
2011-04-19,34.0700,34.2800,33.8200,34.0400,27.8201,112900.00
2011-04-20,34.3400,34.5400,34.0500,34.1600,27.9181,51600.00
2011-04-21,34.3200,34.9600,34.1600,34.7900,28.4330,118800.00
2011-04-25,34.5900,34.8200,34.0600,34.7100,28.3676,117700.00
2011-04-26,34.6100,35.2800,34.3900,34.8900,28.5147,346900.00
2011-04-27,35.7500,36.5900,35.5300,36.2500,29.6262,2348000.00
2011-04-28,36.0600,36.2200,35.9400,36.0500,29.4628,264400.00
2011-04-29,35.9500,37.5000,35.3900,36.6800,29.9777,295000.00
2011-05-02,36.7600,37.1500,36.6800,36.9500,30.1983,264200.00
2011-05-03,37.0000,37.0600,36.4800,36.8600,30.1248,257600.00
2011-05-04,36.8400,37.0400,35.8000,36.8900,30.1493,126000.00
2011-05-05,36.8000,36.8500,36.4700,36.6200,29.9286,117800.00
2011-05-06,36.9800,37.1500,36.6500,36.7000,29.9940,79000.00
2011-05-09,36.6500,36.8700,36.2500,36.5850,29.9000,46700.00
2011-05-10,36.7300,36.7400,35.8100,36.5900,29.9041,129200.00
2011-05-11,36.5200,36.9400,36.3900,36.5500,29.8714,104100.00
2011-05-12,36.3900,36.5200,36.0500,36.5000,29.8305,264700.00
2011-05-13,36.3800,36.6400,35.8400,36.0000,29.4219,209100.00
2011-05-16,35.8300,36.1100,35.3600,35.5000,29.0133,113000.00
2011-05-17,35.2500,35.5400,33.1200,34.1200,27.8854,1614900.00
2011-05-18,33.9200,35.1900,33.8100,35.0400,28.6373,373100.00
2011-05-19,34.9500,35.0700,34.6600,34.7900,28.4330,373100.00
2011-05-20,34.6800,34.9600,34.2900,34.9200,28.5393,203400.00
2011-05-23,33.9500,34.1800,33.8400,33.9600,27.7547,320600.00
2011-05-24,34.0000,34.6600,33.9200,34.6400,28.3104,302800.00
2011-05-25,34.2900,34.5600,33.9100,34.4800,28.1797,194000.00
2011-05-26,34.4400,35.1500,34.3900,34.8700,28.4984,323300.00
2011-05-27,35.0000,35.7000,34.9800,35.5300,29.0378,362000.00
2011-05-31,35.6200,36.0000,35.0300,35.9400,29.3729,432500.00
2011-06-01,35.8500,35.9600,35.6600,35.7500,29.2176,571200.00
2011-06-02,35.6900,36.0400,35.6500,35.9900,29.4137,303200.00
2011-06-03,35.7500,36.0400,34.9300,36.0100,29.4301,333000.00
2011-06-06,36.1800,36.3900,35.3500,36.1600,29.5527,380700.00
2011-06-07,36.3100,36.7100,36.2900,36.3900,29.7406,344800.00
2011-06-08,36.2000,37.0400,35.8400,35.8500,29.2993,522100.00
2011-06-09,35.9700,36.0400,35.5800,35.6600,29.1440,556300.00
2011-06-10,35.6600,35.7600,34.5600,34.6000,28.2777,409300.00
2011-06-13,34.8000,34.9300,34.3700,34.4300,28.1388,441600.00
2011-06-14,34.7500,35.0300,34.1700,34.2000,27.9508,408100.00
2011-06-15,34.1000,34.4550,33.8600,33.9700,27.7628,329800.00
2011-06-16,34.0400,34.4900,33.8500,34.3100,28.0407,386300.00
2011-06-17,34.4300,34.7500,34.2800,34.4300,28.1388,258400.00
2011-06-20,34.3500,35.0500,33.8500,34.9300,28.5474,215400.00
2011-06-21,35.2100,35.2400,34.2800,34.4600,28.1633,307000.00
2011-06-22,34.4900,35.0000,34.1500,34.6100,28.2859,455800.00
2011-06-23,34.4100,34.9800,33.5500,33.6200,27.4768,573700.00
2011-06-24,33.7600,33.8000,32.7800,33.1500,27.0927,2191200.00
2011-06-27,33.1500,34.5700,32.9500,33.7600,27.5912,578600.00
