Date,Open,High,Low,Close,Adjusted_close,Volume
2014-01-31,17.3000,18.0100,16.7050,17.7500,17.7500,5159600.00
2014-02-03,17.6400,18.1999,17.2500,18.1000,18.1000,240100.00
2014-02-04,18.0700,18.1670,17.4000,17.6400,17.6400,175300.00
2014-02-05,17.5000,17.7500,17.2500,17.2500,17.2500,165600.00
2014-02-06,16.9400,17.5300,16.6700,17.1500,17.1500,237700.00
2014-02-07,17.2500,17.6999,17.1100,17.5400,17.5400,117300.00
2014-02-10,17.5900,17.7900,17.4000,17.5300,17.5300,28200.00
2014-02-11,17.5000,17.7800,17.4000,17.4300,17.4300,82800.00
2014-02-12,17.3000,17.6300,17.1300,17.6300,17.6300,65800.00
2014-02-13,17.6000,17.7500,16.9801,17.0700,17.0700,66100.00
2014-02-14,17.0700,17.9100,17.0500,17.8900,17.8900,37900.00
2014-02-18,17.9000,17.9001,17.5200,17.7500,17.7500,104900.00
2014-02-19,17.9600,17.9600,17.7000,17.7100,17.7100,62100.00
2014-02-20,17.7500,19.2900,17.7400,18.2900,18.2900,310100.00
2014-02-21,18.2900,18.5010,17.9500,18.3500,18.3500,112400.00
2014-02-24,18.3000,18.7300,18.0000,18.2000,18.2000,81300.00
2014-02-25,18.1700,18.3899,17.7300,18.1500,18.1500,182500.00
2014-02-26,18.2100,18.2100,17.9000,17.9800,17.9800,56800.00
2014-02-27,17.9000,18.2500,17.8500,18.1800,18.1800,88200.00
2014-02-28,18.2300,18.7383,18.0300,18.4300,18.4300,83900.00
2014-03-03,18.3300,18.7300,18.3200,18.6500,18.6500,34200.00
2014-03-04,18.7600,20.2700,18.7550,19.8800,19.8800,342700.00
2014-03-05,20.0800,21.2800,19.5415,20.8500,20.8500,165000.00
2014-03-06,20.2500,22.9900,20.0001,21.7600,21.7600,340900.00
2014-03-07,21.8900,23.0200,21.0000,22.9900,22.9900,604500.00
2014-03-10,23.5000,24.9000,23.0900,23.9000,23.9000,201200.00
2014-03-11,23.8100,24.4600,21.5600,22.2400,22.2400,218000.00
2014-03-12,22.1500,22.8900,21.8900,22.4200,22.4200,56200.00
2014-03-13,22.4000,23.5600,22.0700,23.5200,23.5200,342100.00
2014-03-14,23.5400,23.5400,22.3200,22.6800,22.6800,76000.00
2014-03-17,23.3800,23.3800,21.9400,22.0100,22.0100,80800.00
2014-03-18,22.0000,23.3700,22.0000,23.2600,23.2600,146600.00
2014-03-19,23.2500,23.8700,22.6101,22.9100,22.9100,100600.00
2014-03-20,23.1900,23.4200,21.5100,23.0200,23.0200,98700.00
2014-03-21,23.1700,23.3700,22.4700,22.4700,22.4700,248000.00
2014-03-24,22.5200,22.6996,21.6000,22.3200,22.3200,67100.00
2014-03-25,22.2400,23.4600,21.8500,22.0300,22.0300,61600.00
2014-03-26,22.2000,22.8280,21.8050,22.2400,22.2400,101300.00
2014-03-27,22.2500,22.4800,19.9300,20.0400,20.0400,204900.00
2014-03-28,20.0300,21.2500,20.0300,20.7100,20.7100,168300.00
2014-03-31,20.7600,22.3100,20.5000,22.2200,22.2200,1158700.00
2014-04-01,21.8600,22.1400,21.5400,22.0700,22.0700,119100.00
2014-04-02,22.0000,22.2900,21.4300,22.0900,22.0900,200900.00
2014-04-03,21.9800,22.1500,21.5500,21.9300,21.9300,177100.00
2014-04-04,21.9900,22.0350,20.7500,22.0000,22.0000,200900.00
2014-04-07,21.9100,22.5300,21.8600,22.0500,22.0500,194900.00
2014-04-08,21.8100,22.1800,21.7700,22.1400,22.1400,127300.00
2014-04-09,22.2800,22.6900,21.9900,22.1700,22.1700,134900.00
2014-04-10,22.0700,22.2700,21.8300,21.9100,21.9100,104000.00
2014-04-11,21.6800,21.9900,20.4900,21.4100,21.4100,124000.00
2014-04-14,21.6600,21.7800,20.5900,21.2200,21.2200,117700.00
2014-04-15,21.2100,22.8500,21.2100,22.7700,22.7700,82600.00
2014-04-16,21.3500,22.4200,20.6500,22.1300,22.1300,78600.00
2014-04-17,22.0200,22.5700,21.7000,22.0700,22.0700,39200.00
2014-04-21,22.0000,22.6100,21.7000,22.0100,22.0100,80100.00
2014-04-22,22.1100,22.6000,21.9500,22.5600,22.5600,82500.00
2014-04-23,22.7350,23.4350,22.3050,23.0200,23.0200,47300.00
2014-04-24,23.1700,23.4900,22.1100,22.3000,22.3000,91000.00
2014-04-25,22.1300,22.4300,21.9000,21.9200,21.9200,116700.00
2014-04-28,21.7400,22.6400,21.2500,21.9700,21.9700,73700.00
2014-04-29,22.1200,22.6600,21.5600,21.9800,21.9800,81500.00
2014-04-30,21.9500,22.3000,21.4358,22.2600,22.2600,147900.00
2014-05-01,22.1600,22.1600,21.5000,21.8000,21.8000,123800.00
2014-05-02,21.7600,22.0400,21.1000,21.7800,21.7800,186100.00
2014-05-05,21.7500,22.4000,21.5800,21.8100,21.8100,138200.00
2014-05-06,21.9000,21.9000,21.3200,21.5500,21.5500,96000.00
2014-05-07,21.4600,21.8780,19.0900,19.9400,19.9400,156200.00
2014-05-08,20.3700,20.3700,18.3900,19.4600,19.4600,199300.00
2014-05-09,19.3000,19.6400,18.4401,19.4500,19.4500,62700.00
2014-05-12,19.5000,21.2700,19.5000,21.0200,21.0200,166700.00
2014-05-13,20.9600,21.4800,20.5200,20.9300,20.9300,88800.00
2014-05-14,20.8300,20.8300,20.2825,20.5600,20.5600,44400.00
2014-05-15,20.5300,20.6050,19.9700,20.0600,20.0600,72500.00
2014-05-16,19.9900,20.0700,19.6301,19.7300,19.7300,31100.00
2014-05-19,19.7400,20.7200,19.3200,19.6050,19.6050,66900.00
2014-05-20,19.6200,19.8352,18.7500,19.2300,19.2300,147700.00
2014-05-21,19.3900,19.7571,18.7500,19.6600,19.6600,29000.00
2014-05-22,19.6100,20.8300,19.3800,19.7700,19.7700,82400.00
2014-05-23,19.8000,19.9700,19.5500,19.9000,19.9000,37700.00
2014-05-27,20.0300,20.6300,20.0300,20.4100,20.4100,16100.00
2014-05-28,20.3200,20.4142,19.2900,19.6300,19.6300,23200.00
2014-05-29,19.6000,20.1800,19.6000,20.0100,20.0100,46900.00
2014-05-30,19.9900,20.0900,19.3600,19.8200,19.8200,118400.00
2014-06-02,19.9300,19.9700,18.7400,19.3600,19.3600,46300.00
2014-06-03,19.2500,19.2500,18.7600,19.0000,19.0000,91500.00
2014-06-04,18.8700,19.6825,18.7500,19.0900,19.0900,31400.00
2014-06-05,19.0800,19.4600,18.5700,19.3600,19.3600,29500.00
2014-06-06,19.5000,20.4000,19.3530,20.2400,20.2400,36900.00
2014-06-09,20.3200,21.0650,19.9920,20.6200,20.6200,51100.00
2014-06-10,20.6600,20.6600,19.3500,19.9400,19.9400,46100.00
2014-06-11,19.3900,19.7959,18.8300,19.4700,19.4700,84600.00
2014-06-12,19.4100,19.5450,18.8500,19.0200,19.0200,45800.00
2014-06-13,18.9600,19.7000,18.7600,19.5400,19.5400,73100.00
2014-06-16,19.3300,19.7000,18.8100,19.0300,19.0300,55800.00
2014-06-17,18.9700,19.0500,18.5700,18.8900,18.8900,38600.00
2014-06-18,18.8500,19.1400,18.5000,18.7300,18.7300,46700.00
2014-06-19,18.7000,19.7884,18.6500,19.5000,19.5000,93800.00
2014-06-20,19.6600,19.6600,18.9200,18.9800,18.9800,126000.00
2014-06-23,19.2500,19.5300,18.8200,18.9000,18.9000,46600.00
2014-06-24,18.9900,19.2700,18.7800,19.2000,19.2000,47700.00
2014-06-25,19.0500,19.3500,18.8200,19.2700,19.2700,55600.00
2014-06-26,19.2400,19.6800,18.9700,19.4700,19.4700,79000.00
2014-06-27,19.3000,20.4100,19.3000,20.0300,20.0300,251400.00
2014-06-30,19.7800,20.2500,19.5700,20.1000,20.1000,64000.00
2014-07-01,20.0700,20.9100,19.9320,20.1100,20.1100,42900.00
2014-07-02,19.9700,20.4100,19.1300,19.7000,19.7000,70300.00
2014-07-03,19.7100,20.9400,19.3200,20.0100,20.0100,90600.00
2014-07-07,19.2500,19.2500,17.6300,18.0800,18.0800,146100.00
2014-07-08,18.1000,18.4096,17.1400,17.7000,17.7000,124800.00
2014-07-09,17.8200,19.5700,17.6500,19.2200,19.2200,187000.00
2014-07-10,18.9800,19.3200,18.7350,18.7900,18.7900,1772700.00
2014-07-11,18.8600,19.3800,18.7000,19.0800,19.0800,101900.00
2014-07-14,19.0200,19.8900,19.0100,19.5000,19.5000,277500.00
2014-07-15,19.2300,19.4700,18.5500,19.1600,19.1600,252200.00
2014-07-16,19.0200,19.4500,19.0200,19.2900,19.2900,70000.00
2014-07-17,19.1100,19.7200,18.9300,19.4600,19.4600,111300.00
2014-07-18,19.3800,19.9700,19.2200,19.8700,19.8700,279700.00
2014-07-21,19.7000,20.0000,19.6675,19.9900,19.9900,108700.00
2014-07-22,20.0000,20.0000,19.6200,19.8900,19.8900,155800.00
2014-07-23,19.9000,20.0000,19.7300,19.8100,19.8100,193000.00
2014-07-24,19.7900,19.9750,19.3200,19.5000,19.5000,410700.00
2014-07-25,19.2900,20.0000,19.2900,19.8400,19.8400,307400.00
2014-07-28,19.7100,20.0250,19.5079,19.5800,19.5800,89100.00
2014-07-29,19.6500,20.0800,19.6500,19.7500,19.7500,232200.00
2014-07-30,19.7800,20.1500,19.6600,20.0600,20.0600,152300.00
2014-07-31,19.9100,20.0000,19.1500,19.2500,19.2500,218400.00
2014-08-01,19.3200,19.8400,18.9450,19.8400,19.8400,134400.00
2014-08-04,19.9900,20.0500,19.0400,19.2600,19.2600,59100.00
