Date,Open,High,Low,Close,Adjusted_close,Volume
1990-03-26,19.7500,19.7500,19.7500,19.7500,4.7141,4800.00
1990-03-27,19.7500,19.7500,19.5000,19.5000,4.6544,7800.00
1990-03-28,19.7500,19.7500,19.5000,19.5000,4.6544,2001.00
1990-03-29,19.7500,19.7500,18.7500,18.7500,4.4754,21201.00
1990-03-30,18.7500,19.2500,18.7500,19.2500,4.5948,1800.00
1990-04-02,18.7500,19.2500,18.7500,19.2500,4.5948,6801.00
1990-04-03,18.7500,19.0000,18.7500,19.0000,4.5351,13200.00
1990-04-04,18.7500,19.2500,18.7500,19.2500,4.5948,2400.00
1990-04-05,18.7500,19.2500,18.7500,18.7500,4.4754,7401.00
1990-04-06,19.2500,19.2500,18.7500,18.7500,4.5172,801.00
1990-04-09,18.7500,18.7500,18.7500,18.7500,4.5172,2601.00
1990-04-10,19.0000,19.2500,18.7500,18.7500,4.5172,24201.00
1990-04-11,19.5000,19.5000,19.5000,19.5000,4.6979,1200.00
1990-04-12,19.5000,19.5000,19.5000,19.5000,4.6979,1800.00
1990-04-16,19.5000,19.5000,19.0000,19.5000,4.6979,3600.00
1990-04-17,18.7500,19.5000,18.7500,19.5000,4.6979,5601.00
1990-04-18,18.7500,18.7500,18.7500,18.7500,4.5172,1200.00
1990-04-19,19.5000,19.5000,18.7500,18.7500,4.5172,85200.00
1990-04-20,18.7500,19.5000,18.7500,19.0000,4.5774,67800.00
1990-04-23,18.7500,19.0000,18.5000,18.7500,4.5172,91401.00
1990-04-24,18.0000,18.0000,18.0000,18.0000,4.3365,201.00
1990-04-25,18.0000,18.2500,18.0000,18.0000,4.3365,38400.00
1990-04-26,18.0000,18.0000,18.0000,18.0000,4.3365,0.00
1990-04-27,18.5000,18.5000,18.0000,18.0000,4.3365,6801.00
1990-04-30,18.0000,18.7500,18.0000,18.7500,4.5172,2001.00
1990-05-01,18.0000,18.5000,18.0000,18.5000,4.4570,1200.00
1990-05-02,18.2500,18.5000,18.0000,18.0000,4.3365,91401.00
1990-05-03,18.7500,18.7500,17.7500,18.0000,4.3365,51201.00
1990-05-04,18.5000,18.5000,17.7500,18.5000,4.4570,2601.00
1990-05-07,18.5000,18.5000,17.7500,17.7500,4.2763,10200.00
1990-05-08,17.7500,18.2500,17.7500,18.2500,4.3967,12000.00
1990-05-09,17.2500,18.0000,17.2500,17.2500,4.1558,33000.00
1990-05-10,18.0000,18.0000,17.0000,17.1200,4.1245,20400.00
1990-05-11,17.0000,17.2500,17.0000,17.2500,4.1558,8400.00
1990-05-14,17.7500,17.7500,17.2500,17.6200,4.2449,67200.00
1990-05-15,17.2500,18.0000,17.2500,17.2500,4.1558,13401.00
1990-05-16,17.2500,17.5000,17.2500,17.5000,4.2160,1200.00
1990-05-17,17.7500,17.7500,17.2500,17.2500,4.1558,600.00
1990-05-18,17.2500,18.0000,17.2500,18.0000,4.3365,600.00
1990-05-21,17.2500,18.0000,17.2500,18.0000,4.3365,4800.00
1990-05-22,18.0000,18.0000,17.5000,18.0000,4.3365,40401.00
1990-05-23,18.0000,18.5000,18.0000,18.5000,4.4570,12600.00
1990-05-24,17.7500,17.7500,17.7500,17.7500,4.2763,600.00
1990-05-25,18.5000,18.5000,18.5000,18.5000,4.4570,10800.00
1990-05-29,18.5000,18.7500,18.0000,18.7500,4.5172,15000.00
1990-05-30,18.0000,18.7500,18.0000,18.0000,4.3365,5601.00
1990-05-31,18.2500,18.2500,18.2500,18.2500,4.3967,801.00
1990-06-01,18.5000,18.5000,18.5000,18.5000,4.4570,18000.00
1990-06-04,18.0000,18.0000,18.0000,18.0000,4.3365,1200.00
1990-06-05,18.0000,18.5000,18.0000,18.5000,4.4570,7200.00
1990-06-06,19.0000,19.0000,18.2500,19.0000,4.5774,5001.00
1990-06-07,19.0000,19.0000,18.2500,18.2500,4.3967,7401.00
1990-06-08,18.2500,18.2500,18.2500,18.2500,4.3967,201.00
1990-06-11,18.2500,19.0000,18.2500,19.0000,4.5774,12801.00
1990-06-12,19.0000,20.2500,18.5000,19.7500,4.7581,127200.00
1990-06-13,19.7500,20.7500,19.7500,20.2500,4.8786,83400.00
1990-06-14,20.7500,20.7500,20.7500,20.7500,4.9990,201.00
1990-06-15,20.7500,20.7500,20.2500,20.2500,4.8786,1800.00
1990-06-18,20.0000,20.5000,20.0000,20.5000,4.9388,141600.00
1990-06-19,20.7500,20.7500,20.7500,20.7500,4.9990,1800.00
1990-06-20,20.7500,20.7500,20.0000,20.0000,4.8183,64401.00
1990-06-21,20.7500,20.7500,20.0000,20.0000,4.8183,2601.00
1990-06-22,20.0000,20.5000,20.0000,20.0000,4.8183,6201.00
1990-06-25,20.0000,20.5000,20.0000,20.0000,4.8183,9201.00
1990-06-26,20.0000,20.0000,20.0000,20.0000,4.8183,201.00
1990-06-27,20.0000,20.5000,20.0000,20.0000,4.8183,11400.00
1990-06-28,20.0000,20.0000,19.0000,19.7500,4.7581,33000.00
1990-06-29,19.7500,19.7500,19.2500,19.7500,4.7581,3201.00
1990-07-02,19.0000,19.5000,19.0000,19.0000,4.5774,3801.00
1990-07-03,19.5000,19.5000,19.0000,19.0000,4.5774,3201.00
1990-07-05,19.0000,19.0000,18.2500,18.2500,4.3967,29601.00
1990-07-06,18.5000,18.5000,17.7500,18.5000,4.4570,6201.00
1990-07-09,17.7500,17.7500,17.7500,17.7500,4.3184,6000.00
1990-07-10,18.5000,18.5000,17.7500,17.7500,4.3184,13800.00
1990-07-11,18.0000,18.0000,17.5000,18.0000,4.3792,4800.00
1990-07-12,17.5000,17.5000,17.5000,17.5000,4.2576,10800.00
1990-07-13,17.2500,17.5000,17.0000,17.5000,4.2576,11400.00
1990-07-16,17.0000,17.5000,17.0000,17.5000,4.2576,8601.00
1990-07-17,17.5000,17.5000,17.0000,17.1200,4.1651,12801.00
1990-07-18,17.5000,17.5000,17.0000,17.5000,4.2576,3600.00
1990-07-19,17.5000,17.5000,17.0000,17.5000,4.2576,10800.00
1990-07-20,17.0000,17.5000,17.0000,17.5000,4.2576,8601.00
1990-07-23,17.0000,17.2500,16.7500,16.7500,4.0751,33201.00
1990-07-24,17.2500,17.2500,16.7500,16.7500,4.0751,20400.00
1990-07-25,16.7500,17.5000,16.7500,16.8800,4.1068,7800.00
1990-07-26,17.2500,17.2500,16.7500,16.7500,4.0751,801.00
1990-07-27,16.7500,16.7500,16.7500,16.7500,4.0751,0.00
1990-07-30,16.7500,16.7500,16.7500,16.7500,4.0751,0.00
1990-07-31,16.7500,17.5000,16.7500,16.7500,4.0751,47001.00
1990-08-01,17.5000,17.5000,17.3800,17.5000,4.2576,3600.00
1990-08-02,16.5000,16.5000,16.5000,16.5000,4.0143,2400.00
1990-08-03,16.5000,17.0000,16.5000,16.5000,4.0143,7200.00
1990-08-06,17.0000,17.0000,17.0000,17.0000,4.1360,4401.00
1990-08-07,16.5000,17.2500,16.5000,17.0000,4.1360,24201.00
1990-08-08,17.2500,17.2500,16.5000,17.0000,4.1360,534801.00
1990-08-09,17.7500,18.0000,16.7500,17.5000,4.2576,258801.00
1990-08-10,17.5000,19.0000,17.5000,19.0000,4.6225,13200.00
1990-08-13,18.5000,19.0000,18.5000,19.0000,4.6225,59001.00
1990-08-14,18.7500,19.7500,18.7500,19.7500,4.8050,7401.00
1990-08-15,19.0000,19.7500,19.0000,19.7500,4.8050,38400.00
1990-08-16,19.0000,19.0000,19.0000,19.0000,4.6225,21600.00
1990-08-17,19.7500,19.7500,19.0000,19.5000,4.7442,74400.00
1990-08-20,19.0000,19.2500,19.0000,19.0000,4.6225,10401.00
1990-08-21,19.0000,19.2500,19.0000,19.2500,4.6834,111801.00
1990-08-22,19.2500,19.2500,19.0000,19.2500,4.6834,30201.00
1990-08-23,18.5000,18.5000,18.0000,18.5000,4.5009,13401.00
1990-08-24,18.5000,18.5000,18.2500,18.2500,4.4401,9000.00
1990-08-27,18.5000,18.5000,18.5000,18.5000,4.5009,17601.00
1990-08-28,18.7500,18.7500,18.7500,18.7500,4.5617,600.00
1990-08-29,18.7500,18.7500,18.7500,18.7500,4.5617,0.00
1990-08-30,18.7500,18.7500,18.7500,18.7500,4.5617,0.00
1990-08-31,18.2500,19.5000,18.2500,19.5000,4.7442,105600.00
1990-09-04,19.5000,19.5000,19.2500,19.5000,4.7442,49401.00
1990-09-05,19.2500,19.2500,19.0000,19.2500,4.6834,96201.00
1990-09-06,19.0000,19.2500,19.0000,19.2500,4.6834,45801.00
1990-09-07,19.2500,19.2500,19.2500,19.2500,4.6834,3000.00
1990-09-10,19.5000,19.5000,19.0000,19.2500,4.6834,57201.00
1990-09-11,19.5000,19.5000,19.0000,19.0000,4.6225,8601.00
1990-09-12,19.0000,19.0000,19.0000,19.0000,4.6225,0.00
1990-09-13,19.5000,19.5000,19.2500,19.2500,4.6834,3201.00
1990-09-14,19.0000,19.2500,19.0000,19.0000,4.6225,90801.00
1990-09-17,18.7500,19.2500,18.7500,19.2500,4.6834,45201.00
1990-09-18,18.7500,19.2500,18.7500,18.7500,4.5617,801.00
1990-09-19,18.7500,18.7500,18.7500,18.7500,4.5617,201.00
1990-09-20,18.7500,19.5000,18.7500,19.3700,4.7126,27201.00
1990-09-21,19.2500,19.5000,19.2500,19.5000,4.7442,9201.00
1990-09-24,19.2500,19.2500,19.2500,19.2500,4.6834,1800.00
1990-09-25,19.0000,19.5000,19.0000,19.1200,4.6517,72600.00
1990-09-26,19.7500,19.7500,19.7500,19.7500,4.8050,201.00
1990-09-27,19.0000,19.6300,19.0000,19.5000,4.7442,34401.00
1990-09-28,19.0000,19.7500,19.0000,19.7500,4.8050,55800.00
1990-10-01,19.7500,19.7500,19.2500,19.2500,4.6834,77400.00
1990-10-02,19.7500,19.7500,19.7500,19.7500,4.8050,600.00
1990-10-03,19.2500,19.5000,19.1200,19.5000,4.7442,31800.00
1990-10-04,19.7500,19.7500,19.2500,19.7500,4.8050,7200.00
1990-10-05,19.0000,19.0000,19.0000,19.0000,4.6225,600.00
1990-10-08,19.7500,19.7500,19.7500,19.7500,4.8050,600.00
1990-10-09,19.2500,19.7500,19.0000,19.7500,4.8050,4800.00
1990-10-10,19.7500,20.2500,19.5000,20.2500,4.9267,111600.00
1990-10-11,20.2500,20.5000,20.2500,20.2500,4.9267,50001.00
1990-10-12,20.7500,21.2500,20.2500,21.0000,5.1091,99201.00
1990-10-15,21.2500,21.7500,21.0000,21.5000,5.2308,31401.00
1990-10-16,21.5000,22.0000,21.5000,22.0000,5.3524,78600.00
