Date,Open,High,Low,Close,Adjusted_close,Volume
2016-05-06,14.8400,14.8999,14.7500,14.8900,14.7122,2909.00
2016-05-09,14.9200,15.0380,14.9150,15.0000,14.8209,19171.00
2016-05-10,15.0700,15.1700,15.0100,15.1600,14.9790,51225.00
2016-05-11,15.1200,15.1200,14.8500,14.8700,14.6925,32107.00
2016-05-12,14.9500,14.9500,14.7201,14.8300,14.6530,13124.00
2016-05-13,14.8300,14.8499,14.7300,14.7600,14.5838,8720.00
2016-05-16,14.7800,14.8328,14.7126,14.8300,14.6530,6318.00
2016-05-17,14.7700,14.7900,14.7000,14.7000,14.5245,5140.00
2016-05-18,14.6000,14.7000,14.5437,14.5800,14.4059,3382.00
2016-05-19,14.4500,14.5100,14.4500,14.5000,14.3269,2797.00
2016-05-20,14.5001,14.7100,14.5001,14.6710,14.4959,2939.00
2016-05-23,14.7500,14.7699,14.7250,14.7400,14.5640,4940.00
2016-05-24,14.7600,14.9100,14.7600,14.9000,14.7221,3252.00
2016-05-25,14.9399,14.9400,14.8833,14.9400,14.7616,3189.00
2016-05-26,14.9699,14.9800,14.9699,14.9800,14.8012,942.00
2016-05-27,15.0300,15.0599,15.0000,15.0000,14.8209,1593.00
2016-05-31,15.0800,15.1000,15.0200,15.0700,14.8901,3164.00
2016-06-01,15.0000,15.0699,15.0000,15.0600,14.8802,4755.00
2016-06-02,15.0800,15.1300,15.0200,15.1200,14.9395,23495.00
2016-06-03,15.0000,15.0500,14.9500,15.0500,14.8703,4070.00
2016-06-06,15.1200,15.1200,15.0101,15.0316,14.8521,10764.00
2016-06-07,15.1299,15.1800,15.0800,15.1800,14.9988,903.00
2016-06-08,15.1399,15.1399,15.0500,15.0702,14.8903,625.00
2016-06-09,15.0781,15.1100,15.0400,15.1100,14.9296,4829.00
2016-06-10,15.0000,15.0000,14.8800,14.9300,14.7518,754.00
2016-06-13,15.1600,15.1600,15.0400,15.0400,14.8604,2257.00
2016-06-14,14.9501,14.9600,14.9501,14.9600,14.7814,504.00
2016-06-15,15.1026,15.1600,15.0800,15.1000,14.9197,3371.00
2016-06-16,14.9400,14.9800,14.9400,14.9800,14.8012,1269.00
2016-06-17,15.0390,15.0390,15.0100,15.0100,14.8308,684.00
2016-06-20,15.1400,15.1400,15.1400,15.1400,14.9593,153.00
2016-06-21,15.1600,15.1600,15.1600,15.1600,14.9790,730.00
2016-06-22,15.1445,15.1900,15.1445,15.1600,14.9790,1666.00
2016-06-23,15.2800,15.2900,15.1909,15.2900,15.1075,2326.00
2016-06-24,14.9600,14.9700,14.7899,14.8500,14.6727,4731.00
2016-06-27,14.7400,14.7400,14.3998,14.4805,14.3076,6594.00
2016-06-28,14.7500,14.7500,14.7500,14.7500,14.5739,525.00
2016-06-29,15.0301,15.0301,15.0300,15.0300,14.8506,290.00
2016-06-30,15.1500,15.1800,15.1250,15.1800,14.9988,3021.00
2016-07-01,15.1800,15.1800,15.1800,15.1800,14.9988,321.00
2016-07-05,15.1620,15.1950,15.1620,15.1900,15.0087,1015.00
2016-07-06,15.2500,15.3101,15.2500,15.3101,15.1273,385.00
2016-07-07,15.3663,15.3663,15.3663,15.3663,15.1828,167.00
2016-07-08,15.5700,15.7200,15.5700,15.7197,15.5320,6832.00
2016-07-11,15.7999,15.8299,15.7500,15.8299,15.6409,4204.00
2016-07-12,15.9400,15.9400,15.8700,15.9200,15.7299,13600.00
2016-07-13,15.9132,15.9132,15.9132,15.9132,15.7232,204.00
2016-07-14,16.0599,16.0599,15.9400,15.9800,15.7892,1111.00
2016-07-15,15.9047,15.9100,15.8900,15.8900,15.7003,2965.00
2016-07-18,15.9400,15.9700,15.8600,15.9620,15.7714,4475.00
2016-07-19,15.8600,15.9000,15.8600,15.9000,15.7102,3545.00
2016-07-20,15.9190,15.9900,15.9190,15.9900,15.7991,1495.00
2016-07-21,16.0000,16.0500,15.9250,15.9250,15.7349,3577.00
2016-07-22,15.8999,16.0200,15.8999,16.0200,15.8287,1224.00
2016-07-25,16.0200,16.0700,16.0200,16.0699,15.8780,2268.00
2016-07-26,16.1599,16.1599,16.0442,16.0600,15.8683,1455.00
2016-07-27,15.9872,16.0299,15.9128,15.9600,15.7695,2182.00
2016-07-28,15.9599,16.0122,15.9299,16.0122,15.8210,1714.00
2016-07-29,16.0000,16.0500,16.0000,16.0500,15.8584,516.00
2016-08-01,16.1000,16.1499,16.0364,16.0600,15.8683,2053.00
2016-08-02,16.1200,16.1200,15.8510,15.8628,15.6734,3188.00
2016-08-03,15.7500,15.9000,15.7100,15.8999,15.7101,2107.00
2016-08-04,15.9399,15.9399,15.8900,15.8900,15.7003,587.00
2016-08-05,16.0300,16.0900,16.0250,16.0700,15.8781,1293.00
2016-08-08,16.1000,16.1012,16.0101,16.0700,15.8781,3455.00
2016-08-09,16.1200,16.1200,16.0236,16.0426,15.8511,1715.00
2016-08-10,16.0586,16.0586,16.0285,16.0285,15.8371,675.00
2016-08-11,16.1600,16.1600,16.1100,16.1300,15.9374,8481.00
2016-08-12,16.1300,16.1500,16.0999,16.1300,15.9374,2041.00
2016-08-15,16.1700,16.2200,16.1700,16.2193,16.0257,2155.00
2016-08-16,16.1599,16.1600,16.1300,16.1500,15.9572,3355.00
2016-08-17,16.1700,16.1700,16.0000,16.0200,15.8287,2649.00
2016-08-18,16.0500,16.0800,16.0500,16.0600,15.8683,2321.00
2016-08-19,16.0700,16.0900,16.0700,16.0900,15.8979,964.00
2016-08-22,15.9900,16.1100,15.9900,16.0800,15.8880,2988.00
2016-08-23,16.1800,16.1800,16.0701,16.1500,15.9572,1775.00
2016-08-24,16.2000,16.2000,16.0000,16.0000,15.8090,2067.00
2016-08-25,16.0504,16.0795,16.0360,16.0795,15.8875,2403.00
2016-08-26,16.1100,16.1100,15.9601,16.0140,15.8228,2266.00
2016-08-29,16.0600,16.0900,16.0101,16.0712,15.8793,2568.00
2016-08-30,16.1000,16.1000,15.9699,15.9699,15.7792,1863.00
2016-08-31,15.9780,15.9780,15.9301,15.9700,15.7793,994.00
2016-09-01,15.9699,15.9699,15.8755,15.9080,15.7181,1269.00
2016-09-02,16.0600,16.0600,15.9527,15.9799,15.7891,1610.00
2016-09-06,16.0400,16.0400,15.9519,16.0199,15.8286,2002.00
2016-09-07,16.0580,16.1044,16.0001,16.0700,15.8781,2363.00
2016-09-08,16.0700,16.0700,15.9300,15.9300,15.7398,4083.00
2016-09-09,15.7700,15.8013,15.5940,15.6399,15.4532,6788.00
2016-09-12,15.5400,15.7499,15.5000,15.7400,15.5521,2687.00
2016-09-13,15.7200,15.7200,15.5100,15.5761,15.3901,4046.00
2016-09-14,15.5925,15.6500,15.5699,15.5699,15.3840,3535.00
2016-09-15,15.6200,15.6958,15.6000,15.6958,15.5084,2115.00
2016-09-16,15.6300,15.6941,15.6300,15.6941,15.5067,939.00
2016-09-19,15.8100,15.8100,15.6778,15.6778,15.4906,2194.00
2016-09-20,15.7700,15.7700,15.6000,15.6500,15.4632,7386.00
2016-09-21,15.6500,15.7900,15.6200,15.7900,15.6015,3853.00
2016-09-22,15.9100,15.9299,15.8601,15.9200,15.7299,5950.00
2016-09-23,16.0000,16.0599,15.9833,16.0142,15.8230,2488.00
2016-09-26,15.9600,15.9600,15.8372,15.8980,15.7082,1800.00
2016-09-27,15.9340,16.0000,15.8801,15.9859,15.7951,4730.00
2016-09-28,15.9999,16.0000,15.8701,15.9500,15.7596,1622.00
2016-09-29,15.8900,16.0100,15.8501,15.8501,15.6609,6363.00
2016-09-30,15.8200,15.9804,15.8200,15.9804,15.7896,2508.00
2016-10-03,15.8500,15.9121,15.8500,15.8957,15.7059,1754.00
2016-10-04,15.9699,15.9699,15.9099,15.9099,15.7200,521.00
2016-10-05,15.9394,15.9899,15.9200,15.9499,15.7595,2622.00
2016-10-06,15.8400,15.8400,15.7300,15.8199,15.6310,2036.00
2016-10-07,15.7994,15.7994,15.6778,15.7399,15.5520,819.00
2016-10-10,15.7634,15.7634,15.7101,15.7297,15.5419,838.00
2016-10-11,15.7000,15.7000,15.5001,15.5001,15.3151,2633.00
2016-10-12,15.5910,15.6199,15.5910,15.6199,15.4334,2297.00
2016-10-13,15.5700,15.5700,15.4200,15.5167,15.3315,1985.00
2016-10-14,15.5400,15.6600,15.4853,15.5400,15.3545,3314.00
2016-10-17,15.4768,15.4799,15.4632,15.4799,15.2951,695.00
2016-10-18,15.6612,15.6612,15.5988,15.6299,15.4433,980.00
2016-10-19,15.6812,15.7700,15.6812,15.7468,15.5588,5638.00
2016-10-20,15.6964,15.6964,15.6335,15.6499,15.4631,1406.00
2016-10-21,15.5700,15.7795,15.5700,15.7795,15.5911,1163.00
2016-10-24,15.8501,15.9000,15.8200,15.8332,15.6442,8370.00
2016-10-25,15.7446,15.7564,15.6601,15.6601,15.4731,1082.00
2016-10-26,15.6800,15.6800,15.5600,15.6017,15.4154,1026.00
2016-10-27,15.6900,15.6900,15.4481,15.4600,15.2754,2080.00
2016-10-28,15.3900,15.5799,15.3900,15.5799,15.3939,1371.00
2016-10-31,15.5233,15.5499,15.4701,15.4701,15.2854,1675.00
2016-11-01,15.2300,15.3099,15.2300,15.3099,15.1271,1074.00
2016-11-02,15.3699,15.3699,15.2360,15.2799,15.0975,1122.00
2016-11-03,15.3000,15.3000,15.1500,15.1500,14.9691,3622.00
2016-11-04,15.2022,15.2500,15.1500,15.1500,14.9691,1542.00
2016-11-07,15.4099,15.4478,15.3301,15.4299,15.2457,1562.00
2016-11-08,15.4700,15.5520,15.3900,15.5100,15.3248,1312.00
2016-11-09,15.1600,15.5199,15.1600,15.5199,15.3346,3509.00
2016-11-10,15.6355,15.6355,15.3770,15.4300,15.2458,1312.00
2016-11-11,15.3800,15.5033,15.3800,15.5033,15.3182,3049.00
2016-11-14,15.4701,15.5000,15.4701,15.4768,15.2920,1295.00
2016-11-15,15.4700,15.5600,15.4667,15.4800,15.2952,1612.00
2016-11-16,15.4469,15.5299,15.4469,15.5067,15.3216,15364.00
2016-11-17,15.4300,15.6420,15.4300,15.6420,15.4553,1053.00
2016-11-18,15.7000,15.7000,15.5700,15.5700,15.3841,11172.00
2016-11-21,15.6505,15.7200,15.6200,15.6701,15.4830,1307.00
2016-11-22,15.7800,15.8399,15.7658,15.8001,15.6115,929.00
2016-11-23,15.7899,15.8097,15.7700,15.7899,15.6014,1162.00
2016-11-25,15.8999,15.8999,15.8001,15.8399,15.6508,1399.00
2016-11-28,15.8700,15.8700,15.7501,15.7858,15.5973,7459.00
2016-11-29,15.8199,15.8199,15.7799,15.7799,15.5915,821.00
2016-11-30,15.7300,15.7300,15.6000,15.6399,15.4532,16143.00
2016-12-01,15.6199,15.6199,15.5000,15.5004,15.3153,1407.00
2016-12-02,15.5600,15.5699,15.5101,15.5399,15.3544,882.00
2016-12-05,15.6999,15.7050,15.6401,15.6601,15.4731,1702.00
2016-12-06,15.6200,15.7000,15.6200,15.7000,15.5126,1349.00
2016-12-07,15.6400,16.0199,15.6400,15.9601,15.7696,1319.00
2016-12-08,16.1199,16.1400,16.0701,16.1300,15.9374,6423.00
2016-12-09,16.2100,16.2100,16.1240,16.1604,15.9675,2558.00
2016-12-12,16.1700,16.1700,16.0100,16.0499,15.8583,5055.00
2016-12-13,16.1599,16.1599,16.0884,16.0884,15.8963,2639.00
2016-12-14,16.1499,16.1499,15.9401,15.9556,15.7651,4153.00
2016-12-15,16.0194,16.0194,15.9485,15.9699,15.7792,3971.00
2016-12-16,15.9000,16.0199,15.8912,15.9399,15.7496,1224.00
2016-12-19,16.0199,16.0199,15.9399,15.9399,15.7496,3058.00
2016-12-20,15.9400,16.0699,15.9400,16.0318,15.8404,2838.00
2016-12-21,16.0399,16.0399,16.0000,16.0099,15.8188,1809.00
2016-12-22,15.9325,15.9325,15.7826,15.7850,15.5966,964.00
2016-12-23,15.8299,15.8299,15.7201,15.7201,15.5324,1796.00
2016-12-27,15.8999,15.8999,15.8345,15.8345,15.6455,2985.00
2016-12-28,15.7065,15.7099,15.6401,15.6401,15.5024,2040.00
2016-12-29,15.6965,15.6965,15.6400,15.6838,15.5458,952.00
2016-12-30,15.6400,15.6400,15.5901,15.6099,15.4725,997.00
