Date,Open,High,Low,Close,Adjusted_close,Volume
2015-11-19,11.0000,11.9900,9.7200,10.1000,10.1000,7131458.00
2015-11-20,10.5000,10.6500,10.0000,10.1500,10.1500,630591.00
2015-11-23,10.4500,10.4500,10.0000,10.2200,10.2200,296011.00
2015-11-24,10.0500,10.4000,10.0000,10.2100,10.2100,117354.00
2015-11-25,10.0600,10.3500,10.0600,10.1800,10.1800,175959.00
2015-11-27,10.1800,10.3016,10.0601,10.0700,10.0700,46179.00
2015-11-30,10.1800,10.3500,10.0000,10.1100,10.1100,54878.00
2015-12-01,10.1000,10.7700,10.0600,10.4600,10.4600,421952.00
2015-12-02,10.4600,10.6100,10.0100,10.2100,10.2100,175334.00
2015-12-03,10.1100,10.3200,9.2560,9.6000,9.6000,650972.00
2015-12-04,9.7300,9.8000,9.0100,9.7800,9.7800,382979.00
2015-12-07,9.7500,10.0000,9.7000,9.7800,9.7800,145105.00
2015-12-08,9.7000,9.8500,9.7000,9.8300,9.8300,48912.00
2015-12-09,9.7500,10.1400,9.5000,9.7400,9.7400,308683.00
2015-12-10,9.7000,10.1400,9.7000,10.0200,10.0200,83542.00
2015-12-11,10.0000,10.7420,10.0000,10.4200,10.4200,124114.00
2015-12-14,10.4000,10.6100,10.0000,10.0000,10.0000,350635.00
2015-12-15,10.4500,10.4500,10.0000,10.0000,10.0000,145924.00
2015-12-16,10.1900,10.2100,9.9500,10.0200,10.0200,131661.00
2015-12-17,10.5000,10.5000,10.0000,10.0000,10.0000,243478.00
2015-12-18,10.1200,10.1900,9.8000,9.8900,9.8900,299816.00
2015-12-21,9.9500,10.1000,9.8400,9.8900,9.8900,61546.00
2015-12-22,9.9900,10.0600,9.8000,9.8900,9.8900,31343.00
2015-12-23,9.8900,9.9400,9.7000,9.8500,9.8500,84841.00
2015-12-24,9.8000,10.0000,9.8000,9.8700,9.8700,45731.00
2015-12-28,9.8200,9.9500,9.6000,9.6100,9.6100,31569.00
2015-12-29,9.7500,9.7500,9.2500,9.3100,9.3100,100144.00
2015-12-30,9.3000,9.7200,9.3000,9.6400,9.6400,65243.00
2015-12-31,9.6000,9.8600,9.4200,9.6000,9.6000,47634.00
2016-01-04,9.4300,9.6116,9.0000,9.0600,9.0600,178641.00
2016-01-05,9.0800,9.2985,8.8000,8.9300,8.9300,93322.00
2016-01-06,8.8600,9.0700,8.8300,9.0000,9.0000,47429.00
2016-01-07,8.8600,9.0600,8.7500,8.9300,8.9300,49882.00
2016-01-08,8.9400,9.0000,8.6000,8.6000,8.6000,52858.00
2016-01-11,8.6400,8.8400,8.6000,8.6300,8.6300,26188.00
2016-01-12,8.6200,8.6600,8.2900,8.5500,8.5500,22636.00
2016-01-13,8.5500,8.5500,8.1300,8.1700,8.1700,50863.00
2016-01-14,8.1900,8.4900,8.0100,8.2900,8.2900,41851.00
2016-01-15,8.1000,8.1900,7.6300,7.7200,7.7200,81579.00
2016-01-19,7.8000,8.3450,7.6601,7.7200,7.7200,96710.00
2016-01-20,7.7100,8.0400,7.6230,7.8400,7.8400,40327.00
2016-01-21,7.9000,8.0300,7.6967,7.9600,7.9600,47145.00
2016-01-22,8.0500,8.0500,7.8100,7.9500,7.9500,197794.00
2016-01-25,7.9100,7.9100,7.6600,7.6700,7.6700,9799.00
2016-01-26,7.7100,7.7100,6.7700,6.9100,6.9100,138056.00
2016-01-27,6.9500,7.0900,6.2000,6.7100,6.7100,231472.00
2016-01-28,6.7500,7.0327,6.0100,6.2000,6.2000,78723.00
2016-01-29,6.3000,7.7500,6.3000,7.5901,7.5901,302250.00
2016-02-01,7.5600,9.4250,7.1104,9.2100,9.2100,256015.00
2016-02-02,9.2900,9.5100,8.2000,8.7700,8.7700,169720.00
2016-02-03,8.8200,10.1500,8.8200,10.0000,10.0000,463678.00
