Date,Open,High,Low,Close,Adjusted_close,Volume
1986-03-13,25.5000,29.2500,25.5000,28.0000,0.0641,1031788800.00
1986-03-14,28.0000,29.5000,28.0000,29.0000,0.0664,308160000.00
1986-03-17,29.0000,29.7500,29.0000,29.5000,0.0676,133171200.00
1986-03-18,29.5000,29.7500,28.5000,28.7500,0.0659,67766400.00
1986-03-19,28.7500,29.0000,28.0000,28.2500,0.0647,47894400.00
1986-03-20,28.2500,28.2500,27.2500,27.5000,0.0630,58435200.00
1986-03-21,27.5000,28.0000,26.2500,26.7500,0.0613,59990400.00
1986-03-24,26.7500,26.7500,25.7500,26.0000,0.0596,65289600.00
1986-03-25,26.0000,26.5000,25.7500,26.5000,0.0607,32083200.00
1986-03-26,26.5000,27.5000,26.2500,27.2500,0.0624,22752000.00
1986-03-27,27.2500,27.7500,27.2500,27.7500,0.0636,16848000.00
1986-03-31,27.7500,27.7500,27.0000,27.5000,0.0630,12873600.00
1986-04-01,27.5000,27.5000,27.2500,27.2500,0.0624,11088000.00
1986-04-02,27.2500,28.0000,27.2500,27.5000,0.0630,27014400.00
1986-04-03,27.7500,28.5000,27.7500,27.7500,0.0636,23040000.00
1986-04-04,27.7500,28.0000,27.7500,27.7500,0.0636,26582400.00
1986-04-07,27.7500,28.0000,26.7500,27.2500,0.0624,16560000.00
1986-04-08,27.2500,28.0000,27.2500,27.5000,0.0630,10252800.00
1986-04-09,27.5000,28.2500,27.5000,28.0000,0.0641,12153600.00
1986-04-10,28.0000,28.5000,27.5000,28.2500,0.0647,13881600.00
1986-04-11,28.5000,29.2500,28.5000,28.7500,0.0659,17222400.00
1986-04-14,28.7500,29.2500,28.7500,29.0000,0.0664,12153600.00
1986-04-15,29.0000,29.0000,28.0000,29.0000,0.0664,9302400.00
1986-04-16,29.0000,30.2500,28.7500,30.0000,0.0687,31910400.00
1986-04-17,30.0000,30.2500,30.0000,30.2500,0.0693,22003200.00
1986-04-18,30.2500,30.2500,29.0000,29.2500,0.0670,21628800.00
1986-04-21,29.2500,29.5000,28.5000,29.2500,0.0670,22924800.00
1986-04-22,29.2500,29.2500,28.7500,28.7500,0.0659,15552000.00
1986-04-23,28.7500,29.0000,28.5000,28.8700,0.0661,15609600.00
1986-04-24,28.8700,32.2500,28.7500,31.7500,0.0727,62352000.00
1986-04-25,32.0000,35.1300,32.0000,33.7500,0.0773,85795200.00
1986-04-28,33.7500,34.2500,33.5000,34.0000,0.0779,28886400.00
1986-04-29,34.0000,34.0000,32.7500,33.0000,0.0756,30326400.00
1986-04-30,33.0000,33.2500,31.5000,32.2500,0.0739,30902400.00
1986-05-01,32.2500,32.2500,31.2500,31.7500,0.0727,54345600.00
1986-05-02,31.7500,32.2500,31.5000,31.7500,0.0727,20246400.00
1986-05-05,31.7500,31.7500,31.5000,31.5000,0.0722,3254400.00
1986-05-06,31.7500,32.2500,31.7500,31.7500,0.0727,9734400.00
1986-05-07,31.7500,32.0000,31.2500,31.7500,0.0727,5155200.00
1986-05-08,31.7500,32.0000,31.5000,32.0000,0.0733,3542400.00
1986-05-09,32.0000,32.0000,31.7500,31.7500,0.0727,6076800.00
1986-05-12,31.7500,32.7500,31.7500,32.0000,0.0733,10483200.00
1986-05-13,32.0000,32.5000,32.0000,32.2500,0.0739,3830400.00
1986-05-14,32.2500,32.2500,32.0000,32.0000,0.0733,9302400.00
1986-05-15,32.0000,32.5000,32.0000,32.0000,0.0733,3801600.00
1986-05-16,32.0000,33.0000,32.0000,32.2500,0.0739,11952000.00
1986-05-19,32.2500,32.2500,31.5000,31.7500,0.0727,11001600.00
1986-05-20,31.7500,31.7500,31.2500,31.5000,0.0722,61977600.00
1986-05-21,31.5000,31.7500,31.0000,31.0000,0.0710,8092800.00
1986-05-22,31.0000,31.2500,31.0000,31.0000,0.0710,4406400.00
1986-05-23,31.0000,31.5000,31.0000,31.0000,0.0710,4089600.00
1986-05-27,31.0000,32.0000,31.0000,32.0000,0.0733,13881600.00
1986-05-28,32.0000,33.0000,32.0000,33.0000,0.0756,15523200.00
1986-05-29,33.0000,34.2500,32.7500,33.7500,0.0773,45676800.00
1986-05-30,34.0000,35.5000,34.0000,35.0000,0.0802,27072000.00
1986-06-02,35.0000,35.0000,34.0000,34.0000,0.0779,19728000.00
1986-06-03,34.0000,34.0000,33.5000,34.0000,0.0779,5011200.00
1986-06-04,34.0000,34.2500,33.5000,33.7500,0.0773,4723200.00
1986-06-05,33.7500,34.2500,33.5000,34.2500,0.0785,13708800.00
1986-06-06,34.2500,34.2500,33.7500,34.2500,0.0785,3427200.00
1986-06-09,34.2500,34.2500,32.7500,32.7500,0.0750,12672000.00
1986-06-10,32.7500,32.7500,32.2500,32.7500,0.0750,3427200.00
1986-06-11,32.7500,32.7500,32.2500,32.7500,0.0750,2304000.00
1986-06-12,32.7500,32.7500,31.2500,31.5000,0.0722,13708800.00
1986-06-13,31.5000,31.7500,31.2500,31.5000,0.0722,7891200.00
1986-06-16,31.5000,31.7500,31.0000,31.2500,0.0716,9590400.00
1986-06-17,31.5000,32.2500,31.5000,31.7500,0.0727,13075200.00
1986-06-18,31.7500,31.7500,31.0000,31.5000,0.0722,4348800.00
1986-06-19,31.5000,31.7500,31.0000,31.2500,0.0716,8467200.00
1986-06-20,31.2500,31.5000,31.2500,31.3700,0.0719,3801600.00
1986-06-23,31.3700,31.7500,30.7500,31.7500,0.0727,46195200.00
1986-06-24,31.7500,32.0000,31.2500,31.5000,0.0722,14572800.00
1986-06-25,31.5000,31.7500,31.0000,31.0000,0.0710,15235200.00
1986-06-26,31.0000,31.2500,30.0000,30.0000,0.0687,19152000.00
1986-06-27,30.0000,30.2500,29.5000,29.7500,0.0682,10396800.00
1986-06-30,29.7500,31.5000,29.5000,30.7500,0.0704,62352000.00
1986-07-01,30.7500,30.7500,30.5000,30.7500,0.0704,47577600.00
1986-07-02,30.7500,30.7500,30.5000,30.7500,0.0704,52617600.00
1986-07-03,31.0000,31.5000,31.0000,31.2500,0.0716,14140800.00
1986-07-07,31.2500,31.2500,30.0000,30.0000,0.0687,14054400.00
1986-07-08,30.0000,30.0000,29.0000,29.2500,0.0670,14256000.00
1986-07-09,29.2500,29.2500,27.7500,28.0000,0.0641,46137600.00
1986-07-10,28.0000,28.2500,26.0000,27.2500,0.0624,46886400.00
1986-07-11,27.2500,28.5000,27.2500,28.0000,0.0641,17395200.00
1986-07-14,27.2500,28.2500,27.2500,27.6200,0.0633,28598400.00
1986-07-15,27.6200,28.5000,27.2500,28.0000,0.0641,13190400.00
1986-07-16,28.2500,29.0000,28.2500,29.0000,0.0664,9360000.00
1986-07-17,29.0000,29.5000,28.7500,29.5000,0.0676,6940800.00
1986-07-18,29.5000,30.0000,28.7500,29.7500,0.0682,12326400.00
1986-07-21,29.7500,30.2500,29.7500,29.7500,0.0682,3513600.00
1986-07-22,29.7500,30.7500,29.7500,30.7500,0.0704,10512000.00
1986-07-23,30.7500,31.2500,30.0000,30.0000,0.0687,20793600.00
1986-07-24,30.5000,31.5000,30.5000,31.0000,0.0710,14140800.00
1986-07-25,31.0000,31.5000,31.0000,31.2500,0.0716,20448000.00
1986-07-28,31.2500,31.2500,30.5000,30.5000,0.0699,11808000.00
1986-07-29,30.5000,30.7500,29.2500,29.7500,0.0682,14054400.00
1986-07-30,29.7500,29.7500,27.7500,28.7500,0.0659,26409600.00
1986-07-31,28.7500,29.0000,28.5000,28.5000,0.0653,15638400.00
1986-08-01,28.5000,28.7500,28.0000,28.2500,0.0647,12902400.00
1986-08-04,28.2500,28.2500,27.5000,28.2500,0.0647,12441600.00
1986-08-05,28.2500,28.5000,28.0000,28.0000,0.0641,2822400.00
1986-08-06,28.0000,28.2500,27.2500,27.7500,0.0636,18316800.00
1986-08-07,27.7500,28.0000,27.2500,27.5000,0.0630,3657600.00
1986-08-08,27.5000,28.2500,27.5000,27.7500,0.0636,4147200.00
1986-08-11,28.2500,29.0000,28.2500,28.7500,0.0659,7948800.00
1986-08-12,28.7500,29.5000,28.7500,29.5000,0.0676,9993600.00
1986-08-13,29.5000,29.7500,29.2500,29.7500,0.0682,6883200.00
1986-08-14,29.7500,30.7500,29.7500,30.5000,0.0699,20131200.00
1986-08-15,30.5000,30.7500,30.2500,30.6200,0.0701,6105600.00
1986-08-18,30.6200,30.7500,30.2500,30.2500,0.0693,12787200.00
1986-08-19,30.2500,30.3700,29.7500,30.2500,0.0693,20390400.00
1986-08-20,30.2500,30.2500,30.0000,30.0000,0.0687,20764800.00
1986-08-21,30.0000,30.5000,30.0000,30.0000,0.0687,49536000.00
1986-08-22,30.0000,30.2500,29.0000,29.5000,0.0676,5760000.00
1986-08-25,29.5000,29.5000,29.0000,29.5000,0.0676,2419200.00
1986-08-26,29.5000,29.5000,29.2500,29.2500,0.0670,10857600.00
1986-08-27,29.2500,29.5000,29.0000,29.2500,0.0670,9532800.00
1986-08-28,29.2500,29.5000,29.2500,29.2500,0.0670,3427200.00
1986-08-29,29.2500,29.5000,28.0000,28.5000,0.0653,25430400.00
1986-09-02,28.5000,28.5000,27.3700,27.7500,0.0636,5212800.00
1986-09-03,27.5000,27.5000,26.2500,27.0000,0.0619,18316800.00
1986-09-04,27.5000,29.2500,27.5000,29.2500,0.0670,39427200.00
1986-09-05,29.2500,30.5000,29.0000,30.5000,0.0699,26352000.00
1986-09-08,30.5000,30.7500,30.2500,30.2500,0.0693,9619200.00
1986-09-09,30.2500,31.5000,30.2500,30.7500,0.0704,37526400.00
1986-09-10,30.7500,31.0000,30.2500,30.2500,0.0693,10886400.00
1986-09-11,30.2500,30.5000,29.0000,29.0000,0.0664,35654400.00
1986-09-12,29.0000,29.2500,28.2500,28.2500,0.0647,24451200.00
1986-09-15,28.2500,28.7500,27.7500,28.7500,0.0659,22492800.00
1986-09-16,28.7500,29.0000,28.2500,28.7500,0.0659,5184000.00
1986-09-17,28.7500,30.0000,28.5000,29.5000,0.0676,8035200.00
1986-09-18,29.5000,30.2500,29.5000,29.7500,0.0682,5356800.00
1986-09-19,29.7500,30.0000,29.5000,29.7500,0.0682,2505600.00
1986-09-22,29.7500,29.7500,29.5000,29.5000,0.0676,4492800.00
1986-09-23,29.5000,30.2500,29.5000,30.0000,0.0687,5961600.00
1986-09-24,30.0000,30.0000,29.5000,29.6200,0.0679,4780800.00
1986-09-25,29.6200,29.7500,29.0000,29.0000,0.0664,5155200.00
1986-09-26,29.0000,29.2500,28.7500,29.0000,0.0664,2332800.00
1986-09-29,29.0000,29.0000,28.2500,28.2500,0.0647,6192000.00
1986-09-30,28.2500,28.7500,28.2500,28.2500,0.0647,5184000.00
1986-10-01,28.2500,28.7500,27.5000,28.0000,0.0641,32428800.00
1986-10-02,28.0000,28.5000,27.7500,28.0000,0.0641,22723200.00
1986-10-03,28.0000,28.5000,28.0000,28.2500,0.0647,14716800.00
1986-10-06,29.0000,31.0000,29.0000,30.5000,0.0699,85334400.00
1986-10-07,30.5000,31.7500,30.5000,31.1200,0.0713,59788800.00
1986-10-08,31.1200,32.3800,30.7500,32.0000,0.0733,119606400.00
1986-10-09,32.0000,33.7500,32.0000,33.0000,0.0756,92563200.00
1986-10-10,33.0000,35.2500,32.5000,34.5000,0.0790,76752000.00
1986-10-13,34.5000,34.5000,33.0000,33.0000,0.0756,27129600.00
1986-10-14,33.2500,33.7500,33.2500,33.5000,0.0767,12873600.00
1986-10-15,33.5000,35.2500,33.5000,35.0000,0.0802,63532800.00
1986-10-16,35.0000,35.2500,34.7500,35.0000,0.0802,21859200.00
1986-10-17,35.0000,36.2500,35.0000,36.0000,0.0825,124444800.00
1986-10-20,36.0000,36.7500,35.2500,36.2500,0.0830,43545600.00
1986-10-21,36.5000,37.7500,36.5000,37.7500,0.0865,112377600.00
1986-10-22,37.7500,38.1300,37.5000,37.7500,0.0865,54576000.00
1986-10-23,37.7500,38.0000,37.3800,37.7500,0.0865,70444800.00
1986-10-24,37.7500,37.7500,36.5000,37.5000,0.0859,101376000.00
1986-10-27,37.7500,38.7500,37.7500,38.7500,0.0888,125654400.00
1986-10-28,38.7500,40.2500,38.7500,39.6300,0.0908,142646400.00
1986-10-29,39.6300,39.7500,38.0000,38.5000,0.0882,53222400.00
1986-10-30,38.5000,39.7500,38.2500,39.2500,0.0899,44380800.00
1986-10-31,39.2500,39.7500,38.5000,38.7500,0.0888,63734400.00
1986-11-03,39.0000,39.7500,39.0000,39.5000,0.0905,42192000.00
1986-11-04,39.5000,41.0000,39.5000,41.0000,0.0939,54403200.00
1986-11-05,41.0000,43.7500,40.7500,43.5000,0.0997,45100800.00
1986-11-06,43.5000,45.5000,43.2500,44.5000,0.1019,72576000.00
1986-11-07,44.5000,44.7500,43.5000,44.2500,0.1014,44323200.00
1986-11-10,44.2500,44.2500,42.2500,42.5000,0.0974,28684800.00
1986-11-11,42.7500,43.2500,42.7500,42.7500,0.0979,11894400.00
1986-11-12,42.7500,43.7500,42.2500,42.7500,0.0979,34156800.00
1986-11-13,42.7500,43.0000,42.0000,42.1300,0.0965,30211200.00
1986-11-14,42.1300,42.5000,41.2500,42.5000,0.0974,18720000.00
1986-11-17,42.5000,43.2500,42.0000,42.7500,0.0979,24307200.00
1986-11-18,42.7500,43.0000,40.5000,40.5000,0.0928,59673600.00
1986-11-19,40.5000,42.2500,40.5000,42.0000,0.0962,48729600.00
1986-11-20,42.0000,45.2500,42.0000,45.2500,0.1037,98179200.00
1986-11-21,45.5000,47.2500,45.5000,46.7500,0.1071,91065600.00
1986-11-24,46.7500,50.7500,45.2500,50.5000,0.1157,173836800.00
1986-11-25,50.5000,51.2500,50.2500,51.0000,0.1168,95788800.00
1986-11-26,51.0000,51.2500,50.5000,50.5000,0.1157,38793600.00
1986-11-28,50.5000,50.7500,49.2500,49.7500,0.1140,41328000.00
1986-12-01,49.7500,50.0000,48.5000,48.7500,0.1117,40291200.00
1986-12-02,49.0000,50.0000,49.0000,49.0000,0.1123,28771200.00
1986-12-03,49.0000,49.5000,48.5000,48.6300,0.1114,35164800.00
1986-12-04,48.6300,49.7500,48.2500,49.2500,0.1128,42508800.00
1986-12-05,49.2500,49.5000,49.0000,49.0000,0.1123,107510400.00
1986-12-08,49.0000,49.5000,47.7500,48.5000,0.1111,22665600.00
1986-12-09,48.5000,48.7500,48.0000,48.2500,0.1105,16099200.00
1986-12-10,48.2500,48.7500,47.7500,48.6300,0.1114,27590400.00
1986-12-11,48.6300,49.2500,48.5000,49.0000,0.1123,11635200.00
1986-12-12,49.0000,49.0000,47.2500,47.2500,0.1082,25286400.00
1986-12-15,47.2500,47.5000,45.2500,46.0000,0.1054,50774400.00
1986-12-16,46.2500,47.2500,46.2500,46.5000,0.1065,77299200.00
1986-12-17,46.5000,47.2500,46.5000,47.0000,0.1077,23356800.00
1986-12-18,47.0000,47.5000,46.7500,47.3800,0.1085,12672000.00
1986-12-19,47.5000,49.0000,47.5000,48.5000,0.1111,56592000.00
1986-12-22,48.5000,49.5000,48.5000,49.0000,0.1123,18316800.00
1986-12-23,49.0000,49.5000,49.0000,49.5000,0.1134,23788800.00
1986-12-24,49.5000,49.5000,49.2500,49.3800,0.1131,7027200.00
1986-12-26,49.3800,49.7500,49.2500,49.2500,0.1128,3715200.00
1986-12-29,49.2500,49.7500,47.2500,47.2500,0.1082,41702400.00
1986-12-30,47.2500,48.0000,46.7500,47.7500,0.1094,25401600.00
1986-12-31,47.7500,49.0000,47.7500,48.2500,0.1105,23356800.00
1987-01-02,48.2500,48.7500,47.5000,47.7500,0.1094,12643200.00
1987-01-05,47.7500,51.0000,47.5000,50.5000,0.1157,48499200.00
1987-01-06,50.5000,51.5000,50.2500,51.2500,0.1174,40032000.00
1987-01-07,51.2500,54.0000,51.2500,54.0000,0.1237,60998400.00
1987-01-08,54.2500,56.2500,54.2500,55.7500,0.1277,61488000.00
1987-01-09,55.7500,58.2500,55.5000,58.0000,0.1329,63705600.00
1987-01-12,58.0000,62.2500,57.5000,61.7500,0.1415,128793600.00
1987-01-13,61.2500,61.2500,59.0000,60.0000,0.1375,76320000.00
1987-01-14,60.0000,60.2500,58.7500,60.0000,0.1375,69465600.00
1987-01-15,60.0000,64.7500,60.0000,63.2500,0.1449,117014400.00
1987-01-16,63.2500,63.2500,60.5000,61.7500,0.1415,65433600.00
1987-01-19,61.7500,64.0000,60.5000,64.0000,0.1466,88243200.00
1987-01-20,64.0000,66.5000,63.7500,65.0000,0.1489,95760000.00
1987-01-21,65.0000,69.5000,63.7500,67.7500,0.1552,108489600.00
1987-01-22,67.7500,74.7500,65.7500,74.5000,0.1707,116035200.00
1987-01-23,74.5000,77.5000,67.5000,67.5000,0.1546,317894400.00
1987-01-26,68.0000,69.5000,65.7500,68.7500,0.1575,116553600.00
1987-01-27,68.7500,72.5000,68.7500,71.5000,0.1638,114105600.00
1987-01-28,71.5000,72.7500,69.5000,71.7500,0.1644,76723200.00
1987-01-29,71.7500,72.5000,67.2500,68.7500,0.1575,79228800.00
1987-01-30,68.7500,73.2500,67.7500,73.1200,0.1675,104169600.00
1987-02-02,73.1200,74.5000,73.0000,73.0000,0.1672,46915200.00
1987-02-03,73.0000,73.7500,70.5000,71.7500,0.1644,59328000.00
1987-02-04,71.7500,72.2500,71.0000,72.0000,0.1649,31737600.00
1987-02-05,72.0000,72.5000,70.7500,71.5000,0.1638,42652800.00
1987-02-06,71.5000,71.8700,68.5000,68.8700,0.1578,45619200.00
1987-02-09,68.7500,68.7500,67.8700,68.2500,0.1564,136080000.00
1987-02-10,68.2500,68.5000,66.7500,68.5000,0.1569,44668800.00
1987-02-11,68.7500,71.7500,68.7500,71.7500,0.1644,60307200.00
1987-02-12,71.7500,77.1200,71.7500,76.7500,0.1758,185731200.00
1987-02-13,76.7500,77.7500,74.2500,76.0000,0.1741,81763200.00
1987-02-17,76.0000,76.7500,74.2500,76.5000,0.1753,70732800.00
1987-02-18,76.5000,77.7500,71.5000,71.7500,0.1644,128592000.00
1987-02-19,71.5000,71.5000,68.0000,68.7500,0.1575,317750400.00
1987-02-20,68.7500,68.7500,67.0000,68.0000,0.1558,87897600.00
1987-02-23,68.0000,73.2500,66.5000,72.2500,0.1655,125913600.00
1987-02-24,72.2500,76.0000,72.2500,75.7500,0.1735,120816000.00
1987-02-25,75.7500,77.1200,74.0000,74.5000,0.1707,65001600.00
1987-02-26,74.5000,79.5000,73.0000,77.2500,0.1770,145209600.00
1987-02-27,77.2500,77.7500,75.5000,76.7500,0.1758,37555200.00
1987-03-02,76.7500,76.7500,74.0000,74.5000,0.1707,79516800.00
1987-03-03,74.5000,75.2500,73.5000,74.5000,0.1707,81100800.00
1987-03-04,74.5000,80.0000,74.2500,79.7500,0.1827,98179200.00
1987-03-05,79.7500,85.2500,79.7500,83.5000,0.1913,128188800.00
1987-03-06,83.5000,84.0000,81.2500,83.2500,0.1907,63561600.00
