Date,Open,High,Low,Close,Adjusted_close,Volume
2014-05-19,24.7000,24.8700,24.6996,24.8500,17.8306,576328.00
2014-05-20,24.9000,24.9500,24.8300,24.9000,17.8665,223763.00
2014-05-21,24.9000,24.9600,24.8700,24.9000,17.8665,100250.00
2014-05-22,24.9001,24.9600,24.8700,24.8801,17.8522,35015.00
2014-05-23,24.9699,24.9699,24.8800,24.9200,17.8808,17080.00
2014-05-27,24.9900,24.9900,24.8500,24.9200,17.8808,37265.00
2014-05-28,24.9100,24.9200,24.7500,24.8000,17.7947,116753.00
2014-05-29,24.8399,24.8600,24.8000,24.8500,17.8306,152157.00
2014-05-30,24.8600,24.9400,24.8500,24.9100,17.8736,52636.00
2014-06-02,24.8200,24.9900,24.8200,24.9500,17.9023,93295.00
2014-06-03,24.9199,25.0000,24.9199,24.9501,17.9024,103795.00
2014-06-04,24.9900,24.9900,24.8200,24.9700,17.9167,104860.00
2014-06-05,24.9500,25.0100,24.9000,24.9999,17.9381,110700.00
2014-06-06,24.9990,25.0100,24.9700,24.9700,17.9167,19300.00
2014-06-09,25.0100,25.0100,24.9100,24.9600,17.9095,26550.00
2014-06-10,24.9800,25.0100,24.9300,24.9301,17.8881,10600.00
2014-06-11,24.9200,24.9500,24.9200,24.9500,17.9023,2200.00
2014-06-12,24.9200,24.9900,24.9200,24.9900,17.9310,10075.00
2014-06-13,25.0000,25.0000,24.9899,24.9899,17.9310,5696.00
2014-06-16,24.9999,24.9999,24.9600,24.9800,17.9239,15176.00
2014-06-17,25.0100,25.0100,24.9200,24.9400,17.8952,47917.00
2014-06-18,25.0100,25.0100,24.9899,25.0000,17.9382,22500.00
2014-06-19,25.0000,25.0200,24.9500,25.0100,17.9454,61524.00
2014-06-20,25.0100,25.0200,24.9922,25.0100,17.9454,20193.00
2014-06-23,25.0000,25.0200,25.0000,25.0200,17.9526,46970.00
2014-06-24,25.0200,25.1500,25.0199,25.0600,17.9813,56553.00
2014-06-25,25.0500,25.1100,25.0200,25.0200,17.9526,39633.00
2014-06-26,25.0500,25.0800,24.9900,25.0400,17.9669,59916.00
2014-06-27,24.8900,24.9700,24.8800,24.9200,18.0954,40890.00
2014-06-30,24.9100,25.0000,24.9000,25.0000,18.1535,27456.00
2014-07-01,25.0060,25.1190,25.0060,25.0401,18.1826,7562.00
2014-07-02,25.1100,25.1500,25.0870,25.1100,18.2334,20864.00
2014-07-03,25.0400,25.0500,25.0000,25.0500,18.1898,10900.00
2014-07-07,25.0500,25.2100,25.0000,25.0100,18.1607,26500.00
2014-07-08,25.0200,25.0200,24.9700,24.9900,18.1462,34660.00
2014-07-09,25.0500,25.3900,24.9905,25.0000,18.1535,22200.00
2014-07-10,25.0590,25.0600,25.0590,25.0600,18.1970,3466.00
2014-07-11,25.0600,25.0600,24.9700,25.0599,18.1970,7608.00
2014-07-14,25.0600,25.0600,25.0050,25.0290,18.1745,2300.00
2014-07-15,25.0300,25.0300,24.9700,25.0200,18.1680,8621.00
2014-07-16,25.0000,25.0200,24.9500,24.9743,18.1348,13318.00
2014-07-17,25.0300,25.0300,25.0100,25.0100,18.1607,5050.00
2014-07-18,25.0000,25.0300,24.9700,25.0300,18.1753,7550.00
