Date,Open,High,Low,Close,Adjusted_close,Volume
2017-06-05,0.5500,0.5500,0.5500,0.5500,0.5500,300.00
2017-06-06,0.4500,0.4500,0.4200,0.4200,0.4200,31000.00
2017-06-07,0.4100,0.4200,0.4100,0.4100,0.4100,18700.00
2017-06-08,0.4000,0.4000,0.3970,0.4000,0.4000,7833.00
2017-06-09,0.3901,0.3901,0.3901,0.3901,0.3901,5222.00
2017-06-12,0.3901,0.3901,0.3901,0.3901,0.3901,0.00
2017-06-13,0.4500,0.4500,0.3800,0.3800,0.3800,47665.00
2017-06-14,0.4000,0.4000,0.3901,0.4000,0.4000,23199.00
2017-06-15,0.4000,0.4000,0.4000,0.4000,0.4000,0.00
2017-06-16,0.3900,0.4000,0.3900,0.4000,0.4000,12305.00
2017-06-19,0.4000,0.4000,0.4000,0.4000,0.4000,0.00
2017-06-20,0.4000,0.4000,0.4000,0.4000,0.4000,25600.00
2017-06-21,0.4000,0.4000,0.4000,0.4000,0.4000,100.00
2017-06-22,0.3900,0.4000,0.3900,0.4000,0.4000,600.00
2017-06-23,0.4000,0.4000,0.4000,0.4000,0.4000,100000.00
2017-06-26,0.4000,0.4000,0.4000,0.4000,0.4000,0.00
2017-06-27,0.4400,0.4500,0.4000,0.4300,0.4300,51801.00
2017-06-28,0.4200,0.4400,0.4037,0.4400,0.4400,245092.00
2017-06-29,0.4500,0.5970,0.4500,0.5790,0.5790,63198.00
2017-06-30,0.5500,0.5500,0.5500,0.5500,0.5500,100.00
2017-07-05,0.5300,0.5300,0.5300,0.5300,0.5300,400.00
2017-07-06,0.5200,0.5200,0.5000,0.5000,0.5000,16400.00
2017-07-07,0.5000,0.5000,0.5000,0.5000,0.5000,0.00
2017-07-10,0.4800,0.4800,0.4800,0.4800,0.4800,100.00
2017-07-11,0.5150,0.5150,0.5150,0.5150,0.5150,6500.00
2017-07-12,0.5150,0.5150,0.5150,0.5150,0.5150,0.00
2017-07-13,0.5150,0.5150,0.5150,0.5150,0.5150,0.00
2017-07-14,0.5150,0.5150,0.5150,0.5150,0.5150,0.00
2017-07-17,0.4800,0.4999,0.4650,0.4792,0.4792,7100.00
2017-07-18,0.4947,0.4947,0.4900,0.4900,0.4900,2700.00
2017-07-19,0.5200,0.5200,0.5100,0.5100,0.5100,10000.00
2017-07-20,0.5000,0.5000,0.5000,0.5000,0.5000,2800.00
2017-07-21,0.5100,0.5100,0.5000,0.5000,0.5000,10500.00
2017-07-24,0.5200,0.5200,0.5200,0.5200,0.5200,200.00
2017-07-25,0.5200,0.5200,0.5200,0.5200,0.5200,4.00
2017-07-26,0.5200,0.5200,0.5200,0.5200,0.5200,0.00
2017-07-27,0.5200,0.5200,0.4800,0.4800,0.4800,1200.00
2017-07-28,0.4800,0.4800,0.4800,0.4800,0.4800,0.00
2017-07-31,0.4900,0.4900,0.4900,0.4900,0.4900,2000.00
2017-08-01,0.4900,0.4900,0.4900,0.4900,0.4900,0.00
2017-08-02,0.5200,0.5200,0.5200,0.5200,0.5200,1002.00
2017-08-03,0.4550,0.4550,0.4500,0.4500,0.4500,5300.00
2017-08-04,0.4995,0.4995,0.4995,0.4995,0.4995,100.00
2017-08-07,0.4995,0.4995,0.4995,0.4995,0.4995,0.00
2017-08-08,0.6000,0.6000,0.6000,0.6000,0.6000,100.00
2017-08-09,0.5175,0.5175,0.5175,0.5175,0.5175,100.00
2017-08-10,0.5175,0.5175,0.5175,0.5175,0.5175,0.00
2017-08-11,0.5175,0.5175,0.5175,0.5175,0.5175,0.00
2017-08-14,0.5000,0.5000,0.5000,0.5000,0.5000,100.00
2017-08-15,0.5000,0.5000,0.5000,0.5000,0.5000,0.00
2017-08-16,0.4500,0.5000,0.4500,0.5000,0.5000,6200.00
2017-08-17,0.5000,0.5000,0.5000,0.5000,0.5000,0.00
2017-08-18,0.5200,0.5200,0.5200,0.5200,0.5200,20100.00
2017-08-21,0.5100,0.5100,0.5000,0.5000,0.5000,15000.00
2017-08-22,0.5000,0.5000,0.5000,0.5000,0.5000,0.00
2017-08-23,0.5100,0.5647,0.5100,0.5647,0.5647,200.00
2017-08-24,0.5400,0.5400,0.5400,0.5400,0.5400,100.00
2017-08-25,0.5000,0.5500,0.4500,0.5300,0.5300,6000.00
2017-08-28,0.4999,0.4999,0.4001,0.4900,0.4900,700.00
2017-08-29,0.4500,0.5000,0.4500,0.4900,0.4900,13100.00
2017-08-30,0.4900,0.4900,0.4900,0.4900,0.4900,0.00
2017-08-31,0.5000,0.5000,0.5000,0.5000,0.5000,200.00
2017-09-01,0.5500,0.5500,0.5500,0.5500,0.5500,200.00
2017-09-05,0.5000,0.5000,0.5000,0.5000,0.5000,100.00
2017-09-06,0.4750,0.4750,0.4750,0.4750,0.4750,120.00
2017-09-07,0.4750,0.4750,0.4750,0.4750,0.4750,0.00
2017-09-08,0.5000,0.5000,0.5000,0.5000,0.5000,30100.00
2017-09-12,0.5000,0.5000,0.5000,0.5000,0.5000,0.00
2017-09-13,0.5000,0.5000,0.5000,0.5000,0.5000,0.00
2017-09-14,0.4750,0.5000,0.4668,0.4668,0.4668,2901.00
2017-09-15,0.4100,0.4100,0.4100,0.4100,0.4100,200.00
2017-09-18,0.4800,0.4800,0.4700,0.4700,0.4700,500.00
2017-09-19,0.5000,0.5000,0.5000,0.5000,0.5000,150.00
2017-09-20,0.5100,0.5100,0.5100,0.5100,0.5100,200.00
2017-09-21,0.5200,0.5200,0.5000,0.5000,0.5000,1500.00
2017-09-25,0.4800,0.5000,0.4500,0.5000,0.5000,1100.00
2017-09-26,0.4700,0.4700,0.4500,0.4500,0.4500,200.00
2017-09-27,0.5000,0.5000,0.5000,0.5000,0.5000,100.00
2017-09-28,0.5000,0.5000,0.5000,0.5000,0.5000,100.00
2017-09-29,0.4998,0.4998,0.4400,0.4998,0.4998,300.00
2017-10-02,0.4750,0.4750,0.4500,0.4500,0.4500,1200.00
2017-10-05,0.4500,0.4500,0.4500,0.4500,0.4500,25.00
2017-10-09,0.4675,0.4675,0.4300,0.4300,0.4300,3300.00
