Date,Open,High,Low,Close,Adjusted_close,Volume
1996-01-25,10.1200,10.5000,9.9500,10.0000,4.7923,5180800.00
1996-01-26,10.2500,10.2500,10.0000,10.0000,4.7923,541600.00
1996-01-29,10.0000,10.2500,10.0000,10.0000,4.7923,510000.00
1996-01-30,10.2500,10.2500,10.0000,10.0600,4.8211,63200.00
1996-01-31,10.0000,10.7300,10.0000,10.3800,4.9745,1192000.00
1996-02-01,10.6200,10.6200,10.3800,10.3800,4.9745,193600.00
1996-02-02,10.3800,10.5000,10.2500,10.5000,5.0320,482400.00
1996-02-05,10.5000,10.5000,10.1200,10.4400,5.0032,176800.00
1996-02-06,10.5000,10.5000,10.1200,10.2500,4.9121,348800.00
1996-02-07,10.1200,10.3800,10.1200,10.1200,4.8498,539600.00
1996-02-08,10.3800,10.3800,10.1200,10.1200,4.8498,887200.00
1996-02-09,10.1200,10.3800,10.1200,10.3800,4.9745,84400.00
1996-02-12,10.2500,10.6200,10.2500,10.3800,4.9745,653200.00
1996-02-13,10.2500,10.3800,10.1200,10.1900,4.8834,85200.00
1996-02-14,10.5000,10.5000,10.2500,10.2500,4.9121,146800.00
1996-02-15,10.3800,10.5000,10.2500,10.2500,4.9121,560400.00
1996-02-16,10.2500,10.5000,10.2500,10.2500,4.9121,463200.00
1996-02-20,10.6200,10.7500,10.3800,10.6200,5.0895,1046800.00
1996-02-21,10.8800,12.1200,10.8800,11.8800,5.6933,956400.00
1996-02-22,12.2500,13.0000,12.1200,12.7500,6.1102,978000.00
1996-02-23,12.8800,14.1200,12.7500,14.0000,6.7093,2207200.00
1996-02-26,13.7500,15.5600,13.7500,15.0600,7.2173,1770800.00
1996-02-27,15.2500,15.2500,13.6900,13.7500,6.5895,839600.00
1996-02-28,13.7500,14.2500,13.5000,13.8100,6.6182,581200.00
1996-02-29,13.8800,14.6200,13.7500,14.5000,6.9489,624000.00
1996-03-01,14.6200,14.6200,13.7500,14.0000,6.7093,373200.00
1996-03-04,13.7500,14.0000,13.6200,13.6900,6.5607,66400.00
1996-03-05,13.6200,14.1200,13.6200,13.6200,6.5272,383200.00
1996-03-06,13.6200,13.8800,13.5000,13.8800,6.6518,243600.00
1996-03-07,13.5000,13.8800,13.3800,13.3800,6.4122,224800.00
1996-03-08,13.2500,13.5000,12.4400,12.6200,6.0479,196400.00
1996-03-11,12.5000,13.0000,12.2500,12.7500,6.1102,230000.00
1996-03-12,12.8800,13.5000,12.7500,13.5000,6.4697,474800.00
1996-03-13,14.1200,14.7500,13.8800,13.9400,6.6805,338800.00
1996-03-14,14.2500,14.3800,13.8800,14.0000,6.7093,134000.00
1996-03-15,14.0000,14.0000,13.6200,13.6900,6.5607,117600.00
1996-03-18,13.5000,13.7500,13.5000,13.5000,6.4697,154400.00
1996-03-19,13.5000,13.7500,13.5000,13.7500,6.5895,51600.00
1996-03-20,13.6200,13.7500,13.1200,13.2500,6.3499,328400.00
1996-03-21,13.3800,13.3800,12.8800,12.8800,6.1725,271200.00
1996-03-22,12.8800,13.2500,12.8800,13.2500,6.3499,171600.00
1996-03-25,13.2500,13.2500,13.0000,13.2500,6.3499,29200.00
1996-03-26,13.0000,13.2500,13.0000,13.1200,6.2876,107200.00
1996-03-27,12.8800,13.1200,12.8800,12.8800,6.1725,4800.00
1996-03-28,12.8800,13.1200,12.8800,13.1200,6.2876,6400.00
1996-03-29,12.8800,13.1200,12.8800,13.0000,6.2300,72800.00
1996-04-01,13.2500,13.2500,13.0000,13.0000,6.2300,28000.00
1996-04-02,13.2500,13.8800,13.1200,13.8800,6.6518,283200.00
1996-04-03,13.8800,14.3800,13.3800,14.2500,6.8291,361200.00
1996-04-04,14.5000,14.5000,13.8800,14.0600,6.7380,130000.00
1996-04-08,13.7500,14.1200,13.6200,14.1200,6.7668,62800.00
1996-04-09,14.2500,14.5000,13.8800,14.5000,6.9489,156800.00
1996-04-10,14.6200,14.6200,14.2500,14.2500,6.8291,151600.00
1996-04-11,14.2500,14.5000,14.0000,14.5000,6.9489,77200.00
1996-04-12,14.5000,14.5000,14.1200,14.1200,6.7668,24400.00
1996-04-15,14.1200,14.5000,14.1200,14.4400,6.9201,95200.00
1996-04-16,14.3800,14.5000,14.3800,14.3800,6.8914,45200.00
1996-04-17,14.3800,15.2500,14.3800,15.2500,7.3083,470400.00
1996-04-18,15.3800,15.8800,15.2500,15.7500,7.5479,264400.00
1996-04-19,15.8800,16.2500,15.6200,15.8800,7.6102,160400.00
1996-04-22,16.2500,16.2500,15.7500,15.8800,7.6102,155600.00
1996-04-23,15.7500,16.0000,15.7500,15.7500,7.5479,72800.00
1996-04-24,16.0000,16.2500,15.6200,16.0000,7.6677,124400.00
1996-04-25,16.0000,16.0000,15.5000,15.7500,7.5479,143200.00
1996-04-26,15.7500,15.8800,15.6200,15.8800,7.6102,64400.00
1996-04-29,15.6200,15.6200,15.4400,15.6200,7.4856,50800.00
1996-04-30,15.2500,15.5000,15.2500,15.3100,7.3371,140000.00
