Date,Open,High,Low,Close,Adjusted_close,Volume
1994-01-03,74.8700,74.8700,73.8700,73.8700,1.1788,5609600.00
1994-01-04,73.8700,74.1300,73.6200,74.1300,1.1829,8256000.00
1994-01-05,74.1300,74.3800,73.7500,74.3800,1.1869,3420800.00
1994-01-06,74.1300,76.1300,74.1300,75.5000,1.2048,13468800.00
1994-01-10,80.5000,81.5000,80.2500,80.2500,1.2806,22736000.00
1994-01-11,80.3800,80.3800,78.6200,79.0000,1.2607,10192000.00
1994-01-12,78.8700,79.2500,78.6200,79.2500,1.2646,4227200.00
1994-01-13,79.5000,80.2500,79.5000,80.1300,1.2787,3123200.00
1994-01-17,79.2500,79.3800,79.0000,79.3800,1.2667,6073600.00
1994-01-18,79.3800,81.0000,79.2500,80.3800,1.2827,16668800.00
1994-01-19,80.7500,81.2500,80.5000,80.8700,1.2905,12064000.00
1994-01-20,80.8700,81.6200,80.6200,81.3800,1.2986,6633600.00
1994-01-24,79.5000,79.5000,78.8700,79.0000,1.2607,4611200.00
1994-01-25,78.7500,78.7500,78.2500,78.5000,1.2527,3923200.00
1994-01-26,77.7500,78.0000,77.0000,77.0000,1.2287,5795200.00
1994-01-27,77.2500,77.2500,75.5000,75.5000,1.2048,12480000.00
1994-01-31,73.0000,73.3800,72.7500,73.1300,1.1670,14364800.00
1994-02-01,74.8700,76.2500,74.3800,75.8700,1.2107,18316800.00
1994-02-02,75.8700,79.0000,75.6200,78.1300,1.2468,13187200.00
1994-02-03,78.6200,79.6200,78.6200,79.3800,1.2667,11852800.00
1994-02-07,78.2500,78.2500,77.7500,77.7500,1.2407,10950400.00
1994-02-08,76.5000,76.5000,75.2500,75.2500,1.2008,14656000.00
1994-02-09,76.5000,77.7500,76.5000,77.0000,1.2287,12172800.00
1994-02-10,76.6200,77.1300,76.5000,77.0000,1.2287,7558400.00
1994-02-14,77.7500,79.7500,77.7500,79.5000,1.2686,11411200.00
1994-02-15,79.5000,79.7500,78.8700,79.1300,1.2627,7712000.00
1994-02-16,78.5000,78.5000,76.7500,78.5000,1.2527,5145600.00
1994-02-17,75.0000,75.1300,72.5000,73.5000,1.1729,57523200.00
1994-02-22,74.0000,74.3800,73.7500,73.7500,1.1769,9808000.00
1994-02-23,74.0000,75.3800,74.0000,75.0000,1.1968,9849600.00
1994-02-24,75.0000,75.0000,73.7500,74.2500,1.1849,8668800.00
1994-02-28,71.5000,75.3800,70.7500,75.2500,1.2008,66995200.00
1994-03-01,75.2500,75.3800,74.1300,74.5000,1.1888,30019200.00
1994-03-02,74.0000,75.5000,74.0000,75.5000,1.2048,21523200.00
1994-03-03,75.5000,77.2500,75.5000,76.5000,1.2208,9785600.00
1994-03-07,76.7500,76.8700,76.0000,76.0000,1.2128,11696000.00
1994-03-08,75.0000,75.2500,74.6200,75.2500,1.2008,11497600.00
1994-03-09,75.0000,76.0000,75.0000,75.7500,1.2088,12496000.00
1994-03-10,75.5000,77.3800,75.5000,76.6200,1.2227,13228800.00
1994-03-14,77.0000,78.3800,76.8700,78.0000,1.2447,8931200.00
1994-03-15,78.7500,79.5000,78.6200,78.7500,1.2567,5257600.00
1994-03-16,78.2500,78.3800,77.8700,77.8700,1.2426,4342400.00
1994-03-17,78.0000,78.0000,77.1300,77.7500,1.2407,3116800.00
1994-03-21,77.0000,77.0000,74.6200,75.0000,1.1968,137136000.00
1994-03-22,74.0000,74.7500,74.0000,74.0000,1.1809,36665600.00
1994-03-23,73.0000,73.6200,72.5000,73.2500,1.1689,24313600.00
1994-03-24,73.0000,74.1300,73.0000,74.1300,1.1829,37968000.00
1994-03-28,73.2500,73.2500,72.5000,73.0000,1.1649,150089600.00
1994-03-29,72.2500,73.2500,71.2500,71.5000,1.1410,28460800.00
1994-03-30,71.8700,72.2500,70.7500,71.1300,1.1351,83648000.00
1994-03-31,71.3800,73.6200,71.0000,73.5000,1.1729,38844800.00
1994-04-04,75.7500,76.2500,75.0000,76.2500,1.2168,18918400.00
1994-04-05,76.3800,77.0000,76.3800,76.6200,1.2227,28166400.00
1994-04-06,77.8700,77.8700,76.2500,77.0000,1.2287,4198400.00
1994-04-07,76.8700,77.2500,76.3800,77.0000,1.2287,1980800.00
1994-04-11,75.8700,75.8700,73.8700,74.5000,1.1888,8374400.00
1994-04-12,74.5000,75.6200,74.3800,75.1300,1.1989,7040000.00
1994-04-13,75.2500,76.6200,75.1300,76.2500,1.2168,6998400.00
1994-04-18,76.6200,76.7500,75.6200,76.1300,1.2149,4131200.00
1994-04-19,75.8700,76.2500,73.6200,73.8700,1.1788,10902400.00
1994-04-20,74.1300,74.2500,73.8700,74.0000,1.1809,4918400.00
1994-04-21,74.1300,76.3800,74.0000,75.7500,1.2088,5593600.00
1994-07-01,41.2500,42.1300,41.2500,42.1300,0.6723,29958400.00
1994-07-05,43.5000,43.7500,43.1300,43.7500,0.6981,11174400.00
1994-07-06,43.7500,45.2500,43.7500,45.2500,0.7221,7740800.00
1994-07-07,45.1300,45.8700,45.0000,45.8700,0.7320,10185600.00
1994-07-08,45.7500,46.2500,45.3800,46.1300,0.7361,4668800.00
1994-07-11,45.8700,47.5000,45.8700,47.2500,0.7540,6176000.00
1994-07-12,47.5000,49.5000,47.5000,48.8700,0.7799,17209600.00
1994-07-13,48.8700,49.3800,48.5000,49.2500,0.7859,11158400.00
1994-07-14,48.2500,48.8700,47.8700,48.1300,0.7680,12000000.00
1994-07-15,46.8700,47.3800,46.8700,47.0000,0.7500,7952000.00
1994-07-18,47.2500,48.2500,47.1300,48.2500,0.7700,3824000.00
1994-07-19,47.8700,48.0000,47.2500,47.2500,0.7540,3248000.00
1994-07-20,47.2500,47.2500,46.6200,47.0000,0.7500,3916800.00
1994-07-21,47.3800,47.7500,47.3800,47.5000,0.7580,2345600.00
1994-07-22,47.5000,47.8700,47.3800,47.8700,0.7639,1526400.00
1994-07-25,48.0000,48.0000,47.6200,47.8700,0.7639,1606400.00
1994-07-26,48.5000,48.8700,48.2500,48.5000,0.7739,1091200.00
1994-07-27,49.2500,49.2500,48.7500,49.1300,0.7840,1836800.00
1994-07-28,48.5000,48.7500,48.3800,48.3800,0.7720,1164800.00
1994-07-29,48.5000,49.2500,48.5000,49.1300,0.7840,5705600.00
1994-08-01,49.3800,50.0000,49.3800,49.7500,0.7939,2700800.00
1994-08-02,49.8700,49.8700,49.2500,49.2500,0.7859,1270400.00
1994-08-03,49.3800,49.6200,49.3800,49.6200,0.7918,1011200.00
1994-08-04,49.7500,49.7500,49.0000,49.0000,0.7819,761600.00
1994-08-05,49.1300,49.1300,48.8700,49.0000,0.7819,1184000.00
1994-08-08,48.7500,48.7500,48.5000,48.7500,0.7779,3913600.00
1994-08-09,48.2500,48.5000,48.2500,48.2500,0.7700,1094400.00
1994-08-10,47.7500,48.0000,47.6200,47.8700,0.7639,5728000.00
1994-08-11,47.6200,48.3800,47.2500,48.1300,0.7680,4406400.00
1994-08-12,47.5000,47.7500,47.3800,47.6200,0.7599,4000000.00
1994-08-15,47.7500,48.3800,47.6200,48.1300,0.7680,2022400.00
1994-08-16,48.0000,48.0000,47.5000,47.8700,0.7639,2179200.00
1994-08-17,47.8700,49.1300,47.7500,49.1300,0.7840,8022400.00
1994-08-18,49.8700,51.8700,49.8700,51.7500,0.8258,3065600.00
1994-08-19,52.0000,53.5000,52.0000,52.6200,0.8397,3152000.00
1994-08-22,52.0000,52.3800,51.7500,52.3800,0.8359,2652800.00
1994-08-23,51.8700,52.8700,51.8700,52.5000,0.8378,7398400.00
1994-08-24,52.6200,52.6200,51.8700,52.3800,0.8359,7283200.00
1994-08-25,52.8700,53.7500,52.7500,53.0000,0.8458,26713600.00
1994-08-26,53.2500,53.2500,52.6200,52.7500,0.8418,10188800.00
1994-08-29,53.0000,53.2500,52.8700,52.8700,0.8437,7580800.00
1994-08-30,52.8700,53.3800,52.6200,53.3800,0.8518,5766400.00
1994-08-31,54.2500,55.3800,54.2500,54.7500,0.8737,5430400.00
1994-09-01,55.0000,55.3800,54.8700,55.0000,0.8777,3158400.00
1994-09-02,55.2500,55.5000,55.0000,55.3800,0.8837,2480000.00
1994-09-06,55.5000,55.5000,54.8700,55.1300,0.8797,1513600.00
1994-09-07,55.2500,55.3800,55.0000,55.1300,0.8797,2614400.00
1994-09-08,55.3800,55.7500,55.2500,55.7500,0.8896,2659200.00
1994-09-09,56.7500,57.1300,56.0000,56.0000,0.8936,4860800.00
1994-09-12,56.3800,57.6200,56.2500,57.5000,0.9176,2076800.00
1994-09-13,57.7500,57.7500,56.0000,56.2500,0.8976,4300800.00
1994-09-14,55.7500,56.5000,55.5000,56.5000,0.9016,6185600.00
1994-09-15,56.5000,56.5000,55.6200,56.3800,0.8997,9446400.00
1994-09-16,56.5000,56.7500,56.2500,56.5000,0.9016,2473600.00
1994-09-19,56.2500,56.6200,56.0000,56.3800,0.8997,2601600.00
1994-09-20,55.2500,55.2500,54.8700,54.8700,0.8756,8483200.00
1994-09-21,55.1300,55.5000,54.8700,54.8700,0.8756,3984000.00
1994-09-22,54.7500,55.2500,54.6200,55.0000,0.8777,8444800.00
1994-09-23,55.5000,56.7500,55.5000,56.3800,0.8997,3033600.00
1994-09-26,56.3800,56.7500,56.0000,56.5000,0.9016,4521600.00
1994-09-27,56.5000,57.7500,56.5000,57.6200,0.9195,7232000.00
1994-09-28,58.5000,58.6200,58.2500,58.2500,0.9295,6777600.00
1994-09-29,58.3800,58.7500,58.2500,58.6200,0.9354,2406400.00
1994-09-30,58.3800,59.0000,58.3800,58.5000,0.9335,2940800.00
1994-10-03,58.6200,59.2500,58.5000,59.1300,0.9436,3753600.00
1994-10-04,59.1300,59.1300,58.5000,58.5000,0.9335,7363200.00
1994-10-05,58.1300,58.2500,57.2500,57.7500,0.9216,7744000.00
1994-10-06,57.0000,57.0000,56.3800,56.5000,0.9016,7472000.00
1994-10-07,55.2500,56.5000,55.2500,56.0000,0.8936,10467200.00
1994-10-10,56.1300,56.6200,56.1300,56.6200,0.9035,5084800.00
1994-10-11,57.6200,60.2500,57.6200,59.8700,0.9554,16035200.00
1994-10-12,60.8700,61.3800,60.7500,61.0000,0.9734,13993600.00
1994-10-13,60.8700,62.8700,60.8700,62.1300,0.9915,17174400.00
1994-10-14,63.5000,66.0000,63.5000,65.3800,1.0433,14102400.00
1994-10-17,66.0000,66.7500,65.8700,66.1300,1.0553,10563200.00
1994-10-18,65.0000,65.8700,64.5000,65.7500,1.0492,12768000.00
1994-10-19,68.7500,74.5000,68.7500,72.2500,1.1529,36323200.00
1994-10-20,74.0000,77.0000,73.5000,76.1300,1.2149,22284800.00
1994-10-21,73.8700,78.0000,73.2500,75.0000,1.1968,29305600.00
1994-10-24,74.5000,75.1300,72.3800,72.3800,1.1550,11324800.00
1994-10-25,72.0000,74.6200,72.0000,74.1300,1.1829,17609600.00
1994-10-26,75.7500,76.2500,75.1300,75.8700,1.2107,14624000.00
1994-10-27,77.1300,78.0000,77.0000,77.5000,1.2367,13504000.00
1994-10-28,77.0000,77.0000,76.3800,76.3800,1.2188,17731200.00
1994-10-31,75.3800,75.5000,74.7500,75.1300,1.1989,11001600.00
1994-11-01,74.6200,74.6200,73.6200,73.8700,1.1788,8419200.00
1994-11-02,73.6200,74.7500,73.3800,73.6200,1.1748,12531200.00
1994-11-03,74.7500,75.8700,74.2500,74.2500,1.1849,6320000.00
1994-11-04,73.6200,74.5000,73.2500,73.3800,1.1710,16332800.00
1994-11-07,72.3800,72.3800,71.6200,71.6200,1.1429,5312000.00
1994-11-08,72.2500,73.2500,72.2500,73.0000,1.1649,13952000.00
1994-11-09,74.7500,74.7500,73.6200,73.6200,1.1748,13056000.00
1994-11-10,73.7500,74.2500,73.5000,73.7500,1.1769,8092800.00
1994-11-11,73.7500,74.1300,73.5000,74.0000,1.1809,9686400.00
1994-11-14,74.1300,74.1300,73.6200,73.7500,1.1769,4934400.00
1994-11-15,72.1300,74.1300,72.1300,73.2500,1.1689,16451200.00
1994-11-16,74.2500,75.2500,74.0000,75.1300,1.1989,28233600.00
1994-11-17,74.7500,75.0000,74.1300,74.1300,1.1829,15040000.00
