Date,Open,High,Low,Close,Adjusted_close,Volume
1999-01-22,21.0000,23.4400,18.6300,19.6900,1.5196,67867166.00
1999-01-25,21.2500,22.0000,19.6900,21.7500,1.6786,12761993.00
1999-01-26,22.0000,22.4400,19.7500,20.0600,1.5481,8579995.00
1999-01-27,20.1300,20.6300,19.0000,20.0000,1.5435,6109196.00
1999-01-28,20.0000,20.1300,19.8100,19.9400,1.5389,5687997.00
1999-01-29,19.9400,20.0000,19.0000,19.0000,1.4663,6100796.00
1999-02-01,19.0000,19.5000,19.0000,19.3800,1.4956,3867598.00
1999-02-02,19.0000,19.5000,17.3100,17.8800,1.3799,6602396.00
1999-02-03,17.6300,18.5000,17.5000,18.2500,1.4084,1877999.00
1999-02-04,18.5000,19.7500,18.2500,19.2500,1.4856,4547997.00
1999-02-05,19.5600,20.0000,19.0600,19.8100,1.5288,3421198.00
1999-02-08,19.9400,20.0000,19.1300,19.1300,1.4764,3851998.00
1999-02-09,19.5000,19.6300,18.1300,18.3800,1.4185,2174398.00
1999-02-10,18.3800,18.8800,17.8800,18.1900,1.4038,3705598.00
1999-02-11,18.2500,20.5000,18.2500,19.7500,1.5242,3305998.00
1999-02-12,20.0000,21.0000,20.0000,20.8800,1.6114,2743198.00
1999-02-16,21.2500,22.1300,18.8800,21.0000,1.6207,5275197.00
1999-02-17,20.5000,20.7500,19.5000,19.8800,1.5342,1693199.00
1999-02-18,20.5000,20.7500,19.6300,20.1900,1.5582,1767599.00
1999-02-19,20.0000,21.2500,19.7500,20.8800,1.6114,1883999.00
1999-02-22,21.2500,21.5000,19.8800,21.0000,1.6207,5131197.00
1999-02-23,21.5000,22.4400,20.2500,22.0000,1.6978,3452398.00
1999-02-24,25.2500,26.2500,23.1900,23.7500,1.8329,15319192.00
1999-02-25,24.7500,25.5000,22.6300,23.0000,1.7750,3728398.00
1999-02-26,23.2500,24.0000,21.7500,21.9400,1.6932,4315197.00
1999-03-01,22.5000,23.0000,21.0000,22.0600,1.7025,2303998.00
1999-03-02,22.0000,22.1300,21.5000,21.8800,1.6886,1381199.00
1999-03-03,22.0000,22.0000,20.2500,20.3800,1.5728,1534799.00
1999-03-04,21.3800,21.5000,19.7500,19.9400,1.5389,1433999.00
1999-03-05,20.1300,21.1300,20.1300,21.0600,1.6253,1969199.00
1999-03-08,20.5000,22.0000,20.1300,21.3800,1.6500,1897199.00
1999-03-09,21.3100,22.3800,21.3100,22.0600,1.7025,3579598.00
