Date,Open,High,Low,Close,Adjusted_close,Volume
2015-07-16,22.6800,22.9900,20.5700,21.1500,21.1500,12591082.00
2015-07-17,21.2400,21.3500,20.0000,20.0400,20.0400,1260506.00
2015-07-20,20.4000,21.1800,19.5800,20.2000,20.2000,485590.00
2015-07-21,20.0000,20.4500,19.6240,20.0000,20.0000,207677.00
2015-07-22,20.0000,20.8200,20.0000,20.6500,20.6500,199662.00
2015-07-23,20.8300,20.9000,20.3300,20.3700,20.3700,95332.00
2015-07-24,20.2200,20.8900,19.7900,20.0000,20.0000,139124.00
2015-07-27,20.0000,20.1700,18.2800,19.9700,19.9700,576596.00
2015-07-28,19.9400,20.8350,18.7200,19.7100,19.7100,294181.00
2015-07-29,19.4600,19.8100,19.2700,19.7000,19.7000,150521.00
2015-07-30,19.4500,19.7300,19.0000,19.6000,19.6000,188234.00
2015-07-31,19.5500,19.6800,19.4300,19.6200,19.6200,99722.00
2015-08-03,19.5600,20.9100,19.4400,20.8800,20.8800,267256.00
2015-08-04,20.9000,21.1900,19.7000,20.5700,20.5700,299719.00
2015-08-05,20.6100,20.8495,19.8000,19.9900,19.9900,237507.00
2015-08-06,20.0000,20.4300,19.7500,19.9500,19.9500,129565.00
2015-08-07,19.8100,20.0600,19.8000,19.9400,19.9400,150970.00
2015-08-10,19.8900,20.8300,18.8000,19.1300,19.1300,310550.00
2015-08-11,18.8600,19.8300,18.7900,19.3100,19.3100,220060.00
2015-08-12,19.3000,19.9254,18.9500,19.7300,19.7300,145352.00
2015-08-13,19.7900,19.9400,19.1200,19.2500,19.2500,101124.00
2015-08-14,19.4200,20.0000,18.9700,19.9100,19.9100,201500.00
2015-08-17,19.9900,20.4000,19.1650,19.4500,19.4500,265914.00
2015-08-18,19.6600,20.0095,19.1801,19.8700,19.8700,110047.00
2015-08-19,19.7500,20.3200,19.5200,19.8100,19.8100,162911.00
2015-08-20,19.7500,20.0300,19.5400,19.5400,19.5400,132704.00
2015-08-21,19.2900,19.7400,18.2800,18.3200,18.3200,331972.00
2015-08-24,17.3600,18.0100,16.0000,16.7200,16.7200,313979.00
2015-08-25,17.4000,17.7400,15.7000,15.9100,15.9100,493805.00
2015-08-26,16.3700,16.7100,16.2200,16.5200,16.5200,230287.00
2015-08-27,16.8600,17.3100,16.4150,16.6200,16.6200,321943.00
2015-08-28,16.7200,17.6300,16.5900,17.5700,17.5700,169368.00
2015-08-31,17.7000,17.9700,16.9700,17.8900,17.8900,184184.00
2015-09-01,17.6200,18.0450,17.2600,17.5500,17.5500,126512.00
2015-09-02,17.9200,17.9700,16.9800,17.1000,17.1000,380037.00
2015-09-03,17.0700,17.6400,16.2200,16.6100,16.6100,365455.00
2015-09-04,16.3100,17.2900,16.3100,17.0300,17.0300,185257.00
2015-09-08,17.4700,17.8100,16.9500,17.2700,17.2700,236913.00
2015-09-09,17.2900,18.2700,16.9975,17.0900,17.0900,326073.00
2015-09-10,17.4800,18.7400,17.3100,18.2500,18.2500,582143.00
2015-09-11,18.5000,18.7800,17.7100,18.2600,18.2600,498268.00
2015-09-14,18.2400,18.4500,17.7800,18.1000,18.1000,405832.00
2015-09-15,18.1900,18.4400,17.7400,18.1900,18.1900,238376.00
2015-09-16,18.1000,18.7000,17.9901,18.6800,18.6800,283246.00
2015-09-17,18.5600,18.8300,18.2500,18.7000,18.7000,257544.00
2015-09-18,18.3300,18.9500,17.5300,17.8200,17.8200,882220.00
2015-09-21,17.9700,18.6400,17.1900,17.3100,17.3100,269708.00
2015-09-22,17.1500,17.3100,16.8200,17.2700,17.2700,244493.00
2015-09-23,17.2500,17.4050,16.1800,16.3600,16.3600,271356.00
2015-09-24,16.3400,17.9600,15.8600,16.1400,16.1400,257308.00
