Date,Open,High,Low,Close,Adjusted_close,Volume
2003-10-01,71.7500,73.2900,71.7500,73.1500,63.9855,1730000.00
2003-10-02,73.1900,73.7000,72.8400,73.4990,64.2908,2448100.00
2003-10-03,74.7500,75.7500,74.6500,75.1900,65.7699,1500800.00
2003-10-06,75.2000,75.8700,75.0400,75.7810,66.2869,904600.00
2003-10-07,75.4200,76.3700,75.1500,76.3690,66.8012,1065200.00
2003-10-08,76.7200,76.7200,75.5500,75.8600,66.3560,736900.00
2003-10-09,76.8000,77.5800,75.9700,76.3500,66.7846,874600.00
2003-10-10,76.6000,76.9550,76.2000,76.7300,67.1170,223800.00
2003-10-13,76.9400,77.7900,76.9400,77.3500,67.6593,348200.00
2003-10-14,77.3400,77.7890,77.0000,77.7700,68.0267,695100.00
2003-10-15,78.6000,78.8300,77.3700,77.5600,67.8430,616800.00
2003-10-16,77.5000,78.1900,77.1900,78.0100,68.2366,426000.00
2003-10-17,77.9000,78.1400,76.4000,76.5000,66.9158,417600.00
2003-10-20,76.7200,77.0300,76.1900,76.9600,67.3182,485300.00
2003-10-21,77.1620,77.8400,76.9500,77.6040,67.8815,298500.00
2003-10-22,76.9200,77.2300,75.8300,75.9700,66.4522,444600.00
2003-10-23,75.4300,75.8000,74.7800,75.5100,66.0499,534200.00
2003-10-24,74.5500,74.6900,73.6300,74.6300,65.2801,322600.00
2003-10-27,75.0400,75.7200,74.9300,75.1560,65.7402,311200.00
2003-10-28,75.5000,77.2700,75.5000,77.2400,67.5631,368400.00
2003-10-29,76.9600,77.5770,76.9600,77.5000,67.7905,375300.00
2003-10-30,78.3800,78.4300,77.2700,77.2700,67.5894,457600.00
2003-10-31,77.6800,77.7500,77.1300,77.3400,67.6506,525300.00
2003-11-03,77.5900,78.8330,77.5900,78.7440,68.8787,362000.00
2003-11-04,78.6000,78.9000,78.2000,78.3500,68.5341,195800.00
2003-11-05,78.3000,78.7200,77.5000,78.5000,68.6653,233500.00
2003-11-06,78.6900,79.1780,78.1300,79.0100,69.1114,175200.00
2003-11-07,79.2300,79.6800,78.8200,78.8600,68.9802,157100.00
2003-11-10,78.7700,78.9000,77.5730,77.6200,67.8955,115200.00
2003-11-11,77.8500,77.8500,76.9000,77.1800,67.5106,211700.00
2003-11-12,77.4000,78.8900,77.4000,78.8690,68.9880,182800.00
2003-11-13,78.7000,78.8500,78.2820,78.7100,68.8489,199000.00
2003-11-14,78.6300,79.1000,77.1800,77.2100,67.5369,216700.00
2003-11-17,77.1300,77.1300,75.5800,76.1800,66.6359,279200.00
2003-11-18,76.7000,77.0010,75.2870,75.3000,65.8662,316600.00
2003-11-19,75.2800,76.1300,75.0800,75.9700,66.4522,162200.00
2003-11-20,76.1800,76.6600,75.2000,75.2800,65.8487,223400.00
2003-11-21,75.5500,75.8700,75.0400,75.7200,66.2335,111200.00
2003-11-24,76.4800,77.8700,76.4800,77.8700,68.1142,197500.00
2003-11-25,77.9900,78.3400,77.7300,77.7900,68.0442,178000.00
2003-11-26,78.4000,78.4900,77.2500,78.1580,68.3661,186600.00
2003-11-28,78.2200,78.5500,78.0500,78.2900,68.4816,79700.00
2003-12-01,78.7000,79.5900,78.6800,79.4800,69.5225,336000.00
2003-12-02,79.4300,79.9100,79.1300,79.1500,69.2338,280800.00
2003-12-03,79.7100,80.0500,78.5100,78.5100,68.6740,331000.00
2003-12-04,78.5000,78.8500,77.6500,78.7600,68.8927,609600.00
2003-12-05,78.0200,78.3800,77.3800,77.5800,67.8605,302300.00
2003-12-08,77.4000,77.9240,77.0000,77.8300,68.0792,342300.00
2003-12-09,78.2300,78.3600,76.2400,76.2400,66.6884,439700.00
2003-12-10,76.3500,76.6200,75.4600,76.1400,66.6009,276900.00
2003-12-11,76.3800,77.8500,76.1800,77.6200,67.8955,424500.00
2003-12-12,78.0000,78.0000,77.2500,77.9590,68.1920,166800.00
2003-12-15,79.5000,80.0000,76.7500,76.8000,67.1782,669700.00
2003-12-16,76.7000,77.1100,76.0000,77.0000,67.3532,247700.00
2003-12-17,76.8200,77.0600,76.2900,76.7700,67.1520,319700.00
2003-12-18,77.0600,78.3200,77.0200,78.1000,68.3154,296400.00
2003-12-19,78.2500,78.2500,77.5500,77.9300,68.2279,125900.00
2003-12-22,77.6781,78.2200,77.5500,78.0500,68.3330,294300.00
2003-12-23,78.1400,78.8400,78.0000,78.8400,69.0246,131000.00
2003-12-24,78.7500,78.9400,78.4100,78.6700,68.8758,42500.00
2003-12-26,78.4600,79.2500,78.4600,78.8100,68.9983,54800.00
2003-12-29,79.0300,80.1700,78.9530,80.1700,70.1890,185400.00
2003-12-30,80.5200,80.5200,79.8800,80.1900,70.2065,87400.00
2003-12-31,80.5000,80.6100,79.7500,79.8100,69.8738,112600.00
2004-01-02,80.6000,80.8300,79.9000,80.0600,70.0927,72700.00
2004-01-05,80.6250,81.8000,80.6250,81.7500,71.5723,100400.00
2004-01-06,81.9200,82.4500,81.4500,82.2700,72.0276,75400.00
2004-01-07,82.2500,82.9500,81.7600,82.9300,72.6054,111200.00
2004-01-08,83.5000,83.8380,83.0300,83.7100,73.2883,185400.00
2004-01-09,83.3800,84.4900,83.1000,83.4000,73.0169,152300.00
2004-01-12,83.8500,84.4500,83.3400,84.4500,73.9362,131600.00
2004-01-13,84.5000,84.6000,83.0900,83.6500,73.2358,184600.00
2004-01-14,84.1400,84.3400,83.6800,84.2100,73.7261,231800.00
2004-01-15,84.2800,84.7100,83.0000,84.2410,73.7532,262200.00
2004-01-16,84.8000,85.5000,84.6200,85.4500,74.8117,274100.00
2004-01-20,85.8500,85.8500,85.1300,85.8500,75.1619,329200.00
2004-01-21,86.0900,86.2400,84.7100,85.4000,74.7679,177400.00
2004-01-22,85.0200,85.9900,84.6500,84.6500,74.1113,146400.00
2004-01-23,85.1000,85.7900,84.1500,84.6600,74.1200,219600.00
2004-01-26,84.4400,85.9400,84.3800,85.8500,75.1619,122900.00
2004-01-27,85.0000,85.9500,84.4700,84.4700,73.9537,197200.00
2004-01-28,85.2800,86.0000,82.7000,82.9600,72.6317,257300.00
2004-01-29,82.6700,83.3200,81.4800,82.5000,72.2289,312400.00
2004-01-30,82.7000,83.3600,82.1500,82.3420,72.0906,145300.00
2004-02-02,83.2900,83.2900,81.9400,82.2100,71.9751,186000.00
2004-02-03,82.4800,82.6990,82.0300,82.3800,72.1239,205200.00
2004-02-04,81.6500,81.6500,80.3300,80.3300,70.3291,242700.00
2004-02-05,80.7300,81.0010,80.2900,80.6500,70.6093,129300.00
2004-02-06,80.6800,82.4000,80.6800,82.3430,72.0915,160200.00
2004-02-09,82.5800,82.7900,82.2400,82.2700,72.0276,65500.00
2004-02-10,82.2000,82.9300,82.1800,82.6500,72.3603,183800.00
2004-02-11,82.7000,83.3500,82.3700,83.3000,72.9293,139400.00
2004-02-12,83.5500,83.5800,82.5400,82.7200,72.4216,103100.00
2004-02-13,83.6300,83.6300,81.7600,81.9800,71.7737,175500.00
2004-02-17,82.9100,83.6000,82.2200,82.9500,72.6229,68500.00
2004-02-18,83.2200,83.3100,82.7410,82.8300,72.5179,45100.00
2004-02-19,83.3200,83.7000,81.6800,81.7000,71.5285,106700.00
2004-02-20,81.0900,81.8000,80.6100,81.4270,71.2895,195200.00
2004-02-23,81.4500,81.5500,79.7500,80.0500,70.0840,135400.00
2004-02-24,79.7800,80.5000,79.4100,80.1000,70.1277,362400.00
2004-02-25,80.0500,80.8200,79.6000,80.6900,70.6443,144000.00
2004-02-26,80.5900,81.3000,80.2800,81.1030,71.0059,92900.00
2004-02-27,81.4500,81.6000,80.2400,80.8500,70.7844,125900.00
2004-03-01,81.1200,82.1000,80.9000,82.0400,71.8262,73300.00
2004-03-02,81.8700,82.3900,81.4100,81.4100,71.2746,267400.00
2004-03-03,81.2600,81.3300,80.5500,81.2300,71.1171,98400.00
2004-03-04,81.1700,81.9600,81.0300,81.9500,71.7474,49500.00
2004-03-05,81.2000,82.5300,81.0710,81.7300,71.5548,108100.00
2004-03-08,82.1200,82.1300,80.1500,80.1800,70.1978,124000.00
2004-03-09,80.3000,80.3000,79.2100,79.6300,69.7163,218500.00
2004-03-10,79.4000,80.3500,78.2500,78.4700,68.7007,185900.00
2004-03-11,78.0900,79.0900,77.5500,77.6000,67.9390,209500.00
2004-03-12,77.8000,79.1200,77.6500,79.0600,69.2172,246700.00
2004-03-15,78.2800,78.8100,77.2900,77.3900,67.7551,206200.00
2004-03-16,78.2900,78.2900,76.8000,77.5800,67.9215,225700.00
2004-03-17,78.2500,79.0000,78.1500,78.8500,69.0334,102600.00
2004-03-18,78.0400,78.6500,77.3900,78.3300,68.5781,144200.00
2004-03-19,78.3800,78.6900,77.4400,77.4800,67.8777,74600.00
2004-03-22,77.2800,77.3700,75.5800,76.1500,66.7125,231100.00
2004-03-23,76.6400,76.9200,75.6900,75.9500,66.5373,146100.00
2004-03-24,75.7000,76.6900,75.5000,76.1900,66.7476,124800.00
2004-03-25,76.6000,78.4200,76.1900,78.2800,68.5786,176100.00
2004-03-26,78.3600,78.7800,78.0600,78.2300,68.5348,169500.00
2004-03-29,78.6200,79.6300,78.6200,79.4600,69.6123,209000.00
2004-03-30,79.1000,79.7200,78.8200,79.7100,69.8313,139800.00
2004-03-31,80.0900,80.1900,79.1100,79.4800,69.6298,102200.00
2004-04-01,80.1100,80.4900,79.6200,80.2300,70.2869,184900.00
2004-04-02,81.4600,82.0000,81.2500,81.9700,71.8112,144300.00
2004-04-05,82.5000,82.8400,81.7600,82.8300,72.5647,103400.00
2004-04-06,82.4800,82.5200,81.8900,82.1100,71.9339,66900.00
2004-04-07,81.4100,82.1900,81.2000,81.7400,71.6097,80700.00
2004-04-08,83.1500,83.1900,81.6100,81.9800,71.8200,57700.00
2004-04-12,82.4000,82.8800,81.5900,82.2900,72.0916,59900.00
2004-04-13,83.0000,83.0000,80.6900,80.9100,70.8826,222800.00
2004-04-14,80.5500,81.3500,80.2500,80.7100,70.7074,222100.00
2004-04-15,80.9300,81.0400,79.1600,79.8900,69.9890,327200.00
2004-04-16,79.1300,80.0600,78.3200,79.7200,69.8401,184500.00
2004-04-19,80.0700,80.6800,79.3800,80.5100,70.5322,189700.00
2004-04-20,80.7500,81.3000,78.8500,78.9000,69.1217,102000.00
2004-04-21,79.0000,79.7500,78.6700,79.5600,69.6999,188700.00
2004-04-22,79.2100,81.4800,79.2100,81.0300,70.9877,140400.00
2004-04-23,81.3400,81.7500,81.0200,81.6300,71.5134,52000.00
2004-04-26,82.0000,82.1600,81.0000,81.1300,71.0753,82200.00
2004-04-27,81.8600,81.9000,80.7900,81.0500,71.0053,38200.00
2004-04-28,80.7500,81.2300,79.1100,79.2400,69.4196,181600.00
2004-04-29,80.0800,80.0800,77.5800,78.2000,68.5085,250100.00
2004-04-30,78.4300,78.4300,76.5400,76.5400,67.0542,150400.00
2004-05-03,76.7600,78.0200,76.6300,77.4500,67.8514,148700.00
2004-05-04,77.6100,78.5700,77.0600,77.8700,68.2194,89000.00
2004-05-05,77.9600,78.4600,77.8800,78.1800,68.4909,78100.00
2004-05-06,77.9000,77.9000,76.5500,77.3400,67.7551,242400.00
2004-05-07,77.2400,78.1100,76.4200,76.4300,66.9578,296100.00
2004-05-10,76.0000,76.1300,74.9800,75.6900,66.3095,309300.00
2004-05-11,76.5000,77.0600,76.0700,77.0000,67.4572,143600.00
2004-05-12,77.0000,77.0000,74.9600,76.7900,67.2732,230500.00
2004-05-13,76.4500,77.3700,76.2500,76.9800,67.4397,113900.00
2004-05-14,76.5500,76.8000,75.5000,75.9300,66.5198,65600.00
2004-05-17,75.8300,75.8300,74.3000,74.9300,65.6437,180300.00
2004-05-18,76.1500,76.2000,75.3800,75.7600,66.3709,83500.00
2004-05-19,76.8900,77.2900,75.7000,75.7600,66.3709,151700.00
2004-05-20,75.9300,76.2800,75.4100,75.7600,66.3709,72200.00
2004-05-21,75.8300,76.5900,75.7900,76.2800,66.8264,54200.00
2004-05-24,77.4600,77.6000,76.4100,76.7600,67.2469,74100.00
2004-05-25,76.0700,78.5700,76.0700,78.5000,68.7713,143900.00
2004-05-26,78.0200,78.9100,78.0200,78.9000,69.1217,188900.00
2004-05-27,78.7300,79.4700,78.4600,79.1500,69.3407,131400.00
2004-05-28,79.1500,79.4600,78.8100,79.3700,69.5335,41400.00
2004-06-01,78.6100,79.5500,78.6100,79.4700,69.6211,66200.00
2004-06-02,79.9000,79.9900,78.9800,79.4900,69.6386,72200.00
2004-06-03,79.7200,79.7200,78.2400,78.2400,68.5435,197800.00
2004-06-04,79.4700,79.6500,78.9000,79.0300,69.2356,62400.00
2004-06-07,79.5000,80.6300,79.4200,80.5900,70.6023,110300.00
2004-06-08,80.9800,80.9800,80.0100,80.7700,70.7600,101000.00
2004-06-09,81.3500,81.3500,79.4200,79.4400,69.5948,103700.00
2004-06-10,80.2900,80.2900,79.4100,79.6900,69.8138,53100.00
2004-06-14,79.0600,79.6000,78.3500,78.5800,68.8414,190000.00
