Date,Open,High,Low,Close,Adjusted_close,Volume
2004-12-16,15.3500,15.4000,15.2000,15.2500,15.2500,1910900.00
2004-12-17,15.2500,15.4500,15.2000,15.4000,15.4000,496100.00
2004-12-20,15.4500,15.9200,15.4400,15.8600,15.8600,177400.00
2004-12-21,15.8700,15.9000,15.4500,15.6500,15.6500,257900.00
2004-12-22,15.6200,15.6200,15.3500,15.5500,15.5500,162500.00
2004-12-23,15.5600,15.7300,15.5500,15.7300,15.7300,73500.00
2004-12-27,15.7500,15.7500,15.6500,15.7300,15.7300,39000.00
2004-12-28,15.7500,15.9300,15.7000,15.9200,15.9200,123200.00
2004-12-29,15.9400,15.9400,15.8000,15.8900,15.8900,91300.00
2004-12-30,15.9000,16.0500,15.9000,15.9500,15.9500,127100.00
2004-12-31,16.0000,16.0400,15.8900,15.8900,15.8900,96700.00
2005-01-03,15.9000,16.0200,15.8700,16.0000,16.0000,88300.00
2005-01-04,16.0100,16.0200,15.5000,15.7000,15.7000,77400.00
2005-01-05,15.8000,16.0000,15.6000,15.7000,15.7000,52100.00
2005-01-06,15.7000,15.7000,15.4400,15.5800,15.5800,44700.00
2005-01-07,15.6000,15.6000,15.3500,15.5000,15.5000,37800.00
2005-01-10,15.4500,15.8000,15.4000,15.5500,15.5500,56600.00
2005-01-11,15.6500,15.7600,15.6000,15.7600,15.7600,85500.00
2005-01-12,15.8000,15.9000,15.7100,15.8800,15.8800,27000.00
2005-01-13,16.0000,16.0000,15.7000,15.7600,15.7600,37800.00
2005-01-14,15.7300,15.7300,15.5000,15.5900,15.5900,144500.00
2005-01-18,15.6500,15.6900,15.5000,15.6600,15.6600,51500.00
2005-01-19,15.6600,15.7000,15.4000,15.5000,15.5000,49800.00
2005-01-20,15.5000,15.5000,15.3100,15.4000,15.4000,48300.00
2005-01-21,15.3200,15.3700,15.0000,15.1000,15.1000,146600.00
2005-01-24,15.2000,15.3500,15.1000,15.1700,15.1700,82200.00
2005-01-25,15.4200,15.4200,15.2000,15.3000,15.3000,82500.00
2005-01-26,15.3000,15.4000,15.2200,15.3800,15.3800,146900.00
2005-01-27,15.4400,15.5000,15.3500,15.4500,15.4500,85600.00
2005-01-28,15.5000,15.5000,15.4000,15.4700,15.4700,242100.00
2005-01-31,15.4800,15.6000,15.4000,15.5500,15.5500,102700.00
2005-02-01,15.6500,15.8500,15.6200,15.8000,15.8000,143000.00
2005-02-02,15.8000,15.8000,15.5000,15.7000,15.7000,104200.00
2005-02-03,15.7000,15.8000,15.6500,15.6500,15.6500,83200.00
2005-02-04,15.8000,15.9500,15.6600,15.8500,15.8500,80200.00
2005-02-07,15.9000,15.9500,15.8000,15.9100,15.9100,107700.00
2005-02-08,15.9800,15.9800,15.7000,15.8500,15.8500,59600.00
2005-02-09,15.8500,15.9100,15.8000,15.9100,15.9100,50500.00
2005-02-10,15.9600,15.9900,15.7700,15.7700,15.7700,67200.00
2005-02-11,15.7200,16.0000,15.6500,15.8500,15.8500,69100.00
2005-02-14,15.9500,15.9700,15.8000,15.9000,15.9000,98400.00
2005-02-15,15.8600,15.9500,15.7500,15.7500,15.7500,183700.00
2005-02-16,15.8000,15.8000,15.6100,15.6800,15.6800,142200.00
2005-02-17,15.6900,15.7000,15.6200,15.6200,15.6200,68800.00
2005-02-18,15.6300,15.7000,15.6000,15.6500,15.6500,63100.00
2005-02-22,15.7000,15.8000,15.6300,15.6900,15.6900,56700.00
2005-02-23,15.6500,15.6900,15.5100,15.6500,15.6500,186800.00
2005-02-24,15.6500,15.6500,15.5000,15.5000,15.5000,69800.00
2005-02-25,15.6000,15.6300,15.4700,15.4700,15.4700,38500.00
2005-02-28,15.5000,15.6000,15.4700,15.4700,15.4700,18300.00
2005-03-01,15.5700,15.7000,15.5100,15.6900,15.6900,76700.00
2005-03-02,15.6500,15.7500,15.5500,15.7500,15.7500,62700.00
2005-03-03,15.7500,15.8000,15.5800,15.7000,15.7000,72300.00
2005-03-04,15.7000,15.8400,15.5500,15.8400,15.8400,54300.00
2005-03-07,15.9500,15.9900,15.8400,15.9300,15.9300,38700.00
2005-03-08,15.9500,16.0500,15.9300,15.9500,15.9500,96600.00
2005-03-09,15.9500,16.0000,15.7700,16.0000,16.0000,53600.00
2005-03-10,16.0500,16.0800,15.9500,15.9700,15.9700,38600.00
2005-03-11,15.7200,15.7500,15.4500,15.5000,15.5000,766200.00
2005-03-14,15.5700,15.6000,15.3500,15.3700,15.3700,29600.00
2005-03-15,15.4700,15.5200,15.3500,15.4000,15.4000,25800.00
2005-03-16,15.4100,15.5500,15.3600,15.4200,15.4200,20800.00
2005-03-17,15.4200,15.4200,15.2700,15.2700,15.2700,46200.00
2005-03-18,15.3000,15.3500,15.2000,15.3000,15.3000,35800.00
2005-03-21,15.4500,15.4500,15.2500,15.2500,15.2500,42700.00
2005-03-22,15.2200,15.3500,15.0500,15.0500,15.0500,46700.00
2005-03-23,15.0500,15.2900,15.0500,15.2500,15.2500,23100.00
2005-03-24,15.4000,15.4000,15.2600,15.3000,15.3000,33300.00
2005-03-28,15.4000,15.4000,15.2500,15.3500,15.3500,65900.00
