Date,Open,High,Low,Close,Adjusted_close,Volume
2007-03-01,23.6800,24.1800,23.5900,24.0000,22.9884,264100.00
2007-03-02,23.9000,23.9700,23.5200,23.5600,22.5670,94300.00
2007-03-05,23.2000,23.4700,23.0800,23.0800,22.1072,44000.00
2007-03-06,23.5000,23.7900,23.4200,23.7000,22.7011,45800.00
2007-03-07,23.6900,23.9300,23.6500,23.7000,22.7011,136400.00
2007-03-08,24.0500,24.2600,24.0000,24.0500,23.0363,82600.00
2007-03-09,24.2500,24.2500,24.0500,24.1800,23.1608,40500.00
2007-03-12,24.1700,24.3100,24.0200,24.2600,23.2375,66900.00
2007-03-13,24.1700,24.2500,23.6800,23.6800,22.6819,49400.00
2007-03-14,23.8200,23.8200,23.4300,23.8000,22.7968,38100.00
2007-03-15,23.9000,24.0100,23.8000,23.9700,22.9597,21100.00
2007-03-16,24.0200,24.0300,23.7300,23.8300,22.8256,49500.00
2007-03-19,24.0400,24.1700,23.9400,24.1700,23.1512,30200.00
2007-03-20,24.2100,24.3900,24.1600,24.3700,23.3428,51900.00
2007-03-21,24.4700,24.8400,24.3700,24.8000,23.7547,246200.00
2007-03-22,24.9500,26.5800,24.7100,24.8100,23.7643,161200.00
2007-03-23,24.8700,24.9700,24.8500,24.9100,23.8601,86700.00
2007-03-26,25.0000,25.0100,24.6100,24.8700,23.8217,97700.00
2007-03-27,24.8800,24.8800,24.7400,24.8100,23.7643,96200.00
2007-03-28,24.6500,24.7300,24.5100,24.5500,23.5152,48200.00
2007-03-29,24.8000,24.8700,24.4500,24.6900,23.6493,61800.00
2007-03-30,24.7500,24.9000,24.6000,24.7300,23.6876,42300.00
2007-04-02,24.8300,24.9500,24.7300,24.9200,23.8696,55300.00
2007-04-03,25.0600,25.2200,25.0600,25.1600,24.0995,211100.00
2007-04-04,25.2500,25.2700,25.1100,25.2600,24.1953,266000.00
2007-04-05,25.2800,25.3300,25.1500,25.3000,24.2336,219700.00
2007-04-09,25.5500,25.5500,25.3378,25.4200,24.3486,207100.00
2007-04-10,25.5100,25.6100,25.4100,25.4900,24.4156,122800.00
2007-04-11,25.5400,25.5400,25.1900,25.2600,24.1953,97900.00
2007-04-12,25.2800,25.3900,25.1700,25.3800,24.3102,64800.00
2007-04-13,25.4400,25.4600,25.2790,25.4600,24.3869,146800.00
2007-04-16,25.6500,25.7900,25.5000,25.6900,24.6072,153400.00
2007-04-17,25.6800,26.2800,25.5900,25.7000,24.6168,72300.00
2007-04-18,25.5500,25.7000,25.4000,25.6200,24.5401,136700.00
2007-04-19,25.5500,25.6500,25.3472,25.5600,24.4827,43100.00
2007-04-20,25.8200,25.9300,25.6500,25.8000,24.7125,92600.00
2007-04-23,25.8600,26.0100,25.8500,25.9600,24.8658,76500.00
2007-04-24,25.9900,25.9900,25.7500,25.9000,24.8083,81700.00
2007-04-25,25.9700,26.5300,25.8500,26.0200,24.9233,55600.00
2007-04-26,26.1400,26.1900,25.9900,26.1400,25.0382,72300.00
2007-04-27,26.0000,26.1200,25.9200,26.0800,24.9807,43200.00
2007-04-30,26.0100,26.0500,25.6300,25.6700,24.5880,94000.00
2007-05-01,25.5600,25.6465,25.3300,25.5000,24.4252,48600.00
2007-05-02,25.5300,26.0700,25.5300,26.0100,24.9137,62800.00
2007-05-03,26.0500,26.0500,25.8300,25.9300,24.8371,73400.00
2007-05-04,26.0000,26.6000,25.9412,26.0400,24.9424,34100.00
