Date,Open,High,Low,Close,Adjusted_close,Volume
2002-06-26,23.7500,23.7500,21.0000,22.5000,8.8619,2238.00
2002-06-27,22.5000,22.5000,22.5000,22.5000,8.8619,0.00
2002-06-28,23.5000,23.5000,23.5000,23.5000,9.2558,223.00
2002-07-01,23.5000,25.0000,23.5000,25.0000,9.8466,6044.00
2002-07-02,25.0000,25.0000,25.0000,25.0000,9.8466,0.00
2002-07-03,25.0000,25.0000,25.0000,25.0000,9.8466,0.00
2002-07-05,25.0000,25.0000,25.0000,25.0000,9.8466,0.00
2002-07-08,22.0000,23.0000,21.5000,23.0000,9.0588,4029.00
2002-07-09,23.0000,23.0000,23.0000,23.0000,9.0588,0.00
2002-07-10,23.0000,23.0000,23.0000,23.0000,9.0588,223.00
2002-07-11,21.5000,21.5000,21.5000,21.5000,8.4680,223.00
2002-07-12,21.5000,21.5000,21.5000,21.5000,8.4680,0.00
2002-07-15,21.5000,22.0000,21.0000,21.0000,8.2711,4477.00
2002-07-16,20.8000,21.0000,20.0000,20.7500,8.1726,6940.00
2002-07-17,20.7500,20.7500,20.7500,20.7500,8.1726,0.00
2002-07-18,21.0000,21.0000,21.0000,21.0000,8.2711,223.00
2002-07-19,21.0000,21.0000,21.0000,21.0000,8.2711,0.00
2002-07-22,23.0000,23.0000,23.0000,23.0000,9.0588,895.00
2002-07-23,23.0000,23.0000,23.0000,23.0000,9.0588,2686.00
2002-07-24,23.0000,23.0000,22.6000,22.6000,8.9013,3358.00
2002-07-25,21.0500,22.5500,21.0000,21.0500,8.2908,5820.00
2002-07-26,21.0500,21.0500,21.0500,21.0500,8.2908,0.00
2002-07-29,21.0500,21.0500,21.0500,21.0500,8.2908,1119.00
2002-07-30,24.0000,24.0000,24.0000,24.0000,9.4527,1343.00
2002-07-31,24.9500,24.9500,24.0500,24.0500,9.4724,1119.00
2002-08-01,24.0500,24.0500,24.0500,24.0500,9.4724,0.00
2002-08-02,24.0500,24.0500,24.0500,24.0500,9.4724,447.00
2002-08-05,21.6000,23.0000,21.5000,23.0000,9.0588,4253.00
2002-08-06,23.0000,23.0000,22.0000,22.5000,8.8619,4701.00
2002-08-07,21.8500,24.5000,21.7000,23.8000,9.3739,3134.00
2002-08-08,23.8000,23.8000,23.8000,23.8000,9.3739,0.00
2002-08-09,23.8000,23.8000,23.8000,23.8000,9.3739,0.00
2002-08-12,24.5000,24.5000,24.5000,24.5000,9.6496,447.00
2002-08-13,23.5000,23.5000,23.5000,23.5000,9.2558,895.00
2002-08-14,23.5000,23.5000,23.5000,23.5000,9.2558,0.00
2002-08-15,22.6200,22.6200,22.6200,22.6200,8.9092,3805.00
2002-08-16,22.6200,22.6200,22.6200,22.6200,8.9092,223.00
2002-08-19,23.2500,24.5000,23.0000,24.0500,9.4724,9626.00
2002-08-20,24.0500,24.0500,24.0500,24.0500,9.4724,0.00
2002-08-21,23.4500,24.2500,22.0000,22.5000,8.8619,2462.00
2002-08-22,22.5000,22.5000,22.5000,22.5000,8.8619,0.00
2002-08-23,23.0000,23.2500,23.0000,23.0000,9.0588,3134.00
