Date,Open,High,Low,Close,Adjusted_close,Volume
1994-09-01,6.5000,6.8800,6.2500,6.2500,57.7130,2360.00
1994-09-02,6.7500,6.7500,6.1200,6.7500,62.3300,3870.00
1994-09-06,6.7500,6.7500,6.3800,6.3800,58.9134,300.00
1994-09-07,6.7500,6.7500,6.2500,6.7500,62.3300,530.00
1994-09-08,6.7500,6.7500,6.7500,6.7500,62.3300,0.00
1994-09-09,6.1200,6.1200,6.1200,6.1200,56.5126,100.00
1994-09-12,6.3800,6.7500,6.1200,6.7500,62.3300,3220.00
1994-09-13,6.7500,6.7500,6.7500,6.7500,62.3300,20.00
1994-09-14,6.2500,6.5000,6.2500,6.2500,57.7130,1340.00
1994-09-15,6.2500,6.5000,6.1200,6.5000,60.0215,1110.00
1994-09-16,6.5000,6.5000,6.1200,6.5000,60.0215,870.00
1994-09-19,6.5000,6.5000,4.7500,5.0000,46.1704,4050.00
1994-09-20,5.2500,5.5000,4.7500,4.7500,43.8619,530.00
1994-09-21,5.5000,6.0000,5.0000,6.0000,55.4045,1770.00
1994-09-22,5.6200,5.7500,5.2500,5.2500,48.4789,1920.00
1994-09-23,5.0000,5.0000,4.2500,4.5000,41.5534,1940.00
1994-09-26,5.0000,5.0000,3.2500,4.0000,36.9363,3620.00
1994-09-27,4.5000,5.0000,4.1200,4.5000,41.5534,1020.00
1994-09-28,5.2500,5.2500,5.0000,5.0000,46.1704,110.00
1994-09-29,4.7500,5.0000,4.2500,4.5000,41.5534,1220.00
1994-09-30,4.0000,4.0000,3.7500,4.0000,36.9363,2330.00
1994-10-03,4.0000,4.0000,4.0000,4.0000,36.9363,30.00
1994-10-04,4.5000,4.5000,4.0000,4.0000,36.9363,110.00
1994-10-05,4.5000,4.5000,4.5000,4.5000,41.5534,530.00
1994-10-06,4.5000,5.0000,4.5000,4.5000,41.5534,640.00
1994-10-07,5.0000,5.2500,4.5000,5.2500,48.4789,380.00
1994-10-10,5.2500,5.2500,5.2500,5.2500,48.4789,50.00
1994-10-11,4.7500,5.5000,4.5200,5.0000,46.1704,1470.00
1994-10-12,5.2500,5.2500,4.5000,4.5000,41.5534,30.00
1994-10-13,4.5000,4.5000,4.5000,4.5000,41.5534,0.00
1994-10-14,4.5000,4.5000,4.5000,4.5000,41.5534,0.00
1994-10-17,5.0000,5.0000,5.0000,5.0000,46.1704,500.00
1994-10-18,5.0000,5.0000,5.0000,5.0000,46.1704,0.00
1994-10-19,5.0000,5.0000,5.0000,5.0000,46.1704,0.00
1994-10-20,4.7500,4.7500,4.2500,4.7500,43.8619,1950.00
1994-10-21,4.7500,4.7500,4.7500,4.7500,43.8619,0.00
1994-10-24,4.3800,4.3800,4.2500,4.2500,39.2448,900.00
1994-10-25,4.2500,4.2500,4.2500,4.2500,39.2448,20.00
1994-10-26,4.2500,4.2500,4.2500,4.2500,39.2448,700.00
1994-10-27,4.2500,4.2500,4.2500,4.2500,39.2448,0.00
1994-10-28,4.2500,4.2500,4.2500,4.2500,39.2448,100.00
1994-10-31,4.2500,4.2500,4.2500,4.2500,39.2448,0.00
1994-11-01,4.2500,4.2500,4.2500,4.2500,39.2448,400.00
1994-11-02,4.0000,4.0000,4.0000,4.0000,36.9363,60.00
1994-11-03,4.0000,4.2500,4.0000,4.2500,39.2448,350.00
1994-11-04,4.0000,4.5000,3.7500,3.7500,34.6278,770.00
1994-11-07,3.7500,3.7500,3.7500,3.7500,34.6278,0.00
1994-11-08,3.7500,3.7500,3.7500,3.7500,34.6278,60.00
1994-11-09,3.7500,3.7500,3.7500,3.7500,34.6278,0.00
1994-11-10,3.7500,4.1200,3.7500,3.8800,35.8282,1280.00
1994-11-11,3.8800,3.8800,3.8800,3.8800,35.8282,0.00
1994-11-14,3.7500,4.5000,3.7500,4.5000,41.5534,1000.00
1994-11-15,4.5000,4.5000,4.5000,4.5000,41.5534,1300.00
1994-11-16,4.7500,4.7500,4.2500,4.7500,43.8619,1000.00
1994-11-17,5.0000,5.7500,4.8800,5.1200,47.2785,2690.00
1994-11-18,5.1200,5.7500,5.1200,5.7500,53.0959,690.00
1994-11-21,5.5000,5.5000,5.2500,5.2500,48.4789,1790.00
1994-11-22,5.2500,5.2500,4.7500,5.1200,47.2785,2330.00
1994-11-23,5.1200,5.1200,5.1200,5.1200,47.2785,0.00
1994-11-25,5.1200,5.1200,5.1200,5.1200,47.2785,0.00
1994-11-28,5.2500,5.2500,5.1200,5.1200,47.2785,800.00
1994-11-29,5.1200,5.1200,5.1200,5.1200,47.2785,0.00
1994-11-30,5.5000,5.5000,5.5000,5.5000,50.7874,100.00
1994-12-01,5.0000,5.7500,5.0000,5.7500,53.0959,1500.00
1994-12-02,5.7500,5.7500,5.7500,5.7500,53.0959,50.00
1994-12-05,5.6200,5.6900,5.6200,5.6900,52.5419,270.00
1994-12-06,5.6200,5.6900,5.6200,5.6900,52.5419,800.00
1994-12-07,5.6200,5.7500,5.6200,5.7500,53.0959,1900.00
1994-12-08,5.6200,5.8800,5.6200,5.6200,51.8955,140.00
1994-12-09,5.6200,5.6200,5.6200,5.6200,51.8955,200.00
1994-12-12,5.6200,5.6200,5.3800,5.3800,49.6793,560.00
1994-12-13,5.3800,5.5000,5.3800,5.5000,50.7874,300.00
1994-12-14,5.5000,5.5000,5.5000,5.5000,50.7874,0.00
