Date,Open,High,Low,Close,Adjusted_close,Volume
2010-04-07,25.1600,25.1600,25.0700,25.0700,24.0373,3100.00
2010-04-08,25.0200,25.0400,24.8500,24.9900,23.9606,1100.00
2010-04-09,24.9499,24.9499,24.9200,24.9200,23.8934,800.00
2010-04-12,25.0400,25.0400,25.0400,25.0400,24.0085,1000.00
2010-04-13,25.0000,25.0000,25.0000,25.0000,23.9701,200.00
2010-04-14,25.0000,25.0000,25.0000,25.0000,23.9701,0.00
2010-04-15,25.5300,25.5900,25.5300,25.5900,24.5358,1400.00
2010-04-16,25.7100,25.7100,25.5000,25.5000,24.4495,1600.00
2010-04-19,25.6772,25.6772,25.5500,25.6000,24.5454,1300.00
2010-04-20,25.7100,25.8200,25.5900,25.8200,24.7564,4200.00
2010-04-21,25.8899,25.8899,25.6700,25.6700,24.6125,1500.00
2010-04-22,30.8400,30.8400,25.2800,25.5699,24.5166,7100.00
2010-04-23,25.6000,25.7300,25.6000,25.7300,24.6701,800.00
2010-04-26,25.7600,25.7600,25.6100,25.6100,24.5550,1300.00
2010-04-27,25.3400,25.5500,25.2100,25.2100,24.1715,31600.00
2010-04-28,25.2200,25.3900,25.2100,25.3100,24.2674,442600.00
2010-04-29,25.4000,25.9900,25.4000,25.9900,24.9194,444400.00
2010-04-30,25.9766,25.9766,25.3200,25.3200,24.2770,7000.00
2010-05-03,25.4100,25.7000,25.3300,25.7000,24.6413,55900.00
2010-05-04,25.4600,25.4600,25.1000,25.2000,24.1619,29400.00
2010-05-05,24.9700,25.2900,24.9700,25.0925,24.0588,8700.00
2010-05-06,24.8400,25.0500,13.0100,24.3800,23.3757,26400.00
2010-05-07,23.2900,24.5200,23.2900,23.6800,22.7045,16800.00
2010-05-10,24.3900,24.6800,24.3000,24.4000,23.3949,33800.00
2010-05-11,24.5572,24.9748,24.5572,24.8100,23.7880,9800.00
2010-05-12,25.2700,25.4500,24.8700,25.4500,24.4016,7800.00
2010-05-13,25.3600,25.3600,25.1885,25.2700,24.2290,3000.00
2010-05-14,25.0544,25.0544,24.6600,24.8300,23.8071,18800.00
2010-05-17,25.0700,25.0900,24.6901,25.0900,24.0564,7000.00
2010-05-18,25.3400,25.3500,24.8800,24.9148,23.8884,15600.00
2010-05-19,24.7000,24.7500,24.5610,24.7400,23.7208,7200.00
