Date,Open,High,Low,Close,Adjusted_close,Volume
2010-12-16,8.6000,12.0000,8.6000,11.5000,9.9474,1700.00
2010-12-17,11.4600,12.0000,9.1200,12.0000,10.3799,32300.00
2010-12-20,12.7900,12.7900,9.9800,10.5100,9.0911,27700.00
2010-12-21,10.6425,10.9300,9.7500,9.8000,8.4769,23700.00
2010-12-22,9.3000,10.2800,9.3000,9.8400,8.5115,23000.00
2010-12-23,9.8500,10.6162,9.7500,9.8000,8.4769,17200.00
2010-12-27,10.4800,10.4800,9.8100,9.8300,8.5029,9800.00
2010-12-28,9.8200,9.8200,9.5100,9.7700,8.4510,18100.00
2010-12-29,9.7500,9.7500,9.0700,9.4300,8.1569,30700.00
2010-12-30,9.2600,9.3100,9.0300,9.2300,7.9839,17100.00
2010-12-31,9.2500,9.2500,9.0000,9.1000,7.8714,35000.00
2011-01-03,8.4400,9.0900,8.2500,8.7300,7.5514,49500.00
2011-01-04,8.7500,9.1200,8.7200,9.1200,7.8887,32200.00
2011-01-05,9.0600,9.4500,8.9200,9.4000,8.1309,12000.00
2011-01-06,9.4300,9.5700,9.0000,9.1700,7.9320,17200.00
2011-01-07,9.5600,9.5600,9.1000,9.3300,8.0704,7900.00
2011-01-10,8.5500,9.4500,8.5500,9.1800,7.9406,8400.00
2011-01-11,9.1700,9.3800,9.1000,9.1700,7.9320,6500.00
2011-01-12,9.1600,9.4400,9.1500,9.4200,8.1482,9800.00
2011-01-13,9.1200,9.5100,9.1000,9.5100,8.2261,7600.00
2011-01-14,9.3300,9.8700,9.3300,9.7800,8.4596,12300.00
2011-01-18,9.2200,9.9000,8.1400,9.4000,8.1309,16000.00
2011-01-19,9.2800,9.5000,9.2800,9.4400,8.1655,9600.00
2011-01-20,9.4500,9.4500,8.3100,9.1400,7.9060,20500.00
2011-01-21,9.1300,9.1300,8.9500,9.0500,7.8282,22100.00
2011-01-24,8.5200,9.4900,8.5200,8.9100,7.7071,36300.00
2011-01-25,8.7500,9.0900,8.7500,9.0600,7.8368,31700.00
2011-01-26,9.1300,9.1700,8.8300,8.9600,7.7503,16600.00
2011-01-27,8.7500,9.1700,8.7500,8.9300,7.7244,8000.00
2011-01-28,8.8000,9.0000,8.6600,8.7500,7.5687,31000.00
2011-01-31,8.7300,8.7700,8.5000,8.5800,7.4216,14600.00
2011-02-01,8.4700,9.3500,8.4700,8.5800,7.4216,9400.00
2011-02-02,8.6500,8.9000,8.5900,8.7500,7.5687,7000.00
2011-02-03,8.7500,8.9125,8.5500,8.5900,7.4303,9300.00
2011-02-04,8.5600,8.9400,8.2900,8.8800,7.6811,10900.00
2011-02-07,8.7200,9.3500,8.3400,9.0400,7.8195,15900.00
2011-02-08,9.0800,9.3200,8.9100,9.1800,7.9406,8700.00
2011-02-09,9.0800,9.0900,8.7700,8.8400,7.6465,7400.00
2011-02-10,8.8100,9.1800,8.7600,9.1400,7.9060,13600.00
2011-02-11,9.1500,9.2000,8.7500,8.7600,7.5773,19000.00
2011-02-14,8.8500,9.2000,8.7372,8.7500,7.5687,10000.00
2011-02-15,8.7900,8.8600,8.7500,8.8500,7.6552,20000.00
2011-02-16,8.8500,8.9700,8.7500,8.9000,7.6984,8400.00
2011-02-17,8.9900,9.2000,8.9300,9.0000,7.7849,13700.00
2011-02-18,8.9800,9.1400,8.7900,8.8600,7.6638,21200.00
2011-02-22,8.9500,9.2000,8.9500,9.0500,7.8282,17500.00
2011-02-23,9.0500,9.2000,8.9900,8.9900,7.7763,6800.00
2011-02-24,8.9800,9.0850,8.9500,9.0300,7.8109,30500.00
2011-02-25,9.0000,9.2400,8.8800,9.0900,7.8628,10400.00
2011-02-28,9.1000,9.1000,8.9500,9.0900,7.8628,7400.00
2011-03-01,9.0800,9.2844,8.9700,9.0700,7.8455,12200.00
2011-03-02,9.0000,9.0999,8.9100,9.0700,7.8455,7800.00
2011-03-03,9.0500,9.3300,8.9700,9.1400,7.9060,4800.00
2011-03-04,9.2100,9.2100,8.9600,9.2100,7.9666,2100.00
2011-03-07,9.2100,9.5000,8.7700,8.8800,7.6811,14300.00
2011-03-08,8.9500,9.2150,8.8600,9.0300,7.8109,7800.00
2011-03-09,8.9100,9.0500,8.7700,8.7800,7.5946,45500.00
2011-03-10,8.8500,9.1400,8.4900,8.6800,7.5081,51900.00
2011-03-11,9.2600,9.9500,9.1400,9.8800,8.5980,97900.00
2011-03-14,9.7700,10.3800,9.7700,10.3400,8.9983,16800.00
2011-03-15,10.1500,10.1900,10.0200,10.1100,8.7982,19900.00
2011-03-16,10.0400,10.1200,9.8100,10.1000,8.7895,14400.00
2011-03-17,9.5600,10.5400,9.5200,9.9600,8.6676,15700.00
2011-03-18,9.9600,10.0300,9.5400,9.7300,8.4675,24700.00
2011-03-21,9.9500,10.3300,9.7800,10.2900,8.9548,25300.00
2011-03-22,10.1800,10.4900,10.0500,10.1100,8.7982,30900.00
2011-03-23,10.1900,10.3400,10.0600,10.0700,8.7634,21900.00
2011-03-24,10.8200,10.8200,9.9800,10.1700,8.8504,16800.00
2011-03-25,10.1200,10.6500,10.0350,10.1000,8.7895,15100.00
2011-03-28,10.0000,11.7200,10.0000,10.2700,8.9374,20600.00
2011-03-29,10.1800,10.2000,10.0100,10.0400,8.7372,12000.00
2011-03-30,10.1400,10.4200,10.1300,10.2000,8.8765,13700.00
2011-03-31,11.2104,11.2104,10.5000,10.7700,9.3725,16900.00
2011-04-01,11.2100,11.2100,10.5100,10.5100,9.1463,23200.00
2011-04-04,10.5950,10.5950,10.1500,10.2500,8.9200,13400.00
2011-04-05,10.2400,10.9453,10.2400,10.5800,9.2072,4200.00
2011-04-06,10.8950,10.8950,10.6400,10.7500,9.3551,44900.00
2011-04-07,10.3192,11.1000,10.3192,11.0500,9.6162,45400.00
2011-04-08,11.0700,11.2500,10.8700,11.0700,9.6336,7500.00
2011-04-11,10.9500,11.0000,10.7500,10.7500,9.3551,23300.00
2011-04-12,11.4300,11.4300,10.5000,10.5100,9.1463,13700.00
2011-04-13,11.2500,11.2500,10.8700,10.9300,9.5118,9500.00
2011-04-14,10.8200,11.1100,10.3400,10.8900,9.4770,19300.00
2011-04-15,10.9100,11.0460,10.7500,11.0100,9.5814,23600.00
2011-04-18,10.8400,10.9000,10.5100,10.8300,9.4247,10600.00
2011-04-19,10.9000,10.9000,10.8000,10.8300,9.4247,14000.00
2011-04-20,10.9400,11.0550,10.9000,10.9500,9.5292,5200.00
2011-04-21,10.9900,11.2000,10.6400,11.2000,9.7467,6100.00
2011-04-25,11.1500,11.2300,10.8600,11.1000,9.6597,3700.00
2011-04-26,11.1900,11.2000,10.9500,10.9900,9.5640,12300.00
2011-04-27,11.0300,11.2300,11.0200,11.2100,9.7554,4700.00
2011-04-28,11.3000,11.3000,11.1100,11.1600,9.7119,5000.00
2011-04-29,11.0350,11.2900,10.9200,10.9200,9.5031,9300.00
2011-05-02,11.0600,11.2100,10.9000,11.0900,9.6510,25400.00
2011-05-03,11.0700,11.0900,10.4100,11.0000,9.5727,33800.00
2011-05-04,10.9700,11.0200,10.6000,11.0200,9.5901,7500.00
2011-05-05,10.5400,10.8800,10.4500,10.5600,9.1898,18000.00
2011-05-06,10.4400,10.6900,10.3400,10.6900,9.3029,26000.00
2011-05-09,10.6600,10.7100,10.5000,10.7100,9.3203,11000.00
2011-05-10,10.6800,11.0100,10.6800,11.0100,9.5814,5800.00
2011-05-11,11.0000,11.2300,10.8900,10.8900,9.4770,7100.00
2011-05-12,10.9000,11.1100,10.8500,10.9000,9.4857,12000.00
2011-05-13,10.8500,11.0700,10.8200,11.0500,9.6162,7500.00
2011-05-16,10.9200,10.9200,10.5000,10.6000,9.2246,20000.00
2011-05-17,10.5000,10.7900,10.5000,10.7200,9.3290,8800.00
2011-05-18,10.7700,10.9900,10.5100,10.9900,9.5640,7500.00
2011-05-19,10.9900,11.0500,10.8000,11.0000,9.5727,6100.00
2011-05-20,10.8900,11.2400,10.5600,10.7200,9.3290,15300.00
2011-05-23,10.5000,11.0000,10.5000,10.6200,9.2420,9700.00
2011-05-24,10.5200,10.8500,10.5100,10.8300,9.4247,16000.00
2011-05-25,10.6800,10.8200,10.5000,10.7900,9.3899,9400.00
2011-05-26,10.7800,10.8000,10.5000,10.5000,9.1376,9000.00
2011-05-27,10.5100,11.0000,10.5100,10.7600,9.4160,22600.00
2011-05-31,10.8900,11.0000,10.7900,10.8000,9.4510,26600.00
2011-06-01,10.7900,11.0900,10.1400,10.4700,9.1623,23500.00
2011-06-02,10.4700,10.9800,10.1500,10.5000,9.1885,33800.00
2011-06-03,10.2600,10.5800,10.0000,10.5500,9.2323,24200.00
2011-06-06,10.2100,10.4300,9.8500,9.9500,8.7072,15000.00
2011-06-07,10.0000,11.0000,9.7800,9.9500,8.7072,20800.00
2011-06-08,10.0100,10.1600,9.2600,9.5100,8.3222,33600.00
2011-06-09,9.6900,9.7100,9.3500,9.3800,8.2084,22200.00
2011-06-10,9.4300,9.5400,8.8600,9.0000,7.8759,63100.00
2011-06-13,8.9900,9.9700,8.9900,9.7600,8.5409,11400.00
2011-06-14,9.8700,10.1100,9.3700,9.8700,8.6372,17600.00
2011-06-15,9.8700,10.1900,9.4500,9.6600,8.4534,21300.00
2011-06-16,9.4100,9.6500,9.3300,9.6200,8.4184,12900.00
2011-06-17,9.6800,10.2000,9.6600,10.0000,8.7510,37200.00
2011-06-20,10.1500,10.2000,9.8900,10.1800,8.9085,24100.00
2011-06-21,10.2100,10.2100,9.9120,10.1000,8.8385,17300.00
2011-06-22,10.0400,10.5600,10.0400,10.3100,9.0222,24200.00
2011-06-23,10.1100,10.2800,9.6600,10.2200,8.9435,9700.00
2011-06-24,9.9800,11.0500,9.9800,10.9300,9.5648,226100.00
2011-06-27,10.7000,10.8500,9.9700,10.7600,9.4160,24800.00
2011-06-28,10.7800,10.8700,10.6400,10.6900,9.3548,16100.00
2011-06-29,10.6900,10.6900,10.2700,10.3200,9.0310,7200.00
2011-06-30,10.3700,10.6100,10.1300,10.2200,8.9435,15000.00
2011-07-01,10.2500,10.4400,10.0110,10.2500,8.9697,12500.00
2011-07-05,10.3000,10.3900,10.2300,10.3300,9.0397,10100.00
2011-07-06,10.3300,10.9000,10.0135,10.7100,9.3723,13500.00
2011-07-07,10.7400,10.7600,10.2600,10.3500,9.0572,17400.00
2011-07-08,10.2800,10.8500,10.2800,10.8300,9.4773,9900.00
2011-07-11,10.6400,10.7400,10.2700,10.7000,9.3635,9900.00
2011-07-12,10.6500,11.0400,10.6500,10.7300,9.3898,25700.00
2011-07-13,10.8000,10.9700,10.5600,10.9000,9.5385,24900.00
2011-07-14,10.8400,10.8500,10.6600,10.8400,9.4860,31400.00
2011-07-15,11.0000,11.0000,10.4000,10.4000,9.1010,27600.00
2011-07-18,10.8833,10.8833,10.4200,10.8800,9.5210,24500.00
2011-07-19,10.8700,11.0700,10.3600,10.4500,9.1448,27500.00
2011-07-20,10.6000,11.1500,10.2900,10.9700,9.5998,38800.00
2011-07-21,10.9200,11.0400,10.5500,10.8000,9.4510,8100.00
2011-07-22,10.8700,11.0000,10.8000,10.9800,9.6086,8200.00
2011-07-25,10.9000,11.0000,10.4100,10.9500,9.5823,15200.00
2011-07-26,10.5200,10.9000,10.5200,10.8500,9.4948,6700.00
2011-07-27,10.9300,10.9800,10.5300,10.7900,9.4423,9400.00
2011-07-28,10.7000,10.7500,10.3200,10.4800,9.1710,10700.00
2011-07-29,10.3800,10.8800,10.2300,10.8000,9.4510,23200.00
2011-08-01,10.8700,10.8700,10.4200,10.6000,9.2760,13600.00
2011-08-02,10.4800,10.7000,10.3600,10.5100,9.1973,23000.00
2011-08-03,10.3300,10.6400,10.1900,10.4200,9.1185,13700.00
2011-08-04,10.3500,10.8600,10.3400,10.7600,9.4160,45500.00
2011-08-05,10.8200,10.8200,10.1500,10.4000,9.1010,27900.00
2011-08-08,10.3900,10.7500,9.8400,9.8400,8.6109,83000.00
2011-08-09,10.2000,10.9700,9.7900,10.8200,9.4685,29600.00
2011-08-10,10.6500,10.7400,9.8100,10.4000,9.1010,37800.00
2011-08-11,10.4000,10.9800,9.7001,10.5300,9.2148,33600.00
2011-08-12,10.5200,11.0000,10.1100,10.9700,9.5998,25100.00
2011-08-15,10.2200,10.9200,10.1450,10.6100,9.2848,30500.00
2011-08-16,10.6900,10.8800,10.5471,10.7500,9.4073,17900.00
2011-08-17,10.7400,10.7900,10.2400,10.3700,9.0747,14300.00
2011-08-18,10.2700,10.3800,9.9300,10.1800,8.9085,40800.00
2011-08-19,10.0400,10.1300,9.6000,10.1100,8.8472,44700.00
2011-08-22,10.2700,10.2700,9.7749,10.1200,8.8560,39500.00
2011-08-23,9.9100,10.4800,9.7900,10.2200,8.9435,40800.00
2011-08-24,10.4700,10.8700,10.4400,10.5900,9.2673,20900.00
