Date,Open,High,Low,Close,Adjusted_close,Volume
1992-03-03,4.2500,4.3750,4.1250,4.2500,4.2500,41300.00
1992-03-04,4.3750,4.3750,4.1250,4.1250,4.1250,120400.00
1992-03-05,4.1250,4.3750,4.1250,4.3130,4.3130,63900.00
1992-03-06,4.3750,4.8750,4.3130,4.8750,4.8750,94200.00
1992-03-09,4.6250,4.8750,4.5000,4.7500,4.7500,18200.00
1992-03-10,4.7500,4.7500,4.5000,4.6250,4.6250,52200.00
1992-03-11,4.7500,4.8750,4.6250,4.6250,4.6250,64500.00
1992-03-12,4.8750,4.8750,4.6250,4.8750,4.8750,24500.00
1992-03-13,4.7500,4.8750,4.6250,4.6250,4.6250,51400.00
1992-03-16,4.8750,4.8750,4.5000,4.7500,4.7500,4000.00
1992-03-17,4.7500,5.0000,4.6250,4.7500,4.7500,84300.00
1992-03-18,4.7500,5.0000,4.5000,4.7500,4.7500,88700.00
1992-03-19,5.0000,5.1250,4.7500,5.0000,5.0000,207300.00
1992-03-20,5.1250,5.2500,4.8750,5.2500,5.2500,162000.00
1992-03-23,8.0000,8.0000,5.3750,7.1250,7.1250,2499400.00
1992-03-24,7.1880,7.2500,6.5000,6.7500,6.7500,1306500.00
1992-03-25,6.6880,6.7500,6.2500,6.4380,6.4380,419200.00
1992-03-26,6.5630,6.6250,6.2500,6.5000,6.5000,142000.00
1992-03-27,6.5000,6.5000,6.1250,6.2500,6.2500,208700.00
1992-03-30,6.3750,6.7500,6.1250,6.6250,6.6250,153400.00
1992-03-31,6.5000,6.6250,6.3750,6.6250,6.6250,192500.00
1992-04-01,6.3750,6.5000,6.0000,6.1880,6.1880,147900.00
1992-04-02,6.2500,6.2500,5.8750,5.8750,5.8750,122300.00
1992-04-03,6.0000,6.0000,5.3750,5.6250,5.6250,249600.00
1992-04-06,5.7500,6.0000,5.5000,5.7500,5.7500,50600.00
1992-04-07,6.0000,6.0000,5.6250,5.6250,5.6250,44100.00
1992-04-08,5.7500,5.7500,5.3750,5.7500,5.7500,48400.00
1992-04-09,5.7500,6.0000,5.5000,5.8750,5.8750,55800.00
1992-04-10,6.1250,6.1250,5.7500,6.0000,6.0000,46300.00
1992-04-13,5.7500,6.0000,5.7500,5.7500,5.7500,70600.00
1992-04-14,6.0000,6.1250,5.7500,6.1250,6.1250,50800.00
1992-04-15,6.1250,6.1250,5.6250,5.8750,5.8750,39800.00
1992-04-16,5.6250,6.0000,5.5000,5.5000,5.5000,85500.00
1992-04-20,5.5000,5.8750,5.3750,5.5000,5.5000,43100.00
1992-04-21,5.7500,5.7500,5.3750,5.3750,5.3750,71900.00
1992-04-22,5.3750,5.6250,5.2500,5.2500,5.2500,36800.00
1992-04-23,5.5000,5.5000,5.1250,5.3750,5.3750,77900.00
1992-04-24,5.1250,5.8750,5.0000,5.7500,5.7500,92100.00
1992-04-27,5.5000,5.8750,5.3750,5.3750,5.3750,25700.00
1992-04-28,5.3750,5.6250,5.2500,5.2500,5.2500,50300.00
1992-04-29,5.2500,5.5000,5.1250,5.3750,5.3750,35200.00
1992-04-30,5.3750,5.5000,5.1250,5.5000,5.5000,23500.00
1992-05-01,5.5000,5.5000,5.2500,5.3750,5.3750,21000.00
1992-05-04,5.5000,5.5000,5.2500,5.5000,5.5000,9700.00
1992-05-05,5.5000,5.8750,5.2500,5.7500,5.7500,94500.00
1992-05-06,5.8750,5.8750,5.3750,5.6250,5.6250,24200.00
1992-05-07,5.3750,5.7500,5.3750,5.5630,5.5630,31000.00
1992-05-08,5.6250,5.8750,5.5000,5.8750,5.8750,47000.00
1992-05-11,5.6250,5.8750,5.6250,5.6250,5.6250,27300.00
1992-05-12,5.8750,5.8750,5.1250,5.2500,5.2500,86300.00
1992-05-13,5.2500,5.5000,5.2500,5.2500,5.2500,41800.00
1992-05-14,5.1250,5.2500,5.0000,5.1250,5.1250,36200.00
1992-05-15,5.1250,5.2500,4.8750,5.0000,5.0000,120400.00
1992-05-18,5.0000,5.1250,4.8750,5.1250,5.1250,60900.00
1992-05-19,4.8750,5.1250,4.6250,5.1250,5.1250,264800.00
1992-05-20,4.8750,5.1250,4.7500,4.7500,4.7500,43900.00
1992-05-21,5.0000,5.0000,4.7500,4.7500,4.7500,50200.00
1992-05-22,4.7500,5.0000,4.7500,4.7500,4.7500,24200.00
1992-05-26,4.7500,4.7500,4.5000,4.7500,4.7500,41400.00
1992-05-27,4.6250,4.7500,4.5000,4.5000,4.5000,17200.00
1992-05-28,4.7500,4.7500,4.1250,4.2500,4.2500,79400.00
1992-05-29,4.5000,4.6250,4.2500,4.3750,4.3750,34400.00
1992-06-01,4.6250,4.6250,4.3750,4.6250,4.6250,27500.00
1992-06-02,4.6250,4.7500,4.5000,4.7500,4.7500,33500.00
1992-06-03,4.5000,4.7500,4.5000,4.6250,4.6250,12000.00
1992-06-04,4.5000,4.6250,4.5000,4.6250,4.6250,3400.00
1992-06-05,4.5000,4.6250,4.5000,4.6250,4.6250,33600.00
1992-06-08,4.5000,4.6250,4.5000,4.5000,4.5000,13100.00
1992-06-09,4.6250,4.6250,4.3750,4.3750,4.3750,53000.00
1992-06-10,4.3750,4.5000,4.3750,4.3750,4.3750,12800.00
1992-06-11,4.3750,4.5000,4.3750,4.3750,4.3750,28600.00
1992-06-12,4.5000,4.6250,4.3750,4.3750,4.3750,42200.00
1992-06-15,4.6250,4.6250,4.3750,4.3750,4.3750,17500.00
1992-06-16,4.3750,4.5000,4.2500,4.2500,4.2500,42200.00
1992-06-17,4.3750,4.6250,4.3750,4.5000,4.5000,97000.00
1992-06-18,4.3750,4.6250,4.2500,4.5000,4.5000,24400.00
1992-06-19,4.5000,4.5000,4.2500,4.2500,4.2500,33900.00
1992-06-22,4.5000,4.5000,4.2500,4.5000,4.5000,57800.00
1992-06-23,4.3750,4.7500,4.3750,4.6250,4.6250,61800.00
1992-06-24,4.7500,4.8750,4.5000,4.8750,4.8750,27700.00
1992-06-25,4.8130,5.0000,4.5000,5.0000,5.0000,29700.00
1992-06-26,4.9380,5.0000,4.6250,4.7500,4.7500,10500.00
1992-06-29,4.7500,5.0000,4.7500,4.7500,4.7500,18600.00
1992-06-30,4.6250,5.0000,4.6250,4.6250,4.6250,14200.00
1992-07-01,4.8750,4.8750,4.6250,4.6250,4.6250,14900.00
1992-07-02,4.6250,4.7500,4.6250,4.7500,4.7500,15000.00
1992-07-06,4.7500,4.7500,4.5000,4.6250,4.6250,15800.00
1992-07-07,4.5000,4.7500,4.5000,4.5000,4.5000,54200.00
1992-07-08,4.6250,4.6250,4.3750,4.3750,4.3750,44200.00
1992-07-09,4.5000,4.6250,4.3750,4.6250,4.6250,11400.00
1992-07-10,4.6250,4.6250,4.3750,4.5000,4.5000,12400.00
1992-07-13,4.5000,4.7500,4.3750,4.6250,4.6250,111400.00
1992-07-14,4.6250,4.8750,4.6250,4.7500,4.7500,22500.00
1992-07-15,4.8750,5.1250,4.6250,5.0000,5.0000,71000.00
1992-07-16,4.8750,5.1250,4.8750,4.8750,4.8750,29500.00
1992-07-17,5.1250,5.1250,4.6250,5.0000,5.0000,13800.00
1992-07-20,5.0000,5.0000,4.6250,4.7500,4.7500,13800.00
1992-07-21,4.6250,4.8750,4.6250,4.7500,4.7500,15000.00
