Date,Open,High,Low,Close,Adjusted_close,Volume
2015-09-24,24.7700,24.7700,24.7200,24.7200,23.6237,1500.00
2015-09-25,25.0000,25.0000,25.0000,25.0000,23.8912,243.00
2015-09-28,24.4100,24.4700,24.3200,24.3200,23.2414,3900.00
2015-09-29,24.2800,24.5000,24.2100,24.3300,23.2509,1000.00
2015-09-30,24.7399,24.7399,24.7399,24.7399,23.6427,100.00
2015-10-01,24.7400,24.7500,24.5200,24.7500,23.6523,1525.00
2015-10-02,24.6800,24.8800,24.6800,24.8800,23.7766,6800.00
2015-10-05,24.8800,24.8800,24.8800,24.8800,23.7766,80.00
2015-10-06,24.8800,24.8800,24.8800,24.8800,23.7766,0.00
2015-10-07,24.8800,24.8800,24.8800,24.8800,23.7766,0.00
2015-10-08,24.8800,24.8800,24.8800,24.8800,23.7766,0.00
2015-10-09,24.8800,24.8800,24.8800,24.8800,23.7766,0.00
2015-10-12,24.8800,24.8800,24.8800,24.8800,23.7766,0.00
2015-10-13,26.0500,26.0500,26.0500,26.0500,24.8947,100.00
2015-10-14,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-15,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-16,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-19,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-20,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-21,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-22,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-23,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-26,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-27,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-28,26.0500,26.0500,26.0500,26.0500,24.8947,0.00
2015-10-29,26.7700,26.7700,26.7700,26.7700,25.5827,200.00
2015-10-30,27.0000,27.0000,26.6100,26.6100,25.4298,1050.00
2015-11-02,26.5700,27.5500,26.5700,26.8600,25.6687,15300.00
2015-11-03,26.8720,26.8720,26.8720,26.8720,25.6802,555.00
2015-11-04,26.8720,26.8720,26.8720,26.8720,25.6802,0.00
2015-11-05,26.8200,26.8800,26.8200,26.8800,25.6879,15720.00
2015-11-06,26.8000,26.8000,26.6600,26.7300,25.5445,2780.00
2015-11-09,26.7300,26.7300,26.7300,26.7300,25.5445,0.00
2015-11-10,26.7300,26.7300,26.7300,26.7300,25.5445,0.00
2015-11-11,26.7300,26.7300,26.7300,26.7300,25.5445,0.00
2015-11-12,26.2600,26.2600,26.1700,26.1700,25.0093,555.00
2015-11-13,26.1700,26.1700,26.1700,26.1700,25.0093,0.00
2015-11-16,26.1700,26.1700,26.1700,26.1700,25.0093,0.00
2015-11-17,26.1700,26.1700,26.1700,26.1700,25.0093,0.00
2015-11-18,26.1700,26.1700,26.1700,26.1700,25.0093,0.00
2015-11-19,26.5722,26.5722,26.5722,26.5722,25.3937,100.00
2015-11-20,26.7000,26.7000,26.7000,26.7000,25.5158,3821.00
2015-11-23,26.7000,26.7000,26.7000,26.7000,25.5158,0.00
2015-11-24,26.4300,26.4300,26.4300,26.4300,25.2578,4794.00
2015-11-25,26.4300,26.4300,26.4300,26.4300,25.2578,0.00
2015-11-27,26.4300,26.4300,26.4300,26.4300,25.2578,0.00
2015-11-30,26.6660,26.6799,26.6400,26.6582,25.4759,1840.00
2015-12-01,26.8000,26.8000,26.8000,26.8000,25.6114,3817.00
