Date,Open,High,Low,Close,Adjusted_close,Volume
2012-09-28,12.0000,14.8500,12.0000,14.1600,14.1600,9749500.00
2012-10-01,14.4900,15.2500,13.8000,13.9500,13.9500,618700.00
2012-10-02,13.9500,14.3400,13.5300,13.6900,13.6900,306800.00
2012-10-03,13.6400,13.9499,13.4000,13.5100,13.5100,158900.00
2012-10-04,13.6400,14.2200,13.3300,13.6000,13.6000,281800.00
2012-10-05,13.6000,13.8700,13.4000,13.6000,13.6000,141800.00
2012-10-08,13.6000,13.9000,13.5100,13.6700,13.6700,50100.00
2012-10-09,13.8500,13.8500,13.5100,13.5500,13.5500,90400.00
2012-10-10,13.4900,13.7500,13.4900,13.5100,13.5100,72000.00
2012-10-11,13.4850,13.7000,13.4600,13.5600,13.5600,90300.00
2012-10-12,13.6000,13.7390,13.6000,13.6400,13.6400,57000.00
2012-10-15,13.8100,14.0900,13.7000,13.9600,13.9600,93500.00
2012-10-16,14.2900,14.2900,13.8900,14.0100,14.0100,58700.00
2012-10-17,14.2900,14.2900,13.9500,14.1000,14.1000,81700.00
2012-10-18,14.2000,14.8700,13.9600,14.6900,14.6900,100400.00
2012-10-19,14.6100,14.9900,14.0200,14.2200,14.2200,245400.00
2012-10-22,14.7400,14.9500,14.0500,14.8900,14.8900,129900.00
2012-10-23,14.7000,14.8600,14.5000,14.7100,14.7100,128500.00
2012-10-24,14.8900,14.9715,14.0700,14.4000,14.4000,34000.00
2012-10-25,14.2300,14.4300,14.1500,14.2900,14.2900,49900.00
2012-10-26,14.5300,14.5300,14.1600,14.2000,14.2000,52200.00
2012-10-31,14.3300,14.5000,12.5400,12.9800,12.9800,94700.00
2012-11-01,13.5200,13.6300,13.2000,13.6000,13.6000,64300.00
2012-11-02,13.5150,13.5680,12.8800,12.9800,12.9800,116900.00
2012-11-05,13.2300,13.4200,12.0800,12.4200,12.4200,89100.00
2012-11-06,13.4300,13.4300,12.6150,13.2500,13.2500,74700.00
2012-11-07,13.2500,13.5500,13.0500,13.0800,13.0800,66700.00
2012-11-08,13.0800,13.0800,11.0710,11.5500,11.5500,120700.00
2012-11-09,11.5900,12.2100,11.2601,11.8500,11.8500,458600.00
2012-11-12,12.0000,12.2400,11.5000,11.7500,11.7500,198100.00
2012-11-13,11.3600,12.0700,11.1901,11.9400,11.9400,55800.00
2012-11-14,11.7900,12.1745,11.7000,12.0400,12.0400,33700.00
2012-11-15,12.0300,12.0300,11.6700,11.9100,11.9100,103900.00
2012-11-16,12.0000,12.4100,11.9100,12.3000,12.3000,88300.00
2012-11-19,12.3700,12.3700,11.9500,12.1500,12.1500,125700.00
2012-11-20,12.1400,12.3000,11.9500,12.1600,12.1600,79200.00
2012-11-21,12.2200,12.3451,12.1500,12.1600,12.1600,35200.00
2012-11-23,12.1000,12.3200,12.0000,12.2900,12.2900,20700.00
2012-11-26,12.2300,12.6700,12.0100,12.4100,12.4100,87100.00
2012-11-27,12.5200,12.6900,12.0500,12.2100,12.2100,50400.00
2012-11-28,12.2100,12.4900,11.9100,12.2800,12.2800,65800.00
2012-11-29,12.5000,13.6000,12.1400,13.1800,13.1800,74000.00
2012-11-30,13.4800,13.5000,12.5200,13.3800,13.3800,36800.00
2012-12-03,13.4400,13.7500,13.3800,13.3800,13.3800,80800.00
2012-12-04,13.3700,13.3700,12.7400,12.8800,12.8800,25600.00
2012-12-05,12.7500,13.5000,12.7400,12.9100,12.9100,24700.00
2012-12-06,12.9100,13.1100,12.1000,12.2000,12.2000,46100.00
2012-12-07,12.0200,12.3600,12.0000,12.1000,12.1000,51800.00
2012-12-10,12.0000,12.0200,11.2200,11.3400,11.3400,76400.00
2012-12-11,11.4500,11.9900,11.1600,11.6900,11.6900,113900.00
2012-12-12,11.7900,12.4200,11.7000,12.3900,12.3900,44500.00
2012-12-13,12.4400,12.8700,12.4300,12.6700,12.6700,35700.00
2012-12-14,13.3100,13.3100,12.5100,12.8650,12.8650,62200.00
2012-12-17,13.2400,13.4000,12.5500,13.2100,13.2100,35700.00
2012-12-18,13.2200,13.5600,12.5100,13.4100,13.4100,128400.00
2012-12-19,13.4100,14.0000,12.5000,13.7600,13.7600,136300.00
2012-12-20,13.7800,14.2000,12.7400,13.5800,13.5800,172800.00
2012-12-21,13.0000,13.9500,12.7200,13.8500,13.8500,1111400.00
2012-12-24,13.7600,14.0000,12.9800,13.7000,13.7000,44100.00
2012-12-26,13.7000,13.9038,13.0300,13.1700,13.1700,37900.00
2012-12-27,13.2200,13.9700,13.1400,13.6700,13.6700,53700.00
2012-12-28,13.6400,14.5400,13.6400,14.3700,14.3700,61200.00
2012-12-31,14.1900,14.8800,13.7900,14.7900,14.7900,131500.00
2013-01-02,15.1000,15.8240,14.7410,15.6100,15.6100,117400.00
2013-01-03,15.5800,15.8399,14.6800,15.5000,15.5000,62900.00
2013-01-04,15.6000,16.1800,15.4100,16.0500,16.0500,96700.00
2013-01-07,15.8700,16.3800,15.8000,16.2400,16.2400,32100.00
2013-01-08,16.2500,16.3400,14.9710,15.7900,15.7900,124900.00
2013-01-09,15.7900,16.3300,15.6800,15.9700,15.9700,42500.00
2013-01-10,16.1000,16.2700,15.4600,16.1700,16.1700,64200.00
2013-01-11,16.1500,16.2800,14.1800,15.7000,15.7000,61500.00
2013-01-14,15.7300,15.7300,15.0500,15.5800,15.5800,72100.00
2013-01-15,15.4500,15.6800,15.2500,15.2900,15.2900,37800.00
2013-01-16,15.2100,15.2900,14.4390,14.8400,14.8400,115300.00
2013-01-17,14.9100,15.3300,14.5000,15.3300,15.3300,17500.00
2013-01-18,15.2400,15.7000,15.0452,15.6500,15.6500,36200.00
2013-01-22,15.5700,15.6300,15.1600,15.5400,15.5400,15000.00
2013-01-23,15.5700,15.8290,14.8900,15.1100,15.1100,57900.00
2013-01-24,15.0900,15.0900,14.5900,14.7800,14.7800,16100.00
2013-01-25,14.8800,15.0100,14.2500,14.6400,14.6400,38200.00
2013-01-28,14.7100,14.7100,14.0000,14.0500,14.0500,60400.00
2013-01-29,14.0000,14.0570,13.4200,13.4800,13.4800,64600.00
2013-01-30,13.3100,13.8934,13.0900,13.7900,13.7900,28700.00
2013-01-31,13.8000,13.8000,13.0800,13.1000,13.1000,62100.00
2013-02-01,13.1900,13.9700,13.1000,13.2000,13.2000,68500.00
2013-02-04,13.2000,13.5650,12.6200,12.6400,12.6400,56800.00
2013-02-05,12.7600,12.8400,12.0200,12.1200,12.1200,80100.00
2013-02-06,12.1400,13.1200,12.1100,12.8100,12.8100,45300.00
2013-02-07,12.8400,12.8400,12.3700,12.6800,12.6800,21500.00
2013-02-08,12.6500,12.7600,12.4000,12.6500,12.6500,76600.00
2013-02-11,12.8000,12.8900,12.4200,12.7200,12.7200,36100.00
2013-02-12,12.4700,12.4700,10.1750,12.1300,12.1300,633600.00
2013-02-13,12.1100,12.4400,12.0100,12.1200,12.1200,72100.00
2013-02-14,12.1300,12.7400,12.1300,12.6800,12.6800,58800.00
2013-02-15,12.7500,13.1600,12.7000,13.0900,13.0900,25000.00
2013-02-19,13.1800,13.4400,12.8800,13.2000,13.2000,58000.00
2013-02-20,13.2000,13.2500,12.2600,12.3500,12.3500,51800.00
2013-02-21,12.3000,12.6600,11.8900,12.3100,12.3100,147400.00
2013-02-22,12.4000,12.9100,12.1300,12.3300,12.3300,108800.00
2013-02-25,12.4300,12.5500,11.5900,11.5900,11.5900,47800.00
2013-02-26,11.6100,12.4200,11.5650,11.8300,11.8300,40000.00
2013-02-27,11.9000,12.3190,11.7700,12.1900,12.1900,273400.00
2013-02-28,12.1100,12.5000,11.4400,11.8600,11.8600,164700.00
2013-03-01,11.9000,12.3300,11.8900,12.2500,12.2500,77800.00
2013-03-04,12.2600,12.4600,12.1400,12.4000,12.4000,87400.00
2013-03-05,12.4800,12.9100,11.8100,12.2100,12.2100,80700.00
2013-03-06,12.1900,12.6100,11.8000,12.1600,12.1600,81000.00
2013-03-07,12.1600,12.9300,12.1600,12.9000,12.9000,42500.00
2013-03-08,13.0500,13.0500,12.4000,12.5500,12.5500,90200.00
2013-03-11,12.4700,12.7400,12.4700,12.5500,12.5500,26600.00
2013-03-12,12.5000,12.7500,12.5000,12.5400,12.5400,33300.00
2013-03-13,12.5900,12.6500,12.0000,12.2300,12.2300,119300.00
2013-03-14,12.2800,12.2800,11.9200,12.1000,12.1000,47600.00
2013-03-15,12.1300,12.5700,11.6020,11.7100,11.7100,87200.00
2013-03-18,11.5400,11.7300,11.2700,11.4500,11.4500,56800.00
2013-03-19,11.5100,11.6600,11.0700,11.1100,11.1100,124700.00
2013-03-20,11.2100,11.6400,11.0800,11.6300,11.6300,107500.00
2013-03-21,11.5100,12.6400,11.5100,12.3900,12.3900,102700.00
2013-03-22,12.3800,12.5800,12.0700,12.4800,12.4800,128400.00
2013-03-25,12.4800,12.6600,12.3300,12.5300,12.5300,71600.00
