Date,Open,High,Low,Close,Adjusted_close,Volume
2006-05-02,19.7500,19.7500,19.5600,19.6100,18.4391,7141.00
2006-05-03,19.6000,19.6200,19.5400,19.6070,18.4363,74421.00
2006-05-04,19.7100,19.8500,19.7100,19.7900,18.6083,115900.00
2006-05-05,19.9400,20.0100,19.8700,20.0000,18.8058,8400.00
2006-05-08,20.4900,20.4900,19.9700,20.0400,18.8434,45500.00
2006-05-09,20.4300,20.4300,19.9400,20.0100,18.8152,65100.00
2006-05-10,19.9300,19.9700,19.7900,19.8900,18.7024,14000.00
2006-05-11,20.2400,20.2400,19.4700,19.4700,18.3075,69500.00
2006-05-12,19.0000,19.3700,19.0000,19.1100,17.9690,60233.00
2006-05-15,19.0000,19.0870,18.9000,18.9750,17.8420,3245.00
2006-05-16,19.1700,19.1700,18.8900,18.9800,17.8467,13317.00
2006-05-17,18.8400,18.8400,18.6300,18.7000,17.5834,28950.00
2006-05-18,18.7730,18.7730,18.5000,18.5100,17.4048,13431.00
2006-05-19,18.4000,18.6700,18.4000,18.6100,17.4988,14827.00
2006-05-22,18.2700,18.5400,18.2500,18.4700,17.3672,10200.00
2006-05-23,19.1800,19.1800,18.2500,18.3000,17.2073,33961.00
2006-05-24,18.2300,18.3900,18.0400,18.0400,16.9628,7982.00
2006-05-25,18.9500,18.9500,18.3100,18.5146,17.4091,16208.00
2006-05-26,18.1400,18.6300,18.1400,18.6200,17.5082,10647.00
2006-05-30,18.4700,18.4700,18.3100,18.3100,17.2167,9225.00
2006-05-31,18.8700,18.8700,18.3400,18.5000,17.3954,9490.00
2006-06-01,18.6500,19.1100,18.5000,18.8600,17.7339,37602.00
2006-06-02,19.3600,19.3600,18.7000,18.8400,17.7151,53467.00
2006-06-05,18.8900,18.8900,18.4100,18.4100,17.3107,29210.00
2006-06-06,18.6300,18.6300,18.1800,18.3200,17.2261,75609.00
2006-06-07,18.5100,18.5300,18.2400,18.2400,17.1509,75424.00
2006-06-08,18.0500,18.1100,17.7800,18.0600,16.9816,39641.00
2006-06-09,18.7700,18.7700,18.0300,18.1100,17.0287,40398.00
2006-06-12,17.8500,17.8900,17.6400,17.6400,16.5867,6024.00
2006-06-13,17.4800,17.7800,17.4800,17.5100,16.4645,14214.00
2006-06-14,17.1500,17.6300,17.0300,17.5700,16.5209,81270.00
2006-06-15,17.7500,18.2160,17.7500,18.2160,17.1283,12791.00
2006-06-16,18.2100,18.2100,18.0300,18.1000,17.0193,15800.00
2006-06-19,18.1000,18.1100,17.8300,17.9140,16.8444,15325.00
2006-06-20,17.9200,18.0300,17.8500,17.8800,16.8124,2296.00
2006-06-21,18.0500,18.3770,17.9200,18.2500,17.1603,4410.00
2006-06-22,17.9780,18.0565,17.9780,18.0565,16.9784,2625.00
2006-06-23,18.2100,18.2100,18.0100,18.1490,17.0653,4000.00
2006-06-26,18.1300,18.1300,18.1300,18.1300,17.0475,4047.00
2006-06-27,18.3200,18.3200,17.8200,17.8600,16.7936,44429.00
2006-06-28,17.8500,17.9300,17.7900,17.9000,16.8312,800.00
2006-06-29,17.9000,18.4500,17.9000,18.4500,17.3484,20100.00
2006-06-30,18.9500,18.9500,18.4000,18.4200,17.3202,43200.00
2006-07-03,18.7400,18.7400,18.4400,18.5000,17.3954,26000.00
2006-07-05,18.2975,18.2975,18.1200,18.1200,17.0381,23500.00
2006-07-06,18.1600,18.2500,18.0400,18.0800,17.0005,10211.00
2006-07-07,17.9500,17.9945,17.8000,17.8300,16.7654,7328.00
2006-07-10,17.8800,17.9000,17.5900,17.6000,16.5491,5125.00
2006-07-11,17.5000,17.6700,17.5000,17.6700,16.6149,9750.00
2006-07-12,17.5840,17.5840,17.3700,17.4340,16.3930,309275.00
2006-07-13,16.9000,17.4400,16.7200,17.2000,16.1730,56593.00
2006-07-14,17.0600,17.1856,16.9300,17.0500,16.0320,25712.00
2006-07-17,16.8400,17.1300,16.8400,16.9600,15.9473,9790.00
2006-07-18,17.2200,17.2200,16.7930,17.0301,16.0132,3839.00
2006-07-19,17.1100,17.3900,17.1000,17.3300,16.2952,126100.00
2006-07-20,17.3500,17.3500,17.0000,17.0000,15.9849,3105.00
2006-07-21,16.7500,16.8100,16.6400,16.6400,15.6464,4100.00
2006-07-24,16.8600,17.0454,16.8600,17.0454,16.0276,9200.00
2006-07-25,17.1100,17.2100,17.0500,17.1900,16.1636,12517.00
2006-07-26,17.0900,17.2600,17.0000,17.1400,16.1166,5869.00
2006-07-27,17.2900,17.2900,16.9700,16.9900,15.9755,7140.00
2006-07-28,17.1600,17.3100,17.0500,17.3100,16.2764,2500.00
2006-07-31,17.2300,17.3500,17.2200,17.2900,16.2576,16315.00
2006-08-01,17.1400,17.1600,16.9100,17.0400,16.0226,9225.00
2006-08-02,17.0900,17.2800,17.0900,17.2300,16.2012,1548.00
2006-08-03,17.0900,17.4000,17.0900,17.4000,16.3611,1100.00
2006-08-04,17.4300,17.5500,17.1600,17.2670,16.2360,9698.00
2006-08-07,17.2300,17.2500,17.1000,17.1500,16.1260,28555.00
