Date,Open,High,Low,Close,Adjusted_close,Volume
2007-02-01,20.0000,22.0000,20.0000,20.1000,7.0698,18281.00
2007-02-02,20.6100,20.6100,20.2500,20.2500,7.1226,14682.00
2007-02-05,20.0100,20.5000,20.0000,20.2000,7.1050,14122.00
2007-02-06,20.5000,20.5000,20.0000,20.0000,7.0347,44395.00
2007-02-07,20.0000,20.5000,19.8900,20.0700,7.0593,19556.00
2007-02-08,20.4000,20.4000,20.0000,20.1360,7.0825,18779.00
2007-02-09,21.7500,21.7500,20.4800,20.5300,7.2211,43363.00
2007-02-12,20.5000,21.9000,20.2600,20.5200,7.2176,11243.00
2007-02-13,20.5600,21.0000,20.2500,20.4500,7.1929,10705.00
2007-02-14,20.6500,20.6500,20.2500,20.3000,7.1402,12642.00
2007-02-15,20.6500,20.6500,20.3000,20.4900,7.2070,10074.00
2007-02-16,20.8000,20.8000,20.1500,20.2400,7.1191,18086.00
2007-02-20,20.1000,20.2000,20.0000,20.0100,7.0382,17071.00
2007-02-21,20.0000,20.2999,20.0000,20.2400,7.1191,71089.00
2007-02-22,21.4000,21.4000,20.2501,20.4000,7.1754,22424.00
2007-02-23,20.2500,20.2500,20.0000,20.1500,7.0874,15629.00
2007-02-26,19.7500,20.1000,19.7000,20.0000,7.0347,53839.00
2007-02-27,20.0000,20.1900,20.0000,20.0000,7.0347,136513.00
2007-02-28,20.4500,20.4500,20.0000,20.0100,7.0382,61806.00
2007-03-01,20.0000,20.0300,20.0000,20.0000,7.0347,47118.00
2007-03-02,19.8500,20.0100,19.8500,20.0100,7.0382,76836.00
2007-03-05,19.8900,20.1501,19.8800,20.0000,7.0347,164550.00
2007-03-06,20.0000,20.1000,20.0000,20.0000,7.0347,49185.00
2007-03-07,20.0000,20.0900,20.0000,20.0000,7.0347,20337.00
2007-03-08,20.0000,20.1100,20.0000,20.0000,7.0347,13980.00
2007-03-09,20.0000,20.0900,20.0000,20.0000,7.0347,8275.00
2007-03-12,20.1500,20.1500,20.0000,20.0100,7.0382,7500.00
2007-03-13,20.0000,20.0699,20.0000,20.0000,7.0347,10300.00
2007-03-14,20.0000,20.0900,19.9500,20.0000,7.0347,12840.00
2007-03-15,20.0000,20.0000,19.8968,19.9700,7.0241,4601.00
2007-03-16,20.0000,20.1200,20.0000,20.1200,7.0769,4400.00
2007-03-19,20.1500,20.1500,19.7800,19.9700,7.0241,14307.00
2007-03-20,19.8000,20.0100,19.8000,20.0000,7.1416,36095.00
2007-03-21,19.9000,20.0500,19.9000,20.0000,7.1416,25375.00
2007-03-22,20.1000,20.1000,19.9001,19.9500,7.1238,11930.00
2007-03-23,19.9000,19.9499,19.9000,19.9400,7.1202,11720.00
2007-03-26,19.9400,20.0399,19.5200,19.6500,7.0167,90631.00
2007-03-27,19.7800,19.8199,19.5000,19.7700,7.0595,24024.00
2007-03-28,19.5700,19.7200,19.3300,19.4700,6.9524,17102.00
2007-03-29,19.3200,19.7799,19.3000,19.4000,6.9274,18953.00
2007-03-30,19.6100,19.6100,19.3200,19.3300,6.9024,4013.00
2007-04-02,19.2500,19.6000,19.1700,19.2500,6.8738,25941.00
2007-04-03,19.4500,19.6900,19.2100,19.4500,6.9452,30035.00
2007-04-04,19.3201,19.6300,19.3200,19.3400,6.9060,30247.00
2007-04-05,19.3200,19.8500,19.3200,19.7000,7.0345,16348.00
2007-04-09,20.1500,20.1999,20.0100,20.1750,7.2041,80016.00
2007-04-10,20.4800,20.4800,20.1300,20.2900,7.2452,49351.00
2007-04-11,20.4600,20.4600,20.0000,20.0900,7.1738,36802.00
2007-04-12,20.0000,20.2501,20.0000,20.0400,7.1559,33096.00
2007-04-13,20.3200,20.3200,20.0100,20.0400,7.1559,34592.00
2007-04-16,20.4600,20.4600,20.0200,20.0700,7.1666,46489.00
2007-04-17,20.0700,20.1400,20.0000,20.0500,7.1595,50890.00
2007-04-18,20.0200,20.0500,20.0000,20.0000,7.1416,27849.00
2007-04-19,20.0000,20.0100,19.9500,19.9600,7.1274,40477.00
2007-04-20,19.9500,20.0600,19.7500,19.8300,7.0809,43331.00
2007-04-23,19.9900,20.0000,19.8000,19.8600,7.0916,38819.00
2007-04-24,19.9800,19.9800,19.7500,19.7800,7.0631,33897.00
2007-04-25,20.0000,20.0756,19.6500,19.6820,7.0281,73498.00
2007-04-26,19.7500,19.8200,19.5500,19.6500,7.0167,26478.00
2007-04-27,19.5900,19.7930,19.5500,19.7500,7.0524,19761.00
2007-04-30,19.7300,19.7300,19.5300,19.5900,6.9952,23608.00
2007-05-01,19.5000,19.6200,19.3600,19.5520,6.9817,48824.00
2007-05-02,19.5200,19.7400,19.5000,19.5500,6.9809,53670.00
2007-05-03,19.3900,19.7600,19.3900,19.5900,6.9952,30380.00
2007-05-04,19.4600,19.9409,19.4600,19.9300,7.1166,53087.00
2007-05-07,19.9800,20.0000,19.7000,19.8700,7.0952,65717.00
