Date,Open,High,Low,Close,Adjusted_close,Volume
2006-05-02,19.4800,19.4800,19.4800,19.4800,18.0930,0.00
2006-05-03,19.7000,19.7000,19.7000,19.7000,18.2973,100.00
2006-05-04,19.8600,19.8600,19.8600,19.8600,18.4459,600.00
2006-05-05,19.9500,19.9500,19.9500,19.9500,18.5295,200.00
2006-05-08,19.9600,19.9600,19.9600,19.9600,18.5388,200.00
2006-05-09,19.9600,19.9600,19.9600,19.9600,18.5388,0.00
2006-05-10,19.7200,19.7200,19.5100,19.5400,18.1487,6400.00
2006-05-11,20.2500,20.2500,18.9800,19.0200,17.6658,1800.00
2006-05-12,19.8900,19.8900,18.7770,18.7770,17.4401,8010.00
2006-05-15,18.6900,18.6900,18.4900,18.5000,17.1828,900.00
2006-05-16,18.6270,18.6270,18.4000,18.4000,17.0899,425.00
2006-05-17,18.3500,18.3500,18.2300,18.2700,16.9692,1463.00
2006-05-18,18.3700,18.3700,18.3700,18.3700,17.0620,2500.00
2006-05-19,18.0900,18.1500,18.0700,18.1300,16.8391,3200.00
2006-05-22,18.1100,18.1100,17.9800,17.9800,16.6998,1100.00
2006-05-23,17.9600,17.9600,17.9400,17.9400,16.6627,6200.00
2006-05-24,17.8800,17.9700,17.8554,17.8554,16.5841,1863.00
2006-05-25,17.8554,17.8554,17.8554,17.8554,16.5841,0.00
2006-05-26,18.0300,18.0700,18.0300,18.0700,16.7834,980.00
2006-05-30,17.8000,17.8000,17.7900,17.7900,16.5233,300.00
2006-05-31,17.7900,17.7900,17.7900,17.7900,16.5233,0.00
2006-06-01,18.4800,18.4800,18.1440,18.2800,16.9784,2100.00
2006-06-02,18.2700,18.2700,18.2640,18.2640,16.9636,2150.00
2006-06-05,18.2000,18.2000,17.9100,17.9100,16.6348,600.00
2006-06-06,17.7700,17.9300,17.7100,17.8600,16.5883,35388.00
2006-06-07,17.7700,17.9100,17.6500,17.6500,16.3933,3149.00
2006-06-08,17.5100,17.5500,17.0836,17.5000,16.2540,34936.00
2006-06-09,17.6000,17.7500,17.4700,17.5200,16.2726,19196.00
2006-06-12,17.2452,17.3100,16.9900,17.0000,15.7896,8633.00
