Date,Open,High,Low,Close,Adjusted_close,Volume
2013-12-12,25.0500,25.0500,25.0075,25.0400,16.2273,3265.00
2013-12-13,25.0300,25.0300,24.9900,25.0200,16.2144,1665.00
2013-12-16,25.1000,25.1000,25.0400,25.0500,16.2338,1600.00
2013-12-17,25.0700,25.0700,25.0350,25.0700,16.2468,13185.00
2013-12-18,25.0400,25.0400,25.0300,25.0300,16.2208,5016.00
2013-12-19,25.1300,25.1300,25.0600,25.0600,16.2403,1300.00
2013-12-20,25.1400,25.3700,25.1400,25.3600,16.4347,6648.00
2013-12-23,25.4900,25.5000,25.4900,25.5000,16.5254,5700.00
2013-12-24,25.5200,25.6100,25.4800,25.4800,16.5125,700.00
2013-12-26,25.5100,25.5100,25.4300,25.4610,16.5002,1475.00
2013-12-27,25.5100,25.5100,25.4990,25.4990,16.5248,900.00
2013-12-30,25.4700,25.4900,25.4600,25.4700,16.5060,1960.00
2013-12-31,25.5400,25.5400,25.5400,25.5400,16.5514,300.00
2014-01-02,25.4400,25.4400,25.4400,25.4400,16.4866,250.00
2014-01-03,25.4200,25.4200,25.4200,25.4200,16.4736,340.00
2014-01-06,25.3900,25.3900,25.3900,25.3900,16.4541,550.00
2014-01-07,25.5200,25.5200,25.5200,25.5200,16.5384,100.00
2014-01-08,25.5800,25.5800,25.5700,25.5700,16.5708,1660.00
2014-01-09,25.4714,25.4714,25.4714,25.4714,16.5069,100.00
2014-01-10,25.4804,25.5000,25.4800,25.4900,16.5190,1260.00
2014-01-13,25.5800,25.5800,25.4400,25.4400,16.4866,2300.00
2014-01-14,25.5700,25.6100,25.5640,25.6100,16.5967,5062.00
2014-01-15,25.7500,25.7500,25.6394,25.6700,16.6356,6503.00
2014-01-16,25.6900,25.7000,25.6413,25.7000,16.6550,2910.00
2014-01-17,25.6700,25.7700,25.6500,25.7100,16.6615,5615.00
2014-01-21,25.7400,25.7400,25.6600,25.7190,16.6674,2230.00
2014-01-22,25.5290,25.5400,25.5290,25.5300,16.7117,1055.00
2014-01-23,25.5300,25.5300,25.4250,25.4250,16.6430,1200.00
2014-01-24,25.3000,25.3000,25.3000,25.3000,16.5611,383.00
2014-01-27,25.1200,25.1201,24.8500,25.0700,16.4106,4100.00
2014-01-28,24.9600,24.9600,24.8800,24.9260,16.3163,600.00
2014-01-29,24.8600,24.8700,24.8600,24.8600,16.2731,8400.00
2014-01-30,25.0050,25.2100,25.0050,25.1800,16.4826,1340.00
2014-01-31,25.1190,25.1300,25.1190,25.1300,16.4499,200.00
2014-02-03,24.9300,24.9300,24.5900,24.5900,16.0964,1216.00
2014-02-04,24.8063,24.8063,24.8063,24.8063,16.2380,116.00
2014-02-05,24.8000,24.8000,24.5700,24.7500,16.2011,1100.00
2014-02-06,24.8000,25.1000,24.8000,25.0500,16.3975,9519.00
2014-02-07,25.2170,25.2170,25.2170,25.2170,16.5068,109.00
2014-02-10,25.4300,25.4600,25.4300,25.4600,16.6659,1553.00
2014-02-11,25.4700,25.7000,25.4700,25.7000,16.8230,550.00
2014-02-12,25.7200,25.7200,25.7200,25.7200,16.8361,100.00
2014-02-13,25.7200,25.7200,25.7100,25.7100,16.8295,800.00
2014-02-14,25.7700,25.7800,25.7500,25.7800,16.8753,1470.00
2014-02-18,25.7500,25.7500,25.7500,25.7500,16.8557,500.00
2014-02-19,25.8199,25.8200,25.8199,25.8200,16.9015,1100.00
2014-02-20,25.8000,25.8002,25.8000,25.8000,16.8884,1040.00
2014-02-21,25.8200,25.8300,25.8200,25.8250,16.9048,2000.00
2014-02-24,25.8200,25.8200,25.8180,25.8180,16.9002,1566.00
2014-02-25,25.7700,25.7700,25.7699,25.7699,16.8687,200.00
2014-02-26,25.6199,25.6200,25.5401,25.5401,16.8448,500.00
2014-02-27,25.6690,25.6690,25.6690,25.6690,16.9298,200.00
2014-02-28,25.7990,25.8000,25.7990,25.8000,17.0162,660.00
2014-03-03,25.5699,25.5700,25.5699,25.5700,16.8645,300.00
2014-03-04,25.7500,25.8000,25.7500,25.7600,16.9898,1958.00
2014-03-05,25.7500,25.7910,25.7500,25.7800,17.0030,500.00
2014-03-06,25.8699,25.8699,25.8000,25.8300,17.0360,5084.00
2014-03-07,25.9200,25.9200,25.9200,25.9200,17.0954,110.00
2014-03-10,25.7800,25.7800,25.7700,25.7800,17.0030,322.00
2014-03-11,25.8499,25.8499,25.7700,25.7700,16.9964,975.00
2014-03-12,25.8400,25.8400,25.8109,25.8109,17.0234,1130.00
2014-03-13,25.8200,25.8201,25.6000,25.6000,16.8843,2616.00
2014-03-14,25.5620,25.5620,25.5620,25.5620,16.8593,110.00
2014-03-17,25.7500,25.7500,25.7499,25.7499,16.9832,1001.00
2014-03-18,25.7500,25.9500,25.7500,25.9500,17.1152,1200.00
2014-03-19,25.8200,25.8700,25.8199,25.8700,17.0624,2210.00
2014-03-20,25.8801,25.8801,25.8800,25.8800,17.0690,1000.00
2014-03-21,25.9400,26.0000,25.7000,25.7200,16.9635,119700.00
2014-03-24,25.5246,25.5246,25.5000,25.5000,16.8184,425.00
2014-03-25,25.4900,25.4900,25.4899,25.4899,16.8117,425.00
2014-03-26,25.3600,25.3600,25.0899,25.0899,16.6755,700.00
2014-03-27,25.0000,25.0000,25.0000,25.0000,16.6157,900.00
2014-03-28,25.1000,25.1000,25.1000,25.1000,16.6822,202.00
2014-03-31,25.1899,25.1900,25.1899,25.1900,16.7420,300.00
2014-04-01,25.3800,25.3800,25.3700,25.3800,16.8683,702.00
2014-04-02,25.5699,25.5700,25.5000,25.5490,16.9806,1200.00
2014-04-03,25.5900,25.5900,25.3800,25.3800,16.8683,2953.00
2014-04-04,25.3490,25.3490,24.9390,24.9390,16.5752,650.00
2014-04-07,24.7900,24.8000,24.4800,24.4800,16.2701,7364.00
