Date,Open,High,Low,Close,Adjusted_close,Volume
2016-11-22,24.0000,24.9000,23.4310,24.8765,21.9127,2822.00
2016-11-23,24.9000,26.4900,24.2000,24.7900,21.8365,22753.00
2016-11-25,24.8500,26.4900,24.8300,25.0700,22.0831,48133.00
2016-11-28,25.1100,25.1400,25.0000,25.0250,22.0435,51891.00
2016-11-29,25.0500,25.4973,25.0300,25.1000,22.1096,20229.00
2016-11-30,25.1100,25.6000,25.1000,25.2000,22.1976,4234.00
2016-12-01,25.2000,25.7500,25.2000,25.7500,22.6821,4599.00
2016-12-02,25.7500,25.7500,25.3000,25.4990,22.4610,2345.00
2016-12-05,25.4047,25.5000,25.4047,25.4748,22.4397,3942.00
2016-12-06,25.5000,25.7000,25.4200,25.4200,22.3914,20363.00
2016-12-07,25.5000,25.5000,25.4100,25.4100,22.3826,24582.00
2016-12-08,25.4000,25.5000,25.4000,25.4000,22.3738,13520.00
2016-12-09,25.4749,25.5000,25.4109,25.4585,22.4254,16365.00
2016-12-12,25.5000,25.5000,25.5000,25.5000,22.4619,1296.00
2016-12-13,25.5000,25.7850,25.3510,25.4300,22.4002,18858.00
2016-12-14,25.4300,25.4300,25.4300,25.4300,22.4002,0.00
2016-12-15,25.9000,25.9100,25.4600,25.5000,22.4619,10655.00
2016-12-16,25.4700,25.5000,25.4000,25.4400,22.4091,23526.00
2016-12-19,25.5000,25.5000,25.4000,25.4000,22.3738,12972.00
2016-12-20,25.4900,25.5300,25.4100,25.4100,22.3826,4490.00
2016-12-21,25.7500,25.7500,25.7500,25.7500,22.6821,732.00
2016-12-22,25.5499,25.5499,25.4100,25.4500,22.4179,13322.00
2016-12-23,25.4639,25.5000,25.4639,25.4900,22.4531,1951.00
2016-12-27,25.5000,25.6000,25.5000,25.6000,22.5500,10015.00
2016-12-28,25.4200,25.5600,25.4000,25.5097,22.4705,10515.00
2016-12-29,25.5000,25.6000,25.5000,25.6000,22.5500,5020.00
2016-12-30,25.5887,25.6220,25.5887,25.6220,22.5694,466.00
2017-01-03,25.6093,25.6500,25.5738,25.6500,22.5940,5187.00
2017-01-04,25.6731,25.7500,25.6510,25.6510,22.5949,16478.00
2017-01-05,25.7500,25.7500,25.7117,25.7490,22.6812,840.00
2017-01-06,25.8300,25.8300,25.7499,25.8000,22.7262,5102.00
2017-01-09,25.9742,26.0000,25.8600,25.8600,22.7790,3071.00
2017-01-10,26.0438,26.0438,25.6000,25.7176,22.6536,5099.00
2017-01-11,25.5510,25.8791,25.5510,25.8791,22.7958,1335.00
2017-01-12,25.8347,26.0400,25.8347,25.9800,22.8847,6234.00
2017-01-13,25.9370,25.9370,25.6450,25.7500,23.0904,4560.00
