Date,Open,High,Low,Close,Adjusted_close,Volume
2010-08-12,13.0000,16.4100,12.4200,14.5200,14.5200,4381200.00
2010-08-13,14.2000,15.3399,14.1000,15.0000,15.0000,519700.00
2010-08-16,15.9500,17.0000,14.5800,16.2500,16.2500,104400.00
2010-08-17,16.0700,16.9300,15.1800,16.2050,16.2050,607100.00
2010-08-18,16.2000,17.1900,15.9800,16.7450,16.7450,350800.00
2010-08-19,16.4000,17.3900,16.4000,17.0400,17.0400,231800.00
2010-08-20,17.1900,17.5400,16.8500,17.0900,17.0900,311700.00
2010-08-23,17.3200,18.1800,16.7500,17.4400,17.4400,119700.00
2010-08-24,17.5000,17.5000,16.3450,17.0000,17.0000,150100.00
2010-08-25,17.1700,17.4000,16.6240,17.0700,17.0700,51600.00
2010-08-26,17.0000,17.0500,16.8200,16.9000,16.9000,38200.00
2010-08-27,16.7300,17.2000,16.7000,16.9850,16.9850,94900.00
2010-08-30,17.0000,17.2500,16.8700,16.9300,16.9300,122600.00
2010-08-31,16.9900,17.3799,16.4700,16.7400,16.7400,60300.00
2010-09-01,16.8500,16.8600,16.4100,16.6200,16.6200,30800.00
2010-09-02,16.5500,17.0600,16.2500,16.9900,16.9900,43200.00
2010-09-03,17.0300,17.3300,16.7901,17.1700,17.1700,62000.00
2010-09-07,17.2100,17.9200,16.5000,17.2100,17.2100,87100.00
2010-09-08,17.3500,18.1500,17.3100,17.5900,17.5900,34300.00
2010-09-09,17.8900,17.8900,16.6700,17.2300,17.2300,28400.00
2010-09-10,17.1400,17.2000,16.2600,16.4500,16.4500,82400.00
2010-09-13,16.4900,16.7500,15.7600,16.5600,16.5600,93500.00
2010-09-14,16.1900,17.9397,15.9300,17.7500,17.7500,73200.00
2010-09-15,17.6800,18.8300,17.2600,18.0000,18.0000,127400.00
2010-09-16,17.9900,19.2299,17.9900,19.0500,19.0500,130400.00
2010-09-17,19.1500,19.6300,18.5300,19.0400,19.0400,122500.00
2010-09-20,19.2000,19.5800,18.9000,19.3800,19.3800,96300.00
2010-09-21,19.6000,19.9900,19.4600,19.7000,19.7000,214600.00
2010-09-22,19.7800,19.8000,19.2500,19.7200,19.7200,122400.00
2010-09-23,19.1550,19.7000,18.3600,19.0000,19.0000,119700.00
2010-09-24,19.0300,19.2400,18.0100,18.7300,18.7300,98100.00
2010-09-27,18.8600,18.8600,18.1100,18.3600,18.3600,141400.00
2010-09-28,18.6700,18.7700,17.4200,18.2700,18.2700,117900.00
2010-09-29,18.4100,19.4000,18.4000,19.2300,19.2300,75400.00
2010-09-30,19.2000,19.3400,18.5300,19.0800,19.0800,1364400.00
2010-10-01,19.2400,19.6400,19.1000,19.4600,19.4600,122300.00
2010-10-04,19.3100,19.5000,19.0500,19.4300,19.4300,45500.00
2010-10-05,19.6000,19.7500,19.2400,19.7000,19.7000,68400.00
2010-10-06,19.7000,19.9295,18.9200,19.5300,19.5300,131600.00
2010-10-07,19.6100,19.7400,18.7800,19.4300,19.4300,70600.00
2010-10-08,19.3200,21.7500,19.1100,20.8800,20.8800,83300.00
2010-10-11,20.8300,21.4100,20.1900,20.5100,20.5100,154000.00
2010-10-12,20.3800,22.1600,20.3747,21.9000,21.9000,624800.00
2010-10-13,21.9000,22.7100,20.9000,22.0000,22.0000,66300.00
2010-10-14,22.0000,22.7200,21.5100,22.0400,22.0400,69600.00
2010-10-15,22.2800,22.2800,21.1000,21.2200,21.2200,46700.00
2010-10-18,21.1700,21.9500,20.7000,21.6000,21.6000,49500.00
2010-10-19,21.3800,21.3800,20.1100,20.7200,20.7200,58800.00
2010-10-20,20.8300,22.9400,19.7600,22.3400,22.3400,35400.00
2010-10-21,22.4600,22.6700,21.8100,21.9800,21.9800,34400.00
2010-10-22,21.9800,21.9900,21.3100,21.9500,21.9500,52400.00
2010-10-25,22.0700,22.3400,21.6401,22.1200,22.1200,40000.00
2010-10-26,21.9500,22.1800,21.6300,21.9900,21.9900,37400.00
2010-10-27,21.9000,23.5600,21.8700,23.0700,23.0700,72300.00
2010-10-28,23.2500,24.7400,22.7500,23.9500,23.9500,139200.00
2010-10-29,22.9200,23.3100,22.5700,23.0800,23.0800,140900.00
2010-11-01,23.0600,23.4600,22.8400,23.0000,23.0000,89200.00
2010-11-02,23.1900,24.2300,23.0900,24.2300,24.2300,96100.00
2010-11-03,24.1400,25.2300,23.9600,24.4400,24.4400,65600.00
2010-11-04,25.4900,28.9900,24.8000,26.9100,26.9100,203900.00
2010-11-05,27.0000,27.3600,26.0300,26.7400,26.7400,257500.00
2010-11-08,27.6500,27.7400,25.9700,27.1800,27.1800,98600.00
2010-11-09,27.3000,29.3700,26.7600,27.8800,27.8800,65400.00
2010-11-10,28.0400,30.2500,28.0400,29.5700,29.5700,65700.00
2010-11-11,29.5100,31.3000,29.3000,31.0900,31.0900,84700.00
2010-11-12,30.7700,30.8950,29.1500,30.1700,30.1700,324500.00
2010-11-15,30.2200,32.9600,29.3700,29.4500,29.4500,87500.00
2010-11-16,29.1300,29.1400,26.4425,27.0800,27.0800,165900.00
2010-11-17,27.0200,27.0200,24.7800,26.0600,26.0600,100500.00
2010-11-18,25.7300,28.2100,25.2510,27.7700,27.7700,62700.00
2010-11-19,27.8200,29.8300,27.3400,28.5100,28.5100,73400.00
2010-11-22,28.4300,28.4300,26.3100,28.2500,28.2500,48300.00
2010-11-23,28.0000,28.2300,26.8400,27.1100,27.1100,20000.00
2010-11-24,27.9700,28.2500,26.7500,27.3100,27.3100,57400.00
2010-11-26,27.2900,28.0500,27.0700,27.1700,27.1700,26600.00
2010-11-29,27.0800,27.5600,27.0100,27.2100,27.2100,57400.00
2010-11-30,26.9800,27.4700,26.6300,27.4000,27.4000,92400.00
2010-12-01,27.8100,29.5000,27.8100,28.9500,28.9500,96300.00
2010-12-02,29.0500,30.5100,28.0200,29.1300,29.1300,50100.00
2010-12-03,29.0600,29.0699,27.8001,28.0400,28.0400,110200.00
2010-12-06,27.9200,28.0200,25.8500,25.8500,25.8500,336500.00
2010-12-07,25.7500,28.7300,25.7500,28.5000,28.5000,3166000.00
2010-12-08,28.3200,29.6200,27.2500,28.4800,28.4800,397100.00
2010-12-09,28.5200,31.7099,28.1301,30.7200,30.7200,328000.00
2010-12-10,31.3200,31.9499,28.6500,28.8300,28.8300,330900.00
2010-12-13,28.9000,28.9000,27.1300,28.0000,28.0000,295600.00
2010-12-14,28.0000,28.8100,27.7500,27.9000,27.9000,87100.00
2010-12-15,28.0100,29.4600,26.8200,29.0600,29.0600,175600.00
2010-12-16,28.6200,29.7000,28.6200,29.0800,29.0800,174900.00
2010-12-17,28.4200,30.8700,28.4100,30.6700,30.6700,399700.00
2010-12-20,30.7100,34.1900,30.6490,32.6400,32.6400,146400.00
2010-12-21,32.8500,33.4100,31.5400,32.7600,32.7600,130800.00
2010-12-22,32.6600,33.0000,31.9600,32.8000,32.8000,121700.00
2010-12-23,32.6700,32.7700,31.8100,32.5100,32.5100,121300.00
2010-12-27,32.2500,32.8900,31.3800,32.1700,32.1700,71600.00
2010-12-28,31.7950,31.9200,30.6900,31.0700,31.0700,52300.00
2010-12-29,31.1100,32.0000,29.6732,30.0600,30.0600,55800.00
2010-12-30,29.8600,30.0500,29.0700,29.6300,29.6300,60500.00
2010-12-31,30.0400,31.0600,28.5100,30.9300,30.9300,186700.00
2011-01-03,31.0000,31.0000,30.1100,30.1100,30.1100,178500.00
2011-01-04,30.3100,30.3100,29.1300,29.7500,29.7500,303300.00
2011-01-05,29.6100,29.7500,28.3901,29.7000,29.7000,363400.00
2011-01-06,29.5900,29.5900,28.7800,29.3400,29.3400,95700.00
2011-01-07,29.4500,29.4500,28.9401,29.4500,29.4500,152000.00
2011-01-10,29.2200,29.5700,28.6900,29.0000,29.0000,61500.00
2011-01-11,29.1200,29.3800,27.7100,29.2900,29.2900,66100.00
2011-01-12,29.5800,29.9900,28.7000,28.9900,28.9900,40900.00
2011-01-13,29.0900,29.0900,27.2700,28.0200,28.0200,132300.00
2011-01-14,28.0700,28.9600,27.1000,27.6700,27.6700,134500.00
2011-01-18,27.5000,28.0950,26.7901,27.3600,27.3600,167400.00
2011-01-19,27.3900,28.3500,27.3900,27.8500,27.8500,115400.00
2011-01-20,27.7800,27.7800,26.0000,26.2100,26.2100,143400.00
2011-01-21,26.4800,28.3100,25.8200,26.4000,26.4000,202900.00
2011-01-24,26.4000,26.8100,25.5800,26.6800,26.6800,163600.00
2011-01-25,26.5100,27.3400,26.5100,27.0400,27.0400,200900.00
2011-01-26,27.1400,28.2000,27.1400,27.9700,27.9700,62700.00
2011-01-27,28.0200,28.3700,27.2200,28.2900,28.2900,76200.00
2011-01-28,28.2300,29.2200,27.1700,27.2000,27.2000,144400.00
2011-01-31,27.4300,27.5425,26.3900,27.3900,27.3900,180500.00
2011-02-01,27.5000,27.5200,26.6350,27.3200,27.3200,110400.00
2011-02-02,27.2800,27.9300,26.9700,27.1100,27.1100,49700.00
2011-02-03,28.5300,28.5300,26.8300,27.1600,27.1600,38000.00
2011-02-04,27.2600,27.7400,27.0100,27.4800,27.4800,148700.00
2011-02-07,27.4500,27.5350,26.3800,26.4100,26.4100,177600.00
2011-02-08,26.3400,27.8400,26.0300,27.4600,27.4600,183700.00
2011-02-09,27.4100,27.4100,26.5600,27.0500,27.0500,53500.00
2011-02-10,26.8800,27.8300,26.8800,27.5300,27.5300,183500.00
2011-02-11,28.0000,28.6600,27.2400,28.5300,28.5300,264200.00
2011-02-14,28.9900,29.4200,28.2900,28.7200,28.7200,199000.00
2011-02-15,28.7000,28.7000,27.6100,27.7100,27.7100,298300.00
2011-02-16,27.7000,28.0400,27.0100,27.1100,27.1100,59400.00
2011-02-17,27.0500,27.7500,26.0200,27.6800,27.6800,179800.00
2011-02-18,27.8600,28.0500,27.2800,27.8500,27.8500,226200.00
2011-02-22,27.5400,28.0000,27.0100,27.5900,27.5900,201100.00
2011-02-23,27.6500,27.8400,26.1100,26.5200,26.5200,127200.00
2011-02-24,26.5101,27.2400,26.4200,27.0300,27.0300,109400.00
2011-02-25,27.4900,27.4900,24.0300,24.6400,24.6400,805400.00
2011-02-28,24.6400,24.8900,22.8800,24.8000,24.8000,900300.00
2011-03-01,24.1800,24.4600,23.5600,24.0300,24.0300,604300.00
2011-03-02,23.7200,24.2100,22.9100,23.2600,23.2600,249400.00
2011-03-03,23.4700,24.0000,23.2300,23.9900,23.9900,430600.00
2011-03-04,23.6500,24.5900,23.6500,24.3900,24.3900,220800.00
2011-03-07,24.4900,24.6500,23.0900,23.7800,23.7800,186500.00
2011-03-08,23.5000,25.2700,23.5000,25.0100,25.0100,364200.00
2011-03-09,24.9400,25.0900,24.4200,25.0000,25.0000,210700.00
2011-03-10,24.6900,24.9900,24.5200,24.7100,24.7100,199000.00
2011-03-11,24.5900,25.0000,24.0600,24.7550,24.7550,377700.00
2011-03-14,24.3700,24.9400,24.3700,24.4200,24.4200,175700.00
2011-03-15,23.5500,24.5700,22.0000,24.4700,24.4700,140200.00
2011-03-16,24.4900,25.1800,24.0200,24.3000,24.3000,163800.00
2011-03-17,24.6900,24.8400,23.9700,24.0000,24.0000,260800.00
2011-03-18,24.2800,24.2800,23.5100,23.9700,23.9700,255300.00
2011-03-21,24.1200,25.3800,23.7800,25.3800,25.3800,353600.00
2011-03-22,25.5200,26.0900,24.6700,25.8700,25.8700,167200.00
2011-03-23,25.8200,25.9600,24.8700,25.6200,25.6200,117900.00
2011-03-24,25.7500,25.7500,25.1700,25.4400,25.4400,115800.00
2011-03-25,25.4700,26.6500,25.3200,26.1900,26.1900,138500.00
2011-03-28,26.4000,26.9800,25.8000,26.9200,26.9200,135500.00
2011-03-29,26.7800,28.0800,26.5100,27.9300,27.9300,368100.00
2011-03-30,28.0600,28.9000,27.7700,28.0000,28.0000,236400.00
2011-03-31,27.9100,28.2854,27.4200,27.7300,27.7300,97900.00
2011-04-01,27.9400,28.6000,27.6500,28.5200,28.5200,150500.00
2011-04-04,28.6500,28.6500,28.1100,28.4200,28.4200,144200.00
2011-04-05,28.2700,28.4400,27.7130,27.9400,27.9400,79200.00
2011-04-06,28.1000,28.5600,26.9800,27.6700,27.6700,137200.00
2011-04-07,27.6800,28.1500,27.5500,27.6700,27.6700,100400.00
2011-04-08,27.9000,27.9700,26.7400,27.0000,27.0000,55200.00
2011-04-11,26.9900,27.9800,26.4300,26.6900,26.6900,230300.00
2011-04-12,26.6800,27.0200,26.4400,26.7900,26.7900,155600.00
2011-04-13,26.8900,27.6600,26.7500,27.2900,27.2900,119400.00
2011-04-14,27.1900,28.4493,26.5100,28.2500,28.2500,147300.00
2011-04-15,28.1000,28.7400,27.5100,28.3800,28.3800,159500.00
2011-04-18,28.0100,29.2700,27.6600,28.0600,28.0600,122800.00
2011-04-19,28.0800,29.3500,28.0600,28.8000,28.8000,221000.00
2011-04-20,29.0900,30.1500,29.0000,30.0900,30.0900,214900.00
2011-04-21,30.4000,31.8500,30.1600,31.7300,31.7300,164200.00
