Date,Open,High,Low,Close,Adjusted_close,Volume
2015-03-26,20.0000,21.8900,19.4900,20.7000,20.7000,6565708.00
2015-03-27,20.7000,21.5900,20.2900,21.0700,21.0700,934991.00
2015-03-30,21.5000,22.4900,21.0000,22.0700,22.0700,443342.00
2015-03-31,22.3000,22.5000,21.6100,21.9300,21.9300,274250.00
2015-04-01,21.9300,22.3900,21.7100,22.2400,22.2400,207362.00
2015-04-02,22.2500,23.4300,22.0775,23.0700,23.0700,248814.00
2015-04-06,23.6400,23.8500,22.2400,22.4800,22.4800,161846.00
2015-04-07,22.3800,23.6600,22.2100,23.2100,23.2100,144837.00
2015-04-08,23.5000,24.1000,23.1058,23.7200,23.7200,176268.00
2015-04-09,24.2500,24.7400,24.0030,24.2800,24.2800,322656.00
2015-04-10,24.4600,24.7000,23.8900,24.1300,24.1300,169116.00
2015-04-13,24.2500,24.4799,23.9300,24.3300,24.3300,246290.00
2015-04-14,24.4800,24.6700,24.2900,24.5100,24.5100,169265.00
2015-04-15,24.2600,24.7000,24.0000,24.2300,24.2300,168017.00
2015-04-16,24.2500,25.6700,24.0200,25.4500,25.4500,494773.00
2015-04-17,25.3400,25.5700,24.0650,24.7500,24.7500,252733.00
2015-04-20,25.5300,25.7800,24.3300,24.6150,24.6150,313028.00
2015-04-21,24.9700,24.9800,23.5500,23.6800,23.6800,255624.00
2015-04-22,23.9200,24.2400,23.6100,23.8100,23.8100,270825.00
2015-04-23,23.9800,24.8100,23.9800,24.7900,24.7900,237844.00
2015-04-24,24.9400,25.2400,24.8000,24.8900,24.8900,266411.00
2015-04-27,25.1400,25.7299,25.1400,25.4400,25.4400,388018.00
2015-04-28,25.6000,27.3100,25.2900,26.6000,26.6000,395558.00
2015-04-29,26.7500,26.9470,25.5100,25.7400,25.7400,239604.00
2015-04-30,26.2300,26.2300,24.9300,25.0000,25.0000,173546.00
2015-05-01,27.0000,27.6700,26.1800,26.7700,26.7700,382821.00
2015-05-04,27.5000,30.0000,27.1600,28.6100,28.6100,648958.00
2015-05-05,28.6100,29.0000,26.6500,27.5300,27.5300,295216.00
2015-05-06,27.5300,27.8000,25.8400,26.0800,26.0800,303821.00
2015-05-07,26.0900,26.7200,25.2200,26.3900,26.3900,636728.00
2015-05-08,31.8700,32.0000,29.2200,31.1000,31.1000,1611437.00
2015-05-11,31.6500,35.8800,31.1110,33.9600,33.9600,1227557.00
2015-05-12,34.2900,35.6405,33.2600,34.1400,34.1400,748984.00
