Date,Open,High,Low,Close,Adjusted_close,Volume
2008-01-09,10.0000,10.0000,9.0000,9.0000,7.9871,10600.00
2008-01-10,9.0000,9.4500,9.0000,9.4500,8.3865,13400.00
2008-01-11,9.4500,9.4500,9.4500,9.4500,8.3865,0.00
2008-01-14,9.5000,9.5000,9.0000,9.0000,7.9871,11300.00
2008-01-15,9.0000,9.0000,9.0000,9.0000,7.9871,700.00
2008-01-16,9.0000,9.0600,9.0000,9.0600,8.0404,400.00
2008-01-17,9.0600,9.0600,9.0000,9.0000,7.9871,36600.00
2008-01-18,9.0000,9.0000,9.0000,9.0000,7.9871,23500.00
2008-01-22,9.0000,9.0000,9.0000,9.0000,7.9871,100.00
2008-01-23,9.0000,9.0000,9.0000,9.0000,7.9871,200.00
2008-01-24,9.0000,9.1500,9.0000,9.1500,8.1202,15000.00
2008-01-25,9.0000,9.1500,9.0000,9.1500,8.1202,4600.00
2008-01-28,9.0000,9.1400,9.0000,9.1400,8.1114,4000.00
2008-01-29,9.0000,9.1400,9.0000,9.1400,8.1114,4000.00
2008-01-30,9.2500,9.2500,9.0000,9.1400,8.1114,7200.00
2008-01-31,9.3500,9.3500,9.2500,9.3500,8.2977,1500.00
2008-02-01,9.0500,9.4700,9.0000,9.4700,8.4042,2300.00
2008-02-04,9.4700,9.4700,9.4700,9.4700,8.4042,0.00
2008-02-05,9.1500,9.1500,9.1500,9.1500,8.1202,100.00
2008-02-06,9.1500,9.1500,9.1500,9.1500,8.1202,100.00
2008-02-07,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-02-08,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-02-11,9.2000,9.2000,9.2000,9.2000,8.1646,200.00
2008-02-12,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-02-13,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-02-14,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-02-15,9.3000,9.3000,9.3000,9.3000,8.2533,800.00
2008-02-19,9.2000,9.2000,9.2000,9.2000,8.1646,500.00
2008-02-20,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-02-21,9.2000,9.2000,9.2000,9.2000,8.1646,1200.00
2008-02-22,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-02-25,9.2000,9.2000,9.2000,9.2000,8.1646,12500.00
2008-02-26,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-02-27,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-02-28,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-02-29,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-03-03,9.2000,9.2500,9.2000,9.2500,8.2090,10200.00
2008-03-04,9.2000,9.2300,9.2000,9.2300,8.1912,2900.00
2008-03-05,9.2000,9.2000,9.2000,9.2000,8.1646,10500.00
2008-03-06,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-03-07,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-03-10,9.2000,9.2000,9.2000,9.2000,8.1646,5000.00
2008-03-11,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-03-12,9.1000,9.1000,9.1000,9.1000,8.0759,500.00
2008-03-13,9.1000,9.1000,9.1000,9.1000,8.0759,0.00
2008-03-14,9.1000,9.1500,9.1000,9.1500,8.1202,2000.00
2008-03-17,9.1500,9.1500,9.1000,9.1000,8.0759,9000.00
2008-03-18,9.1000,9.1000,9.1000,9.1000,8.0759,2600.00
2008-03-19,9.1000,9.1000,9.1000,9.1000,8.0759,0.00
2008-03-20,9.1000,9.1000,9.1000,9.1000,8.0759,0.00
2008-03-24,9.1000,9.1400,9.1000,9.1400,8.1114,12200.00
2008-03-25,9.1400,9.1400,9.1400,9.1400,8.1114,0.00
2008-03-26,9.1400,9.1400,9.1400,9.1400,8.1114,0.00
2008-03-27,9.1300,9.1300,9.1300,9.1300,8.1025,7500.00
2008-03-28,9.1300,9.1300,9.1300,9.1300,8.1025,0.00
2008-03-31,9.1300,9.1300,9.1300,9.1300,8.1025,1400.00
2008-04-01,9.1300,9.1300,9.1300,9.1300,8.1025,0.00
2008-04-02,9.1300,9.1300,9.1300,9.1300,8.1025,0.00
2008-04-03,9.1500,9.1600,9.1500,9.1600,8.1291,6500.00
2008-04-04,9.1600,9.1600,9.1600,9.1600,8.1291,0.00
2008-04-07,9.1600,9.1600,9.1600,9.1600,8.1291,0.00
2008-04-08,9.1600,9.1600,9.1600,9.1600,8.1291,1000.00
2008-04-09,9.1500,9.1500,9.1500,9.1500,8.1202,4500.00
2008-04-10,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-04-11,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-04-14,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-04-15,9.1700,9.2400,9.1500,9.2400,8.2001,8000.00
2008-04-16,9.2400,9.2400,9.2400,9.2400,8.2001,0.00
2008-04-17,9.2000,9.2000,9.2000,9.2000,8.1646,500.00
2008-04-18,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-04-21,9.1500,9.1500,9.1500,9.1500,8.1202,1000.00
2008-04-22,9.1500,9.2000,9.1500,9.1500,8.1202,2800.00
2008-04-23,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-04-24,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-04-25,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-04-28,9.1500,9.1500,9.1000,9.1000,8.0759,29500.00
2008-04-29,9.1500,9.1500,9.1500,9.1500,8.1202,1000.00
2008-04-30,9.1500,9.1500,9.1500,9.1500,8.1202,2600.00
2008-05-01,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-05-02,9.2000,9.2000,9.1800,9.1800,8.1469,3700.00
2008-05-05,9.1500,9.1500,9.1500,9.1500,8.1202,500.00
2008-05-06,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-05-07,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-05-08,9.1500,9.2000,9.1500,9.2000,8.1646,1500.00
2008-05-09,9.2000,9.2000,9.2000,9.2000,8.1646,300.00
2008-05-12,9.2000,9.2000,9.2000,9.2000,8.1646,0.00
2008-05-13,9.2000,9.2000,9.1000,9.1000,8.0759,2200.00
2008-05-14,9.1200,9.1200,9.1200,9.1200,8.0936,100.00
2008-05-15,9.1500,9.1500,9.1500,9.1500,8.1202,1600.00
2008-05-16,9.1500,9.1500,9.1500,9.1500,8.1202,0.00
2008-05-19,9.1300,9.1500,9.1000,9.1000,8.0759,5300.00
2008-05-20,9.1000,9.1200,9.1000,9.1000,8.0759,4900.00
2008-05-21,9.1200,9.1200,9.1200,9.1200,8.0936,1000.00
2008-05-22,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-05-23,9.1200,9.1500,9.1200,9.1400,8.1114,7800.00
2008-05-27,9.1400,9.1400,9.1400,9.1400,8.1114,0.00
2008-05-28,9.1000,9.1000,9.1000,9.1000,8.0759,4800.00
2008-05-29,9.1200,9.1200,9.1200,9.1200,8.0936,600.00
2008-05-30,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-02,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-03,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-04,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-05,9.1200,9.1200,9.1000,9.1000,8.0759,500.00
2008-06-06,9.1100,9.1200,9.1000,9.1000,8.0759,2700.00
2008-06-09,9.1000,9.1300,9.1000,9.1000,8.0759,7700.00
2008-06-10,9.1200,9.1200,9.1200,9.1200,8.0936,500.00
2008-06-11,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-12,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-13,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-16,9.1900,9.1900,9.1900,9.1900,8.1557,300.00
2008-06-17,9.1900,9.1900,9.1900,9.1900,8.1557,0.00
2008-06-18,9.1200,9.1200,9.1200,9.1200,8.0936,600.00
2008-06-19,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-20,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-23,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-24,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-25,9.1200,9.1200,9.1200,9.1200,8.0936,0.00
2008-06-26,9.1600,9.1600,9.1600,9.1600,8.1291,1000.00
2008-06-27,9.1600,9.1600,9.1600,9.1600,8.1291,0.00
2008-06-30,9.1600,9.1600,9.1600,9.1600,8.1291,0.00
2008-07-01,9.1000,9.1000,9.1000,9.1000,8.0759,500.00
2008-07-02,9.1000,9.1000,9.1000,9.1000,8.0759,0.00
2008-07-03,9.0000,9.0700,9.0000,9.0700,8.0492,2800.00
2008-07-07,9.0000,9.0000,9.0000,9.0000,7.9871,1400.00
2008-07-08,9.0000,9.0000,9.0000,9.0000,7.9871,0.00
2008-07-09,9.0000,9.0000,9.0000,9.0000,7.9871,0.00
2008-07-10,9.0000,9.0000,9.0000,9.0000,7.9871,4500.00
2008-07-11,9.0000,9.0000,8.9000,8.9000,7.8984,7500.00
2008-07-14,8.9000,8.9000,8.9000,8.9000,7.8984,0.00
2008-07-15,8.9000,8.9000,8.9000,8.9000,7.8984,0.00
2008-07-16,8.7500,8.7500,8.7500,8.7500,7.7652,2700.00
