Date,Open,High,Low,Close,Adjusted_close,Volume
2007-01-11,108.7000,108.7000,108.7000,108.7000,100.0892,900.00
2007-01-12,108.7600,108.7600,108.7600,108.7600,100.1445,1100.00
2007-01-16,108.7600,108.7600,108.7400,108.7400,100.1261,500.00
2007-01-17,108.8000,108.8000,108.8000,108.8000,100.1813,8200.00
2007-01-18,108.8000,108.8000,108.7600,108.7900,100.1721,23100.00
2007-01-19,108.7900,108.8100,108.7700,108.7700,100.1537,13400.00
2007-01-22,108.8200,108.8300,108.8000,108.8100,100.1905,3000.00
2007-01-23,108.8100,108.8300,108.8100,108.8200,100.1997,2300.00
2007-01-24,108.8700,108.8900,108.8700,108.8800,100.2550,4300.00
2007-01-25,108.8900,108.9000,108.8600,108.8800,100.2550,31300.00
2007-01-26,108.9300,108.9300,108.8700,108.8700,100.2458,94800.00
2007-01-29,108.9700,108.9700,108.9500,108.9500,100.3194,19900.00
2007-01-30,108.9400,108.9700,108.9300,108.9500,100.3194,5500.00
2007-01-31,108.9700,109.0000,108.9600,109.0000,100.3655,2500.00
2007-02-01,108.7300,108.7300,108.6800,108.6900,100.3688,11400.00
2007-02-02,108.7200,108.7500,108.7100,108.7200,100.3965,35400.00
2007-02-05,108.7700,108.7700,108.7200,108.7500,100.4242,8700.00
2007-02-06,108.7600,108.7600,108.7300,108.7400,100.4149,10400.00
2007-02-07,108.8200,108.8200,108.7500,108.8000,100.4703,8500.00
2007-02-08,108.8100,108.8100,108.7900,108.7900,100.4611,4500.00
2007-02-09,108.8300,108.8400,108.7400,108.8200,100.4888,25400.00
2007-02-12,108.8200,108.8200,108.8100,108.8200,100.4888,8500.00
2007-02-13,108.8000,108.8300,108.8000,108.8200,100.4888,1500.00
2007-02-14,108.8800,108.9000,108.8800,108.8900,100.5535,24600.00
2007-02-15,108.9000,108.9400,108.8600,108.9000,100.5627,32200.00
2007-02-16,108.9300,108.9400,108.8900,108.9200,100.5812,25200.00
2007-02-20,108.9100,108.9400,108.9100,108.9300,100.5904,15000.00
2007-02-21,108.9300,108.9900,108.8700,108.9700,100.6273,74300.00
2007-02-22,108.9600,108.9700,108.9600,108.9700,100.6273,3200.00
2007-02-23,108.9700,109.0300,108.9700,109.0200,100.6735,8700.00
2007-02-26,109.0500,109.0500,109.0100,109.0300,100.6827,268100.00
2007-02-27,109.0600,109.0600,109.0200,109.0500,100.7012,16600.00
2007-02-28,109.0600,109.1500,109.0600,109.1200,100.7658,296600.00
2007-03-01,108.8700,108.8770,108.8000,108.8600,100.7629,32500.00
2007-03-02,108.9100,108.9500,108.8700,108.9200,100.8184,24800.00
2007-03-05,108.9200,108.9200,108.8800,108.9000,100.7999,31200.00
2007-03-06,108.9100,108.9500,108.8706,108.9100,100.8092,11000.00
2007-03-07,108.9500,108.9500,108.9300,108.9500,100.8462,17600.00
2007-03-08,108.9700,108.9700,108.9400,108.9600,100.8555,18100.00
2007-03-09,108.9500,108.9800,108.9100,108.9500,100.8462,52900.00
2007-03-12,108.9800,108.9800,108.9400,108.9800,100.8740,10800.00
2007-03-13,109.0000,109.0500,108.9800,109.0500,100.9388,126800.00
2007-03-14,109.0700,109.0700,109.0300,109.0600,100.9480,22400.00
2007-03-15,109.0600,109.0600,109.0200,109.0470,100.9360,16600.00
2007-03-16,109.0700,109.0700,109.0400,109.0700,100.9573,14500.00
2007-03-19,109.0800,109.0900,108.9000,109.0700,100.9573,108600.00
2007-03-20,109.1100,109.1100,109.0800,109.1000,100.9850,4100.00
2007-03-21,109.1500,109.2000,109.1100,109.1700,101.0498,140500.00
2007-03-22,109.1700,109.1800,109.1300,109.1400,101.0221,28400.00
2007-03-23,109.1700,109.2000,109.1500,109.1800,101.0591,572400.00
2007-03-26,109.1600,109.2000,109.1500,109.1900,101.0683,10600.00
2007-03-27,109.1700,109.2400,109.1700,109.2200,101.0961,394600.00
2007-03-28,109.2200,109.2800,109.2200,109.2500,101.1239,20100.00
2007-03-29,109.2700,109.2900,109.2600,109.2800,101.1517,22800.00
2007-03-30,109.3000,109.3000,109.2300,109.2800,101.1517,202600.00
2007-04-02,108.9900,109.0300,108.9100,109.0000,101.1560,23000.00
2007-04-03,109.0500,109.0700,108.9800,109.0200,101.1746,25000.00
2007-04-04,109.0700,109.1100,109.0578,109.0800,101.2303,20800.00
2007-04-05,109.0900,109.1100,109.0500,109.0700,101.2210,16400.00
2007-04-09,109.0700,109.0900,109.0500,109.0800,101.2303,34400.00
2007-04-10,109.0800,109.1200,109.0800,109.1100,101.2581,18000.00
2007-04-11,109.1300,109.1900,109.1300,109.1400,101.2860,11700.00
2007-04-12,109.1600,109.1800,109.1500,109.1700,101.3138,31500.00
2007-04-13,109.1700,109.1900,109.1510,109.1900,101.3324,52000.00
2007-04-16,109.1900,109.2100,109.1600,109.2100,101.3509,40100.00
2007-04-17,109.2200,109.2300,109.1900,109.2200,101.3602,20200.00
2007-04-18,109.2600,109.2900,109.2600,109.2900,101.4252,31800.00
2007-04-19,109.2800,109.3000,109.2700,109.3000,101.4344,78000.00
2007-04-20,109.3000,109.3200,109.2500,109.2900,101.4252,70700.00
2007-04-23,109.3100,109.3400,109.3100,109.3254,101.4580,21400.00
2007-04-24,109.3400,109.3700,109.3200,109.3400,101.4716,15200.00
2007-04-25,109.3500,109.3900,109.3300,109.3700,101.4994,42800.00
2007-04-26,109.3900,109.4000,109.3400,109.3400,101.4716,844500.00
2007-04-27,109.3600,109.4100,109.3600,109.3808,101.5094,16600.00
2007-04-30,109.3800,109.4200,109.3800,109.4000,101.5272,11600.00
2007-05-01,109.1100,109.1100,109.0500,109.1000,101.5557,55200.00
2007-05-02,109.1500,109.1600,109.0900,109.1500,101.6023,116600.00
2007-05-03,109.1700,109.1800,109.1100,109.1600,101.6116,56700.00
2007-05-04,109.1800,109.1900,109.1400,109.1800,101.6302,15800.00
2007-05-07,109.1600,109.1900,109.1600,109.1600,101.6116,8000.00
2007-05-08,109.1900,109.2100,109.1900,109.2000,101.6488,9000.00
2007-05-09,109.2400,109.2600,109.2200,109.2600,101.7047,48200.00
2007-05-10,109.2700,109.2900,109.2400,109.2700,101.7140,42800.00
2007-05-11,109.2800,109.3000,109.2700,109.2800,101.7233,11300.00
2007-05-14,109.3000,109.3200,109.2700,109.2900,101.7326,18900.00
2007-05-15,109.3300,109.3400,109.2800,109.3300,101.7698,206700.00
