Date,Open,High,Low,Close,Adjusted_close,Volume
2016-06-09,25.3800,25.3900,25.0700,25.0700,24.7798,4001.00
2016-06-10,24.6400,24.6570,24.5700,24.5700,24.2856,3760.00
2016-06-13,24.4150,24.5680,24.3300,24.3300,24.0484,3153.00
2016-06-14,24.0500,24.0500,23.8225,23.8700,23.5937,5608.00
2016-06-15,24.1100,24.1100,24.1100,24.1100,23.8309,145.00
2016-06-16,23.5600,23.9000,23.5600,23.9000,23.6233,4318.00
2016-06-17,23.7600,23.7600,23.7600,23.7600,23.4850,415.00
2016-06-20,24.3400,24.3400,24.2400,24.2400,23.9594,739.00
2016-06-21,24.7400,24.7400,24.1500,24.1892,23.9092,500.00
2016-06-22,24.4536,24.4536,24.3204,24.3204,24.0389,286.00
2016-06-23,24.7100,24.7100,24.7100,24.7100,24.4240,102.00
2016-06-24,24.0900,24.0900,24.0900,24.0900,23.8111,179.00
2016-06-27,24.7500,24.7500,23.3599,23.3599,23.0895,785.00
2016-06-28,23.6700,23.9300,23.6700,23.9300,23.6530,1051.00
2016-06-29,24.1200,24.2300,24.1200,24.2300,23.9495,563.00
2016-06-30,25.4100,25.4100,24.3500,24.3700,24.0959,2768.00
2016-07-01,29.5800,29.5800,24.8299,24.8299,24.5507,701.00
2016-07-05,25.0200,25.0300,24.6800,24.7200,24.4420,2214.00
2016-07-06,24.4600,24.7000,24.2600,24.7000,24.4222,4795.00
2016-07-07,24.7200,24.7200,24.5712,24.7000,24.4222,600.00
2016-07-08,24.7300,25.2000,24.7300,25.2000,24.9166,6001.00
2016-07-11,25.3771,25.3771,25.3771,25.3771,25.0917,151.00
2016-07-12,25.3771,25.3771,25.3771,25.3771,25.0917,90.00
2016-07-13,25.3771,25.3771,25.3771,25.3771,25.0917,0.00
2016-07-14,25.3771,25.3771,25.3771,25.3771,25.0917,79.00
2016-07-15,25.3000,25.3000,25.3000,25.3000,25.0155,200.00
2016-07-18,25.3000,25.3000,25.3000,25.3000,25.0155,59.00
2016-07-19,25.2800,25.2800,25.2800,25.2800,24.9957,246.00
2016-07-20,25.4900,25.4900,25.4900,25.4900,25.2033,629.00
2016-07-21,25.4900,25.4900,25.4900,25.4900,25.2033,19.00
2016-07-22,25.4900,25.4900,25.4900,25.4900,25.2033,2.00
2016-07-25,25.6600,25.6600,25.6600,25.6600,25.3714,116.00
2016-07-26,25.7300,25.9300,25.6800,25.9299,25.6383,6971.00
2016-07-27,25.9600,25.9600,25.9300,25.9300,25.6384,494.00
2016-07-28,26.0300,26.0300,26.0300,26.0300,25.7373,616.00
2016-07-29,26.1400,26.4199,26.1100,26.3637,26.0672,7453.00
2016-08-01,26.3500,26.3500,26.3500,26.3500,26.0537,200.00
2016-08-02,26.3500,26.3500,26.1200,26.1612,25.8670,1164.00
2016-08-03,26.1612,26.1612,26.1612,26.1612,25.8670,36.00
2016-08-04,26.2499,26.2900,26.2499,26.2900,25.9944,633.00
2016-08-05,26.0300,26.0300,25.7300,25.8200,25.5296,1115.00
2016-08-08,25.8200,25.8200,25.8200,25.8200,25.5296,10.00
2016-08-09,25.8999,25.8999,25.8999,25.8999,25.6086,200.00
2016-08-10,25.6400,25.6400,25.6400,25.6400,25.3517,100.00
2016-08-11,25.7199,25.7199,25.5400,25.5400,25.2528,490.00
2016-08-12,25.7100,25.7400,25.6100,25.7400,25.4505,4998.00
2016-08-15,26.0000,26.0000,25.8900,25.8900,25.5988,344.00
2016-08-16,26.1000,26.1000,25.7300,25.7500,25.4604,2368.00
2016-08-17,25.7500,25.7500,25.7500,25.7500,25.4604,0.00
2016-08-18,25.7500,25.7500,25.7500,25.7500,25.4604,20.00
2016-08-19,25.1800,25.3000,25.1800,25.3000,25.0155,554.00
2016-08-22,25.5800,25.5800,25.5800,25.5800,25.2923,128.00
2016-08-23,25.5800,25.5800,25.5800,25.5800,25.2923,0.00
2016-08-24,25.2500,25.2500,25.2500,25.2500,24.9660,100.00
2016-08-25,24.9900,24.9900,24.9900,24.9900,24.7090,116.00
2016-08-26,24.7800,24.7800,24.7800,24.7800,24.5013,322.00
2016-08-29,24.9800,25.0156,24.9288,25.0156,24.7343,1400.00
2016-08-30,25.0423,25.0899,25.0423,25.0700,24.7881,6400.00
2016-08-31,24.9300,24.9300,24.9300,24.9300,24.6496,1103.00
2016-09-01,24.7700,24.7700,24.5500,24.5500,24.2739,300.00
