Date,Open,High,Low,Close,Adjusted_close,Volume
2012-11-07,20.0996,20.1100,20.0996,20.1100,15.4673,1511900.00
2012-11-08,20.0900,20.0900,20.0900,20.0900,15.4519,1940.00
2012-11-09,20.1000,20.1000,20.0980,20.1000,15.4596,9555.00
2012-11-12,20.0800,20.0800,20.0560,20.0600,15.4288,7300.00
2012-11-13,20.0699,20.0700,20.0699,20.0700,15.4365,700.00
2012-11-14,20.0200,20.0200,19.9799,19.9800,15.3673,9834.00
2012-11-15,19.9900,19.9900,19.9899,19.9900,15.3750,650.00
2012-11-16,19.9700,19.9700,19.9300,19.9400,15.3365,3350.00
2012-11-19,19.9600,19.9600,19.9599,19.9599,15.3518,408.00
2012-11-20,19.9700,19.9700,19.9700,19.9700,15.3596,8505.00
2012-11-21,19.9800,19.9800,19.9790,19.9800,15.3673,14250.00
2012-11-23,19.9800,19.9800,19.9800,19.9800,15.3673,0.00
2012-11-26,19.9900,19.9900,19.9900,19.9900,15.3750,150.00
2012-11-27,19.9899,19.9900,19.9899,19.9900,15.3750,11300.00
2012-11-28,20.0100,20.0100,20.0099,20.0100,15.3904,1300.00
2012-11-29,20.0199,20.0200,20.0199,20.0200,15.3981,5550.00
2012-11-30,20.0300,20.0300,20.0280,20.0280,15.4042,350.00
2012-12-03,20.0280,20.0280,20.0280,20.0280,15.4042,0.00
2012-12-04,20.0300,20.0300,20.0300,20.0300,15.4057,600.00
2012-12-05,20.0500,20.0500,20.0500,20.0500,15.4211,437.00
2012-12-06,20.0790,20.0800,20.0790,20.0800,15.4442,200.00
2012-12-07,20.1100,20.1100,20.1100,20.1100,15.4673,4800.00
2012-12-10,20.1100,20.1100,20.1100,20.1100,15.4673,600.00
2012-12-11,20.1200,20.1200,20.1200,20.1200,15.4750,600.00
2012-12-12,20.1000,20.1100,20.1000,20.1100,15.4673,964.00
2012-12-13,20.1100,20.1100,20.1000,20.1000,15.4596,1100.00
2012-12-14,20.1000,20.1000,20.1000,20.1000,15.5745,0.00
2012-12-17,20.0200,20.0200,20.0100,20.0100,15.5048,2181.00
2012-12-18,20.0200,20.0500,20.0100,20.0499,15.5357,63992.00
2012-12-19,20.0500,20.0500,20.0400,20.0500,15.5358,2800.00
2012-12-20,20.0401,20.0401,20.0401,20.0401,15.5281,150.00
2012-12-21,20.0500,20.0500,20.0500,20.0500,15.5358,1997.00
2012-12-24,20.0400,20.0400,20.0400,20.0400,15.5280,1000.00
2012-12-26,20.1000,20.1600,20.1000,20.1600,15.6210,5638.00
2012-12-27,20.1800,20.2100,20.1800,20.2100,15.6597,6055.00
2012-12-28,20.2100,20.2100,20.2100,20.2100,15.6597,0.00
2012-12-31,20.2100,20.2100,20.2100,20.2100,15.6597,0.00
2013-01-02,20.1400,20.1400,20.1400,20.1400,15.6055,100.00
2013-01-03,20.1400,20.1400,20.1400,20.1400,15.6055,20175.00
2013-01-04,20.1662,20.1662,20.1600,20.1600,15.6210,835.00
2013-01-07,20.1700,20.1700,20.1700,20.1700,15.6287,1690.00
2013-01-08,20.1800,20.1800,20.1601,20.1601,15.6211,2850.00
2013-01-09,20.1800,20.1800,20.1799,20.1800,15.6365,1100.00
2013-01-10,20.1965,20.1965,20.1965,20.1965,15.6493,250.00
2013-01-11,20.2000,20.2000,20.1900,20.1900,15.6442,3691.00
2013-01-14,20.2300,20.2500,20.2290,20.2399,15.6829,28451.00
2013-01-15,20.2099,20.2100,20.1000,20.1400,15.6820,18700.00
2013-01-16,20.1500,20.1500,20.1200,20.1470,15.6875,12000.00
2013-01-17,20.1600,20.1600,20.1500,20.1500,15.6898,6400.00
2013-01-18,20.1800,20.1800,20.1565,20.1600,15.6976,5000.00
2013-01-22,20.2000,20.2200,20.1900,20.2190,15.7436,27465.00
2013-01-23,20.2300,20.2700,20.2300,20.2700,15.7833,68222.00
2013-01-24,20.2900,20.2900,20.2800,20.2900,15.7988,5467.00
2013-01-25,20.2900,20.3000,20.2900,20.3000,15.8066,7070.00
2013-01-28,20.3400,20.3500,20.3400,20.3485,15.8444,9863.00
2013-01-29,20.3500,20.3600,20.3470,20.3500,15.8456,15776.00
2013-01-30,20.3300,20.3500,20.2300,20.3400,15.8378,90706.00
2013-01-31,20.3400,20.3400,20.3100,20.3300,15.8300,18345.00
2013-02-01,20.3200,20.3200,20.2400,20.2900,15.7988,29800.00
2013-02-04,20.2900,20.2900,20.1700,20.2400,15.7599,37068.00
2013-02-05,20.2600,20.2700,20.2200,20.2700,15.7833,19000.00
2013-02-06,20.2600,20.2636,20.2300,20.2590,15.7747,2700.00
2013-02-07,20.2600,20.2600,20.2100,20.2100,15.7366,10610.00
2013-02-08,20.2500,20.2500,20.2000,20.2268,15.7496,9954.00
2013-02-11,20.2400,20.2400,20.2299,20.2300,15.7521,6189.00
2013-02-12,20.2600,20.2600,20.2213,20.2300,15.7521,4365.00
2013-02-13,20.2400,20.2400,20.2400,20.2400,15.7599,13337.00
2013-02-14,20.2600,20.2600,20.2400,20.2500,15.7677,6683.00
2013-02-15,20.2200,20.2300,20.2000,20.2000,15.7953,12850.00
2013-02-19,20.2000,20.2000,20.1800,20.2000,15.7953,23637.00
2013-02-20,20.2099,20.2100,20.1800,20.1860,15.7843,9100.00
2013-02-21,20.2500,20.2500,20.2200,20.2200,15.8109,404432.00
2013-02-22,20.1901,20.2200,20.1901,20.2200,15.8109,1950.00
2013-02-25,20.2320,20.2320,20.1900,20.2090,15.8023,5428.00
2013-02-26,20.1800,20.1990,20.1610,20.1700,15.7718,6695.00
2013-02-27,20.2190,20.2200,20.1986,20.2200,15.8109,2200.00
2013-02-28,20.1800,20.2200,20.0300,20.1300,15.7405,114558.00
2013-03-01,20.1200,20.1900,20.0800,20.1400,15.7483,21248.00
2013-03-04,20.1000,20.1682,20.0900,20.1000,15.7171,33854.00
2013-03-05,20.1400,20.1700,20.0800,20.1600,15.7640,23290.00
2013-03-06,20.1800,20.1900,20.1078,20.1900,15.7874,47314.00
2013-03-07,20.2000,20.2000,20.1200,20.1800,15.7796,32250.00
2013-03-08,20.1900,20.1900,20.1200,20.1900,15.7874,30750.00
2013-03-11,20.2400,20.2400,20.1900,20.2100,15.8031,17769.00
2013-03-12,20.2200,20.2300,20.2100,20.2200,15.8109,32393.00
2013-03-13,20.2500,20.2500,20.2130,20.2250,15.8148,23218.00
2013-03-14,20.2600,20.2600,20.2201,20.2500,15.8343,14424.00
2013-03-15,20.3400,20.3400,20.1600,20.1700,15.8353,24368.00
2013-03-18,20.1700,20.1700,20.1600,20.1700,15.8353,17952.00
2013-03-19,20.1590,20.1600,20.1500,20.1600,15.8275,6075.00
2013-03-20,20.2100,20.2100,20.1500,20.1900,15.8510,31300.00
2013-03-21,20.1600,20.2193,20.1100,20.1700,15.8353,6950.00
2013-03-22,20.1700,20.1700,20.1500,20.1700,15.8353,15483.00
2013-03-25,20.1600,20.1900,20.1600,20.1700,15.8353,15102.00
2013-03-26,20.2000,20.2300,20.1800,20.1900,15.8510,15763.00
2013-03-27,20.2254,20.2254,20.1892,20.1900,15.8510,14598.00
2013-03-28,20.1900,20.2080,20.1900,20.1900,15.8510,24278.00
2013-04-01,20.2200,20.2200,20.1900,20.1950,15.8549,73277.00
2013-04-02,20.2200,20.2400,20.2080,20.2300,15.8824,87883.00
2013-04-03,20.2500,20.2600,20.1901,20.2000,15.8589,26143.00
2013-04-04,20.2200,20.2300,20.2000,20.2200,15.8746,13533.00
2013-04-05,20.2300,20.2400,20.2200,20.2300,15.8824,16228.00
2013-04-08,20.2400,20.2400,20.2210,20.2400,15.8903,34230.00
2013-04-09,20.3000,20.3200,20.2301,20.2390,15.8895,52777.00
2013-04-10,20.3000,20.3000,20.2500,20.2700,15.9138,25270.00
2013-04-11,20.3300,20.3600,20.2662,20.2700,15.9138,70655.00
2013-04-12,20.3000,20.3000,20.2601,20.3000,15.9374,25233.00
2013-04-15,20.2500,20.3000,20.2428,20.2700,15.9802,22166.00
2013-04-16,20.2600,20.2700,20.2100,20.2700,15.9802,31789.00
2013-04-17,20.3100,20.3200,20.2000,20.2160,15.9377,22722.00
2013-04-18,20.2300,20.2499,20.2100,20.2300,15.9487,70445.00
2013-04-19,20.2700,20.2700,20.2180,20.2300,15.9487,5707.00
2013-04-22,20.3000,20.3400,20.2480,20.2500,15.9645,64766.00
2013-04-23,20.2399,20.3094,20.2300,20.2700,15.9802,31994.00
2013-04-24,20.2900,20.2900,20.2440,20.2600,15.9724,18820.00
2013-04-25,20.2600,20.2800,20.2600,20.2600,15.9724,15761.00
2013-04-26,20.3100,20.3100,20.2310,20.2800,15.9881,14867.00
2013-04-29,20.2800,20.2900,20.2665,20.2850,15.9921,23791.00
2013-04-30,20.3300,20.3300,20.2899,20.2900,15.9960,39265.00
2013-05-01,20.3700,20.3700,20.2700,20.2900,15.9960,26006.00
2013-05-02,20.3600,20.3900,20.2800,20.3100,16.0118,23876.00
2013-05-03,20.3800,20.3890,20.2900,20.3530,16.0457,25645.00
2013-05-06,20.4000,20.4010,20.2820,20.3600,16.0512,125532.00
2013-05-07,20.4000,20.4200,20.3300,20.3600,16.0512,22518.00
2013-05-08,20.4014,20.4200,20.3500,20.3800,16.0670,30413.00
2013-05-09,20.4754,20.4754,20.3500,20.3500,16.0433,24169.00
2013-05-10,20.4500,20.4800,20.3848,20.4600,16.1300,61258.00
2013-05-13,20.4500,20.4600,20.4000,20.4200,16.0985,42048.00
2013-05-14,20.4200,20.4500,20.4100,20.4100,16.0906,14823.00
2013-05-15,20.4500,20.4500,20.2600,20.3400,16.1062,33774.00
2013-05-16,20.3700,20.3700,20.3100,20.3200,16.0904,16556.00
2013-05-17,20.4183,20.4183,20.2975,20.3500,16.1141,71188.00
2013-05-20,20.3900,20.4000,20.3500,20.3600,16.1220,8594.00
2013-05-21,20.3900,20.3994,20.3150,20.3400,16.1062,30051.00
2013-05-22,20.3500,20.4099,20.2800,20.2800,16.0587,85190.00
2013-05-23,20.3700,20.4400,20.3180,20.3300,16.0983,29605.00
2013-05-24,20.3700,20.3700,20.3000,20.3300,16.0983,25994.00
