Date,Open,High,Low,Close,Adjusted_close,Volume
1997-06-04,7.1250,7.1250,6.3750,6.5000,39.0000,54600.00
1997-06-05,6.6250,6.7500,6.5000,6.5630,39.3780,28700.00
1997-06-06,6.6880,6.6880,6.2500,6.5000,39.0000,14400.00
1997-06-09,6.5000,6.6250,6.2500,6.3750,38.2500,15400.00
1997-06-10,6.4380,6.5630,6.2500,6.5630,39.3780,9400.00
1997-06-11,6.5630,6.5630,6.3130,6.3130,37.8780,6800.00
1997-06-12,6.5000,6.5000,6.3130,6.4380,38.6280,8000.00
1997-06-13,6.3750,6.4380,6.2500,6.2500,37.5000,8300.00
1997-06-16,6.2500,6.3750,6.1250,6.1250,36.7500,7300.00
1997-06-17,6.0000,6.1250,5.7500,6.0630,36.3780,18600.00
1997-06-18,6.0630,6.3130,5.8750,6.1250,36.7500,9400.00
1997-06-19,6.2500,6.3750,6.1250,6.2500,37.5000,8600.00
1997-06-20,6.3130,6.3750,6.1250,6.2500,37.5000,9500.00
1997-06-23,6.2500,6.3130,6.1250,6.1250,36.7500,3300.00
1997-06-24,6.1880,6.3130,6.1250,6.3130,37.8780,4400.00
1997-06-25,6.3130,6.4380,6.1880,6.1880,37.1280,12100.00
1997-06-26,6.3130,6.3130,6.1250,6.2500,37.5000,4400.00
1997-06-27,6.3130,6.8130,6.2500,6.8130,40.8780,18400.00
1997-06-30,6.8130,7.2500,6.6250,7.1250,42.7500,15500.00
1997-07-01,7.6250,7.7500,7.1250,7.5000,45.0000,20900.00
1997-07-02,7.3750,7.6250,7.0000,7.2500,43.5000,13000.00
1997-07-03,7.3750,7.5000,7.1880,7.1880,43.1280,8400.00
1997-07-07,7.3750,7.3750,7.0630,7.2500,43.5000,6500.00
1997-07-08,7.0630,7.2500,7.0000,7.0000,42.0000,9600.00
1997-07-09,6.7500,7.1250,6.6250,6.7500,40.5000,5500.00
1997-07-10,6.5000,7.1250,6.5000,6.5000,39.0000,200.00
1997-07-11,6.6900,6.6900,6.5000,6.5000,39.0000,600.00
1997-07-14,6.7500,6.7500,6.5000,6.7500,40.5000,5000.00
1997-07-15,6.5000,6.5000,6.5000,6.5000,39.0000,2800.00
1997-07-16,6.5000,6.6250,6.5000,6.5000,39.0000,3800.00
1997-07-17,6.8130,6.9380,6.8130,6.8130,40.8780,5400.00
1997-07-18,7.2500,7.2500,7.0000,7.0000,42.0000,3900.00
1997-07-21,7.0000,7.1880,6.7500,6.8750,41.2500,5700.00
1997-07-22,6.8750,6.9380,6.7500,6.9380,41.6280,4000.00
1997-07-23,6.6880,6.8750,6.6880,6.6880,40.1280,4300.00
1997-07-24,6.5000,6.7500,6.5000,6.6250,39.7500,8900.00
1997-07-25,6.6880,6.7500,6.5000,6.5000,39.0000,3100.00
1997-07-28,6.5000,6.5630,6.5000,6.5630,39.3780,4800.00
1997-07-29,6.5000,6.6250,6.5000,6.5630,39.3780,4100.00
1997-07-30,6.6880,6.6880,6.5000,6.6880,40.1280,5100.00
1997-07-31,6.5630,6.7500,6.5630,6.6880,40.1280,10000.00
1997-08-01,6.7500,6.7500,6.6250,6.6880,40.1280,2100.00
1997-08-04,6.7500,6.7500,6.5000,6.5000,39.0000,1400.00
1997-08-05,6.5000,6.5630,6.4380,6.4380,38.6280,1300.00
1997-08-06,6.5630,6.6880,6.4380,6.6250,39.7500,3300.00
1997-08-07,6.6880,6.8750,6.5000,6.8750,41.2500,16700.00
1997-08-08,6.8130,6.9380,6.8130,6.8750,41.2500,1300.00
1997-08-11,6.9380,7.1250,6.8130,7.0000,42.0000,10200.00
1997-08-12,7.1250,7.5000,7.1250,7.4380,44.6280,14400.00
1997-08-13,7.5000,7.5000,7.0630,7.0630,42.3780,3900.00
1997-08-14,7.3130,7.3750,7.0630,7.3750,44.2500,9300.00
1997-08-15,7.5000,7.5000,7.1250,7.1250,42.7500,2400.00
1997-08-18,7.1250,7.2500,6.6250,6.6880,40.1280,4600.00
1997-08-19,6.7500,6.8750,6.7500,6.7500,40.5000,4100.00
1997-08-20,6.7500,6.8130,6.6880,6.6880,40.1280,4300.00
1997-08-21,6.6880,7.0000,6.6250,6.8750,41.2500,5700.00
1997-08-22,7.0000,7.0000,6.8750,6.8750,41.2500,11000.00
1997-08-25,6.9380,7.0630,6.8130,6.9380,41.6280,7300.00
1997-08-26,7.0000,7.0000,6.8130,7.0000,42.0000,6300.00
1997-08-27,7.0000,7.0000,6.6880,6.6880,40.1280,7200.00
1997-08-28,6.6880,6.9380,6.6250,6.6250,39.7500,3600.00
1997-08-29,6.6250,6.7500,6.5630,6.5630,39.3780,3600.00
1997-09-02,6.7500,6.8130,6.5630,6.6250,39.7500,1300.00
1997-09-03,6.5000,6.8750,6.3750,6.8130,40.8780,18600.00
1997-09-04,6.8750,6.9380,6.6250,6.8750,41.2500,13800.00
1997-09-05,6.8750,6.8750,6.6880,6.7190,40.3140,3500.00
1997-09-08,6.7500,6.8750,6.7500,6.8130,40.8780,5200.00
1997-09-09,6.8750,6.8750,6.7500,6.8750,41.2500,4800.00
1997-09-10,6.8750,6.8750,6.6880,6.8750,41.2500,5800.00
1997-09-11,6.6880,6.8750,6.6880,6.7190,40.3140,5100.00
1997-09-12,6.6880,6.8130,6.6250,6.6250,39.7500,7800.00
1997-09-15,6.6250,6.8750,6.6250,6.8750,41.2500,1200.00
1997-09-16,6.8750,6.8750,6.6250,6.7190,40.3140,11800.00
1997-09-17,6.9380,7.0000,6.6880,6.9380,41.6280,4800.00
1997-09-18,7.0000,7.0000,6.8750,6.8750,41.2500,15500.00
1997-09-19,6.8750,7.0630,6.8750,6.9380,41.6280,3800.00
1997-09-22,7.0630,7.0630,6.9380,6.9380,41.6280,5800.00
1997-09-23,7.0000,7.0000,6.8750,6.8750,41.2500,5300.00
1997-09-24,7.0000,7.0000,6.8750,6.8750,41.2500,4100.00
1997-09-25,7.0000,7.5000,6.8750,7.5000,45.0000,17600.00
1997-09-26,7.5000,7.7500,7.3750,7.5000,45.0000,17600.00
1997-09-29,7.5000,7.5000,7.3750,7.3750,44.2500,3200.00
1997-09-30,7.2500,7.5000,7.0630,7.1880,43.1280,8500.00
