Date,Open,High,Low,Close,Adjusted_close,Volume
2010-03-31,16.0000,16.3400,15.0100,15.0800,7.3329,15194200.00
2010-04-01,15.2500,15.4900,15.1000,15.1200,7.3523,1416200.00
2010-04-05,15.2900,15.2900,14.8000,15.0500,7.3183,1336200.00
2010-04-06,15.0300,15.2900,15.0300,15.2900,7.4350,391800.00
2010-04-07,15.2600,15.2700,15.1000,15.1000,7.3426,610000.00
2010-04-08,15.1300,15.7500,15.1000,15.7200,7.6441,640200.00
2010-04-09,15.6100,16.2900,15.4000,16.0001,7.7803,812800.00
2010-04-12,16.1800,16.5700,15.8650,16.5100,8.0282,498000.00
2010-04-13,16.3000,16.5000,16.0000,16.4200,7.9845,841400.00
2010-04-14,16.3750,16.6400,16.2100,16.4500,7.9990,246400.00
2010-04-15,16.4500,16.6400,16.2500,16.5600,8.0525,378600.00
2010-04-16,16.3300,17.1900,16.0700,17.0000,8.2665,403600.00
2010-04-19,17.0000,17.0000,16.4000,16.5400,8.0428,171400.00
2010-04-20,16.5000,16.9212,16.3300,16.4800,8.0136,235000.00
2010-04-21,16.5300,16.6300,16.3500,16.3500,7.9504,237600.00
2010-04-22,16.3600,16.5200,15.7950,16.0100,7.7851,362000.00
2010-04-23,15.9700,16.3850,15.9100,16.1000,7.8288,303000.00
2010-04-26,16.2800,16.6100,16.0000,16.4500,7.9990,291400.00
2010-04-27,15.9100,16.6300,15.9100,16.5500,8.0477,232200.00
2010-04-28,16.4500,16.6500,15.9800,16.5200,8.0331,198000.00
2010-04-29,16.6000,16.9500,16.3300,16.8000,8.1692,591800.00
2010-04-30,16.8200,16.9500,16.5900,16.7800,8.1595,328600.00
2010-05-03,16.7000,17.0000,16.2238,16.7300,8.1352,217000.00
2010-05-04,16.6100,16.8400,16.4350,16.6400,8.0914,564800.00
2010-05-05,16.5200,16.7200,16.1000,16.3300,7.9407,235600.00
2010-05-06,16.2000,16.3600,15.7000,15.9000,7.7316,255800.00
2010-05-07,15.9700,16.3500,15.2300,15.7500,7.6587,245200.00
2010-05-10,16.5400,16.5400,15.1800,15.3100,7.4447,559600.00
2010-05-11,15.4200,15.4200,14.4500,15.3300,7.4544,1133200.00
2010-05-12,15.4400,16.4300,15.4400,16.1200,7.8386,386000.00
2010-05-13,16.2800,16.8000,16.1500,16.7100,8.1255,496000.00
2010-05-14,16.5300,16.9300,16.5000,16.6900,8.1157,310800.00
2010-05-17,16.6500,16.7700,16.2300,16.4700,8.0088,206200.00
2010-05-18,16.5000,16.7550,16.4800,16.5800,8.0623,197000.00
2010-05-19,16.5000,16.6500,16.3000,16.3350,7.9431,115400.00
2010-05-20,16.2000,16.3800,15.3500,15.3850,7.4812,226800.00
2010-05-21,15.2500,15.6200,14.9000,15.0500,7.3183,145600.00
2010-05-24,15.0100,15.9300,15.0000,15.7500,7.6587,175400.00
2010-05-25,15.6600,15.8500,15.3050,15.6700,7.6198,140800.00
2010-05-26,15.7100,16.2900,15.7000,16.2500,7.9018,208400.00
2010-05-27,16.3700,16.5000,16.1100,16.4900,8.0185,234000.00
2010-05-28,16.3700,16.5000,15.5600,16.3200,7.9358,258000.00
2010-06-01,16.2000,16.4300,16.0100,16.3500,7.9504,187600.00
2010-06-02,16.2100,16.7500,16.2000,16.7500,8.1449,521200.00
2010-06-03,16.6400,16.9900,16.6400,16.7800,8.1595,354800.00
2010-06-04,16.6600,16.8300,16.2500,16.4400,7.9942,234000.00
2010-06-07,16.3500,16.4900,15.7500,16.1900,7.8726,507600.00
2010-06-08,16.1300,16.3800,16.1000,16.3000,7.9261,410400.00
2010-06-09,16.2300,16.5000,16.1400,16.2300,7.8921,127600.00
2010-06-10,16.3600,16.7300,16.2000,16.4100,7.9796,156400.00
2010-06-11,16.2900,16.7500,16.2900,16.7500,8.1449,56400.00
2010-06-14,16.7600,17.7000,16.6400,17.3500,8.4367,378000.00
2010-06-15,17.7000,18.2400,17.3500,18.0000,8.7528,450200.00
2010-06-16,18.0000,18.4000,17.9500,18.2400,8.8695,354000.00
2010-06-17,18.3000,18.4099,17.3300,17.5500,8.5339,217200.00
2010-06-18,17.6700,17.7000,16.5100,16.9900,8.2616,333400.00
2010-06-21,17.1300,17.6000,16.6500,16.6600,8.1012,191600.00
2010-06-22,16.6100,17.2800,16.0900,16.3000,7.9261,171200.00
2010-06-23,16.2200,16.4900,15.3600,16.0900,7.8240,531600.00
2010-06-24,16.0900,16.8500,15.8000,16.1500,7.8532,408400.00
2010-06-25,16.1800,16.6700,15.9000,16.5600,8.0525,3583200.00
2010-06-28,16.5000,17.0800,16.1600,16.8900,8.2130,284000.00
2010-06-29,16.7500,17.3000,16.2000,16.4600,8.0039,390000.00
2010-06-30,16.3800,16.9100,16.0000,16.0300,7.7948,199200.00
2010-07-01,16.1100,16.2900,15.9300,15.9700,7.7656,242000.00
2010-07-02,16.0900,16.6200,15.7200,16.4700,8.0088,255600.00
2010-07-06,16.6100,16.7500,16.2200,16.5700,8.0574,189600.00
2010-07-07,16.5900,17.2400,16.4950,17.1600,8.3443,599600.00
2010-07-08,17.2400,17.8200,16.6700,17.7600,8.6360,377000.00
2010-07-09,17.7000,18.2800,17.4175,18.2000,8.8500,333400.00
2010-07-12,18.1900,18.3600,18.0800,18.1100,8.8062,242800.00
2010-07-13,18.2600,18.2600,17.6200,17.6300,8.5728,837800.00
2010-07-14,17.5400,17.5900,16.7700,17.0500,8.2908,130800.00
2010-07-15,17.0200,17.0200,16.7800,16.9300,8.2324,139200.00
2010-07-16,16.7500,16.8000,16.0900,16.2400,7.8969,220800.00
2010-07-19,16.1300,16.7300,16.1000,16.4800,8.0136,156400.00
2010-07-20,16.3100,16.8100,16.2200,16.5700,8.0574,178000.00
2010-07-21,16.7100,16.9800,16.0500,16.0600,7.8094,95800.00
2010-07-22,16.3100,16.7100,16.2900,16.5000,8.0234,325200.00
2010-07-23,16.4000,16.8400,16.3200,16.7800,8.1595,128000.00
2010-07-26,16.9100,17.4000,16.7200,16.9300,8.2324,235400.00
2010-07-27,17.0700,17.2200,16.8600,17.0000,8.2665,250800.00
2010-07-28,16.9500,17.0400,16.6600,16.7400,8.1401,132400.00
2010-07-29,16.9400,16.9400,16.5000,16.6900,8.1157,48600.00
2010-07-30,16.6000,17.1500,16.5000,17.1000,8.3151,170400.00
2010-08-02,17.2200,17.3600,16.9400,17.0500,8.2908,119000.00
2010-08-03,16.9900,17.3100,16.7500,16.7600,8.1498,89000.00
2010-08-04,16.8100,17.1000,16.8100,17.0300,8.2811,88400.00
2010-08-05,16.9400,17.0050,16.5300,16.5500,8.0477,74000.00
2010-08-06,16.3800,16.7400,16.2000,16.6700,8.1060,84600.00
2010-08-09,16.8000,16.9900,16.2400,16.8000,8.1692,103000.00
2010-08-10,16.6200,16.6200,16.1650,16.2700,7.9115,66400.00
2010-08-11,16.0000,16.0800,15.2700,15.3400,7.4593,171400.00
2010-08-12,15.1100,15.2100,14.5000,14.8000,7.1967,280200.00
2010-08-13,14.7000,15.1700,14.4950,15.1100,7.3474,212000.00
2010-08-16,15.0800,15.0800,14.6300,15.0600,7.3231,111600.00
2010-08-17,15.1900,15.3000,14.7200,15.2700,7.4253,86200.00
2010-08-18,15.2900,15.2900,14.7900,14.8800,7.2356,59800.00
2010-08-19,14.7800,15.0200,14.0800,14.4400,7.0217,142800.00
2010-08-20,14.3300,14.4200,14.1000,14.1800,6.8952,227000.00
2010-08-23,14.1800,14.3200,13.3700,13.5200,6.5743,153800.00
2010-08-24,13.3800,13.7100,13.2701,13.5500,6.5889,127800.00
2010-08-25,13.4900,13.7800,13.3000,13.7400,6.6813,169000.00
2010-08-26,13.7500,14.2300,13.7000,13.7600,6.6910,55800.00
2010-08-27,13.9300,14.7600,13.5400,14.7600,7.1773,89000.00
2010-08-30,14.6500,14.9500,14.0000,14.3200,6.9633,188600.00
2010-08-31,14.4200,14.4200,14.0200,14.0900,6.8515,85200.00
2010-09-01,14.3000,14.4300,14.0800,14.4100,7.0071,73800.00
2010-09-02,14.4600,14.6100,14.1000,14.3200,6.9633,131400.00
2010-09-03,14.5000,14.5890,14.3300,14.4600,7.0314,112200.00
2010-09-07,14.4400,14.6550,14.2800,14.5100,7.0557,337000.00
2010-09-08,14.5100,14.6750,14.2310,14.4900,7.0460,106000.00
2010-09-09,14.6800,14.6800,14.3800,14.5200,7.0606,248000.00
2010-09-10,14.5000,14.5800,14.4500,14.5400,7.0703,287600.00
2010-09-13,14.7000,14.9800,14.6600,14.8000,7.1967,170400.00
2010-09-14,14.8000,14.8400,14.5300,14.5700,7.0849,29600.00
2010-09-15,14.5500,14.5600,14.0801,14.2100,6.9098,81400.00
2010-09-16,14.1400,15.1000,14.0000,14.7900,7.1918,182600.00
2010-09-17,14.9500,15.5000,14.7200,15.1900,7.3863,310400.00
2010-09-20,15.1800,15.4700,15.0000,15.4400,7.5079,246000.00
2010-09-21,15.3700,15.8900,15.2300,15.3000,7.4398,188800.00
2010-09-22,15.2100,15.4200,15.1800,15.3100,7.4447,222400.00
2010-09-23,15.2400,15.8700,15.2200,15.2600,7.4204,235400.00
2010-09-24,15.4800,15.6700,14.6700,14.7475,7.1712,375800.00
2010-09-27,14.8600,15.4400,14.8200,15.2600,7.4204,159000.00
2010-09-28,15.3200,15.4900,15.0850,15.3200,7.4496,151800.00
2010-09-29,15.3200,15.5800,14.9300,15.5600,7.5663,54200.00
2010-09-30,15.6300,15.8500,15.3900,15.8000,7.6830,126400.00
2010-10-01,15.9200,16.8500,15.6500,16.7100,8.1255,282000.00
2010-10-04,16.7100,16.9500,16.4400,16.5100,8.0282,79400.00
2010-10-05,16.6400,16.7700,16.3200,16.6500,8.0963,209600.00
2010-10-06,16.6100,16.7500,16.5600,16.7300,8.1352,113000.00
2010-10-07,16.8700,17.0000,16.6200,16.9200,8.2276,76000.00
2010-10-08,16.6000,17.0000,16.6000,16.9500,8.2422,105000.00
2010-10-11,16.3500,17.0000,16.3500,16.9200,8.2276,73400.00
2010-10-12,16.8300,16.9700,16.7500,16.9000,8.2179,94000.00
2010-10-13,16.9100,17.0000,16.7000,16.7900,8.1644,99600.00
2010-10-14,16.7200,17.0000,16.6650,16.9600,8.2470,159200.00
2010-10-15,17.0000,17.0500,16.9600,17.0300,8.2811,357800.00
2010-10-18,17.0500,17.0700,16.8800,16.9900,8.2616,93000.00
2010-10-19,16.7700,16.9100,16.5100,16.6500,8.0963,78400.00
2010-10-20,16.7100,16.9600,16.5700,16.8500,8.1935,47600.00
2010-10-21,16.9300,16.9300,16.7450,16.7900,8.1644,123000.00
2010-10-22,16.8000,16.9300,16.6500,16.8000,8.1692,35600.00
2010-10-25,16.8800,17.3100,16.8300,17.2600,8.3929,418600.00
2010-10-26,17.1600,17.4100,17.1500,17.3100,8.4172,139600.00
2010-10-27,17.3000,17.4000,17.0700,17.3900,8.4561,167200.00
