Date,Open,High,Low,Close,Adjusted_close,Volume
2012-09-28,25.3100,25.7500,25.1501,25.7500,17.6706,41770.00
2012-10-01,26.0000,26.0000,25.5200,25.6400,17.5951,33905.00
2012-10-02,25.6000,25.6900,25.5000,25.5500,17.5333,49750.00
2012-10-03,25.6300,25.6300,25.4500,25.5400,17.5265,23685.00
2012-10-04,25.5000,25.5400,25.4500,25.5400,17.5265,58857.00
2012-10-05,25.5900,25.5900,25.4900,25.5500,17.5333,14850.00
2012-10-08,25.5400,25.5500,25.5200,25.5200,17.5128,13466.00
2012-10-09,25.5000,25.5500,25.4500,25.5500,17.5333,23959.00
2012-10-10,25.5500,25.5500,25.4900,25.5500,17.5333,16151.00
2012-10-11,25.5500,25.5500,25.5000,25.5500,17.5333,46893.00
2012-10-12,25.5500,25.5500,25.5300,25.5460,17.5306,14725.00
2012-10-15,25.5500,25.6800,25.5000,25.5600,17.5402,60280.00
2012-10-16,25.5500,25.5500,25.5000,25.5400,17.5265,39410.00
2012-10-17,25.5500,25.9800,25.5100,25.7500,17.6706,8750.00
2012-10-18,25.6900,25.7700,25.6000,25.7700,17.6843,24006.00
2012-10-19,25.7000,25.8500,25.6000,25.8500,17.7392,11150.00
2012-10-22,25.7500,25.7500,25.7100,25.7490,17.6699,14171.00
2012-10-23,25.7000,25.7000,25.6000,25.6999,17.6362,13219.00
2012-10-24,25.6500,25.9000,25.5600,25.8800,17.7598,16881.00
2012-10-25,25.8800,25.9900,25.7000,25.9340,17.7969,17865.00
2012-10-26,25.8901,25.9799,25.7200,25.7200,17.6500,17150.00
2012-10-31,25.8900,25.8900,25.6700,25.8900,17.7667,1900.00
2012-11-01,26.0000,26.0000,25.6000,25.6000,17.5677,1616.00
2012-11-02,25.6640,25.6640,25.6500,25.6600,17.6088,1900.00
2012-11-05,25.7500,25.9300,25.6600,25.7000,17.6363,5900.00
2012-11-06,25.9800,25.9800,25.6600,25.8000,17.7049,6181.00
2012-11-07,25.7700,25.7799,25.7700,25.7799,17.6911,1475.00
2012-11-08,25.6901,25.8600,25.6500,25.6900,17.6294,9500.00
2012-11-09,25.7500,25.7500,25.7292,25.7292,17.6563,1450.00
2012-11-12,25.7400,25.7500,25.6800,25.7500,17.6706,6900.00
2012-11-13,25.6500,25.6600,25.5600,25.5628,17.5421,15120.00
2012-11-14,25.7300,25.7300,25.3100,25.5000,17.4990,14692.00
2012-11-15,25.5400,25.5500,25.2975,25.3000,17.3618,9685.00
2012-11-16,25.3500,25.6900,25.2910,25.5001,17.4991,20585.00
2012-11-19,25.2500,25.7200,25.2500,25.5000,17.4990,16300.00
2012-11-20,25.5975,25.6000,25.2500,25.3101,17.3687,3100.00
2012-11-21,25.5900,25.6000,25.3100,25.5700,17.5471,2812.00
2012-11-23,25.3201,25.4000,25.3000,25.4000,17.4304,13708.00
2012-11-26,25.3000,25.5499,25.2700,25.4600,17.4716,8840.00
