Date,Open,High,Low,Close,Adjusted_close,Volume
2015-12-10,27.6700,28.5000,26.5000,27.7800,27.7800,15009116.00
2015-12-11,27.8500,28.5000,27.4800,27.5000,27.5000,2286063.00
2015-12-14,27.5000,27.8600,26.1100,26.2600,26.2600,1227198.00
2015-12-15,26.3900,26.9490,26.3000,26.5000,26.5000,1086535.00
2015-12-16,26.7500,26.9500,26.4700,26.5400,26.5400,484321.00
2015-12-17,26.9400,28.1800,26.6500,28.0100,28.0100,626853.00
2015-12-18,27.9000,28.2400,27.6600,28.2200,28.2200,945196.00
2015-12-21,28.8400,29.8600,28.7500,29.3500,29.3500,876897.00
2015-12-22,30.1600,30.7400,29.5600,30.1000,30.1000,954059.00
2015-12-23,30.5700,30.5700,28.3500,28.4900,28.4900,1071842.00
2015-12-24,28.3300,28.8900,27.5100,28.2100,28.2100,470834.00
2015-12-28,28.2800,28.9300,28.0000,28.9000,28.9000,342620.00
2015-12-29,29.2100,31.3100,29.2100,31.1000,31.1000,888170.00
2015-12-30,31.4600,31.4600,30.0000,30.2100,30.2100,297455.00
2015-12-31,30.2200,31.0000,29.9900,30.0800,30.0800,304976.00
2016-01-04,28.9400,29.0300,27.2000,27.4100,27.4100,1312092.00
2016-01-05,27.9100,28.0000,26.2700,26.7700,26.7700,918104.00
2016-01-06,26.4600,27.2300,26.0200,27.0500,27.0500,618974.00
2016-01-07,26.5500,27.3194,26.4600,26.9700,26.9700,661687.00
2016-01-08,27.0600,27.7600,26.9300,27.1700,27.1700,455987.00
2016-01-11,27.1000,27.5000,26.9500,27.1200,27.1200,808151.00
2016-01-12,27.2000,27.4270,26.6400,26.8200,26.8200,808993.00
2016-01-13,27.0000,27.2000,26.0000,26.7300,26.7300,1231563.00
2016-01-14,26.6800,27.1400,25.7501,26.8400,26.8400,485218.00
2016-01-15,26.0400,26.3150,24.5200,25.1900,25.1900,1183305.00
2016-01-19,25.3000,25.7100,23.0200,24.0200,24.0200,1739448.00
2016-01-20,23.2100,23.6600,21.6200,22.6300,22.6300,1944764.00
2016-01-21,22.7200,25.0800,22.0300,24.2400,24.2400,759622.00
2016-01-22,25.1100,25.3250,24.2700,24.6100,24.6100,673117.00
2016-01-25,24.5000,24.6358,23.4500,23.6700,23.6700,581713.00
2016-01-26,23.6800,24.1999,22.5800,24.0100,24.0100,633552.00
2016-01-27,24.0200,24.6650,22.1300,22.2800,22.2800,427158.00
2016-01-28,22.7200,22.9660,20.1700,20.3900,20.3900,1331148.00
2016-01-29,20.9900,21.7500,20.5200,20.7700,20.7700,1261241.00
2016-02-01,20.6900,21.2200,20.0650,21.1700,21.1700,753789.00
2016-02-02,21.0400,21.8200,20.6700,21.3400,21.3400,641001.00
2016-02-03,21.9300,24.5000,21.1200,23.7700,23.7700,550247.00
2016-02-04,24.0000,24.8800,23.3500,24.0000,24.0000,1618068.00
2016-02-05,24.0000,24.0600,17.5500,20.1900,20.1900,3629774.00
2016-02-08,19.8800,19.9800,16.9200,17.9200,17.9200,3170467.00
2016-02-09,17.8500,19.4600,17.6200,18.9200,18.9200,1934175.00
2016-02-10,19.0400,21.1700,19.0400,20.0600,20.0600,1251357.00
2016-02-11,19.4100,20.3800,19.2000,20.3500,20.3500,714633.00
2016-02-12,20.4800,20.9000,19.6900,20.1000,20.1000,712187.00
2016-02-16,20.4000,23.7700,20.4000,22.1800,22.1800,1763172.00
2016-02-17,22.3300,23.6800,22.3200,23.3500,23.3500,976550.00
2016-02-18,23.2400,23.9300,21.8900,22.0000,22.0000,853212.00
2016-02-19,21.5900,22.6800,20.9200,22.1300,22.1300,920304.00
2016-02-22,22.1000,22.9900,21.9000,22.1100,22.1100,623241.00
2016-02-23,21.8800,22.6000,21.8800,22.5100,22.5100,819811.00
2016-02-24,22.3400,22.6700,21.6900,22.5600,22.5600,463025.00
2016-02-25,23.0100,23.5550,22.3700,23.5350,23.5350,418873.00
2016-02-26,23.4700,23.6700,22.8100,23.3000,23.3000,704355.00
2016-02-29,23.1300,23.9900,23.1000,23.7700,23.7700,724016.00
2016-03-01,23.8600,24.2500,23.1600,23.6000,23.6000,619581.00
2016-03-02,23.4500,24.1900,23.2324,24.1600,24.1600,516695.00
2016-03-03,24.0400,24.4900,22.8500,23.0000,23.0000,433643.00
2016-03-04,23.2400,23.3994,22.4500,23.0200,23.0200,591227.00
2016-03-07,22.9800,23.8700,22.4900,23.0300,23.0300,807055.00
2016-03-08,22.8500,23.0100,22.2900,22.3600,22.3600,305509.00
2016-03-09,22.5500,23.7699,21.5800,21.7700,21.7700,544622.00
2016-03-10,21.8000,22.7400,21.2400,22.2200,22.2200,616015.00
2016-03-11,22.3600,23.5700,22.2100,22.9700,22.9700,519011.00
2016-03-14,22.9700,23.2000,22.5006,22.7300,22.7300,201038.00
2016-03-15,22.5100,23.5900,22.3001,23.5000,23.5000,327224.00
2016-03-16,23.6300,24.3700,23.4100,24.1900,24.1900,528687.00
2016-03-17,23.9800,24.6700,23.7350,24.4200,24.4200,280843.00
2016-03-18,24.3300,24.6500,23.2000,23.2400,23.2400,570641.00
2016-03-21,23.4000,24.2700,23.0700,23.9200,23.9200,317024.00
2016-03-22,23.7700,25.0200,23.6750,24.6900,24.6900,465650.00
2016-03-23,24.7500,25.0700,24.1950,24.6300,24.6300,630582.00
2016-03-24,24.5700,24.6000,23.2800,23.8200,23.8200,700841.00
2016-03-28,24.0000,24.4200,23.6900,24.0100,24.0100,312281.00
2016-03-29,23.8300,24.2380,23.7100,24.1100,24.1100,262096.00
2016-03-30,24.0500,24.7900,23.6800,23.7400,23.7400,455534.00
2016-03-31,23.6800,25.1800,23.6500,25.1500,25.1500,1731592.00
2016-04-01,24.8500,24.9750,23.5000,23.6900,23.6900,587439.00
2016-04-04,23.7700,24.1500,23.3500,24.1000,24.1000,443919.00
2016-04-05,23.8600,24.0000,22.7600,23.4800,23.4800,407897.00
