Date,Open,High,Low,Close,Adjusted_close,Volume
1992-12-09,15.7500,15.7500,15.5000,15.5000,3.3636,130000.00
1992-12-10,16.0000,16.0000,15.0000,15.5000,3.3636,73200.00
1992-12-11,15.0000,15.5000,15.0000,15.0000,3.2551,24400.00
1992-12-14,15.5000,15.5000,15.0000,15.0000,3.2551,134000.00
1992-12-15,15.0000,15.2500,14.5000,14.5000,3.1466,108800.00
1992-12-16,14.5000,15.2500,14.5000,14.5000,3.1466,35600.00
1992-12-17,15.0000,15.2500,14.5000,15.2500,3.3093,42000.00
1992-12-18,15.2500,15.7500,14.7500,15.0000,3.2551,134000.00
1992-12-21,15.7500,15.7500,14.5000,15.7500,3.4178,126800.00
1992-12-22,15.0000,16.2500,15.0000,15.7500,3.4178,336400.00
1992-12-23,16.2500,17.7500,15.5000,17.3800,3.7715,694400.00
1992-12-24,17.5000,17.5000,17.0000,17.5000,3.7976,114800.00
1992-12-28,17.5000,17.5000,16.2500,17.0000,3.6891,160000.00
1992-12-29,17.0000,17.5000,16.5000,17.5000,3.7976,144800.00
1992-12-30,17.5000,17.5000,16.7500,17.5000,3.7976,56400.00
1992-12-31,17.5000,17.5000,16.7500,17.0000,3.6891,603600.00
1993-01-04,17.0000,17.5000,16.7500,17.2500,3.7433,108400.00
1993-01-05,17.2500,17.5000,16.7500,16.7500,3.6348,43200.00
1993-01-06,17.5000,17.5000,16.7500,16.7500,3.6348,404400.00
1993-01-07,16.5000,17.2500,16.2500,16.6300,3.6088,269600.00
1993-01-08,16.7500,17.2500,16.2500,17.2500,3.7433,170400.00
1993-01-11,17.2500,17.2500,16.7500,16.7500,3.6348,135600.00
1993-01-12,17.0000,17.0000,16.7500,16.7500,3.6348,246400.00
1993-01-13,16.7500,17.5000,16.7500,17.5000,3.7976,235600.00
1993-01-14,17.2500,17.5000,17.0000,17.1300,3.7173,285200.00
1993-01-15,17.0000,17.5000,17.0000,17.5000,3.7976,111600.00
1993-01-18,17.0000,17.5000,17.0000,17.5000,3.7976,36800.00
1993-01-19,17.0000,17.5000,17.0000,17.5000,3.7976,279200.00
1993-01-20,17.5000,18.0000,17.2500,18.0000,3.9061,326000.00
1993-01-21,18.0000,18.5000,17.5000,18.5000,4.0146,292400.00
1993-01-22,18.5000,18.5000,18.0000,18.0000,3.9061,85200.00
1993-01-25,18.5000,18.5000,18.0000,18.0000,3.9061,80000.00
1993-01-26,18.0000,18.2500,17.7500,17.8800,3.8800,415600.00
1993-01-27,18.2500,18.2500,17.2500,17.2500,3.7433,400400.00
1993-01-28,17.7500,17.7500,17.0000,17.2500,3.7433,326400.00
1993-01-29,17.0000,17.7500,17.0000,17.2500,3.7433,179600.00
1993-02-01,17.2500,17.7500,17.2500,17.5000,3.7976,179200.00
1993-02-02,17.0000,18.0000,17.0000,18.0000,3.9061,149600.00
1993-02-03,18.0000,18.5000,17.5000,18.5000,4.0146,154800.00
1993-02-04,18.5000,18.5000,18.0000,18.0000,3.9061,182400.00
1993-02-05,18.0000,18.5000,17.7500,17.8800,3.8800,358000.00
1993-02-08,18.2500,18.2500,17.7500,17.7500,3.8518,79600.00
1993-02-09,18.2500,18.2500,17.2500,18.0000,3.9061,272800.00
1993-02-10,17.7500,17.7500,16.2500,16.2500,3.5263,596400.00
1993-02-11,17.0000,17.0000,16.2500,16.3800,3.5545,707600.00
1993-02-12,17.0000,17.0000,16.2500,16.2500,3.5263,32800.00
1993-02-16,16.0000,16.5000,14.5000,15.2500,3.3093,246000.00
1993-02-17,15.2500,15.2500,14.7500,15.0000,3.2551,56400.00
1993-02-18,15.5000,15.7500,14.5000,14.7500,3.2008,258000.00
1993-02-19,15.2500,15.2500,14.7500,15.0000,3.2551,374000.00
1993-02-22,15.0000,15.2500,13.0000,13.3800,2.9035,472400.00
1993-02-23,14.0000,14.7500,13.8800,14.7500,3.2008,214800.00
1993-02-24,14.2500,14.7500,13.7500,14.5000,3.1466,120800.00
1993-02-25,14.5000,15.0000,14.1300,14.5000,3.1466,119600.00
1993-02-26,15.0000,15.0000,14.3800,15.0000,3.2551,198400.00
1993-03-01,14.6300,15.0000,14.2500,14.5000,3.1466,165600.00
1993-03-02,14.7500,15.0000,14.0000,14.8800,3.2290,328400.00
1993-03-03,15.0000,15.0000,14.5000,14.8800,3.2290,43600.00
1993-03-04,14.5000,15.0000,14.5000,15.0000,3.2551,48800.00
1993-03-05,14.5000,15.0000,14.5000,15.0000,3.2551,27200.00
1993-03-08,15.0000,15.2500,14.5000,14.7500,3.2008,489600.00
1993-03-09,14.5000,15.1300,14.5000,14.8800,3.2290,92800.00
1993-03-10,14.8800,15.2500,14.8800,15.2500,3.3093,269200.00
1993-03-11,15.0000,15.2500,14.8800,14.8800,3.2290,183200.00
1993-03-12,14.7500,15.2500,14.2500,14.6300,3.1748,184800.00
1993-03-15,15.2500,15.2500,14.2500,14.7500,3.2008,81600.00
1993-03-16,15.0000,15.0000,14.2500,14.7500,3.2008,284800.00
1993-03-17,14.7500,15.2500,14.2500,14.2500,3.0923,30400.00
1993-03-18,14.2500,15.2500,14.2500,15.2500,3.3093,12000.00
1993-03-19,15.2500,15.2500,14.5000,15.2500,3.3093,60400.00
1993-03-22,15.2500,15.2500,14.5000,14.8800,3.2290,18000.00
1993-03-23,14.5000,14.7500,14.0000,14.2500,3.0923,389600.00
1993-03-24,14.7500,15.0000,14.5000,15.0000,3.2551,321200.00
1993-03-25,14.6300,15.0000,14.6300,15.0000,3.2551,124800.00
1993-03-26,14.5000,15.0000,14.5000,15.0000,3.2551,38000.00
1993-03-29,14.5000,15.0000,14.5000,15.0000,3.2551,19600.00
1993-03-30,14.5000,15.0000,14.5000,14.5000,3.1466,25200.00
1993-03-31,14.5000,15.0000,14.5000,15.0000,3.2551,32400.00
1993-04-01,14.5000,15.0000,14.5000,14.5000,3.1466,138800.00
1993-04-02,14.5000,15.0000,14.0000,14.5000,3.1466,103200.00
1993-04-05,14.0000,14.8800,14.0000,14.8800,3.2290,49600.00
1993-04-06,15.0000,15.0000,14.5000,14.5000,3.1466,66400.00
1993-04-07,14.5000,15.0000,14.5000,15.0000,3.2551,57200.00
1993-04-08,14.5000,15.0000,14.5000,15.0000,3.2551,8800.00
1993-04-12,15.0000,15.0000,14.5000,15.0000,3.2551,64000.00
1993-04-13,15.0000,15.0000,14.0000,14.0000,3.0381,42400.00
1993-04-14,14.0000,14.7500,14.0000,14.2500,3.0923,81200.00
1993-04-15,14.2500,14.2500,13.7500,13.7500,2.9838,10000.00
1993-04-16,14.2500,14.2500,13.7500,14.2500,3.0923,41200.00
1993-04-19,14.2500,14.2500,13.2500,13.5000,2.9296,171600.00
1993-04-20,13.7500,13.7500,13.2500,13.2500,2.8753,18800.00
1993-04-21,13.2500,13.7500,13.2500,13.7500,2.9838,6400.00
1993-04-22,14.0000,14.2500,13.2500,14.2500,3.0923,59600.00
1993-04-23,14.2500,14.2500,13.5000,14.2500,3.0923,8400.00
1993-04-26,14.2500,14.2500,13.5000,13.7500,2.9838,20400.00
1993-04-27,13.5000,14.0000,13.5000,13.7500,2.9838,45200.00
1993-04-28,14.0000,14.0000,13.5000,14.0000,3.0381,50800.00
1993-04-29,14.0000,14.0000,13.5000,14.0000,3.0381,28400.00
1993-04-30,13.5000,14.3800,13.5000,14.2500,3.0923,62000.00
1993-05-03,14.5000,15.2500,14.5000,15.0000,3.2551,98000.00
1993-05-04,14.5000,14.5000,13.5000,13.5000,2.9296,149600.00
1993-05-05,13.5000,14.2500,13.5000,14.2500,3.0923,50800.00
1993-05-06,13.7500,14.7500,13.7500,14.7500,3.2008,47600.00
1993-05-07,14.7500,14.7500,14.0000,14.2500,3.0923,14800.00
1993-05-10,14.5000,14.5000,13.7500,13.7500,2.9838,36800.00
1993-05-11,13.7500,14.2500,13.7500,13.7500,2.9838,54400.00
1993-05-12,13.7500,14.2500,13.7500,14.0000,3.0381,121200.00
1993-05-13,13.7500,14.2500,13.7500,13.7500,2.9838,73600.00
1993-05-14,13.7500,14.2500,13.7500,14.2500,3.0923,4000.00
1993-05-17,14.2500,14.2500,13.7500,13.7500,2.9838,13200.00
1993-05-18,13.7500,14.2500,13.7500,13.7500,2.9838,8800.00
1993-05-19,14.2500,14.2500,13.7500,14.2500,3.0923,7200.00
1993-05-20,14.0000,14.2500,13.7500,13.7500,2.9838,28000.00
1993-05-21,13.7500,14.2500,13.7500,13.7500,2.9838,77200.00
1993-05-24,14.2500,14.2500,13.7500,13.7500,2.9838,15200.00
1993-05-25,13.7500,13.7500,13.7500,13.7500,2.9838,27200.00
1993-05-26,14.2500,14.2500,13.7500,14.2500,3.0923,4000.00
1993-05-27,13.7500,14.2500,13.7500,13.7500,2.9838,12800.00
1993-05-28,14.2500,14.2500,13.7500,14.0000,3.0381,22800.00
1993-06-01,14.2500,14.2500,13.7500,14.2500,3.0923,13600.00
1993-06-02,13.7500,14.2500,13.7500,13.7500,2.9838,5600.00
1993-06-03,13.7500,14.2500,13.7500,14.2500,3.0923,7200.00
1993-06-04,14.2500,14.2500,13.7500,14.0000,3.0381,129200.00
1993-06-07,13.5000,13.8800,13.5000,13.5000,2.9296,11600.00
1993-06-08,13.2500,14.0000,13.2500,13.5000,2.9296,18000.00
1993-06-09,13.5000,13.7500,13.2500,13.2500,2.8753,29200.00
1993-06-10,13.7500,13.7500,13.2500,13.2500,2.8753,31600.00
1993-06-11,13.7500,13.7500,13.2500,13.2500,2.8753,29200.00
1993-06-14,13.2500,14.0000,13.2500,13.2500,2.8753,70400.00
1993-06-15,13.2500,14.0000,13.2500,14.0000,3.0381,1200.00
1993-06-16,13.5000,13.5000,13.5000,13.5000,2.9296,1200.00
1993-06-17,13.7500,14.0000,13.5000,14.0000,3.0381,29600.00
1993-06-18,13.5000,13.7500,12.2500,12.2500,2.6583,195600.00
1993-06-21,12.2500,13.0000,12.2500,13.0000,2.8211,87200.00
1993-06-22,13.2500,13.5000,12.7500,13.5000,2.9296,74000.00
1993-06-23,13.2500,13.5000,13.2500,13.2500,2.8753,82800.00
1993-06-24,13.2500,14.0000,13.2500,13.6300,2.9578,40400.00
1993-06-25,14.0000,14.0000,13.2500,13.5000,2.9296,25200.00
1993-06-28,13.5000,14.5000,13.5000,14.5000,3.1466,268000.00
1993-06-29,14.5000,15.5000,14.5000,15.2500,3.3093,53200.00
1993-06-30,14.7500,15.2500,14.7500,14.7500,3.2008,12400.00
1993-07-01,14.7500,15.1300,14.7500,14.7500,3.2008,33200.00
1993-07-02,14.7500,15.0000,14.7500,14.7500,3.2008,94000.00
1993-07-06,15.2500,15.2500,14.7500,15.2500,3.3093,36400.00
1993-07-07,15.2500,15.2500,14.7500,14.8800,3.2290,79200.00
1993-07-08,14.5000,15.0000,14.2500,14.5000,3.1466,191600.00
1993-07-09,14.2500,15.0000,14.2500,15.0000,3.2551,108000.00
1993-07-12,14.2500,15.0000,14.2500,14.5000,3.1466,178800.00
1993-07-13,15.0000,15.0000,14.2500,15.0000,3.2551,6400.00
1993-07-14,14.2500,14.6300,14.2500,14.5000,3.1466,29200.00
1993-07-15,14.6300,15.0000,14.2500,15.0000,3.2551,43200.00
1993-07-16,15.0000,15.0000,14.2500,14.2500,3.0923,117600.00
1993-07-19,14.2500,15.0000,14.2500,15.0000,3.2551,40000.00
1993-07-20,14.2500,15.0000,14.2500,14.2500,3.0923,51600.00
1993-07-21,14.5000,15.0000,14.2500,15.0000,3.2551,60800.00
1993-07-22,14.5000,14.7500,14.5000,14.5000,3.1466,18800.00
1993-07-23,14.5000,15.0000,14.5000,14.5000,3.1466,6800.00
1993-07-26,14.6300,15.0000,14.2500,14.2500,3.0923,22800.00
1993-07-27,15.0000,15.0000,14.2500,15.0000,3.2551,18400.00
1993-07-28,14.5000,14.8800,14.2500,14.7500,3.2008,10400.00
1993-07-29,14.2500,15.0000,14.2500,15.0000,3.2551,42800.00
1993-07-30,14.2500,14.2500,14.2500,14.2500,3.0923,800.00
1993-08-02,14.2500,15.1300,14.2500,15.1300,3.2833,40000.00
1993-08-03,14.7500,15.5000,14.7500,14.7500,3.2008,65200.00
1993-08-04,14.7500,15.3800,14.7500,15.2500,3.3093,15600.00
1993-08-05,14.7500,15.5000,14.7500,14.7500,3.2008,7200.00
1993-08-06,14.7500,15.2500,14.7500,15.0000,3.2551,17600.00
1993-08-09,14.7500,15.0000,14.5000,15.0000,3.2551,60000.00
1993-08-10,14.5000,14.7500,14.5000,14.7500,3.2008,1600.00
1993-08-11,14.5000,14.7500,14.5000,14.7500,3.2008,12000.00
1993-08-12,14.7500,14.7500,14.5000,14.7500,3.2008,6800.00
1993-08-13,14.7500,15.0000,14.5000,15.0000,3.2551,53600.00
1993-08-16,14.5000,15.0000,14.5000,15.0000,3.2551,8000.00
1993-08-17,14.7500,15.0000,13.5000,13.7500,2.9838,253600.00
1993-08-18,13.7500,14.0000,13.2500,14.0000,3.0381,318800.00
1993-08-19,14.0000,14.0000,13.5000,14.0000,3.0381,72800.00
1993-08-20,14.0000,14.0000,13.5000,13.6300,2.9578,32400.00
1993-08-23,14.0000,14.0000,13.5000,14.0000,3.0381,21600.00
1993-08-24,14.0000,14.0000,13.5000,13.5000,2.9296,17600.00
1993-08-25,14.0000,15.0000,13.7500,15.0000,3.2551,233200.00
1993-08-26,15.2500,15.2500,14.7500,15.2500,3.3093,16000.00
1993-08-27,15.0000,15.7500,15.0000,15.5000,3.3636,99200.00
1993-08-30,15.0000,15.5000,15.0000,15.0000,3.2551,11600.00
1993-08-31,15.5000,16.0000,15.2500,15.2500,3.3093,66000.00
1993-09-01,15.2500,15.7500,15.2500,15.2500,3.3093,40000.00
1993-09-02,15.2500,16.0000,15.0000,16.0000,3.4721,94400.00
1993-09-03,15.7500,15.7500,15.2500,15.7500,3.4178,127200.00
1993-09-07,15.2500,15.7500,15.2500,15.5000,3.3636,179200.00
1993-09-08,15.2500,15.7500,15.2500,15.3800,3.3375,20400.00
1993-09-09,15.2500,16.0000,15.2500,15.8800,3.4460,66800.00
1993-09-10,16.2500,16.2500,15.7500,16.2500,3.5263,67600.00
1993-09-13,16.0000,16.2500,15.7500,15.7500,3.4178,28800.00
1993-09-14,15.7500,16.2500,15.2500,15.7500,3.4178,24000.00
1993-09-15,15.2500,15.7500,15.0000,15.2500,3.3093,196800.00
1993-09-16,15.0000,15.0000,15.0000,15.0000,3.2551,4800.00
1993-09-17,15.0000,15.0000,14.7500,14.7500,3.2008,42000.00
1993-09-20,14.7500,15.5000,14.7500,14.7500,3.2008,28400.00
1993-09-21,14.7500,15.5000,14.7500,15.2500,3.3093,118800.00
1993-09-22,14.7500,15.5000,14.7500,15.5000,3.3636,34400.00
1993-09-23,14.7500,15.5000,14.7500,15.2500,3.3093,44400.00
1993-09-24,14.7500,15.2500,14.7500,15.2500,3.3093,76800.00
1993-09-27,15.2500,15.2500,14.7500,14.7500,3.2008,13600.00
1993-09-28,15.2500,15.6300,14.7500,15.2500,3.3093,115600.00
1993-09-29,15.2500,15.7500,15.2500,15.7500,3.4178,50800.00
1993-09-30,15.7500,15.7500,15.2500,15.2500,3.3093,152000.00
1993-10-01,15.2500,15.2500,14.5000,15.0000,3.2551,131600.00
1993-10-04,14.7500,15.0000,14.5000,14.7500,3.2008,20000.00
1993-10-05,14.5000,15.0000,14.0000,14.0000,3.0381,62000.00
1993-10-06,13.7500,14.0000,13.2500,13.7500,2.9838,123200.00
1993-10-07,13.7500,14.0000,13.1300,13.1300,2.8493,224800.00
1993-10-08,13.0000,13.5000,13.0000,13.0000,2.8211,44800.00
1993-10-11,13.5000,13.5000,13.0000,13.0000,2.8211,23200.00
1993-10-12,13.0000,13.5000,12.7500,12.8800,2.7950,49200.00
1993-10-13,13.0000,13.0000,12.2500,12.2500,2.6583,78800.00
1993-10-14,12.2500,13.0000,12.2500,12.5000,2.7126,128400.00
1993-10-15,13.2500,13.2500,12.5000,13.2500,2.8753,20400.00
1993-10-18,13.2500,13.2500,12.5000,13.0000,2.8211,21200.00
1993-10-19,13.0000,13.0000,12.5000,13.0000,2.8211,107200.00
1993-10-20,13.0000,13.0000,12.5000,13.0000,2.8211,120000.00
1993-10-21,12.5000,13.0000,12.5000,12.7500,2.7668,120400.00
1993-10-22,13.0000,13.0000,12.5000,12.5000,2.7126,52800.00
1993-10-25,12.5000,13.0000,12.5000,12.6300,2.7408,60000.00
1993-10-26,12.5000,13.0000,12.2500,12.7500,2.7668,10000.00
1993-10-27,13.0000,13.0000,12.2500,12.2500,2.6583,5200.00
1993-10-28,12.2500,13.0000,12.2500,13.0000,2.8211,66800.00
1993-10-29,12.5000,13.2500,12.5000,13.2500,2.8753,45600.00
1993-11-01,13.0000,13.5000,12.7500,12.7500,2.7668,18800.00
1993-11-02,12.7500,13.5000,12.7500,13.0000,2.8211,32400.00
1993-11-03,13.2500,13.5000,13.0000,13.5000,2.9296,224800.00
1993-11-04,13.5000,13.5000,13.0000,13.5000,2.9296,47600.00
1993-11-05,13.5000,14.0000,13.0000,13.2500,2.8753,59600.00
1993-11-08,13.2500,13.7500,13.2500,13.7500,2.9838,4400.00
1993-11-09,13.2500,14.5000,13.2500,13.7500,2.9838,65600.00
1993-11-10,13.7500,14.2500,13.5000,13.5000,2.9296,32800.00
1993-11-11,13.5000,14.2500,13.5000,13.5000,2.9296,16000.00
1993-11-12,13.5000,14.2500,13.2500,13.2500,2.8753,62000.00
1993-11-15,13.2500,13.2500,13.2500,13.2500,2.8753,5200.00
1993-11-16,13.2500,13.5000,13.2500,13.2500,2.8753,15600.00
1993-11-17,13.2500,13.7500,13.2500,13.7500,2.9838,32400.00
1993-11-18,13.2500,13.7500,13.2500,13.2500,2.8753,18800.00
1993-11-19,13.2500,13.2500,12.5000,13.0000,2.8211,47600.00
1993-11-22,13.0000,13.0000,12.2500,13.0000,2.8211,88800.00
1993-11-23,13.0000,13.5000,12.7500,12.7500,2.7668,45200.00
1993-11-24,13.0000,13.5000,13.0000,13.0000,2.8211,30400.00
1993-11-26,13.0000,13.0000,13.0000,13.0000,2.8211,4400.00
1993-11-29,13.0000,13.0000,13.0000,13.0000,2.8211,2800.00
