Date,Open,High,Low,Close,Adjusted_close,Volume
2016-07-29,27.6600,28.0000,24.2601,25.5000,25.5000,5135118.00
2016-08-01,26.5100,27.4000,25.6800,26.0200,26.0200,1008266.00
2016-08-02,26.0400,26.4068,25.0300,25.8500,25.8500,332613.00
2016-08-03,26.2100,26.3400,25.2500,25.5200,25.5200,207560.00
2016-08-04,25.5000,25.8800,25.0000,25.7800,25.7800,143061.00
2016-08-05,26.0000,26.0500,25.0900,25.6200,25.6200,281444.00
2016-08-08,24.8400,25.5700,24.8000,25.1200,25.1200,296838.00
2016-08-09,25.3900,25.8100,25.0500,25.4000,25.4000,252319.00
2016-08-10,25.2500,25.2600,24.6100,24.8700,24.8700,459681.00
2016-08-11,25.1500,25.2800,24.7950,24.9600,24.9600,217080.00
2016-08-12,25.1000,25.1700,24.5860,25.1100,25.1100,186555.00
2016-08-15,25.4800,32.8900,25.4800,31.1100,31.1100,2228016.00
2016-08-16,32.6800,34.4890,30.3020,30.8500,30.8500,970112.00
2016-08-17,30.8000,30.8000,28.5000,29.3000,29.3000,496291.00
2016-08-18,29.7500,29.7500,25.7900,26.3900,26.3900,667894.00
2016-08-19,26.1600,28.7600,25.5000,27.5600,27.5600,760111.00
2016-08-22,28.3100,31.4900,27.6800,29.8000,29.8000,1338337.00
2016-08-23,29.7200,30.7700,28.2700,29.8900,29.8900,470994.00
2016-08-24,29.3800,29.9700,28.2700,28.6000,28.6000,396325.00
2016-08-25,28.7900,30.7000,28.2100,30.1800,30.1800,1203158.00
2016-08-26,25.7000,29.2750,25.3400,28.9800,28.9800,1964328.00
2016-08-29,28.6500,29.6300,27.5800,27.6600,27.6600,400729.00
2016-08-30,27.3300,27.7000,25.8410,25.9600,25.9600,524891.00
2016-08-31,25.8000,27.0000,25.5105,25.6000,25.6000,184628.00
2016-09-01,25.5000,25.7900,24.8100,25.2700,25.2700,471542.00
2016-09-02,25.4900,26.3290,24.8815,25.0800,25.0800,691506.00
