Date,Open,High,Low,Close,Adjusted_close,Volume
2010-02-11,78.1200,83.5000,77.8700,83.0500,1.7295,863520.00
2010-02-12,80.7900,84.1100,80.3200,83.3900,1.7365,2149442.00
2010-02-16,85.3500,86.8150,84.0100,86.6200,1.8038,2403938.00
2010-02-17,87.7800,88.1100,86.4571,88.0900,1.8344,4794148.00
2010-02-18,88.0000,90.2900,87.4700,89.7600,1.8692,9702249.00
2010-02-19,89.1500,90.9300,88.4700,89.7600,1.8692,11620235.00
2010-02-22,90.8200,90.8200,88.1200,89.1300,1.8561,6375414.00
2010-02-23,88.6401,89.1200,84.4700,85.6500,1.7836,10279210.00
2010-02-24,87.1600,89.2500,86.6900,88.2400,1.8375,8827784.00
2010-02-25,85.4200,88.7950,83.7100,88.1900,1.8365,11393819.00
2010-02-26,87.9300,89.6600,87.0600,89.2900,1.8594,7200439.00
2010-03-01,90.4200,93.5000,90.4200,93.1201,1.9392,3556563.00
2010-03-02,93.9400,95.7000,93.4300,93.6800,1.9508,6055494.00
2010-03-03,94.7300,95.5500,93.2900,94.2000,1.9616,5994389.00
2010-03-04,94.5300,95.3700,93.0600,95.2400,1.9833,3679827.00
2010-03-05,97.2700,99.8900,96.7500,99.4500,2.0710,3357843.00
2010-03-08,99.5400,100.7000,99.5400,99.9800,2.0820,3167235.00
2010-03-09,99.4300,103.3100,99.3500,101.7500,2.1189,5802101.00
2010-03-10,101.8900,104.8600,101.8200,104.2400,2.1707,5006885.00
2010-03-11,103.6100,105.3464,102.9200,105.2000,2.1907,6734502.00
2010-03-12,106.3600,106.3600,104.2300,105.4400,2.1957,4514260.00
2010-03-15,104.7400,105.4500,102.5000,104.7300,2.1809,5295845.00
2010-03-16,105.7585,107.0100,104.6600,106.7100,2.2222,5819381.00
2010-03-17,107.0100,108.9700,106.5600,107.4500,2.2376,4974244.00
2010-03-18,107.8200,108.8800,107.1100,108.5400,2.2603,6522822.00
2010-03-19,109.7300,109.7300,105.4800,106.6200,2.2203,5002373.00
2010-03-22,105.3700,110.7800,104.9700,109.5000,2.2803,7344391.00
2010-03-23,110.2500,112.0300,108.5400,111.7900,2.3279,6912342.00
2010-03-24,111.0000,111.2400,109.5000,110.2000,2.2948,11151899.00
2010-03-25,112.7000,114.0700,109.4200,109.5100,2.2805,11739515.00
2010-03-26,111.0700,112.1900,108.3500,110.0800,2.2923,10534714.00
2010-03-29,111.7400,112.7300,110.7700,111.5900,2.3238,4754836.00
2010-03-30,112.5100,113.7300,110.4700,112.7600,2.3481,4985524.00
2010-03-31,111.5000,113.0000,110.4700,111.2400,2.3165,7441063.00
2010-04-01,112.4800,114.6300,108.5300,111.0200,2.3119,14574974.00
2010-04-05,111.8300,114.9000,111.0000,114.2300,2.3788,8444600.00
2010-04-06,113.3600,116.1400,112.6400,115.1000,2.3969,7336423.00
2010-04-07,114.7100,115.9600,112.4500,114.4500,2.3833,13278013.00
2010-04-08,113.2900,115.5300,111.5600,114.8600,2.3919,8705672.00
2010-04-09,115.2400,117.2100,114.3500,116.9300,2.4350,7259719.00
2010-04-12,117.3300,118.3000,116.5600,117.4000,2.4448,6099846.00
2010-04-13,117.0200,119.3600,115.9640,119.1700,2.4816,8346104.00
2010-04-14,120.8700,123.4674,120.6200,123.3700,2.5691,7636807.00
2010-04-15,123.2400,125.4800,123.1300,125.0200,2.6035,5721077.00
2010-04-16,123.7000,124.9100,118.2500,120.5700,2.5108,16184896.00
2010-04-19,119.4400,121.4800,116.0000,120.3800,2.5068,14091470.00
2010-04-20,122.2500,123.0000,119.9600,122.1601,2.5439,7008295.00
2010-04-21,124.6400,125.3700,122.0000,124.3100,2.5887,10497562.00
2010-04-22,120.6800,126.5700,118.6200,126.1500,2.6270,15355023.00
2010-04-23,126.2700,128.2167,124.7800,127.8200,2.6618,10293322.00
2010-04-26,127.9100,128.8700,126.2500,126.8700,2.6420,10061914.00
2010-04-27,125.6400,126.9800,118.0000,119.0400,2.4789,16712752.00
2010-04-28,120.8700,120.9900,116.4300,119.3200,2.4848,15629295.00
2010-04-29,120.9800,126.0100,120.9700,125.4100,2.6116,10593226.00
2010-04-30,125.2200,125.8100,117.7100,118.0200,2.4577,11060939.00
2010-05-03,119.4000,124.6200,119.3700,122.8400,2.5581,6572886.00
2010-05-04,118.1900,118.2000,109.3100,111.9800,2.3319,17154353.00
2010-05-05,108.4700,112.1100,106.4000,110.1400,2.2936,17311697.00
2010-05-06,107.8700,110.9799,68.0000,99.3500,2.0689,27225963.00
2010-05-07,96.7200,100.3300,85.7100,92.1200,1.9183,31031071.00
2010-05-10,103.7500,106.1700,103.1810,105.8600,2.2045,23651303.00
2010-05-11,102.8700,110.0000,102.2700,105.7900,2.2030,18378402.00
