Date,Open,High,Low,Close,Adjusted_close,Volume
2010-10-15,2.3400,2.3400,2.3400,2.3400,2.3400,0.00
2010-10-18,2.3400,2.3400,2.3400,2.3400,2.3400,0.00
2010-10-19,2.3400,2.3400,2.3400,2.3400,2.3400,0.00
2010-10-20,2.3600,2.3600,2.3600,2.3600,2.3600,600.00
2010-10-21,2.3600,2.3600,2.3600,2.3600,2.3600,0.00
2010-10-22,2.3600,2.3600,2.3600,2.3600,2.3600,0.00
2010-10-25,2.3600,2.3600,2.3600,2.3600,2.3600,0.00
2010-10-26,3.3800,3.3800,3.3800,3.3800,3.3800,15000.00
2010-10-27,3.2100,3.2900,3.2100,3.2900,3.2900,2000.00
2010-10-28,3.2900,3.2900,3.2900,3.2900,3.2900,0.00
2010-10-29,3.2900,3.2900,3.2900,3.2900,3.2900,0.00
2010-11-01,3.2900,3.2900,3.2900,3.2900,3.2900,0.00
2010-11-02,3.2900,3.2900,3.2900,3.2900,3.2900,0.00
2010-11-03,3.2900,3.2900,3.2900,3.2900,3.2900,0.00
2010-11-04,3.2900,3.2900,3.2900,3.2900,3.2900,0.00
2010-11-05,3.0100,3.0100,3.0100,3.0100,3.0100,5500.00
2010-11-08,3.0100,3.0100,3.0100,3.0100,3.0100,0.00
2010-11-09,3.0100,3.0100,3.0100,3.0100,3.0100,0.00
2010-11-10,2.5300,2.5300,2.5300,2.5300,2.5300,600.00
2010-11-11,2.5300,2.5300,2.5300,2.5300,2.5300,0.00
2010-11-12,2.5300,2.5300,2.5300,2.5300,2.5300,0.00
2010-11-15,2.5300,2.5300,2.5300,2.5300,2.5300,0.00
2010-11-16,2.5300,2.5300,2.5300,2.5300,2.5300,0.00
2010-11-17,2.5300,2.5300,2.5300,2.5300,2.5300,0.00
2010-11-18,2.5300,2.5300,2.5300,2.5300,2.5300,0.00
2010-11-19,2.8900,2.9500,2.8500,2.9500,2.9500,3400.00
2010-11-22,2.9500,2.9500,2.9500,2.9500,2.9500,0.00
2010-11-23,2.9500,2.9500,2.9500,2.9500,2.9500,0.00
2010-11-24,2.9500,2.9500,2.9500,2.9500,2.9500,0.00
2010-11-26,2.9500,2.9500,2.9500,2.9500,2.9500,0.00
2010-11-29,2.9500,2.9500,2.9500,2.9500,2.9500,0.00
