Date,Open,High,Low,Close,Adjusted_close,Volume
2007-05-17,14.5000,15.6400,14.5000,14.7900,14.7900,5180200.00
2007-05-18,14.8900,15.1000,14.5700,15.0700,15.0700,615700.00
2007-05-21,14.6900,15.4000,14.6600,15.0700,15.0700,316000.00
2007-05-22,14.8800,15.1000,14.8010,14.9600,14.9600,97400.00
2007-05-23,14.9900,14.9900,14.5900,14.7000,14.7000,122300.00
2007-05-24,14.7000,14.8000,14.5500,14.7100,14.7100,123000.00
2007-05-25,14.9900,14.9900,14.5000,14.7100,14.7100,47600.00
2007-05-29,14.7700,14.7700,14.4000,14.7500,14.7500,49400.00
2007-05-30,14.8000,14.8000,14.4900,14.6000,14.6000,18200.00
2007-05-31,14.5100,14.8300,14.5000,14.7200,14.7200,109800.00
2007-06-01,14.8900,16.1900,14.5000,15.8000,15.8000,130900.00
2007-06-04,15.7000,15.7000,14.7300,14.8200,14.8200,53200.00
2007-06-05,14.9900,15.2500,14.6300,15.0100,15.0100,82800.00
2007-06-06,14.7500,16.2000,14.3500,14.7600,14.7600,90000.00
2007-06-07,14.7500,14.7500,14.2100,14.5900,14.5900,36300.00
2007-06-08,14.4500,14.5000,14.0000,14.1600,14.1600,252600.00
2007-06-11,14.1600,14.7300,14.1600,14.4800,14.4800,17800.00
2007-06-12,14.0500,14.3600,13.7900,14.3000,14.3000,43200.00
2007-06-13,14.2100,14.5500,14.0600,14.4800,14.4800,49500.00
2007-06-14,14.7300,14.9800,14.3700,14.5600,14.5600,83400.00
2007-06-15,14.8700,15.0000,14.5000,14.5900,14.5900,56200.00
2007-06-18,14.7800,14.8899,14.4000,14.5000,14.5000,42900.00
2007-06-19,14.8700,14.8700,14.4900,14.7600,14.7600,26800.00
2007-06-20,14.9500,15.5200,14.6500,15.3200,15.3200,53500.00
2007-06-21,15.2700,15.5600,14.4800,14.5900,14.5900,33400.00
2007-06-22,14.4400,14.6400,14.1000,14.1000,14.1000,872300.00
2007-06-25,14.1500,14.4900,13.7900,13.8700,13.8700,171300.00
2007-06-26,13.7700,14.2400,13.5500,13.7500,13.7500,116200.00
2007-06-27,13.5900,14.2500,13.5900,14.2500,14.2500,31200.00
2007-06-28,14.3100,14.3100,13.2100,13.3100,13.3100,42400.00
2007-06-29,13.3000,13.3000,12.5000,12.8500,12.8500,133800.00
