Date,Open,High,Low,Close,Adjusted_close,Volume
2017-02-01,1.4800,1.4800,1.4500,1.4500,1.4500,51600.00
2017-02-02,1.4500,1.4800,1.4100,1.4200,1.4200,105700.00
2017-02-03,1.4200,1.4400,1.3900,1.4200,1.4200,112400.00
2017-02-06,1.4200,1.4300,1.4000,1.4000,1.4000,138000.00
2017-02-07,1.4100,1.4100,1.3700,1.3800,1.3800,49600.00
2017-02-08,1.3800,1.4000,1.3500,1.3800,1.3800,90900.00
2017-02-09,1.3700,1.3900,1.3400,1.3600,1.3600,176100.00
2017-02-10,1.3700,1.3800,1.3400,1.3600,1.3600,98400.00
2017-02-13,1.3800,1.3800,1.3500,1.3600,1.3600,131200.00
2017-02-14,1.3600,1.3600,1.3500,1.3500,1.3500,46500.00
2017-02-15,1.3500,1.3600,1.3400,1.3500,1.3500,38300.00
2017-02-16,1.3600,1.3600,1.3400,1.3500,1.3500,47200.00
2017-02-17,1.3400,1.3600,1.3300,1.3500,1.3500,38500.00
2017-02-21,1.3600,1.3600,1.3400,1.3600,1.3600,196400.00
2017-02-22,1.3600,1.3600,1.2900,1.2900,1.2900,484200.00
2017-02-23,1.3100,1.3100,1.2600,1.2800,1.2800,515000.00
2017-02-24,1.2900,1.2900,1.2500,1.2600,1.2600,59800.00
2017-02-27,1.2700,1.3000,1.2500,1.2500,1.2500,214800.00
2017-02-28,1.2700,1.2700,1.2500,1.2700,1.2700,88000.00
2017-03-01,1.2600,1.2700,1.2500,1.2500,1.2500,58400.00
2017-03-02,1.2500,1.3400,1.2500,1.3100,1.3100,225400.00
2017-03-03,1.3200,1.3800,1.2600,1.2900,1.2900,99800.00
2017-03-06,1.2800,1.3100,1.2800,1.3100,1.3100,80400.00
2017-03-07,1.3000,1.3400,1.2700,1.3000,1.3000,39000.00
2017-03-08,1.3200,1.3300,1.2800,1.3000,1.3000,63600.00
2017-03-09,1.3100,1.3400,1.3000,1.3300,1.3300,36400.00
2017-03-10,1.3400,1.4000,1.3000,1.3800,1.3800,94100.00
2017-03-13,1.3700,1.3700,1.3300,1.3300,1.3300,39600.00
2017-03-14,1.3400,1.3600,1.3000,1.3400,1.3400,39800.00
2017-03-15,1.3600,1.3700,1.3200,1.3200,1.3200,64800.00
2017-03-16,1.3500,1.3700,1.3400,1.3600,1.3600,43900.00
2017-03-17,1.3400,1.3600,1.3300,1.3300,1.3300,28200.00
2017-03-20,1.3300,1.3400,1.3000,1.3000,1.3000,52500.00
2017-03-21,1.3200,1.3500,1.3000,1.3200,1.3200,55500.00
2017-03-22,1.3000,1.3300,1.3000,1.3100,1.3100,59600.00
2017-03-23,1.3200,1.3500,1.3000,1.3000,1.3000,30900.00
2017-03-24,1.3300,1.3400,1.3000,1.3100,1.3100,53500.00
2017-03-27,1.2500,1.3900,1.2500,1.3500,1.3500,40821.00
2017-03-28,1.2500,1.3600,1.1800,1.3300,1.3300,72153.00
2017-03-29,1.3100,1.3600,1.3100,1.3300,1.3300,36114.00
2017-03-30,1.3500,1.3600,1.3100,1.3600,1.3600,44485.00
2017-03-31,1.3600,1.5200,1.3300,1.4500,1.4500,241549.00
2017-04-03,1.4300,1.4800,1.4300,1.4500,1.4500,101928.00
2017-04-04,1.4500,1.4700,1.4500,1.4500,1.4500,105451.00
2017-04-05,1.4500,1.4500,1.4200,1.4400,1.4400,36032.00
2017-04-06,1.4600,1.4600,1.4200,1.4300,1.4300,62980.00
2017-04-07,1.4600,1.4600,1.4200,1.4200,1.4200,36501.00
2017-04-10,1.4500,1.4700,1.4200,1.4400,1.4400,87355.00
2017-04-11,1.4200,1.4500,1.4200,1.4400,1.4400,25144.00
2017-04-12,1.4400,1.4500,1.4200,1.4400,1.4400,17440.00
2017-04-13,1.4400,1.4400,1.4000,1.4400,1.4400,57599.00
2017-04-17,1.4400,1.4400,1.4300,1.4300,1.4300,8752.00
2017-04-18,1.4200,1.4400,1.3900,1.4300,1.4300,63870.00
2017-04-19,1.4100,1.4400,1.4100,1.4400,1.4400,38806.00
2017-04-20,1.4400,1.4400,1.4200,1.4400,1.4400,21878.00
2017-04-21,1.4000,1.4500,1.4000,1.4400,1.4400,64666.00
2017-04-24,1.4200,1.4500,1.4200,1.4300,1.4300,55177.00
2017-04-25,1.4500,1.4500,1.4200,1.4200,1.4200,74907.00
2017-04-26,1.4200,1.4500,1.4200,1.4500,1.4500,738002.00
2017-04-27,1.4600,1.4600,1.4200,1.4500,1.4500,12813.00
2017-04-28,1.4400,1.4500,1.4200,1.4400,1.4400,199733.00
2017-05-01,1.4500,1.4600,1.4200,1.4300,1.4300,145919.00
2017-05-02,1.4400,1.5700,1.4200,1.5700,1.5700,691864.00
2017-05-03,1.5400,1.6200,1.5400,1.6000,1.6000,185120.00
2017-05-04,1.5700,1.6200,1.5500,1.5700,1.5700,171732.00
2017-05-05,1.5600,1.6000,1.5200,1.6000,1.6000,145580.00
2017-05-08,1.5900,1.6500,1.5800,1.6300,1.6300,305200.00
2017-05-09,1.6400,1.6800,1.6100,1.6800,1.6800,142580.00
2017-05-10,1.6800,1.7100,1.6500,1.6800,1.6800,130254.00
2017-05-11,1.6800,1.7200,1.6600,1.6600,1.6600,107481.00
2017-05-12,1.6800,1.6800,1.6400,1.6400,1.6400,115726.00
2017-05-15,1.6200,1.6800,1.6200,1.6500,1.6500,56514.00
2017-05-16,1.6200,1.6400,1.6000,1.6100,1.6100,65753.00
2017-05-17,1.6300,1.6400,1.5900,1.5900,1.5900,33503.00
2017-05-18,1.6000,1.6300,1.5800,1.6000,1.6000,45102.00
2017-05-19,1.5900,1.6400,1.5600,1.6100,1.6100,47668.00
2017-05-22,1.6100,1.6300,1.5800,1.6100,1.6100,17835.00
2017-05-23,1.5900,1.6100,1.5700,1.5700,1.5700,24029.00
2017-05-24,1.5600,1.5900,1.5600,1.5700,1.5700,17657.00
2017-05-25,1.5600,1.6000,1.5500,1.5700,1.5700,25304.00
2017-05-26,1.5800,1.5800,1.5500,1.5500,1.5500,15272.00
2017-05-30,1.5200,1.5900,1.5200,1.5500,1.5500,31966.00
2017-05-31,1.6000,1.6000,1.5300,1.5500,1.5500,24814.00
2017-06-01,1.5300,1.5800,1.5200,1.5700,1.5700,22836.00
2017-06-02,1.6000,1.6000,1.5500,1.5600,1.5600,39871.00
2017-06-05,1.6000,1.6300,1.5600,1.5800,1.5800,25118.00
2017-06-06,1.6000,1.6000,1.5500,1.5600,1.5600,17554.00
2017-06-07,1.5500,1.5900,1.5300,1.5700,1.5700,43992.00
2017-06-08,1.5800,1.6000,1.5300,1.5600,1.5600,51516.00
2017-06-09,1.5300,1.5600,1.5300,1.5400,1.5400,32413.00
2017-06-12,1.5500,1.5700,1.5300,1.5500,1.5500,55252.00
2017-06-13,1.5500,1.5600,1.5400,1.5500,1.5500,67512.00
2017-06-14,1.5400,1.5500,1.5300,1.5400,1.5400,22753.00
2017-06-15,1.5500,1.5500,1.4600,1.4700,1.4700,57724.00
2017-06-16,1.4600,1.5300,1.4500,1.4800,1.4800,45467.00
2017-06-19,1.5000,1.5000,1.4700,1.5000,1.5000,20556.00
2017-06-20,1.5000,1.5100,1.4900,1.4900,1.4900,15231.00
2017-06-21,1.5000,1.5100,1.4900,1.4900,1.4900,46568.00
2017-06-22,1.5100,1.5700,1.4900,1.5000,1.5000,77893.00
2017-06-23,1.5500,1.5500,1.4800,1.5500,1.5500,57932.00
2017-06-26,1.5800,1.5800,1.4900,1.5700,1.5700,47912.00
2017-06-27,1.5700,1.5700,1.5300,1.5700,1.5700,93438.00
2017-06-28,1.5700,1.5700,1.5300,1.5500,1.5500,113620.00
2017-06-29,1.5500,1.5700,1.5300,1.5700,1.5700,33331.00
2017-06-30,1.5500,1.6200,1.5400,1.6200,1.6200,200737.00
2017-07-03,1.6400,1.6400,1.5800,1.6300,1.6300,35822.00
2017-07-05,1.6300,1.6400,1.5900,1.6200,1.6200,79675.00
2017-07-06,1.6300,1.6300,1.5851,1.6000,1.6000,71074.00
2017-07-07,1.5900,1.6100,1.5600,1.6000,1.6000,99406.00
2017-07-10,1.5900,1.6300,1.5000,1.6000,1.6000,135241.00
