Date,Open,High,Low,Close,Adjusted_close,Volume
1999-03-08,5.8800,6.1200,5.8800,6.0000,4.0789,18200.00
1999-03-09,6.0000,6.0000,5.8800,5.9400,4.0381,1500.00
1999-03-10,5.9400,5.9400,5.5600,5.6900,3.8681,17900.00
1999-03-11,5.7500,5.9400,5.7500,5.8800,3.9973,40100.00
1999-03-12,5.8800,5.8800,5.7500,5.7500,3.9089,3500.00
1999-03-15,5.6200,5.7500,5.5600,5.7500,3.9089,11900.00
1999-03-16,5.6200,5.7500,5.6200,5.6200,3.8205,25400.00
1999-03-17,5.6200,6.0600,5.6200,6.0000,4.0789,11700.00
1999-03-18,6.1200,6.1200,5.8800,5.9400,4.0381,2600.00
1999-03-19,6.0600,6.1900,5.7500,6.1900,4.2080,20200.00
1999-03-22,6.2500,6.2500,6.1200,6.1900,4.2080,7200.00
1999-03-23,6.0600,6.0600,5.8800,5.9400,4.0381,12000.00
1999-03-24,5.8100,5.8100,5.8100,5.8100,3.9497,1600.00
1999-03-25,5.8800,6.0000,5.8800,5.8800,3.9973,5700.00
1999-03-26,5.9400,5.9400,5.9400,5.9400,4.0381,16500.00
1999-03-29,5.9400,6.0000,5.9400,5.9400,4.0381,6500.00
1999-03-30,5.9400,6.1200,5.9400,6.0000,4.0789,23500.00
1999-03-31,6.0000,6.0000,5.8800,5.8800,3.9973,6600.00
1999-04-01,5.9400,6.0000,5.8800,5.8800,3.9973,2700.00
1999-04-05,5.8100,6.1900,5.8100,6.0000,4.0789,38700.00
1999-04-06,6.0000,6.0000,5.8100,5.8800,3.9973,12800.00
1999-04-07,5.8800,5.8800,5.8800,5.8800,3.9973,5600.00
1999-04-08,5.8100,5.8100,5.8100,5.8100,3.9497,12000.00
1999-04-09,5.8100,6.0000,5.8100,6.0000,4.0789,18100.00
1999-04-12,5.8800,6.0000,5.8800,5.9400,4.0381,21800.00
1999-04-13,5.9400,6.0000,5.9400,6.0000,4.0789,6600.00
1999-04-14,6.0000,6.0000,6.0000,6.0000,4.0789,5500.00
1999-04-15,6.0000,6.2500,6.0000,6.1200,4.1604,12100.00
1999-04-16,6.0600,6.2500,6.0600,6.2500,4.2488,45800.00
1999-04-19,6.2500,6.5000,6.2500,6.3800,4.3372,12600.00
1999-04-20,6.3800,6.3800,6.2500,6.2500,4.2488,4500.00
1999-04-21,6.2500,6.5600,6.2500,6.4400,4.3780,5100.00
1999-04-22,6.4400,6.4400,6.1900,6.1900,4.2080,11900.00
1999-04-23,6.1900,6.2500,6.1900,6.2500,4.2488,18600.00
1999-04-26,6.2500,6.4400,6.2500,6.3100,4.2896,11700.00
1999-04-27,6.3100,6.4400,6.2500,6.4400,4.3780,10100.00
1999-04-28,6.3100,6.4400,6.2500,6.2500,4.2488,11200.00
1999-04-29,6.2500,6.3800,6.2500,6.3100,4.2896,11400.00
1999-04-30,6.3100,6.4400,6.2500,6.3800,4.3372,65400.00
1999-05-03,6.3800,6.3800,6.1200,6.1900,4.2080,7900.00
1999-05-04,6.2500,6.2500,5.9400,6.0000,4.0789,17100.00
1999-05-05,6.0000,6.3100,6.0000,6.3100,4.2896,10100.00
1999-05-06,6.2500,6.2500,6.2500,6.2500,4.2488,6000.00
1999-05-07,6.2500,6.2500,6.0000,6.0000,4.0789,9400.00
1999-05-10,6.1200,6.2500,6.0600,6.2500,4.2488,5500.00
1999-05-11,6.3100,6.3100,6.1200,6.1900,4.2080,9600.00
1999-05-12,6.3800,6.3800,6.1900,6.2500,4.2488,16100.00
1999-05-13,6.1900,6.2500,6.1900,6.1900,4.2080,9600.00
1999-05-14,6.1200,6.3800,6.0600,6.3800,4.3372,53800.00
1999-05-17,6.3100,6.3800,6.2500,6.2500,4.2488,10100.00
1999-05-18,6.1200,6.2500,6.1200,6.1200,4.1604,11900.00
1999-05-19,6.2500,6.2500,6.1200,6.1900,4.2080,6000.00
