Date,Open,High,Low,Close,Adjusted_close,Volume
2011-04-21,20.2600,22.3300,18.3400,18.8000,18.8000,18178162.00
2011-04-25,19.4000,19.5000,17.3200,17.7500,17.7500,2323304.00
2011-04-26,17.7000,18.7100,17.4000,17.5600,17.5600,1812238.00
2011-04-27,17.8400,17.8400,15.8000,16.2500,16.2500,1975973.00
2011-04-28,16.1100,16.7800,15.7000,16.0300,16.0300,1926910.00
2011-04-29,15.9500,16.4200,15.3000,15.5100,15.5100,1341584.00
2011-05-02,15.7400,17.0000,15.5380,16.6800,16.6800,1471096.00
2011-05-03,16.9000,16.9300,15.5400,15.7400,15.7400,1377384.00
2011-05-04,15.6200,15.6850,13.9400,14.5900,14.5900,1744259.00
2011-05-05,14.1800,15.0400,13.4200,13.5000,13.5000,891502.00
2011-05-06,13.7500,14.2000,13.1600,13.7500,13.7500,1012714.00
2011-05-09,13.7000,14.4000,13.1200,14.2601,14.2601,631198.00
2011-05-10,14.3900,15.6500,14.1550,15.3500,15.3500,936754.00
2011-05-11,15.4300,15.4300,14.5000,14.9300,14.9300,394678.00
2011-05-12,14.9500,14.9500,14.2800,14.5300,14.5300,429521.00
2011-05-13,14.5500,14.6500,13.7500,13.9100,13.9100,623786.00
2011-05-16,13.9700,13.9700,12.2399,12.5500,12.5500,860548.00
2011-05-17,12.4000,12.4500,11.3200,12.0400,12.0400,836375.00
2011-05-18,11.8100,13.7100,11.8100,13.4700,13.4700,801034.00
2011-05-19,13.7400,13.7400,12.8300,13.4700,13.4700,617949.00
2011-05-20,13.3500,13.7100,12.7000,12.8100,12.8100,502605.00
2011-05-23,12.5600,12.5600,11.2500,11.2900,11.2900,836015.00
2011-05-24,11.2700,11.7900,11.2500,11.6100,11.6100,444839.00
2011-05-25,11.5100,11.9354,11.2900,11.3100,11.3100,582962.00
2011-05-26,11.2600,12.2400,11.2600,12.0600,12.0600,354658.00
2011-05-27,12.4000,13.5000,12.2600,13.2800,13.2800,638393.00
2011-05-31,13.4000,13.4000,12.3400,12.3700,12.3700,392878.00
2011-06-01,12.5500,12.8800,11.8400,11.8500,11.8500,338477.00
2011-06-02,12.9500,13.1200,12.1400,12.6100,12.6100,569528.00
2011-06-03,12.3600,12.6300,11.8500,11.9500,11.9500,351040.00
2011-06-06,11.4600,12.2800,10.6000,10.7700,10.7700,701281.00
2011-06-07,10.7400,10.8648,9.8700,10.4600,10.4600,1633853.00
2011-06-08,10.3700,10.7996,10.0800,10.1400,10.1400,289916.00
2011-06-09,10.3000,10.5000,10.0200,10.2600,10.2600,547442.00
2011-06-10,10.2600,10.2600,9.9500,10.0100,10.0100,211691.00
2011-06-13,10.1000,10.3300,9.6500,9.9200,9.9200,392299.00
2011-06-14,10.4900,11.3500,10.0200,10.7500,10.7500,295718.00
2011-06-15,10.8400,11.1000,10.2700,10.6000,10.6000,190663.00
2011-06-16,10.7500,11.3700,10.6800,11.0300,11.0300,299383.00
2011-06-17,11.1200,11.3500,10.8900,10.9900,10.9900,107104.00
2011-06-20,10.8800,11.5900,10.6500,11.2000,11.2000,164447.00
2011-06-21,11.3000,12.4400,11.0600,12.3600,12.3600,251503.00
2011-06-22,12.2500,12.2800,11.7300,12.0000,12.0000,90192.00
2011-06-23,11.7500,13.0800,11.1001,13.0000,13.0000,116890.00
2011-06-24,12.9200,13.1000,12.6600,13.1000,13.1000,133851.00
2011-06-27,12.8400,13.4500,12.8100,13.0400,13.0400,215806.00
2011-06-28,12.7200,13.5000,12.3300,12.8800,12.8800,319278.00
2011-06-29,13.0300,13.5300,13.0300,13.5300,13.5300,222722.00
2011-06-30,13.4500,13.9500,13.4500,13.7400,13.7400,283175.00
2011-07-01,13.8800,14.2200,13.7800,14.1700,14.1700,231833.00
2011-07-05,14.0200,14.5300,14.0000,14.2800,14.2800,299207.00
2011-07-06,14.3900,14.4000,14.1000,14.2800,14.2800,399174.00
2011-07-07,14.3000,14.5200,14.2300,14.2700,14.2700,108957.00
2011-07-08,13.9700,14.8000,13.3800,14.6900,14.6900,221578.00
2011-07-11,14.6000,14.8000,14.3310,14.7300,14.7300,86084.00
2011-07-12,14.7200,14.7200,14.1600,14.2700,14.2700,86409.00
2011-07-13,14.4000,14.8200,14.2400,14.2800,14.2800,70761.00
2011-07-14,14.5000,14.5000,14.2500,14.3500,14.3500,51241.00
2011-07-15,14.3500,14.4646,14.0200,14.3700,14.3700,39146.00
2011-07-18,14.3500,14.4000,13.8500,14.2300,14.2300,39090.00
2011-07-19,14.4000,14.4000,13.9200,14.2400,14.2400,66490.00
2011-07-20,14.3200,14.4400,13.9500,13.9900,13.9900,440178.00
2011-07-21,14.0200,14.1000,13.3500,13.9500,13.9500,155728.00
2011-07-22,14.4200,14.4200,13.5100,13.6900,13.6900,300191.00
2011-07-25,13.6200,13.7600,13.3500,13.6200,13.6200,152141.00
2011-07-26,13.5500,14.0000,13.2500,13.4700,13.4700,41143.00
