Date,Open,High,Low,Close,Adjusted_close,Volume
2010-09-22,51.8100,51.8100,51.8100,51.8100,46.4518,10000.00
2010-09-23,51.9300,52.0500,51.9300,51.9500,46.5774,16300.00
2010-09-24,52.6200,52.6580,52.5900,52.5900,47.1512,17600.00
2010-09-27,52.5800,52.7500,52.4700,52.7500,47.2946,11700.00
2010-09-28,52.7500,52.7500,52.7500,52.7500,47.2946,0.00
2010-09-29,52.6900,52.8000,52.6900,52.7090,47.2579,21700.00
2010-09-30,52.9700,52.9700,52.4100,52.4100,46.9898,9650.00
2010-10-01,52.4100,52.4100,52.4100,52.4100,46.9898,0.00
2010-10-04,52.7100,52.7100,52.0100,52.1900,46.7925,19547.00
2010-10-05,52.8700,52.8700,52.8700,52.8700,47.4022,1000.00
2010-10-06,53.3000,53.3000,53.0000,53.1000,47.6084,5000.00
2010-10-07,53.1000,53.1400,52.8800,53.1400,47.6443,44000.00
2010-10-08,53.1800,53.5400,53.0600,53.4500,47.9222,10200.00
2010-10-11,53.6200,53.7200,53.6200,53.6300,48.0836,5522.00
2010-10-12,53.3700,53.8300,53.1400,53.8300,48.2629,7300.00
2010-10-13,54.0800,54.4400,53.9800,54.3400,48.7202,4300.00
2010-10-14,54.2900,54.3100,54.0600,54.1400,48.5409,33955.00
2010-10-15,54.6500,54.6500,54.4200,54.5300,48.8905,6100.00
2010-10-18,54.6600,54.6600,54.6000,54.6000,48.9533,500.00
2010-10-19,53.9700,53.9900,53.5800,53.5800,48.0388,1300.00
2010-10-20,53.5800,53.5800,53.5800,53.5800,48.0388,0.00
2010-10-21,54.6100,54.6100,54.3600,54.3600,48.7381,400.00
2010-10-22,54.8100,54.8200,54.8100,54.8200,49.1506,10440.00
2010-10-25,55.2400,55.3100,55.0400,55.0400,49.3478,4640.00
2010-10-26,54.7900,55.1600,54.6300,55.1400,49.4375,101500.00
2010-10-27,54.7700,55.0000,54.6600,55.0000,49.3119,64520.00
2010-10-28,54.9700,54.9700,54.9700,54.9700,49.2850,1000.00
2010-10-29,55.1400,55.1500,54.9800,55.0700,49.3747,7865.00
2010-11-01,55.2400,55.2400,55.0860,55.0860,49.3890,1400.00
2010-11-02,55.5700,55.6500,55.5700,55.6500,49.8947,800.00
2010-11-03,55.4300,55.6300,55.4300,55.6300,49.8768,2000.00
2010-11-04,56.7700,56.7700,56.7700,56.7700,50.8989,1000.00
2010-11-05,56.9500,56.9700,56.7900,56.8300,50.9527,7576.00
2010-11-08,56.7000,56.9500,56.7000,56.9500,51.0603,6100.00
2010-11-09,57.1500,57.2600,56.6000,56.6300,50.7734,4373.00
2010-11-10,56.7400,56.8900,56.4700,56.7800,50.9078,12300.00
2010-11-11,56.4300,56.6600,56.2200,56.6600,50.8003,2900.00
2010-11-12,56.4400,56.5100,55.7400,55.9300,50.1458,1700.00
2010-11-15,56.0400,56.0600,55.8600,55.9460,50.1601,1835.00
2010-11-16,55.4400,55.5100,54.6900,54.6900,49.0340,2700.00
2010-11-17,54.9300,55.0900,54.9300,55.0700,49.3747,39400.00
2010-11-18,55.7100,56.0900,55.6800,55.8900,50.1099,6991.00
2010-11-19,56.0600,56.1100,56.0300,56.0500,50.2533,1100.00
2010-11-22,56.0700,56.2300,55.7100,56.1600,50.3520,9724.00
2010-11-23,55.4900,55.6800,55.3500,55.4400,49.7064,1600.00
2010-11-24,56.1200,56.4500,56.1200,56.4500,50.6120,1500.00
2010-11-26,55.9800,56.2800,55.9800,56.2800,50.4596,4800.00
2010-11-29,55.4000,56.0200,55.4000,56.0200,50.2264,10840.00
2010-11-30,55.4300,55.8300,55.4300,55.8300,50.0561,5500.00
2010-12-01,56.6800,57.0100,56.6100,56.8900,51.0065,4300.00
2010-12-02,57.0900,57.5000,57.0900,57.5000,51.5534,2735.00
2010-12-03,57.4100,57.5800,57.4100,57.5700,51.6161,4048.00
2010-12-06,57.5500,57.6600,57.5500,57.6600,51.6968,900.00
2010-12-07,58.2000,58.2200,57.6700,57.6700,51.7058,4300.00
2010-12-08,57.5700,57.7100,57.4000,57.7100,51.7417,1500.00
2010-12-09,58.1300,58.1300,57.6500,57.6500,51.6879,5054.00
2010-12-10,57.9500,58.1400,57.8600,58.1400,52.1272,8221.00
2010-12-13,58.4100,58.4100,58.2900,58.3500,52.3155,3414.00
2010-12-14,58.1300,58.3580,58.1200,58.3580,52.3227,3100.00
2010-12-15,58.0900,58.3100,57.8800,58.0300,52.0286,6100.00
2010-12-16,57.8300,57.8600,57.8300,57.8600,51.8762,1400.00
2010-12-17,58.3200,58.5200,58.3200,58.4200,52.3782,2853.00
2010-12-20,58.3000,58.5640,58.2999,58.5100,52.4589,9139.00
