Date,Open,High,Low,Close,Adjusted_close,Volume
2014-02-28,39.0000,47.9400,38.0000,44.0000,44.0000,7376600.00
2014-03-03,44.1000,49.7400,42.7600,43.1900,43.1900,1144800.00
2014-03-04,45.8600,46.7000,44.0000,45.0000,45.0000,479700.00
2014-03-05,45.0000,50.8200,45.0000,49.2500,49.2500,557400.00
2014-03-06,51.5000,54.2200,50.0000,53.0900,53.0900,607700.00
2014-03-07,56.5000,56.8000,52.4501,53.4800,53.4800,406800.00
2014-03-10,53.4000,53.9900,47.1600,47.4900,47.4900,560200.00
2014-03-11,48.0000,48.2163,43.9100,44.5400,44.5400,599500.00
2014-03-12,42.7700,44.5700,40.5600,44.0000,44.0000,1121400.00
2014-03-13,45.2000,45.9800,41.6730,43.1000,43.1000,400300.00
2014-03-14,42.7800,43.9400,41.7000,42.0000,42.0000,245400.00
2014-03-17,42.3500,44.9300,41.0500,44.5600,44.5600,238500.00
2014-03-18,45.7500,46.7500,44.2300,45.0100,45.0100,261200.00
2014-03-19,45.0000,46.5000,44.1000,46.3400,46.3400,215800.00
2014-03-20,46.1000,46.6034,43.4500,43.7100,43.7100,184200.00
2014-03-21,43.6500,43.6500,38.2700,39.8600,39.8600,438400.00
2014-03-24,39.7500,39.7500,35.1200,36.5100,36.5100,454800.00
2014-03-25,38.0700,43.9000,37.4000,43.7800,43.7800,550000.00
2014-03-26,44.2100,45.0000,38.0600,38.3800,38.3800,317300.00
2014-03-27,38.1300,38.5220,35.2600,36.6000,36.6000,279200.00
2014-03-28,36.4800,37.8399,34.7200,35.0800,35.0800,371100.00
2014-03-31,35.5000,36.7100,33.6100,35.7600,35.7600,828500.00
2014-04-01,35.8400,38.2996,35.2000,36.9700,36.9700,271300.00
2014-04-02,36.0600,36.9196,35.0000,35.2900,35.2900,283200.00
2014-04-03,35.5500,36.4900,32.7500,33.3900,33.3900,324200.00
2014-04-04,33.4800,33.9640,31.4100,31.9200,31.9200,250100.00
2014-04-07,31.6400,32.0000,29.7900,29.9700,29.9700,448600.00
2014-04-08,30.1200,30.6000,26.1900,26.6700,26.6700,685500.00
2014-04-09,27.0200,29.2500,25.5500,29.0200,29.0200,752100.00
2014-04-10,28.3500,29.1500,26.0704,26.9100,26.9100,392600.00
2014-04-11,28.4700,28.4700,25.5700,25.6400,25.6400,270100.00
2014-04-14,25.9800,27.6900,25.5100,26.9200,26.9200,452800.00
2014-04-15,27.0000,27.5500,25.8000,26.5000,26.5000,348300.00
2014-04-16,26.7900,27.4500,25.8000,27.1300,27.1300,149100.00
2014-04-17,27.1600,28.6400,26.2000,28.2400,28.2400,227400.00
2014-04-21,28.1100,28.3600,27.0100,27.3600,27.3600,155600.00
2014-04-22,27.8500,30.8100,27.4500,30.4800,30.4800,388000.00
2014-04-23,30.5100,30.5100,28.5600,28.9200,28.9200,134600.00
2014-04-24,29.1600,29.6780,27.0508,28.1000,28.1000,171000.00
2014-04-25,27.8000,27.8000,25.6000,25.8600,25.8600,252600.00
2014-04-28,25.7900,26.2500,22.7704,23.3000,23.3000,363700.00
2014-04-29,23.5200,25.0900,23.2500,24.9300,24.9300,408900.00
2014-04-30,24.7500,25.5500,23.8200,25.2700,25.2700,203300.00
2014-05-01,25.3300,28.6100,24.4700,27.7900,27.7900,252600.00
2014-05-02,27.9000,27.9600,26.9000,27.3900,27.3900,90700.00
2014-05-05,27.3400,28.4900,27.0000,28.1400,28.1400,146100.00
2014-05-06,27.5300,28.1300,24.5000,24.5100,24.5100,434800.00
2014-05-07,24.5200,25.1700,23.1000,23.5100,23.5100,400100.00
2014-05-08,23.6200,24.1100,22.1600,22.3700,22.3700,406000.00
2014-05-09,22.4700,22.6500,21.5300,21.9100,21.9100,172800.00
2014-05-12,22.1300,22.6870,21.1801,22.0100,22.0100,107200.00
2014-05-13,21.9200,23.0000,21.1200,21.3600,21.3600,132800.00
2014-05-14,21.2400,21.8620,20.5600,20.8900,20.8900,181600.00
2014-05-15,20.7300,21.2620,19.6900,20.7800,20.7800,206100.00
2014-05-16,20.9200,21.4999,20.4190,21.3200,21.3200,82200.00
2014-05-19,21.1800,24.6100,21.1300,24.4550,24.4550,255200.00
2014-05-20,24.2400,24.7300,23.0100,23.1800,23.1800,121800.00
2014-05-21,23.4300,25.0900,23.4165,23.9900,23.9900,163400.00
2014-05-22,24.1700,25.4300,24.1200,25.0300,25.0300,124400.00
2014-05-23,25.1200,25.4300,24.7400,25.0800,25.0800,96400.00
2014-05-27,25.3800,25.4900,23.9500,24.4600,24.4600,123400.00
2014-05-28,24.4100,24.4100,23.2500,23.5800,23.5800,90300.00
2014-05-29,23.7000,24.9700,23.0500,24.7700,24.7700,92800.00
2014-05-30,24.7800,24.7800,23.8101,24.4900,24.4900,132900.00
2014-06-02,24.5200,24.8700,23.2500,23.5500,23.5500,50000.00
2014-06-03,23.4400,23.9600,21.9450,22.0200,22.0200,139300.00
2014-06-04,21.8600,22.4700,20.7500,21.3500,21.3500,88500.00
2014-06-05,21.5500,21.9625,20.6300,21.5200,21.5200,80400.00
2014-06-06,21.7100,23.6800,21.7100,22.7800,22.7800,142800.00
2014-06-09,22.7900,23.9900,22.5100,22.9400,22.9400,93000.00
2014-06-10,22.9100,23.2300,22.2120,22.6400,22.6400,54800.00
2014-06-11,22.4800,23.5100,22.0900,22.8200,22.8200,55100.00
2014-06-12,22.8700,23.9150,22.2800,22.5100,22.5100,48000.00
2014-06-13,22.6700,22.9600,22.0780,22.9600,22.9600,37800.00
2014-06-16,23.0500,24.2500,22.4300,24.1700,24.1700,128000.00
2014-06-17,24.3300,24.7100,23.6300,23.8700,23.8700,113600.00
2014-06-18,23.8700,24.3199,23.1101,23.5100,23.5100,79900.00
2014-06-19,23.5000,24.5100,23.2083,24.3100,24.3100,69000.00
2014-06-20,24.4400,26.5900,24.4400,25.7600,25.7600,364300.00
2014-06-23,25.9300,25.9950,25.0501,25.4700,25.4700,108300.00
2014-06-24,25.4900,25.8599,25.2600,25.5600,25.5600,132100.00
