Date,Open,High,Low,Close,Adjusted_close,Volume
2010-09-22,52.5000,52.5200,51.6300,51.6300,47.0441,19800.00
2010-09-23,51.1900,52.0100,50.9900,51.0400,46.5065,65742.00
2010-09-24,51.8900,52.7101,51.8100,52.7101,48.0282,195599.00
2010-09-27,53.1500,53.1500,52.4500,52.6900,48.0099,55700.00
2010-09-28,52.1200,53.2700,51.9400,53.2700,48.5384,74060.00
2010-09-29,53.1400,53.5200,52.9600,53.4300,48.6842,69884.00
2010-09-30,53.7300,53.9300,52.8200,53.1900,48.4655,177900.00
2010-10-01,53.7700,53.7700,53.1200,53.5500,48.7935,26762.00
2010-10-04,53.4200,53.5300,52.4700,52.7900,48.1010,47574.00
2010-10-05,53.3800,54.3500,53.1500,54.2900,49.4678,42725.00
2010-10-06,54.2300,54.3700,53.8100,54.0600,49.2582,40480.00
2010-10-07,54.3600,54.3900,53.6400,53.9400,49.1489,125100.00
2010-10-08,54.0200,54.7400,53.7800,54.6900,49.8323,166255.00
2010-10-11,54.6800,54.8300,54.6800,54.8000,49.9325,7907.00
2010-10-12,54.5000,54.9000,54.0800,54.9000,50.0236,3800.00
2010-10-13,55.1400,56.0800,55.1400,55.9300,50.9621,18475.00
2010-10-14,55.7900,55.8700,55.2800,55.6100,50.6705,1715.00
2010-10-15,56.1900,56.1900,55.3900,55.5000,50.5703,52750.00
2010-10-18,55.5200,55.8700,55.4300,55.7000,50.7525,19550.00
2010-10-19,55.0000,55.7500,54.5000,54.5600,49.7138,32919.00
2010-10-20,55.2100,55.6300,55.0000,55.6300,50.6888,21000.00
2010-10-21,55.6600,55.6600,54.5000,55.0200,50.1329,6700.00
2010-10-22,55.1900,55.3700,55.1900,55.3699,50.4518,9399.00
2010-10-25,56.2800,56.3600,55.7800,55.7800,50.8254,32349.00
2010-10-26,56.0400,56.0400,55.6900,55.7000,50.7525,47200.00
2010-10-27,55.5200,55.5900,54.9500,55.3000,50.3881,14844.00
2010-10-28,55.7100,55.7100,55.1000,55.4501,50.5248,4800.00
2010-10-29,55.1100,55.6600,55.1100,55.6600,50.7161,4070.00
2010-11-01,55.7600,56.0699,54.7000,54.7000,49.8414,4862.00
2010-11-02,55.7800,56.1300,55.7700,56.0900,51.1079,2404.00
2010-11-03,56.1600,56.3700,55.6500,56.2700,51.2719,51216.00
2010-11-04,57.4700,57.8600,57.3800,57.8600,52.7207,30688.00
2010-11-05,57.9400,58.3040,57.8200,57.9800,52.8300,25254.00
2010-11-08,57.9900,58.1400,57.6900,58.1400,52.9758,6298.00
2010-11-09,58.1200,58.1800,57.1300,57.1300,52.0555,12945.00
2010-11-10,57.4600,57.9100,57.1700,57.8600,52.7207,30084.00
2010-11-11,57.2200,57.9000,57.2200,57.7362,52.6079,16052.00
2010-11-12,57.2300,57.5600,56.7800,56.9000,51.8460,10197.00
2010-11-15,57.1500,57.3300,56.8300,56.8400,51.7913,30805.00
2010-11-16,56.4000,56.5200,55.3900,55.7500,50.7981,19290.00
2010-11-17,55.8000,56.0000,55.6000,56.0000,51.0259,17142.00
2010-11-18,56.7400,57.1800,56.7300,57.1800,52.1011,5881.00
