Date,Open,High,Low,Close,Adjusted_close,Volume
2013-07-22,23.3000,23.3000,23.0000,23.2500,16.9595,1700.00
2013-07-23,24.8000,24.8000,24.5000,24.5500,17.9077,76220.00
2013-07-24,24.6000,24.7000,24.5999,24.5999,17.9441,5200.00
2013-07-25,24.7000,24.7000,24.7000,24.7000,18.0172,1400.00
2013-07-26,24.5000,24.7000,24.5000,24.7000,18.0172,3250.00
2013-07-29,24.7000,24.7000,23.7600,24.5000,17.8713,9200.00
2013-07-30,24.7000,24.7000,24.5000,24.5000,17.8713,13900.00
2013-07-31,24.4000,24.7400,24.4000,24.6500,17.9807,9800.00
2013-08-01,24.4005,24.6500,23.7600,24.5000,17.8713,10400.00
2013-08-02,24.5000,24.7500,24.4000,24.7500,18.0536,42500.00
2013-08-05,24.5501,24.7500,24.5501,24.7500,18.0536,46300.00
2013-08-06,24.7500,24.7500,24.7500,24.7500,18.0536,600.00
2013-08-07,24.7500,24.7700,24.6100,24.7500,18.0536,11400.00
2013-08-08,24.7500,24.7500,24.7400,24.7500,18.0536,14600.00
2013-08-09,24.6500,24.9500,24.6400,24.9500,18.1995,24300.00
2013-08-12,24.8500,24.8500,24.8000,24.8000,18.0901,8000.00
2013-08-13,24.7000,24.8000,24.7000,24.8000,18.0901,2500.00
2013-08-14,24.8500,24.8500,24.4200,24.8000,18.0901,22590.00
2013-08-15,23.7700,24.8000,23.7500,24.8000,18.0901,2700.00
2013-08-16,24.9499,24.9499,24.8000,24.8400,18.1193,7636.00
2013-08-19,24.6500,24.8000,24.2600,24.2600,17.6962,4000.00
2013-08-20,24.5000,24.8000,24.4000,24.8000,18.0901,4200.00
2013-08-21,24.6899,24.6899,24.3200,24.3200,17.7400,3900.00
2013-08-22,24.5000,24.5000,24.4900,24.5000,17.8713,2100.00
2013-08-23,24.5100,24.5100,24.5000,24.5000,17.8713,6000.00
2013-08-26,24.8999,24.8999,24.4100,24.6100,17.9515,2365.00
2013-08-27,24.6100,24.6100,24.6100,24.6100,17.9515,0.00
2013-08-28,24.9500,24.9999,24.7500,24.7500,18.0536,13825.00
2013-08-29,24.9500,24.9500,24.9000,24.9400,18.1922,1725.00
2013-08-30,24.8500,24.9856,24.8500,24.9856,18.2255,2000.00
2013-09-03,24.9001,24.9699,24.8500,24.8500,18.1266,7000.00
2013-09-04,24.5600,24.9000,24.5600,24.9000,18.1630,600.00
2013-09-05,24.9700,24.9700,24.9700,24.9700,18.2141,100.00
2013-09-06,24.9700,24.9700,24.7000,24.7000,18.0172,4845.00
2013-09-09,24.9000,24.9000,24.8000,24.9000,18.1630,4083.00
2013-09-10,24.8799,24.8799,24.7200,24.8000,18.0901,6800.00
2013-09-11,24.9000,24.9000,24.9000,24.9000,18.1630,100.00
2013-09-12,24.7100,24.8500,24.7000,24.7499,18.2742,6330.00
2013-09-13,24.7000,24.7000,24.7000,24.7000,18.2373,1000.00
2013-09-16,24.7000,24.7000,24.7000,24.7000,18.2373,0.00
2013-09-17,24.7600,24.8001,24.3000,24.5200,18.1044,10675.00
2013-09-18,24.8300,24.8300,24.8100,24.8100,18.3185,400.00
2013-09-19,24.8150,24.8150,24.8150,24.8150,18.3222,1952.00
2013-09-20,24.8200,24.8600,24.8200,24.8600,18.3555,2990.00
2013-09-23,24.8200,24.8200,24.7100,24.8199,18.3258,6900.00
2013-09-24,24.4605,24.8000,24.3504,24.6001,18.1636,5700.00
2013-09-25,24.5999,24.5999,24.5999,24.5999,18.1634,515.00
2013-09-26,24.4122,24.8400,24.4122,24.8400,18.3407,500.00
2013-09-27,24.8000,24.8000,24.7000,24.8000,18.3111,3290.00
2013-09-30,24.4373,24.7340,24.4373,24.7000,18.2373,4900.00
2013-10-01,24.5000,24.7500,24.3104,24.7400,18.2668,11290.00
2013-10-02,24.5000,24.5000,24.4000,24.5000,18.0896,1950.00
2013-10-03,24.5000,24.5000,24.5000,24.5000,18.0896,0.00
2013-10-04,24.5000,24.5000,24.5000,24.5000,18.0896,600.00
2013-10-07,24.6600,24.7500,24.6500,24.7500,18.2742,4200.00
2013-10-08,24.5250,24.5250,24.5250,24.5250,18.1081,200.00
2013-10-09,24.6000,24.6000,24.3500,24.3500,17.9789,5700.00
2013-10-10,24.7500,24.7500,24.5500,24.7300,18.2595,2700.00
2013-10-11,24.4813,24.7400,24.4801,24.7399,18.2668,4110.00
2013-10-14,24.7399,24.7399,24.7399,24.7399,18.2668,0.00
