Date,Open,High,Low,Close,Adjusted_close,Volume
2015-06-12,30.5000,31.9900,29.1810,30.5900,25.4605,10898994.00
2015-06-15,30.8900,30.8900,28.5000,30.5500,25.4272,1023735.00
2015-06-16,30.0300,30.5999,29.5100,29.6800,24.7031,383256.00
2015-06-17,29.4200,29.8740,28.0741,28.2800,23.5378,570724.00
2015-06-18,27.3500,29.2000,27.0000,28.6500,23.8458,553509.00
2015-06-19,28.9500,29.6397,28.6600,29.3400,24.4201,197227.00
2015-06-22,29.4900,29.5100,28.5000,28.5600,23.7709,179702.00
2015-06-23,28.5500,29.3000,28.3600,28.7500,23.9290,259528.00
2015-06-24,28.7500,28.9350,28.0000,28.3300,23.5795,227130.00
2015-06-25,28.5500,29.2800,27.8800,27.9600,23.2715,215957.00
2015-06-26,28.2500,28.4150,27.6900,28.2500,23.5129,438240.00
2015-06-29,28.1300,28.1300,27.4400,27.5000,22.8886,226801.00
2015-06-30,27.8300,28.4200,27.6000,28.4000,23.6377,126462.00
2015-07-01,28.9300,29.4000,27.7607,27.9900,23.2965,126025.00
2015-07-02,27.9200,28.6999,27.9200,28.5200,23.7376,217014.00
2015-07-06,28.1600,28.4899,27.6500,27.7000,23.0551,234293.00
2015-07-07,27.7500,28.5100,27.7500,28.4500,23.6793,463395.00
2015-07-08,28.3000,30.1500,27.8900,29.7800,24.7863,288534.00
2015-07-09,30.5000,33.0000,29.3700,32.9600,27.4331,596095.00
2015-07-10,33.5500,34.8450,32.0300,34.3800,28.6150,1201710.00
2015-07-13,34.8500,35.3900,32.0500,32.9200,27.3998,590459.00
2015-07-14,32.7200,33.5100,30.5300,30.9600,25.7684,415524.00
2015-07-15,30.9000,31.5900,28.7500,28.9500,24.0955,257047.00
2015-07-16,28.8000,31.9500,28.0000,31.6900,26.3760,446490.00
2015-07-17,31.5500,32.5000,30.1100,30.6700,25.5271,250640.00
2015-07-20,30.8600,31.6099,30.2500,30.9700,25.7768,296664.00
2015-07-21,31.1000,32.4300,30.2300,32.0300,26.6590,182138.00
2015-07-22,32.1300,32.3656,31.0400,31.2700,26.0265,264669.00
2015-07-23,31.2100,31.9960,31.2100,31.5400,26.2512,96290.00
2015-07-24,31.3700,31.6300,30.8920,31.2600,26.0181,105678.00
2015-07-27,31.1200,31.3000,30.5400,30.7100,25.5604,198202.00
2015-07-28,31.0100,32.9600,30.6000,32.6350,27.1626,132775.00
2015-07-29,32.9400,34.8700,32.5601,34.4300,28.6566,333917.00
2015-07-30,34.5000,34.7200,33.1301,34.1700,28.4402,157746.00
2015-07-31,34.1100,35.7399,34.1100,34.2800,28.5317,419242.00
2015-08-03,34.3700,35.9600,34.2900,35.2400,29.3307,473862.00
2015-08-04,35.1500,35.6200,32.4000,32.9100,27.3915,529961.00
2015-08-05,32.9800,34.4900,30.6201,31.2600,26.0181,410977.00
2015-08-06,31.2600,32.2500,28.7400,31.4500,26.1763,757188.00
2015-08-07,32.5000,32.9200,30.1200,31.4900,26.2096,809335.00
2015-08-10,31.7300,32.7900,30.3000,31.5700,26.2762,243609.00
2015-08-11,31.4700,32.3500,30.8800,31.5300,26.2429,144853.00
2015-08-12,30.9200,32.0410,30.3100,31.5800,26.2845,111678.00
2015-08-13,32.8400,32.8400,30.1200,30.4300,25.3273,182273.00
2015-08-14,30.2400,30.9000,29.0956,29.8700,24.8612,151389.00
2015-08-17,29.9000,30.3000,29.4300,30.1200,25.0693,295789.00
2015-08-18,30.1800,30.7300,29.7200,30.1000,25.0527,162481.00
2015-08-19,29.9000,30.2650,28.9000,29.0600,24.1870,232945.00
2015-08-20,28.9100,29.1800,27.9100,27.9900,23.2965,365954.00
2015-08-21,27.5500,28.6500,27.1850,27.7200,23.0717,381556.00
2015-08-24,26.2100,27.8800,25.0200,26.7800,22.2894,568837.00
2015-08-25,27.5400,28.2600,25.3900,26.0000,21.6402,568807.00
2015-08-26,26.8100,26.9200,24.7800,26.8800,22.3726,660733.00
2015-08-27,27.3800,28.3100,26.9301,27.6600,23.0218,221096.00
2015-08-28,27.5000,28.6200,27.4400,28.3300,23.5795,172724.00
2015-08-31,28.2700,28.5200,27.3100,27.3600,22.7721,177787.00
2015-09-01,26.9600,27.2400,26.4600,26.7800,22.2894,155276.00
2015-09-02,27.1100,27.6900,26.8900,27.3700,22.7804,190452.00
2015-09-03,27.2700,27.8000,26.7200,26.8200,22.3227,159351.00
2015-09-04,26.5500,27.5800,26.5500,27.3500,22.7638,156008.00
2015-09-08,27.6700,28.3600,27.3000,27.8200,23.1550,595403.00
2015-09-09,27.8900,28.6600,27.2700,27.3400,22.7555,174936.00
2015-09-10,27.1800,28.0500,27.1800,27.5400,22.9219,96992.00
2015-09-11,27.3400,28.5100,27.3000,28.4900,23.7126,101846.00
2015-09-14,28.4400,28.6900,27.3000,27.6300,22.9968,363120.00
2015-09-15,27.5700,27.8600,27.3500,27.4900,22.8803,137172.00
2015-09-16,27.3800,27.9800,27.1400,27.2500,22.6806,335744.00
